Bol Number,Shipment Id,Carrier,Ship Date,Shipper,Consignee,Nmfc Class,Pallets,Weight Lb,Freight Terms,Hazmat,Signed
BOL-SH-50207,SH-50207,FedEx Ground,2026-01-02,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4,60,6,4776.0,Prepaid & Add,N,Y
BOL-SH-50208,SH-50208,LTL - Estes,2026-03-01,Keystone Bearing & Drive Co.,Tennessee Valley Lumber LLC - Plant 1,55,9,6847.0,Prepaid,N,Y
BOL-SH-50209,SH-50209,UPS Ground,2025-10-27,Keystone Bearing & Drive Co.,Susquehanna Packaging Systems Co. - Plant 10,85,7,5260.0,Prepaid & Add,N,Y
BOL-SH-50210,SH-50210,FedEx Ground,2026-03-18,Keystone Bearing & Drive Co.,Prairie Foods Co. - Plant 8,85,2,976.8,Prepaid,N,Y
BOL-SH-50211,SH-50211,Company Truck,2026-03-07,Keystone Bearing & Drive Co.,Hickory Water Authority Inc. - Plant 5,50,8,5809.2,Prepaid & Add,N,Y
BOL-SH-50215,SH-50215,Customer Pickup,08/02/25,Keystone Bearing & Drive Co.,Appalachian Conveyor LP - Plant 4,70,1,231.5,Prepaid,N,Y
BOL-SH-50216,SH-50216,Customer Pickup,2026-03-14,Keystone Bearing & Drive Co. ,"Cardinal Foods Group - Plant 12 - Hazleton, PA",60,18,13800.8,Prepaid & Add,N,Y
BOL-SH-50218,SH-50218,Customer Pickup,2025-05-10,Keystone Bearing & Drive Co.,Appalachian Conveyor LP - Plant 4,70,2,1584.7,Collect,N,Y
BOL-SH-50219,SH-50219,UPS Ground,2026-03-10,Keystone Bearing & Drive Co.,Piedmont Poultry Inc. - Plant 9,60,2,955.1,Prepaid,N,Y
BOL-SH-50220,SH-50220,Company Truck,2025-12-14,Keystone Bearing & Drive Co.,Tennessee Valley Plastics Inc. - Plant 5 ,60,15,11500.0,Prepaid & Add,N,Y
BOL-SH-50221,SH-50221,FedEx Ground,2025-08-15,Keystone Bearing & Drive Co.,Tri-County Conveyor Inc. - Plant 7,50,1,546.7,Collect,N,Y
BOL-SH-50222,SH-50222,Company Truck,2025-05-14,Keystone Bearing & Drive Co.,Pioneer Plastics LLC - Plant 4,85,7,4861.5,Prepaid & Add,N,Y
BOL-SH-50224,SH-50224,FedEx Ground,2026-01-16,Keystone Bearing & Drive Co.,Cardinal Plastics Corp. - Plant 3,60,1,165.6,Prepaid & Add,N,Y
BOL-SH-50225,SH-50225,LTL - XPO,2025-06-11,Keystone Bearing & Drive Co.,Tri-County Materials LLC - Plant 12,60,2,894.0,Collect,N,Y
BOL-SH-50226,SH-50226,LTL - Estes,2026-02-01,Keystone Bearing & Drive Co.,Piedmont Ag Equipment LLC - Plant 2,85,1,343.9,Prepaid & Add,N,Y
BOL-SH-50227,SH-50227,Company Truck,08/26/2025,Keystone Bearing & Drive Co.,Cardinal Poultry Co. - Plant 2,55,2,878.2,Collect,N,Y
BOL-SH-50228,SH-50228,LTL - Estes,2026-01-06,Keystone Bearing & Drive Co.,Allegheny Paper Inc. - Plant 2,85,2,807.1,Prepaid & Add,N,Y
BOL-SH-50229,SH-50229,LTL - Estes,2026-01-16,Keystone Bearing & Drive Co.,Piedmont Ag Equipment LLC - Plant 2,50,1,200.7,Prepaid & Add,N,Y
BOL-SH-50230,SH-50230,FedEx Ground,2025-12-25,Keystone Bearing & Drive Co.,Cardinal Plastics Corp. - Plant 3,70,1,365.8,Prepaid & Add,N,Y
BOL-SH-50231,SH-50231,UPS Ground,2025-11-18,Keystone Bearing & Drive Co.,Piedmont Poultry Inc. - Plant 9,50,1,371.7,Prepaid & Add,N,Y
BOL-SH-50232,SH-50232,UPS Ground,2025-09-15,Keystone Bearing & Drive Co.,Keystone Plastics Inc. - Plant 4,60,1,612.5,Collect,N,Y
BOL-SH-50233,SH-50233,FedEx Ground ,2025-08-01,Keystone Bearing & Drive Co.,Hickory Steel Co. - Plant 4,50,1,198.1,Prepaid,N,Y
BOL-SH-50234,SH-50234,UPS Ground,2025-05-28,Keystone Bearing & Drive Co.,Piedmont Poultry Inc. - Plant 9,60,2,829.8,Prepaid & Add,N,Y
BOL-SH-50237,SH-50237,Customer Pickup,2026-03-09,Keystone Bearing & Drive Co.,Riverbend Plastics Inc. - Plant 4,70,3,2354.8,Collect,N,Y
BOL-SH-50238,SH-50238,Company Truck,2025-09-19,Keystone Bearing & Drive Co.,Pioneer Plastics LLC - Plant 4,85,2,1109.8,Prepaid,N,Y
BOL-SH-50239,SH-50239,Customer Pickup,2025-05-12,Keystone Bearing & Drive Co.,Great Lakes Climate Inc. - Plant 6,70,10,7951.4,Prepaid & Add,N,Y 
BOL-SH-50240,SH-50240,UPS Ground,2025-06-18,Keystone Bearing & Drive Co.,Keystone Plastics Inc. - Plant 4,85,1,595.8,Prepaid & Add,N,Y
BOL-SH-50244,SH-50244,LTL - Estes,2025-10-10,Keystone Bearing & Drive Co.,Piedmont Ag Equipment LLC - Plant 2,60,19,15011.6,Collect,N,Y
BOL-SH-50245,SH-50245,Customer Pickup,2025-09-05,Keystone Bearing & Drive Co.,"Cardinal Foods Group - Plant 12 - Hazleton, PA",70,3,2218.9,Prepaid & Add,N,Y
BOL-SH-50247,SH-50247,Customer Pickup,01/20/2026,Keystone Bearing & Drive Co.,Appalachian Conveyor LP - Plant 4,85,1,765.1,Prepaid & Add,N,Y
BOL-SH-50249,SH-50249,UPS Ground,2026-01-10,Keystone Bearing & Drive Co.,Fox River Paper Co. - Plant 11,55,7,4867.5,Prepaid & Add,N,Y
BOL-SH-50250,SH-50250,Company Truck,2025-12-07,Keystone Bearing & Drive Co.,Cardinal Poultry Co. - Plant 2,55,1,604.1,Prepaid & Add,N,Y
BOL-SH-50251,SH-50251,Company Truck,2025-12-10,Keystone Bearing & Drive Co.,Tennessee Valley Plastics Inc. - Plant 5,85,2,1505.3,Prepaid,N,Y
BOL-SH-50252,SH-50252,FedEx Ground,2025-10-19,Keystone Bearing & Drive Co. ,Prairie Foods Co. - Plant 8,50,2,1346.8,Prepaid,N,Y
BOL-SH-50253,SH-50253,UPS Ground,2025-10-20,Keystone Bearing & Drive Co.,Piedmont Poultry Inc. - Plant 9,85,5,3601.4,Prepaid & Add,N,Y
BOL-SH-50255,SH-50255,FedEx Ground,2026-03-06,Keystone Bearing & Drive Co. ,Lehigh Valley Ag Equipment LP - Plant 4,60,2,932.5,Prepaid,N,Y
BOL-SH-50257,SH-50257,Customer Pickup,08/17/25,Keystone Bearing & Drive Co.,Riverbend Plastics Inc. - Plant 4,70,2,963.9,Prepaid & Add,N,Y
BOL-SH-50258,SH-50258,UPS Ground,2026-03-27,Keystone Bearing & Drive Co.,Susquehanna Packaging Systems Co. - Plant 10,60,2,1377.5,Prepaid & Add,N,Y
BOL-SH-50260,SH-50260,FedEx Ground,2025-10-31,Keystone Bearing & Drive Co.,Prairie Foods Co. - Plant 8,55,6,4652.9,Collect,N,Y
BOL-SH-50261,SH-50261,FedEx Ground,2025-10-26,Keystone Bearing & Drive Co.,Appalachian Packaging Systems Co. - Plant 8,60,23,17818.8,Prepaid,N,Y
BOL-SH-50262 ,SH-50262,Customer Pickup,2025-06-24,Keystone Bearing & Drive Co.,Great Lakes Climate Inc. - Plant 6,70,19,14452.0,Prepaid & Add,N ,Y
BOL-SH-50263,SH-50263 ,Customer Pickup,2025-08-21,Keystone Bearing & Drive Co.,Hickory Lumber LLC - Plant 4,55,21,16690.0,Prepaid & Add,N,Y
BOL-SH-50264,SH-50264,Company Truck,2026-01-09,Keystone Bearing & Drive Co.,Northstar Plastics LP - Plant 1,70,3,1945.1,Prepaid & Add,N,Y
BOL-SH-50265,SH-50265,Customer Pickup,2026-01-26,Keystone Bearing & Drive Co.,Fox River Climate Inc. - Plant 6,50,2,873.5,Prepaid & Add,N,Y
BOL-SH-50266,SH-50266,Customer Pickup,2025-12-28,Keystone Bearing & Drive Co.,Riverbend Plastics Inc. - Plant 4,60,12,9046.2,Collect,N,Y
BOL-SH-50267,SH-50267,FedEx Ground,2025-07-24,Keystone Bearing & Drive Co.,Appalachian Packaging Systems Co. - Plant 8,60,2,833.5,Prepaid & Add,N,Y
BOL-SH-50269 ,SH-50269,LTL - Estes,2025-09-24,Keystone Bearing & Drive Co.,Piedmont Ag Equipment LLC - Plant 2,50,1,540.5,Collect,N,Y
BOL-SH-50271,SH-50271,Company Truck,2026-03-14,Keystone Bearing & Drive Co.,Tennessee Valley Plastics Inc. - Plant 5,70,1,309.4,Prepaid & Add,N,Y
BOL-SH-50272,SH-50272,UPS Ground,2025-10-03,Keystone Bearing & Drive Co.,Cardinal Foods Corp. - Plant 4,60,2,1106.8,Prepaid & Add,N,Y
BOL-SH-50273,SH-50273,FedEx Ground,2026-03-13,Keystone Bearing & Drive Co.,Iron City Plastics Corp. - Plant 4,70,1,343.8,Prepaid & Add,N,Y
BOL-SH-50275,SH-50275,FedEx Ground,2026-03-17,Keystone Bearing & Drive Co.,Hickory Steel Co. - Plant 4,50,1,334.3,Prepaid,N,Y
BOL-SH-50277,SH-50277,Company Truck,2026-01-02,Keystone Bearing & Drive Co.,Cardinal Poultry Co. - Plant 2,50,3,1652.5,Prepaid,N,Y
BOL-SH-50278,SH-50278,UPS Ground,2026-01-21,Keystone Bearing & Drive Co.,Cardinal Foods Corp. - Plant 4,60,2,1246.9,Prepaid,N,Y
BOL-SH-50279,SH-50279,LTL - Estes,2026-02-14,Keystone Bearing & Drive Co.,Allegheny Paper Inc. - Plant 2,85,1,256.1,Collect,N,Y
BOL-SH-50280,SH-50280,Company Truck,29-Dec-2025,Keystone Bearing & Drive Co.,Tennessee Valley Plastics Inc. - Plant 5,60,3,1773.2,Prepaid & Add,N,Y
BOL-SH-50281,SH-50281,LTL - XPO,2025-09-16,Keystone Bearing & Drive Co.,Iron City Materials Co. - Plant 11,85,3,2094.3,Prepaid & Add,N,Y
BOL-SH-50282,SH-50282,FedEx Ground,2025-09-18,Keystone Bearing & Drive Co.,Tri-County Conveyor Inc. - Plant 7,60,2,903.2,Prepaid,N,Y
BOL-SH-50283,SH-50283,Customer Pickup,2025-06-23,Keystone Bearing & Drive Co.,Great Lakes Climate Inc. - Plant 6,60,9,6786.0,Prepaid & Add,N,Y
BOL-SH-50285,SH-50285,UPS Ground,2025-05-12,Keystone Bearing & Drive Co.,Piedmont Poultry Inc. - Plant 9,50,1,343.5,Prepaid & Add,N,Y
BOL-SH-50286,SH-50286,FedEx Ground,2025-06-23,Keystone Bearing & Drive Co.,Prairie Foods Co. - Plant 8,50,16,12764.4,Prepaid & Add,N,Y
BOL-SH-50287,SH-50287,Company Truck,2025-12-05,Keystone Bearing & Drive Co.,Hickory Water Authority Inc. - Plant 5,85,1,753.5,Prepaid,N,Y
BOL-SH-50288,SH-50288,UPS Ground,2025-09-04,Keystone Bearing & Drive Co.,Keystone Plastics Inc. - Plant 4,60,4,2559.2,Prepaid & Add,N,Y
BOL-SH-50289,SH-50289,Customer Pickup,2026-02-21,Keystone Bearing & Drive Co.,Appalachian Conveyor LP - Plant 4,85,5,3457.5,Prepaid,N,Y
BOL-SH-50290,SH-50290,UPS Ground,2025-07-12,Keystone Bearing & Drive Co.,Piedmont Poultry Inc. - Plant 9,85,2,1047.7,Collect,N,Y
BOL-SH-50291,SH-50291,Customer Pickup,2025-07-21,Keystone Bearing & Drive Co.,Hickory Lumber LLC - Plant 4 ,60,2,1125.9,Prepaid & Add,N,Y
BOL-SH-50293,SH-50293,LTL - XPO,2026-03-26,Keystone Bearing & Drive Co.,Iron City Materials Co. - Plant 11,50,21,16321.6,Collect,N,Y
BOL-SH-50294,SH-50294,UPS Ground,2025-10-03,Keystone Bearing & Drive Co.,Keystone Plastics Inc. - Plant 4,60,21,16766.1,Prepaid & Add,N,Y 
BOL-SH-50295,SH-50295,UPS Ground,2026-03-23,Keystone Bearing & Drive Co.,Piedmont Poultry Inc. - Plant 9,60,10,7662.5,Prepaid & Add ,N,Y
BOL-SH-50296,SH-50296,UPS Ground,2025-05-19,Keystone Bearing & Drive Co.,Susquehanna Packaging Systems Co. - Plant 10,50,2,822.1,Prepaid & Add,N,Y
BOL-SH-50297,SH-50297,Company Truck,2025-06-25,Keystone Bearing & Drive Co.,Hickory Water Authority Inc. - Plant 5,85,1,432.4,Prepaid & Add,N,Y
BOL-SH-50298,SH-50298,UPS Ground ,2025-08-12,Keystone Bearing & Drive Co.,Cardinal Foods Corp. - Plant 4,50,1,437.8,Collect,N,Y
BOL-SH-50299,SH-50299,Customer Pickup,02/12/2026,Keystone Bearing & Drive Co.,Great Lakes Climate Inc. - Plant 6,60,1,709.5,Prepaid & Add,N,Y
BOL-SH-50300,SH-50300,LTL - XPO,2025-07-17,Keystone Bearing & Drive Co.,Iron City Materials Co. - Plant 11,50,9,6718.6,Prepaid & Add,N,Y
BOL-SH-50302,SH-50302,FedEx Ground,2026-01-31,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4,50,2,861.8,Prepaid & Add,N,Y
BOL-SH-50303,SH-50303,FedEx Ground,2025-11-14,Keystone Bearing & Drive Co. ,Prairie Foods Co. - Plant 8,55,1,173.1,Prepaid,N,Y
BOL-SH-50304,SH-50304,FedEx Ground,2025-11-05,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4,70,1,761.0,Prepaid & Add,N,Y
BOL-SH-50306,SH-50306,FedEx Ground,2025-06-13,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4,55,3,2103.5,Prepaid & Add,N,Y
BOL-SH-50307,SH-50307,Company Truck ,2025-10-20,Keystone Bearing & Drive Co.,Hickory Water Authority Inc. - Plant 5,50,12,9116.0,Prepaid & Add,N,Y
BOL-SH-50308,SH-50308,FedEx Ground,2025-10-12,Keystone Bearing & Drive Co.,Hickory Steel Co. - Plant 4,50,1,196.8,Prepaid & Add,N,Y
BOL-SH-50309,SH-50309,FedEx Ground,2025-08-12,Keystone Bearing & Drive Co.,Tri-County Conveyor Inc. - Plant 7,60,4,2588.2,Prepaid & Add,N,Y
BOL-SH-50310,SH-50310,UPS Ground,2025-07-22,Keystone Bearing & Drive Co.,Cardinal Foods Corp. - Plant 4,50,4,2705.0,Prepaid,N ,Y
BOL-SH-50311,SH-50311,UPS Ground,"Jan 21, 2026",Keystone Bearing & Drive Co.,Piedmont Poultry Inc. - Plant 9,55,5,3389.1,Collect,N,Y
BOL-SH-50313,SH-50313,LTL - Estes,2026-02-24,Keystone Bearing & Drive Co.,Piedmont Ag Equipment LLC - Plant 2,70,15,11677.8,Prepaid & Add,N,Y
BOL-SH-50314,SH-50314,FedEx Ground,2025-08-03,Keystone Bearing & Drive Co.,Prairie Foods Co. - Plant 8,50,1,402.9,Prepaid & Add,N,Y
BOL-SH-50317,SH-50317,Customer Pickup,2025-06-25,Keystone Bearing & Drive Co. ,Fox River Climate Inc. - Plant 6,60,1,209.0,Prepaid & Add,N,Y
BOL-SH-50318,SH-50318,LTL - Estes,2026-01-07,Keystone Bearing & Drive Co.,Piedmont Ag Equipment LLC - Plant 2,85,6,4688.3,Prepaid,N,Y
BOL-SH-50319,SH-50319,LTL - Estes,2025-06-30,Keystone Bearing & Drive Co.,Piedmont Ag Equipment LLC - Plant 2,50,2,1077.2,Prepaid & Add,N,Y
BOL-SH-50320,SH-50320,LTL - Estes,2025-06-25 ,Keystone Bearing & Drive Co.,Piedmont Ag Equipment LLC - Plant 2,55,2,915.0,Prepaid & Add,N,Y
BOL-SH-50322,SH-50322,FedEx Ground,"Jan 07, 2026",Keystone Bearing & Drive Co.,Iron City Plastics Corp. - Plant 4,85,1,406.0,Collect,N,Y
BOL-SH-50324,SH-50324,LTL - XPO,2026-03-08,Keystone Bearing & Drive Co.,Iron City Materials Co. - Plant 11,85,1,167.1,Prepaid & Add,N,Y
BOL-SH-50325,SH-50325,UPS Ground,2025-05-19,Keystone Bearing & Drive Co.,Keystone Plastics Inc. - Plant 4,55,2,1135.7,Prepaid & Add,N,Y
BOL-SH-50326 ,SH-50326,LTL - XPO,2025-06-26,Keystone Bearing & Drive Co.,Iron City Materials Co. - Plant 11,55,3,1621.5,Prepaid,N,Y
BOL-SH-50327,SH-50327,FedEx Ground,"Jun 30, 2025",Keystone Bearing & Drive Co.,Tri-County Conveyor Inc. - Plant 7,50,1,736.3,Prepaid & Add,N,Y
BOL-SH-50328,SH-50328,Customer Pickup,2025-06-11,Keystone Bearing & Drive Co.,Fox River Climate Inc. - Plant 6,60,1,788.6,Prepaid,N,Y
BOL-SH-50330,SH-50330,FedEx Ground,2025-12-14,Keystone Bearing & Drive Co.,Iron City Plastics Corp. - Plant 4,60,1,582.1,Prepaid ,N,Y
BOL-SH-50331,SH-50331,Company Truck,2026-02-26,Keystone Bearing & Drive Co.,Pioneer Plastics LLC - Plant 4,70,6,4654.4,Collect,N,Y
BOL-SH-50332,SH-50332,LTL - Estes,2025-12-17,Keystone Bearing & Drive Co.,Piedmont Ag Equipment LLC - Plant 2,70,2,875.6,Prepaid & Add,N,Y
BOL-SH-50333,SH-50333,Customer Pickup ,2025-07-11 ,Keystone Bearing & Drive Co.,Riverbend Plastics Inc. - Plant 4 ,70 ,6,4323.1,Prepaid & Add,N,Y
BOL-SH-50334,SH-50334,FedEx Ground,2025-12-25,Keystone Bearing & Drive Co.,Prairie Foods Co. - Plant 8,85,21,16112.0,Prepaid & Add,N,Y
BOL-SH-50335,SH-50335,Customer Pickup,2026-03-10,Keystone Bearing & Drive Co.,"Cardinal Foods Group - Plant 12 - Hazleton, PA",50,2,888.9,Prepaid,N,Y
BOL-SH-50336,SH-50336,Customer Pickup,2025-05-07,Keystone Bearing & Drive Co.,Hickory Lumber LLC - Plant 4,70,1,270.7,Prepaid & Add,N,Y
BOL-SH-50337,SH-50337,FedEx Ground,2026-01-04,Keystone Bearing & Drive Co.,Tri-County Conveyor Inc. - Plant 7,50,15,11344.6,Collect,N,Y
BOL-SH-50338,SH-50338,Customer Pickup,2025-11-02,Keystone Bearing & Drive Co.,Hickory Lumber LLC - Plant 4,50,1,462.9,Prepaid & Add,N,Y
BOL-SH-50339,SH-50339,FedEx Ground,2025-07-28,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4,55,1,351.0,Prepaid,N ,Y
BOL-SH-50340,SH-50340,Customer Pickup,2025-11-12,Keystone Bearing & Drive Co.,Appalachian Conveyor LP - Plant 4,55,12,8855.6,Prepaid & Add,N,Y
BOL-SH-50341,SH-50341,Company Truck,2026-03-12,Keystone Bearing & Drive Co.,Tennessee Valley Plastics Inc. - Plant 5,50,1,563.5,Collect,N,Y
BOL-SH-50342,SH-50342,FedEx Ground,2025-08-15,Keystone Bearing & Drive Co.,Hickory Steel Co. - Plant 4,50,14,10573.0,Prepaid & Add,N,Y
BOL-SH-50343,SH-50343,UPS Ground,2025-06-08,Keystone Bearing & Drive Co.,Keystone Plastics Inc. - Plant 4,85,1,668.8,Prepaid & Add,N,Y
BOL-SH-50344,SH-50344,Customer Pickup,2025-06-01,Keystone Bearing & Drive Co.,Riverbend Plastics Inc. - Plant 4,55,4,2543.1,Prepaid & Add,N,Y
BOL-SH-50346,SH-50346,FedEx Ground,07/22/2025,Keystone Bearing & Drive Co.,Cardinal Plastics Corp. - Plant 3,60,2,1374.0,Prepaid & Add,N,Y
BOL-SH-50347,SH-50347,Customer Pickup,2026-02-11,Keystone Bearing & Drive Co.,Fox River Climate Inc. - Plant 6,55,2,830.7,Prepaid & Add,N,Y
BOL-SH-50350,SH-50350,FedEx Ground,2025-10-23,Keystone Bearing & Drive Co.,Iron City Plastics Corp. - Plant 4,55,21,16084.6,Collect,N,Y
BOL-SH-50351,SH-50351 ,FedEx Ground,2026-01-09,Keystone Bearing & Drive Co.,Appalachian Packaging Systems Co. - Plant 8,50,2,1016.4,Prepaid & Add,N,Y
BOL-SH-50352,SH-50352,Customer Pickup,2026-02-13,Keystone Bearing & Drive Co.,Great Lakes Climate Inc. - Plant 6,50,2,1441.6,Prepaid & Add,N,Y
BOL-SH-50353,SH-50353,FedEx Ground,2025-06-12,Keystone Bearing & Drive Co.,Iron City Plastics Corp. - Plant 4,85,5,3463.1,Prepaid & Add,N,Y
BOL-SH-50355,SH-50355,UPS Ground ,2026-02-01,Keystone Bearing & Drive Co.,Fox River Paper Co. - Plant 11,50,6,4366.9,Collect,N,Y
BOL-SH-50356,SH-50356,LTL - XPO,07/20/25,Keystone Bearing & Drive Co.,Iron City Materials Co. - Plant 11,85,3,2222.8,Prepaid,N,Y
BOL-SH-50357,SH-50357,LTL - Estes,2026-02-07,Keystone Bearing & Drive Co.,Allegheny Paper Inc. - Plant 2,50,24,18925.1,Prepaid & Add,N,Y 
BOL-SH-50358,SH-50358,UPS Ground,2025-08-03,Keystone Bearing & Drive Co.,Piedmont Poultry Inc. - Plant 9,60,5,3315.0,Collect,N,Y
BOL-SH-50360,SH-50360,FedEx Ground,2025-07-07,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4,85,11,8363.2,Prepaid,N,Y
BOL-SH-50361,SH-50361,UPS Ground,2025-07-20,Keystone Bearing & Drive Co.,Keystone Steel LP - Plant 8,60,1,672.5,Prepaid & Add,N,Y
BOL-SH-50362,SH-50362,Company Truck,2025-11-28,Keystone Bearing & Drive Co.,Pioneer Plastics LLC - Plant 4,60,12,9055.5,Prepaid & Add,N,Y
BOL-SH-50363,SH-50363,Company Truck,2026-02-23,Keystone Bearing & Drive Co.,Tennessee Valley Plastics Inc. - Plant 5,55,1,578.8,Prepaid & Add,N ,Y
BOL-SH-50365,SH-50365,LTL - Estes,2025-12-23,Keystone Bearing & Drive Co.,Tennessee Valley Lumber LLC - Plant 1,50,6,4294.1,Prepaid & Add,N,Y
BOL-SH-50366,SH-50366,Customer Pickup,2025-06-21,Keystone Bearing & Drive Co.,"Cardinal Foods Group - Plant 12 - Hazleton, PA",60,3,1721.9,Collect,N,Y
BOL-SH-50367,SH-50367,UPS Ground,12/22/2025,Keystone Bearing & Drive Co.,Cardinal Foods Corp. - Plant 4,50,3,1916.8,Prepaid,N,Y 
BOL-SH-50368,SH-50368,FedEx Ground,2026-03-08,Keystone Bearing & Drive Co.,Tri-County Conveyor Inc. - Plant 7,55,12,8917.2,Prepaid & Add,N,Y
BOL-SH-50371,SH-50371,UPS Ground,2026-03-19,Keystone Bearing & Drive Co.,Keystone Steel LP - Plant 8,50,1,746.0,Prepaid & Add,N,Y
BOL-SH-50373,SH-50373,Customer Pickup,2026-01-16,Keystone Bearing & Drive Co.,Fox River Climate Inc. - Plant 6,85,3,1861.0,Prepaid,N,Y
BOL-SH-50374,SH-50374,Customer Pickup,2025-06-05,Keystone Bearing & Drive Co.,Great Lakes Climate Inc. - Plant 6,55,2,1589.6,Prepaid & Add,N,Y
BOL-SH-50377,SH-50377,Customer Pickup,2025-10-30,Keystone Bearing & Drive Co.,Hickory Lumber LLC - Plant 4,50,1,236.6,Prepaid,N,Y
BOL-SH-50378,SH-50378,FedEx Ground,10/27/2025,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4 ,70,1,231.5,Collect,N,Y
BOL-SH-50379,SH-50379,LTL - XPO,07/06/2025,Keystone Bearing & Drive Co.,Tri-County Materials LLC - Plant 12,50,11,8022.1,Collect,N,Y
BOL-SH-50380,SH-50380,FedEx Ground,2025-11-16,Keystone Bearing & Drive Co.,Cardinal Plastics Corp. - Plant 3,70,6,4212.1,Prepaid & Add,N,Y
BOL-SH-50381,SH-50381,FedEx Ground,2025-12-12,Keystone Bearing & Drive Co.,Lehigh Valley Ag Equipment LP - Plant 4,60,3,1683.1,Collect,N,Y
BOL-SH-50382,SH-50382,UPS Ground,2025-10-27,Keystone Bearing & Drive Co. ,Fox River Paper Co. - Plant 11,85,1,444.6,Prepaid & Add,N,Y
BOL-SH-50383,SH-50383,FedEx Ground,2026-03-26,Keystone Bearing & Drive Co.,Cardinal Plastics Corp. - Plant 3,55,1,303.5,Prepaid & Add,N,Y
BOL-SH-50384,SH-50384,LTL - XPO,2025-05-20,Keystone Bearing & Drive Co.,Tri-County Materials LLC - Plant 12,55,5,3976.3,Prepaid,N,Y
BOL-SH-50385,SH-50385,UPS Ground,2025-09-04,Keystone Bearing & Drive Co.,Keystone Steel LP - Plant 8,85,6,4389.8,Prepaid & Add,N,Y
BOL-SH-50388,SH-50388,Company Truck,2026-01-31,Keystone Bearing & Drive Co.,Hickory Water Authority Inc. - Plant 5,50,2,1318.0,Prepaid,N,Y
BOL-SH-50389,SH-50389,FedEx Ground,2025-05-28,Keystone Bearing & Drive Co.,Prairie Foods Co. - Plant 8,85,3,2015.0,Prepaid & Add,N,Y
BOL-SH-50390,SH-50390,Customer Pickup,2025-12-31,Keystone Bearing & Drive Co.,Fox River Climate Inc. - Plant 6,70,1,159.0,Prepaid & Add,N,Y
BOL-SH-50391,SH-50391,FedEx Ground,01/24/2026,Keystone Bearing & Drive Co.,Riverbend Packaging Systems Inc. - Plant 12,60,1,222.6,Prepaid,N,Y
BOL-SH-50392,SH-50392,Company Truck,2025-05-26,Keystone Bearing & Drive Co.,Tennessee Valley Plastics Inc. - Plant 5,50,1,250.0,Prepaid,N,Y
BOL-SH-50393,SH-50393 ,Company Truck,2025-09-26,Keystone Bearing & Drive Co.,Cardinal Poultry Co. - Plant 2,85,1,322.2,Prepaid & Add,N,Y
BOL-SH-50394,SH-50394,LTL - Estes,2025-09-15,Keystone Bearing & Drive Co.,Tennessee Valley Lumber LLC - Plant 1,50,1,675.4,Collect,N,Y
BOL-SH-50397,SH-50397,Customer Pickup,2025-05-22,Keystone Bearing & Drive Co.,Appalachian Conveyor LP - Plant 4,55,2,1232.4,Prepaid & Add,N,Y
BOL-SH-50398,SH-50398,Customer Pickup ,2025-04-26,Keystone Bearing & Drive Co. ,Riverbend Plastics Inc. - Plant 4,60,2,884.5,Prepaid & Add,N,Y
BOL-SH-50399,SH-50399,UPS Ground,2025-09-21,Keystone Bearing & Drive Co.,Cardinal Foods Corp. - Plant 4,55,1,501.8,Prepaid & Add,N,Y
BOL-SH-50400,SH-50400,UPS Ground,2025-07-21,Keystone Bearing & Drive Co.,Cardinal Foods Corp. - Plant 4,70,1,283.8,Collect,N ,Y
BOL-SH-50401,SH-50401,UPS Ground,2025-08-25,Keystone Bearing & Drive Co.,Piedmont Poultry Inc. - Plant 9,85,3,2118.2,Prepaid,N,Y
BOL-SH-50402,SH-50402,LTL - Estes,2025-07-29,Keystone Bearing & Drive Co.,Tennessee Valley Lumber LLC - Plant 1,60,1,181.2,Prepaid & Add,N,Y
BOL-SH-50403,SH-50403,FedEx Ground,2025-08-23,Keystone Bearing & Drive Co.,Hickory Steel Co. - Plant 4,55,21,16109.2,Collect,N,Y
BOL-SH-50404,SH-50404,FedEx Ground,2026-01-20,Keystone Bearing & Drive Co.,Hickory Steel Co. - Plant 4,85,2,813.0,Prepaid & Add,N,Y
BOL-SH-50405,SH-50405,Customer Pickup,2026-02-02,Keystone Bearing & Drive Co.,Fox River Climate Inc. - Plant 6,50,10,7475.0,Collect ,N,Y
BOL-SH-50406,SH-50406,FedEx Ground,05/04/25,Keystone Bearing & Drive Co.,Appalachian Packaging Systems Co. - Plant 8,85,1,520.6,Collect,N,Y
BOL-SH-50407,SH-50407,Company Truck,08/26/25,Keystone Bearing & Drive Co.,Northstar Plastics LP - Plant 1,55,1,306.1,Collect,N,Y
BOL-SH-50408 ,SH-50408,Company Truck,2026-03-26,Keystone Bearing & Drive Co.,Pioneer Plastics LLC - Plant 4,50,6,4468.1,Prepaid & Add,N,Y
