Freight Invoice Id,Carrier,Shipment Id,Invoice Date,Quoted Amount,Billed Amount,Accessorials,Audit Status
FI-00318,LTL - Estes,SH-50409,2025-11-29,470.1,507.71,Residential,Disputed
FI-00319,Customer Pickup,SH-50410,2025-12-07,115.33,137.24,Redelivery,Disputed
FI-00320,LTL - Estes,SH-50411,2025-08-17,2525.8,2904.67,,Approved
FI-00321,UPS Ground,SH-50412,13-Oct-2025,8249.11,9898.93,Reweigh,Disputed
FI-00322,FedEx Ground,SH-50413,2025-12-18,2325.97,2767.9,Residential,Disputed
FI-00323,LTL - Estes,SH-50414,2025-06-10,185.23,190.79,Residential,Disputed
FI-00324,UPS Ground ,SH-50415,2025-07-21,116.93,134.47,Redelivery,Disputed
FI-00325,UPS Ground,SH-50416,"Nov 01, 2025",174.5,197.19,Reweigh,Approved
FI-00326,FedEx Ground,SH-50417,2025-07-24,818.2,859.11,Redelivery,Approved
FI-00327,UPS Ground,SH-50418,2026-03-24,176.34,183.39,Residential,Approved 
FI-00328,Company Truck,SH-50419,2025-11-02,2195.91,2437.46,Reweigh,Approved
FI-00329,UPS Ground,SH-50420,2026-01-27,2982.23,3310.28,Residential,Approved
FI-00330,Customer Pickup,SH-50422,2025-07-10,166.13,181.08,Redelivery,Pending
FI-00331,UPS Ground,SH-50423,2025-08-18,242.62,296.0,Reweigh,Approved
FI-00332,FedEx Ground,SH-50424,2025-09-25,110.34,113.65,,Approved
FI-00333,UPS Ground,SH-50425,01/03/2026,155.74,182.22,Residential,Approved
FI-00334,Company Truck,SH-50426,2025-12-09,474.86,508.1,,Pending
FI-00335,Customer Pickup,SH-50427,"Oct 18, 2025",972.21,1001.38,Residential,Pending
FI-00336,LTL - Estes,SH-50429,2025-08-16,233.78,254.82,Residential,Pending
FI-00337,FedEx Ground,SH-50430,2026-04-02,813.12,853.78,Reweigh,Approved
FI-00338,Customer Pickup,SH-50431,2026-03-01,1750.82,1733.31,Liftgate,Pending
FI-00339,FedEx Ground,SH-50432,2026-02-26,115.52,135.16,Redelivery,Pending
FI-00340,UPS Ground,SH-50433,2026-03-15,3698.98,3772.96,Liftgate,Disputed
FI-00341,UPS Ground,SH-50434,2026-04-09,447.01,505.12,,Pending
FI-00342,LTL - Estes,SH-50435,29-Jun-2025,87.67,105.2,Redelivery,Approved
FI-00343,FedEx Ground,SH-50436,2025-07-08,947.61,966.56,Redelivery,Pending
FI-00344,UPS Ground,SH-50437,2025-06-01,966.71,1150.38,Liftgate,Approved
FI-00345,UPS Ground,SH-50438,2025-10-04,142.14,171.99,Reweigh,Pending
FI-00346,Company Truck,SH-50439,2025-06-26,237.26,258.61,Residential,Approved
FI-00347,UPS Ground,SH-50440,"Dec 02, 2025",145.48,158.57,Residential,Approved
FI-00348,FedEx Ground,SH-50441,01/08/2026,3067.09,3220.44,,Approved
FI-00349,FedEx Ground,SH-50442,09/23/25,126.48,151.78,,Disputed
FI-00350,UPS Ground,SH-50443,2026-01-14,178.41,215.88,,Approved
FI-00351,FedEx Ground,SH-50444,2025-07-28,2002.1,1982.08,,Approved
FI-00352,LTL - Estes,SH-50445,2026-01-27,404.11,420.27,,Pending
FI-00353,Company Truck,SH-50446,2025-06-04,2616.4,2590.24,Reweigh,Pending
FI-00354,UPS Ground,SH-50447,2025-07-10,251.84,249.32,Liftgate,Approved
FI-00355,Customer Pickup,SH-50449,2025-12-20,97.45,114.02,Residential,Approved
FI-00356,Company Truck,SH-50451,2026-04-05,274.28,298.97,Redelivery,Pending
FI-00357,LTL - Estes,SH-50452,2025-12-02,5597.14,6772.54,,Approved
FI-00358,Customer Pickup,SH-50453,2025-06-07,160.91,188.26,,Approved
FI-00359,UPS Ground,SH-50456,10/28/2025,989.52,1118.16,Liftgate,Approved
FI-00360,FedEx Ground,SH-50458,2026-03-11,1500.28,1605.3,Redelivery,Disputed
FI-00361,Customer Pickup,SH-50459,2025-06-30,5104.34,6074.16,Residential ,Disputed
FI-00362,Customer Pickup,SH-50460,2025-08-20 ,3793.15,3755.22,Residential,Pending
FI-00363,LTL - XPO,SH-50461,2025-09-05,7368.43,7442.11,Redelivery,Approved
FI-00364,UPS Ground,SH-50463,2025-11-15,220.18,222.38,Liftgate,Approved
FI-00365,FedEx Ground,SH-50464,2025-06-05,167.73,197.92,,Disputed
FI-00366,FedEx Ground,SH-50465,2025-09-21,290.51,354.42,,Disputed 
FI-00367,Customer Pickup,SH-50467,2025-11-01,1578.08,1862.13,,Approved
FI-00368,UPS Ground,SH-50468,2025-12-06,257.39,301.15,,Pending
FI-00369,Customer Pickup,SH-50469,2025-10-21,6284.91,7227.65,Liftgate,Disputed
FI-00370,Company Truck,SH-50470,2026-02-20,667.01,707.03,Liftgate,Approved
FI-00371,LTL - XPO,SH-50472,2026-03-27,1338.56,1606.27,Redelivery,Approved
FI-00372,LTL - Estes,SH-50473,01/31/2026,844.03,1012.84,Residential,Disputed
FI-00373,LTL - Estes,SH-50474,2025-11-05,203.9,214.1,Residential,Approved
FI-00374,LTL - Estes,SH-50475,2026-02-04,293.28,299.15,,Approved
FI-00375,UPS Ground,SH-50476,2025-09-20,939.85,1127.82,Liftgate,Disputed
FI-00376,Company Truck,SH-50477,2025-11-16,129.02,129.02,,Approved
FI-00377,LTL - XPO,SH-50478,2025-08-07,217.08,258.33,,Disputed 
FI-00378,LTL - Estes,SH-50479,2026-03-11,1806.51,1987.16,,Disputed
FI-00379,LTL - XPO,SH-50480,2026-03-30,272.4,318.71,,Disputed
FI-00380,FedEx Ground,SH-50481,2025-10-17,3920.25,4312.28,Redelivery,Pending
FI-00381,LTL - XPO,SH-50482,13-Oct-2025,3805.38,4604.51,,Pending
FI-00382,Company Truck,SH-50485,2026-01-02,983.12,963.46,Redelivery,Pending
FI-00383,LTL - Estes,SH-50486,06/21/25,2148.16,2148.16,Liftgate,Approved
FI-00384,UPS Ground,SH-50487,2025-08-29,98.49,100.46,Redelivery,Pending
FI-00385,FedEx Ground,SH-50488,2025-10-19,171.54,202.42,Redelivery,Disputed
