Supplier Invoice Number,Po Number,Po Line,Item Id,Invoiced Qty,Unit Price,Extended
INV724163,PO-31182,3,KIM-G10,50,11.4,570.0
INV724163,PO-31182,4,3M-SF401AF,84,4.05,340.2
96006366,PO-31183,1,SHEA-1068,500,180.78,90390.0
96163998,PO-31184,1,GEAR-1080,179,1484.33,265695.07
96163998,PO-31184,2,TIMI-1030,10,66.14,661.4
SI1575334,PO-31185,1,ROLL-1044,136,140.68,19132.48
SI1575334,PO-31185,2,SHEA-1077,14,67.98,951.72
SI1575334,PO-31185,3,SHEA-1077,28,67.98,1903.44
SI9961460,PO-31186,1,AC-1057,10,687.08,6870.8
SI844930,PO-31187,2,SPRO-1087,10,44.550000000000004,445.5
97579869,PO-31188,2,SHEA-1077,10,70.7,707.0
SI8925461,PO-31189,1,SHEA-1035,100,148.52,14852.0
SI9082381,PO-31190,1,MOUN-1081,10,61.24,612.4
SI9082381,PO-31190,2,SPRO-1004,177,42.84,7582.68
SI8506966,PO-31191,1,ROLL-1021,101,81.74,8255.74
SI8506966,PO-31191,2,GEAR-1016,25,2242.61,56065.25
SI8506966,PO-31191,3,SHEA-1035,193,148.52,28664.36
95248089,PO-31192,1,ROLL-1053,109,86.10000000000001,9384.9
95248089,PO-31192,2,SHEA-1007,100,129.94,12994.0
95248089,PO-31192,3,SPRO-1002,132,65.84,8690.88
SI217493,PO-31193,1,TIMI-1075,250,72.76,18190.0
SI217493,PO-31193,2,BRI-HHCS-0500-13-200-G8,79,44.75,3535.25
SI217493,PO-31193,3,AC-1054,168,1828.58,307201.44
INV3621013,PO-31194,2,TIMI-1056,15,17.21,258.15
INV3621013,PO-31194,3,AC-1057,500,714.56,357280.0
INV3621013,PO-31194,4,MOUN-1034,35,23.82,833.7
95671661,PO-31195,1,SPRO-1011,500,118.48,59240.0
95671661,PO-31195,2,TIMI-1075,25,72.76,1819.0
INV2256463,PO-31196,1,TIMI-1014,189,49.480000000000004,9351.72
INV8696889,PO-31197,1,SHEA-1025,500,150.87,75435.0
INV8696889,PO-31197,2,SPRO-1087,25,44.550000000000004,1113.75
INV8696889,PO-31197,3,SPRO-1087,167,44.550000000000004,7439.85
INV5184272,PO-31198,1,TIMI-1058,500,84.45,42225.0
INV5184272,PO-31198,2,TIMI-1058,25,84.45,2111.25
INV5184272,PO-31198,3,TIMI-1014,50,49.97,2498.5
INV5184272,PO-31198,4,TIMI-1058,166,84.45,14018.7
94842569,PO-31199,1,BRI-HHCS-0500-13-200-G8,10,44.75,447.5
94842569,PO-31199,2,AC-1054,10,1828.58,18285.8
94842569,PO-31199,3,BRI-HHCS-0500-13-200-G8,79,44.75,3535.25
INV5429818,PO-31200,2,AC-1033,142,1093.27,155244.34
SI9757803,PO-31201,1,AC-1057,81,687.08,55653.48
1789786,PO-31202,1,ROLL-1079,24,102.65,2463.6
1789786,PO-31202,2,MOUN-1062,97,135.75,13167.75
SI9018185,PO-31203,1,MOUN-1034,35,23.82,833.7
SI9018185,PO-31203,2,MOUN-1034,35,24.77,866.95
9810290,PO-31204,1,AC-1074,130,1663.14,216208.2
9810290,PO-31204,2,SKF-6205-2RS1,100,3.55,355.0
INV4494787,PO-31205,1,HEN-243,240,22.1,5304.0
INV4494787,PO-31205,2,KIM-G10,281,11.4,3203.4
INV4494787 ,PO-31205,4,3M-SF401AF,42,4.05,170.1
1336619,PO-31206,1,TIMI-1058,166,84.45,14018.7
1336619,PO-31206,2,TIMI-1014,250,49.480000000000004,12370.0
INV3472357,PO-31207,1,MOUN-1081,50,61.24,3062.0
INV3472357,PO-31207,2,SHEA-1049,50,161.14,8057.0
INV3472357,PO-31207,4,SHEA-1068,105,180.78,18981.9
SI9859808,PO-31208,1,GEAR-1016,500,2265.26,1132630.0
SI9859808,PO-31208,2,ROLL-1021,101,81.74,8255.74
SI9859808,PO-31208,3,ROLL-1021,101,81.74,8255.74
SI9859808,PO-31208,4,GAT-B62,289,12.7,3670.3
INV6781275,PO-31209,1,SHEA-1038,5,295.28000000000003,1476.4
INV6781275,PO-31209,3,SHEA-1003 ,133,231.01,30724.33
INV3835099,PO-31211,1,GEAR-1080,179,1484.33,265695.07
INV3835099,PO-31211,2,GEAR-1080,500,1499.17,749585.0
INV3835099,PO-31211,3,GEAR-1080,179,1484.33,265695.07
INV3835099,PO-31211,4,TIMI-1030,500,66.14,33070.0
91360287,PO-31212,1,AC-1033,500,1093.27,546635.0
91360287,PO-31212,3,AC-1033,142,1093.27,155244.34
91360287,PO-31212,4,SPRO-1050,53,12.85,681.05
99533002,PO-31213,1,SPRO-1050,50,12.72,636.0
99533002,PO-31213,2,AC-1033,142,1060.47,150586.74
6529587,PO-31214,1,AC-1048,500,1745.47,872735.0
6529587,PO-31214,3,SHEA-1045,169,47.68,8057.92
9127562,PO-31215,1,TIMI-1058,25,86.14,2153.5
9127562,PO-31215,2,TIMI-1014,189,49.48,9351.72
SI6235817,PO-31216,1,SHEA-1077,100,67.98,6798.0
SI8103127,PO-31217 ,1,GEAR-1066,157,1270.02,199393.14
SI8103127,PO-31217 ,2,AC-1054,84,1828.58,153600.72
SI8103127,PO-31217,3,BRI-HHCS-0500-13-200-G8,79,44.75,3535.25
INV7957484,PO-31218,1,SHEA-1072,100,101.96000000000001,10196.0
INV9629691,PO-31219,1,SHEA-1038,12,295.28000000000003,3543.36
INV5696508,PO-31221,1,AC-1057,10,680.21,6802.1
INV5696508,PO-31221,2,TIMI-1056,25,17.21,430.25
INV5696508,PO-31221,3,MOUN-1034,35,23.82,833.7
SI6578947,PO-31222,1,SIG-SF18-80,10,24.6,246.0
94218643,PO-31223,1,AC-1006,169,2066.6,349255.4
94218643,PO-31223,2,TIMI-1020 ,50,52.03,2601.5
94218643,PO-31223,3,GEAR-1067,250,498.09000000000003,124522.5
94218643,PO-31223,4,GEAR-1067,151,498.09000000000003,75211.59
96758296,PO-31224,1,MOUN-1008,52,71.79,3733.08
96758296,PO-31224,2,SHEA-1064,23,135.68,3120.64
96758296,PO-31224,3,MOUN-1008,52,71.79,3733.08
9761925,PO-31226,1,SPRO-1011,148,118.48,17535.04
INV5184730,PO-31227,1,AC-1033,142,1093.27,155244.34
INV5184730,PO-31227,2,SPRO-1050,53,13.11,694.83
SI3015425,PO-31228 ,1,AC-1048,100,1745.47,174547.0
SI3015425,PO-31228,2,SHEA-1038,100,295.28000000000003,29528.0
SI3015425,PO-31228,3,GEAR-1073,77,1958.14,150776.78
SI3015425,PO-31228,4,SHEA-1038 ,250,295.28000000000003,73820.0
INV1314900,PO-31229,1,SHEA-1088,91,189.79,17270.89
INV1314900,PO-31229,2,SPRO-1027,183,77.98,14270.34
INV4727820,PO-31230,1,MOUN-1008,52,71.79,3733.08
INV4727820,PO-31230,2,SHEA-1072,11,101.96000000000001,1121.56
INV4727820,PO-31230,3,SPRO-1009,172,24.54,4220.88
INV1531737,PO-31231,1,SHEA-1038,10,295.28000000000003,2952.8
INV1531737,PO-31231,3,AC-1063,199,1677.24,333770.76
SI119762,PO-31232,1,SHEA-1025,10,153.95000000000002,1539.5
SI119762,PO-31232,2,TIMI-1000 ,84,43.53,3656.52
SI119762,PO-31232,3,SHEA-1025,500,153.95000000000002,76975.0
SI119762,PO-31232,4,TIMI-1000,84,43.53,3656.52
5328758,PO-31233,1,GAT-B62,289,12.7,3670.3
5328758,PO-31233,2,GEAR-1016,122,2265.26,276361.72
5328758,PO-31233,3,ROLL-1021,101,81.74,8255.74
5328758,PO-31233,4,SHEA-1035,10,148.52,1485.2
6328148,PO-31234,1,GEAR-1010,85,2784.15,236652.75
6328148,PO-31234,2,TIMI-1017,173,50.69,8769.37
6328148,PO-31234,3,MOUN-1029,103,86.28,8886.84
INV4744587,PO-31235,1,AC-1040,250,609.44,152360.0
INV4744587,PO-31235,2,AC-1040,171,639.91,109424.61
INV4744587,PO-31235,4,TIMI-1071,500,74.85000000000001,37425.0
INV5206160,PO-31236,1,ROLL-1079,50,103.68,5184.0
97264916,PO-31237,1,SHEA-1088,91,189.79,17270.89
97264916 ,PO-31237,2,SHEA-1037,130,99.06,12877.8
97264916,PO-31237,3,SHEA-1037 ,100,101.04,10104.0
INV8575934,PO-31239,1,SKF-6205-2RS1,100,3.55,355.0
INV8575934,PO-31239,2,TIMI-1032,500,32.99,16495.0
8513875,PO-31240,1,GEAR-1067,500,498.09000000000003,249045.0
8513875,PO-31240,2,SHEA-1019,10,94.5,945.0
92367300,PO-31241,1,SHEA-1088,91,189.79,17270.89
92367300,PO-31241,2,SPRO-1027,183,77.98,14270.34
SI4617165,PO-31242,1,TIM-LM11949-LM11910,338,7.6,2568.8
SI4617165,PO-31242,3,SKF-6308-2Z,192,10.46,2008.32
SI4617165,PO-31242,4,GEAR-1084,195,3456.0,673920.0
SI2041771,PO-31243,1,KIM-G10,25,11.4,285.0
SI2041771,PO-31243,2,3M-SF401AF,10,4.05,40.5
SI2041771,PO-31243,3,3M-SF401AF,84,4.05,340.2
93302649,PO-31244,1,SPRO-1004,177,42.84,7582.68
93302649,PO-31244,2,SPRO-1004,177,42.84,7582.68
93302649,PO-31244,3,SHEA-1068,105,180.78,18981.9
INV6862298,PO-31245,1,SPRO-1009,172,24.54,4220.88
INV4176752,PO-31246,1,SPRO-1061,100,87.28,8728.0
91364630,PO-31247,1,SPRO-1047,162,13.77,2230.74
SI6592247,PO-31248,1,SPRO-1002,132,65.84,8690.88
SI6592247 ,PO-31248,2,SIG-SF18-80,131,24.85,3255.35
SI6592247,PO-31248,3,ROLL-1053,109,86.10000000000001,9384.9
93864620,PO-31249,1,SPRO-1004,10,42.84,428.4
93864620,PO-31249,2,SHEA-1068,25,180.78,4519.5
93864620,PO-31249,3,SHEA-1049 ,250,153.4,38350.0
93864620,PO-31249,4,MOUN-1081,130,61.24,7961.2
99809757,PO-31250,1,MOUN-1008,52,71.79,3733.08
99809757,PO-31250,2,SHEA-1072,11,101.96000000000001,1121.56
INV3593183,PO-31251,1,SPRO-1050,53,12.85,681.05
INV3593183,PO-31251,2,SPRO-1050,26,12.85,334.1
INV3593183,PO-31251,3,AC-1033,142,1093.27,155244.34
3062153,PO-31252,1,ROLL-1026,250,129.92000000000002,32480.0
3062153,PO-31252,2,SHEA-1025,186,153.95000000000002,28634.7
SI2748175,PO-31253,2,SPRO-1011,74,118.48,8767.52
SI2748175,PO-31253,3,BRI-HHCS-0500-13-200-G8,79,46.54,3676.66
5740867,PO-31254,1,SPRO-1087,167,44.550000000000004,7439.85
5740867,PO-31254,2,SPRO-1087,167,44.550000000000004,7439.85
9759450,PO-31255,1,TIMI-1020,250,52.03,13007.5
9759450,PO-31255,2,SHEA-1019,52,94.5,4914.0
9759450,PO-31255,3,MOUN-1062,250,135.75,33937.5
INV5746916,PO-31256,1,AC-1040,171,609.44,104214.24
INV5746916,PO-31256,2,AC-1040,500,609.44,304720.0
9750341,PO-31257,1,AC-1074,130,1663.14,216208.2
9750341,PO-31257,2,MOUN-1031,153,38.78,5933.34
9750341,PO-31257,3,TIM-LM11949-LM11910,338,7.45,2518.1
9750341,PO-31257,4,GEAR-1084,50,3456.0,172800.0
6200379,PO-31258,1,GEAR-1016,122,2265.26,276361.72
6200379,PO-31258,2,GAT-B62,289,13.08,3780.12
95700268,PO-31259,1,GEAR-1010,85,2867.67,243751.95
95700268,PO-31259,2,ROLL-1012,250,47.52,11880.0
95700268,PO-31259,3,SHEA-1077,28,67.98,1903.44
95700268,PO-31259,4,ROLL-1044,50,140.68,7034.0
SI4561766,PO-31260,1,TIMI-1014,10,50.96,509.6
SI4561766,PO-31260,2,TIMI-1014,189,50.47,9538.83
SI4561766,PO-31260,3,TIMI-1058,166,84.45,14018.7
SI4561766,PO-31260,4,TIMI-1058,166,84.45,14018.7
96174862,PO-31261 ,1,GAT-B62,100,12.7,1270.0
SI9776651,PO-31262,1,SPRO-1015,160,74.58,11932.8
INV824052,PO-31264,2,GEAR-1010,50,2728.47,136423.5
INV824052,PO-31264,3,GEAR-1010,100,2784.15,278415.0
SI1725755,PO-31265,1,AC-1033,142,1093.27,155244.34
SI1725755,PO-31265,2,SPRO-1050,500,12.85,6425.0
SI1725755,PO-31265,3,SPRO-1050,500,12.85,6425.0
INV4351435,PO-31266,1,KIM-G10,281,11.4,3203.4
6779292,PO-31267,1,SHEA-1072,11,101.96000000000001,1121.56
6779292,PO-31267,2,MOUN-1008,52,71.79,3733.08
SI4823123,PO-31268,1,ROLL-1079,24,102.65,2463.6
93923550,PO-31269,1,ROLL-1044,136,149.12,20280.32
93923550,PO-31269,2,SHEA-1077,50,67.98,3399.0
99208006,PO-31270,2,TIMI-1017,173,50.69,8769.37
99208006,PO-31270,3,ROLL-1044,136,146.31,19898.16
99208006,PO-31270,4,MOUN-1029,100,88.01,8801.0
97519776,PO-31271,1,SPRO-1055,500,26.94,13470.0
SI3366405,PO-31272,1,SHEA-1037,130,99.06,12877.8
INV5400499,PO-31274,1,KIM-G10,100,11.4,1140.0
INV5400499,PO-31274,2,HEN-243,240,22.1,5304.0
INV8229764,PO-31275,1,TIMI-1030,137,66.14,9061.18
INV8229764,PO-31275,2,GEAR-1080,50,1484.33,74216.5
INV8229764,PO-31275,3,GEAR-1080,179,1484.33,265695.07
1501403,PO-31276,1,SPRO-1087,167,44.550000000000004,7439.85
1501403,PO-31276,2,TIMI-1000,84,43.53,3656.52
2587784,PO-31277,1,SPRO-1002,250,65.84,16460.0
2587784,PO-31277,2,ULI-S-4123,170,31.0,5270.0
2587784,PO-31277,3,SPRO-1078,50,70.64,3532.0
2587784,PO-31277,4,SIG-SF18-80,131,24.6,3222.6
93235474,PO-31278,1,AC-1033,250,1093.27,273317.5
93235474,PO-31278,2,SPRO-1050,53,12.85,681.05
93235474,PO-31278,3,AC-1033,142,1093.27,155244.34
9850487,PO-31279,1,SPRO-1050,53,12.85,681.05
9850487,PO-31279,2,AC-1033,142,1093.27,155244.34
9850487,PO-31279,3,AC-1033,500,1093.27,546635.0
9850487,PO-31279,4,SPRO-1050,53,12.85,681.05
92294328,PO-31280,1,GEAR-1016,25,2265.26,56631.5
92294328,PO-31280,2,GAT-B62,25,13.21,330.25
92294328,PO-31280,3,GAT-B62,12,12.7,152.4
92294328,PO-31280,4,SHEA-1035,250,148.52,37130.0
99035239,PO-31281,1,GEAR-1066,157,1270.02,199393.14
99035239,PO-31281,2,BRI-HHCS-0500-13-200-G8,79,44.75,3535.25
99035239,PO-31281,3,SPRO-1011 ,148,118.48,17535.04
99035239,PO-31281,4,SPRO-1011,500,118.48,59240.0
SI4235034,PO-31282,1,AC-1057,81,693.95,56209.95
SI4235034,PO-31282,2,TIMI-1056,500,17.21,8605.0
SI4235034,PO-31282,3,MOUN-1018,95,109.13,10367.35
SI4235034,PO-31282,4,AC-1057,81,687.08,55653.48
INV6742790,PO-31283,1,KIM-G10,140,11.4,1596.0
INV6742790,PO-31283 ,2,3M-SF401AF,42,4.05,170.1
5040474,PO-31284,1,AC-1040,171,609.44,104214.24
7379500,PO-31285,1,TIMI-1030,137,66.14,9061.18
7379500,PO-31285,2,GEAR-1080,179,1484.33,265695.07
7379500,PO-31285,3,TIMI-1030,137,66.14,9061.18
6183022,PO-31286,1,SPRO-1050,500,12.85,6425.0
6183022,PO-31286,2,SPRO-1050,53,12.85,681.05
6183022,PO-31286,3,AC-1033,25,1093.27,27331.75
99706485,PO-31288,1,TIMI-1014,189,49.480000000000004,9351.72
99706485,PO-31288,2,TIMI-1014,189,49.480000000000004,9351.72
99706485,PO-31288,3,TIMI-1014,189,49.480000000000004,9351.72
SI7006862,PO-31289,1,AC-1033,142,1093.27,155244.34
SI7006862,PO-31289,2,SPRO-1050,25,12.85,321.25
SI7006862,PO-31289,3,AC-1033,50,1093.27,54663.5
SI7006862,PO-31289,4,AC-1033,142,1093.27,155244.34
SI5743384,PO-31290,1,SHEA-1007,250,129.94,32485.0
7124789,PO-31291,1,AC-1057,81,687.08,55653.48
7124789,PO-31291,2,SPRO-1061,163,87.28,14226.64
97807069,PO-31292,1,HEN-243,240,22.1,5304.0
97807069,PO-31292,2,3M-SF401AF,50,4.05,202.5
INV2392659,PO-31293,1,GAT-B62,289,12.7,3670.3
INV2392659,PO-31293,2,GAT-B62,289,13.61,3933.29
368598,PO-31294,2,GEAR-1016,122,2265.26,276361.72
368598,PO-31294,3,ROLL-1021,101,84.19,8503.19
INV565538,PO-31295,1,SHEA-1088,91,189.79,17270.89
INV565538,PO-31295,2,SHEA-1088,91,189.79,17270.89
INV565538,PO-31295,3,SHEA-1088,10,189.79,1897.9
INV565538,PO-31295,4,SHEA-1088,91,189.79,17270.89
INV5451981,PO-31296,1,MOUN-1083,138,87.77,12112.26
INV5451981,PO-31296,2,TIMI-1000,84,43.53,3656.52
INV5451981,PO-31296,3,TIMI-1000,25,43.53,1088.25
INV5451981,PO-31296,4,ROLL-1026,39,135.12,5269.68
SI2389111,PO-31297,1,GEAR-1080,179,1484.33,265695.07
SI2389111,PO-31297,2,GEAR-1080,179,1499.17,268351.43
SI2389111,PO-31297,3,GEAR-1080,179,1484.33,265695.07
SI7831341,PO-31298,1,MOUN-1029,103,86.28,8886.84
93741896,PO-31299,1,SHEA-1072,11,101.96000000000001,1121.56
93741896,PO-31299,2,SHEA-1064,23,139.88,3217.24
93741896,PO-31299,3,MOUN-1008,25,70.35,1758.75
INV2470614,PO-31300,1,SHEA-1028,44,284.6,12522.4
