Receipt Id,Po Number,Supplier Id,Receipt Date,Received By,Packing Slip Number,Carrier,Condition,Inspection Required
RCV-40276,PO-31286,KBD-V004,2025-08-24,E033,PS409433,FedEx Ground,Short vs packing slip,N
RCV-40277,PO-31288,KBD-V013,2026-02-23,E033,PS532205 ,FedEx Ground,OK,N
RCV-40278,PO-31289,KBD-V004,"Jun 18, 2025",E038,PS772857,UPS Ground,OK,N
RCV-40279,PO-31290,KBD-V018,2025-11-27,E037,PS501918,LTL - Estes,Short vs packing slip,N
RCV-40280,PO-31291,KBD-V015,2025-08-13,E038,PS541651,Supplier Truck,OK,N
RCV-40281,PO-31292,KBD-V019,2025-08-20,E036,PS423118,Supplier Truck,OK,N
RCV-40282,PO-31293,KBD-V010,2025-07-18,E033,PS128431,Supplier Truck,OK,N
RCV-40283,PO-31294,KBD-V010,2025-08-14,E032,PS621510,FedEx Ground,OK,N
RCV-40284,PO-31295,KBD-V017,2025-10-25,E032,PS639079,UPS Ground,OK,N
RCV-40285 ,PO-31296,KBD-V002,2025-11-11,E034,PS154177,FedEx Ground,Damaged carton - contents OK,N
RCV-40286,PO-31297,KBD-V014,2025-06-30,E029,PS253490,Will Call,OK,N
RCV-40287,PO-31298,KBD-V009,2025-10-13,E030,PS207684,LTL - Estes,OK,N
RCV-40288,PO-31299,KBD-V011,2025-08-05,E034,PS877962,FedEx Ground,Short vs packing slip,N
RCV-40289 ,PO-31300,KBD-V012,2026-02-23,E028,PS994735,Supplier Truck,Short vs packing slip,N
