task_id,renewal_id,policy_id,task,due_date,assigned_to,status,completed_date
REN-MER-P00089-T75,REN-MER-P00089,MER-P00089,Order loss runs,2026-01-18,E021,Complete,2026-01-18
REN-MER-P00089-T60,REN-MER-P00089,MER-P00089,Prepare and send submissions,2026-02-02,E021,Complete,2026-02-07
REN-MER-P00089-T30,REN-MER-P00089,MER-P00089,Deliver renewal proposal,2026-03-04,E021,Complete,2026-03-08
REN-MER-P00089-T10,REN-MER-P00089,MER-P00089,Obtain signed bind order,2026-03-24,E021,Complete,2026-03-24
REN-MER-P00090-T120,REN-MER-P00090,MER-P00090,Send renewal questionnaire,2026-03-24,E021,Complete,2026-03-27
REN-MER-P00090-T90,REN-MER-P00090,MER-P00090,Request updated exposures / SOV,2026-04-23,E021,Open,
REN-MER-P00090-T75,REN-MER-P00090,MER-P00090,Order loss runs,2026-05-08,E021,Open,
REN-MER-P00090-T60,REN-MER-P00090,MER-P00090,Prepare and send submissions,2026-05-23,E021,Open,
REN-MER-P00090-T30,REN-MER-P00090,MER-P00090,Deliver renewal proposal,2026-06-22,E021,Open,
REN-MER-P00090-T10,REN-MER-P00090,MER-P00090,Obtain signed bind order,2026-07-12,E021,Open,
REN-MER-P00092-T120,REN-MER-P00092,MER-P00092,Send renewal questionnaire,2025-12-27,E021,Complete,2025-12-30
REN-MER-P00092-T90,REN-MER-P00092,MER-P00092,Request updated exposures / SOV,2026-01-26,E021,Complete,2026-01-26
REN-MER-P00092-T75,REN-MER-P00092,MER-P00092,Order loss runs,2026-02-10,E021,Complete,
REN-MER-P00092-T60,REN-MER-P00092,MER-P00092,Prepare and send submissions,2026-02-25,E021,Complete,2026-03-02
REN-MER-P00092-T30,REN-MER-P00092,MER-P00092,Deliver renewal proposal,2026-03-27,E021,Overdue,
REN-MER-P00092-T10,REN-MER-P00092,MER-P00092,Obtain signed bind order,2026-04-16,E021,Open,
REN-MER-P00093-T120,REN-MER-P00093,MER-P00093,Send renewal questionnaire,2026-02-05,E020,Overdue,2026-02-03
REN-MER-P00093-T90,REN-MER-P00093,MER-P00093,Request updated exposures / SOV,2026-03-07,E020,Overdue,2026-03-09
REN-MER-P00093-T75,REN-MER-P00093,MER-P00093,Order loss runs,2026-03-22,E020,Complete,2026-03-28
REN-MER-P00093-T60,REN-MER-P00093,MER-P00093,Prepare and send submissions,2026-04-06,E020,Open,
REN-MER-P00093-T30,REN-MER-P00093,MER-P00093,Deliver renewal proposal,2026-05-06,E020,Open,
REN-MER-P00093-T10,REN-MER-P00093,MER-P00093,Obtain signed bind order,2026-05-26,E020,Open,
REN-MER-P00094-T120,REN-MER-P00094,MER-P00094,Send renewal questionnaire,2026-03-12,E020,Complete,2026-03-10
REN-MER-P00094-T90,REN-MER-P00094,MER-P00094,Request updated exposures / SOV,2026-04-11,E020,Open,
REN-MER-P00094-T75,REN-MER-P00094,MER-P00094,Order loss runs,2026-04-26,E020,Open,
REN-MER-P00094-T60,REN-MER-P00094,MER-P00094,Prepare and send submissions,2026-05-11,E020,Open,
REN-MER-P00094-T30,REN-MER-P00094,MER-P00094,Deliver renewal proposal,2026-06-10,E020,Open,
REN-MER-P00094-T10,REN-MER-P00094,MER-P00094,Obtain signed bind order,2026-06-30,E020,Open,
REN-MER-P00096-T120,REN-MER-P00096,MER-P00096,Send renewal questionnaire,2026-04-10,E011,Open,
REN-MER-P00096-T90,REN-MER-P00096,MER-P00096,Request updated exposures / SOV,2026-05-10,E011,Open,
REN-MER-P00096-T75,REN-MER-P00096,MER-P00096,Order loss runs,2026-05-25,E011,Open,
REN-MER-P00096-T60,REN-MER-P00096,MER-P00096,Prepare and send submissions,2026-06-09,E011,Open,
REN-MER-P00096-T30,REN-MER-P00096,MER-P00096,Deliver renewal proposal,2026-07-09,E011,Open,
REN-MER-P00096-T10,REN-MER-P00096,MER-P00096,Obtain signed bind order,2026-07-29,E011,Open,
REN-MER-P00097-T120,REN-MER-P00097,MER-P00097,Send renewal questionnaire,2025-12-15,E011,Complete,2025-12-21
REN-MER-P00097-T90,REN-MER-P00097,MER-P00097,Request updated exposures / SOV,2026-01-14,E011,Complete,2026-01-14
REN-MER-P00097-T75,REN-MER-P00097,MER-P00097,Order loss runs,2026-01-29,E011,Overdue,2026-02-03
REN-MER-P00097-T60,REN-MER-P00097,MER-P00097,Prepare and send submissions,2026-02-13,E011,Complete,2026-02-15
REN-MER-P00097-T30,REN-MER-P00097,MER-P00097,Deliver renewal proposal,2026-03-15,E011,Complete,2026-03-19
REN-MER-P00097-T10,REN-MER-P00097,MER-P00097,Obtain signed bind order,2026-04-04,E011,Open,
REN-MER-P00098-T120,REN-MER-P00098,MER-P00098,Send renewal questionnaire,2026-01-18,E013,Complete,
REN-MER-P00098-T90,REN-MER-P00098,MER-P00098,Request updated exposures / SOV,2026-02-17,E013,Complete,2026-02-17
REN-MER-P00098-T75,REN-MER-P00098,MER-P00098,Order loss runs,2026-03-04,E013,Complete,2026-03-03
REN-MER-P00098-T60,REN-MER-P00098,MER-P00098,Prepare and send submissions,2026-03-19,E013,Complete,2026-03-23
REN-MER-P00098-T30,REN-MER-P00098,MER-P00098,Deliver renewal proposal,2026-04-18,E013,Open,
REN-MER-P00098-T10,REN-MER-P00098,MER-P00098,Obtain signed bind order,2026-05-08,E013,Open,
REN-MER-P00099-T120,REN-MER-P00099,MER-P00099,Send renewal questionnaire,2025-12-18,E013,Complete,2025-12-24
REN-MER-P00099-T90,REN-MER-P00099,MER-P00099,Request updated exposures / SOV,2026-01-17,E013,Complete,2026-01-19
REN-MER-P00099-T75,REN-MER-P00099,MER-P00099,Order loss runs,2026-02-01,E013,Overdue,2026-02-05
REN-MER-P00099-T60,REN-MER-P00099,MER-P00099,Prepare and send submissions,2026-02-16,E013,Complete,2026-02-20
REN-MER-P00099-T30,REN-MER-P00099,MER-P00099,Deliver renewal proposal,2026-03-18,E013,Complete,
REN-MER-P00099-T10,REN-MER-P00099,MER-P00099,Obtain signed bind order,2026-04-07,E013,Open,
REN-MER-P00103-T120,REN-MER-P00103,MER-P00103,Send renewal questionnaire,2026-01-14,E018,Complete,
REN-MER-P00103-T90,REN-MER-P00103,MER-P00103,Request updated exposures / SOV,2026-02-13,E018,Complete,2026-02-13
REN-MER-P00103-T75,REN-MER-P00103,MER-P00103,Order loss runs,2026-02-28,E018,Complete,2026-03-05
REN-MER-P00103-T60,REN-MER-P00103,MER-P00103,Prepare and send submissions,2026-03-15,E018,Complete,2026-03-18
REN-MER-P00103-T30,REN-MER-P00103,MER-P00103,Deliver renewal proposal,2026-04-14,E018,Open,
REN-MER-P00103-T10,REN-MER-P00103,MER-P00103,Obtain signed bind order,2026-05-04,E018,Open,
REN-MER-P00105-T120,REN-MER-P00105,MER-P00105,Send renewal questionnaire,2026-03-27,E018,Overdue,
REN-MER-P00105-T90,REN-MER-P00105,MER-P00105,Request updated exposures / SOV,2026-04-26,E018,Open,
REN-MER-P00105-T75,REN-MER-P00105,MER-P00105,Order loss runs,2026-05-11,E018,Open,
REN-MER-P00105-T60,REN-MER-P00105,MER-P00105,Prepare and send submissions,2026-05-26,E018,Open,
REN-MER-P00105-T30,REN-MER-P00105,MER-P00105,Deliver renewal proposal,2026-06-25,E018,Open,
REN-MER-P00105-T10,REN-MER-P00105,MER-P00105,Obtain signed bind order,2026-07-15,E018,Open,
REN-MER-P00109-T120,REN-MER-P00109,MER-P00109,Send renewal questionnaire,2026-04-26,E020,Open,
REN-MER-P00109-T90,REN-MER-P00109,MER-P00109,Request updated exposures / SOV,2026-05-26,E020,Open,
REN-MER-P00109-T75,REN-MER-P00109,MER-P00109,Order loss runs,2026-06-10,E020,Open,
REN-MER-P00109-T60,REN-MER-P00109,MER-P00109,Prepare and send submissions,2026-06-25,E020,Open,
REN-MER-P00109-T30,REN-MER-P00109,MER-P00109,Deliver renewal proposal,2026-07-25,E020,Open,
REN-MER-P00109-T10,REN-MER-P00109,MER-P00109,Obtain signed bind order,2026-08-14,E020,Open,
REN-MER-P00111-T120,REN-MER-P00111,MER-P00111,Send renewal questionnaire,2025-12-20,E020,Overdue,2025-12-18
REN-MER-P00111-T90,REN-MER-P00111,MER-P00111,Request updated exposures / SOV,2026-01-19,E020,Complete,2026-01-20
REN-MER-P00111-T75,REN-MER-P00111,MER-P00111,Order loss runs,2026-02-03,E020,Complete,2026-02-02
REN-MER-P00111-T60,REN-MER-P00111,MER-P00111,Prepare and send submissions,2026-02-18,E020,Complete,2026-02-24
REN-MER-P00111-T30,REN-MER-P00111,MER-P00111,Deliver renewal proposal,2026-03-20,E020,Complete,
REN-MER-P00111-T10,REN-MER-P00111,MER-P00111,Obtain signed bind order,2026-04-09,E020,Open,
REN-MER-P00112-T120,REN-MER-P00112,MER-P00112,Send renewal questionnaire,2025-12-12,E020,Complete,2025-12-15
REN-MER-P00112-T90,REN-MER-P00112,MER-P00112,Request updated exposures / SOV,2026-01-11,E020,Complete,2026-01-15
REN-MER-P00112-T75,REN-MER-P00112,MER-P00112,Order loss runs,2026-01-26,E020,Complete,2026-01-27
REN-MER-P00112-T60,REN-MER-P00112,MER-P00112,Prepare and send submissions,2026-02-10,E020,Complete,2026-02-07
REN-MER-P00112-T30,REN-MER-P00112,MER-P00112,Deliver renewal proposal,2026-03-12,E020,Complete,2026-03-09
REN-MER-P00112-T10,REN-MER-P00112,MER-P00112,Obtain signed bind order,2026-04-01,E020,Open,
REN-MER-P00114-T120,REN-MER-P00114,MER-P00114,Send renewal questionnaire,2026-01-25,E012,Complete,2026-01-26
REN-MER-P00114-T90,REN-MER-P00114,MER-P00114,Request updated exposures / SOV,2026-02-24,E012,Complete,2026-02-28
REN-MER-P00114-T75,REN-MER-P00114,MER-P00114,Order loss runs,2026-03-11,E012,Overdue,
REN-MER-P00114-T60,REN-MER-P00114,MER-P00114,Prepare and send submissions,2026-03-26,E012,Overdue,
REN-MER-P00114-T30,REN-MER-P00114,MER-P00114,Deliver renewal proposal,2026-04-25,E012,Open,
REN-MER-P00114-T10,REN-MER-P00114,MER-P00114,Obtain signed bind order,2026-05-15,E012,Open,
REN-MER-P00115-T120,REN-MER-P00115,MER-P00115,Send renewal questionnaire,2026-01-13,E012,Complete,
REN-MER-P00115-T90,REN-MER-P00115,MER-P00115,Request updated exposures / SOV,2026-02-12,E012,Overdue,2026-02-18
REN-MER-P00115-T75,REN-MER-P00115,MER-P00115,Order loss runs,2026-02-27,E012,Complete,2026-02-26
REN-MER-P00115-T60,REN-MER-P00115,MER-P00115,Prepare and send submissions,2026-03-14,E012,Complete,2026-03-17
REN-MER-P00115-T30,REN-MER-P00115,MER-P00115,Deliver renewal proposal,2026-04-13,E012,Open,
REN-MER-P00115-T10,REN-MER-P00115,MER-P00115,Obtain signed bind order,2026-05-03,E012,Open,
REN-MER-P00116-T120,REN-MER-P00116,MER-P00116,Send renewal questionnaire,2026-02-07,E012,Complete,2026-02-10
REN-MER-P00116-T90,REN-MER-P00116,MER-P00116,Request updated exposures / SOV,2026-03-09,E012,Complete,2026-03-08
REN-MER-P00116-T75,REN-MER-P00116,MER-P00116,Order loss runs,2026-03-24,E012,Complete,2026-03-24
REN-MER-P00116-T60,REN-MER-P00116,MER-P00116,Prepare and send submissions,2026-04-08,E012,Open,
REN-MER-P00116-T30,REN-MER-P00116,MER-P00116,Deliver renewal proposal,2026-05-08,E012,Open,
REN-MER-P00116-T10,REN-MER-P00116,MER-P00116,Obtain signed bind order,2026-05-28,E012,Open,
REN-MER-P00117-T120,REN-MER-P00117,MER-P00117,Send renewal questionnaire,2025-12-18,E012,Overdue,
REN-MER-P00117-T90,REN-MER-P00117,MER-P00117,Request updated exposures / SOV,2026-01-17,E012,Complete,2026-01-16
REN-MER-P00117-T75,REN-MER-P00117,MER-P00117,Order loss runs,2026-02-01,E012,Complete,2026-02-05
REN-MER-P00117-T60,REN-MER-P00117,MER-P00117,Prepare and send submissions,2026-02-16,E012,Complete,2026-02-15
REN-MER-P00117-T30,REN-MER-P00117,MER-P00117,Deliver renewal proposal,2026-03-18,E012,Complete,2026-03-24
REN-MER-P00117-T10,REN-MER-P00117,MER-P00117,Obtain signed bind order,2026-04-07,E012,Open,
REN-MER-P00119-T120,REN-MER-P00119,MER-P00119,Send renewal questionnaire,2026-02-14,E010,Overdue,2026-02-13
REN-MER-P00119-T90,REN-MER-P00119,MER-P00119,Request updated exposures / SOV,2026-03-16,E010,Complete,2026-03-17
REN-MER-P00119-T75,REN-MER-P00119,MER-P00119,Order loss runs,2026-03-31,E010,Open,
REN-MER-P00119-T60,REN-MER-P00119,MER-P00119,Prepare and send submissions,2026-04-15,E010,Open,
REN-MER-P00119-T30,REN-MER-P00119,MER-P00119,Deliver renewal proposal,2026-05-15,E010,Open,
REN-MER-P00119-T10,REN-MER-P00119,MER-P00119,Obtain signed bind order,2026-06-04,E010,Open,
REN-MER-P00122-T120,REN-MER-P00122,MER-P00122,Send renewal questionnaire,2026-04-06,E014,Open,
REN-MER-P00122-T90,REN-MER-P00122,MER-P00122,Request updated exposures / SOV,2026-05-06,E014,Open,
REN-MER-P00122-T75,REN-MER-P00122,MER-P00122,Order loss runs,2026-05-21,E014,Open,
REN-MER-P00122-T60,REN-MER-P00122,MER-P00122,Prepare and send submissions,2026-06-05,E014,Open,
REN-MER-P00122-T30,REN-MER-P00122,MER-P00122,Deliver renewal proposal,2026-07-05,E014,Open,
REN-MER-P00122-T10,REN-MER-P00122,MER-P00122,Obtain signed bind order,2026-07-25,E014,Open,
