supplier_invoice_number,supplier_id,supplier_name,po_number,invoice_date,received_date,due_date,merchandise_total,freight,sales_tax,invoice_total,gl_account,status,match_status,entered_by
INV3323362,NIC-V007,Fastenal,PO-31182,2026-04-04,2026-04-08,2026-05-04,42.1,0.0,0.0,42.1,2000,Approved,Matched,E002
INV183023,NIC-V008,Garlock Sealing Technologies,PO-31183,2025-06-03,2025-06-05,2025-07-03,8877.0,0.0,0.0,8877.0,2000,Paid,Matched,E002
INV2937891,NIC-V016,Sandvik Coromant,PO-31184,2026-01-28,2026-01-29,2026-02-27,25.08,0.0,0.0,25.08,2000,Paid,Matched,E002
SI1904120,NIC-V018,"W.W. Grainger, Inc.",PO-31185,2025-10-21,2025-10-26,2025-11-20,11942.0,0.0,0.0,11942.0,2000,Paid,Matched,E002
INV4647621,NIC-V003,Applied Industrial Technologies,PO-31186,2025-06-20,2025-06-25,2025-07-20,32704.56,170.86,0.0,32875.42,2000,Paid,Matched,E002
7110649,NIC-V006,Cintas Corporation,PO-31187,2025-10-29,2025-11-03,2025-11-28,3375.2,28.51,0.0,3403.71,2000,Paid,Matched,E002
97725486,NIC-V001,Alro Steel,PO-31188,2026-03-13,2026-03-17,2026-04-12,436.24,0.0,0.0,436.24,2000,Approved,Matched,E002
99669115,NIC-V006,Cintas Corporation,PO-31189,2026-01-24,2026-01-26,2026-02-23,3309.6,0.0,0.0,3309.6,2000,Paid,Matched,E002
SI4268072,NIC-V006,Cintas Corporation,PO-31190,2026-03-09,2026-03-13,2026-04-08,519.75,0.0,0.0,519.75,2000,Approved,Matched,E002
131082,NIC-V014,Regal Rexnord,PO-31191,2026-01-06,2026-01-11,2026-02-20,1275.0,77.04,0.0,1352.04,2000,Paid,Matched,E002
INV8024555,NIC-V012,Motion Industries,PO-31192,2025-11-18,2025-11-19,2025-12-18,320611.02,0.0,0.0,320611.02,2000,Paid,Matched,E002
INV1425654,NIC-V004,Baldor-Reliance (ABB),PO-31193,2025-08-28,2025-08-29,2025-10-12,1141.45,176.96,0.0,1318.41,2000,Paid,Matched,E002
2572925,NIC-V002,Apex Fastener Corp,PO-31194,2025-07-07,2025-07-12,2025-08-06,4989.35,29.2,0.0,5018.55,2000,Paid,Matched,E002
93058235,NIC-V015,Ryerson,PO-31195,2026-03-16,2026-03-17,2026-04-30,299.52,0.0,0.0,299.52,2000,On Hold,Price variance,E002
4617623,NIC-V013,Parker Hannifin,PO-31196,2025-10-28,2025-11-02,2025-12-12,8992.68,0.0,0.0,8992.68,2000,Paid,Matched,E002
SI8745663,NIC-V015,Ryerson,PO-31198,2025-06-14,2025-06-14,2025-07-29,270.32,0.0,0.0,270.32,2000,Paid,Matched,E002
SI8342819,NIC-V004,Baldor-Reliance (ABB),PO-31199,2026-02-12,2026-02-17,2026-03-29,2010.28,6.16,0.0,2016.44,2000,Paid,Matched,E002
98845131,NIC-V008,Garlock Sealing Technologies,PO-31200,2025-10-09,2025-10-14,2025-11-08,4018.77,0.0,0.0,4018.77,2000,Paid,Matched,E002
8260079,NIC-V014,Regal Rexnord,PO-31201,2025-09-21,2025-09-25,2025-11-05,575.0,0.0,0.0,575.0,2000,Paid,Matched,E002
SI9885817,NIC-V009,Haas Automation,PO-31202,2026-02-23,2026-02-26,2026-03-25,8552.95,0.0,0.0,8552.95,2000,Approved,Matched,E002
SI3569738,NIC-V006,Cintas Corporation,PO-31203,2025-12-05,2025-12-10,2026-01-04,2561.0,0.0,0.0,2561.0,2000,Paid,Matched,E002
8107540,NIC-V010,MSC Industrial Supply,PO-31204,2025-11-11,2025-11-16,2025-12-11,2052.5,83.37,0.0,2135.87,2000,Paid,Matched,E002
8799739,NIC-V011,McMaster-Carr,PO-31205,2025-05-10,2025-05-13,2025-06-09,5014.9,0.0,0.0,5014.9,2000,Paid,Matched,E002
92967701,NIC-V012,Motion Industries,PO-31206,2025-08-24,2025-08-27,2025-09-23,894411.72,0.0,0.0,894411.72,2000,Paid,Matched,E002
92095316,NIC-V013,Parker Hannifin,PO-31207,2026-03-25,2026-03-30,2026-05-09,497.2,0.0,0.0,497.2,2000,Approved,Matched,E002
INV4712284,NIC-V001,Alro Steel,PO-31208,2025-09-18,2025-09-23,2025-10-18,666.02,0.0,0.0,666.02,2000,Paid,Matched,E002
INV636475,NIC-V017,Uline,PO-31209,2025-06-13,2025-06-17,2025-07-13,8929.8,0.0,0.0,8929.8,2000,Paid,Matched,E002
SI629919,NIC-V002,Apex Fastener Corp,PO-31210,2026-02-14,2026-02-15,2026-03-16,27401.96,0.0,0.0,27401.96,2000,Approved,Matched,E002
SI5797069,NIC-V007,Fastenal,PO-31211,2026-03-06,2026-03-08,2026-04-05,2333.31,0.0,0.0,2333.31,2000,Approved,Matched,E002
98738245,NIC-V005,Brighton-Best International,PO-31212,2026-01-05,2026-01-06,2026-02-04,12248.5,0.0,0.0,12248.5,2000,Paid,Matched,E002
INV4203567,NIC-V012,Motion Industries,PO-31213,2026-03-18,2026-03-19,2026-04-17,760.0,0.0,0.0,760.0,2000,Approved,Matched,E002
SI1016405,NIC-V014,Regal Rexnord,PO-31214,2025-05-24,2025-05-28,2025-07-08,3125.0,29.43,0.0,3154.43,2000,Paid,Matched,E002
5015556,NIC-V016,Sandvik Coromant,PO-31215,2026-01-16,2026-01-21,2026-02-15,7573.31,0.0,0.0,7573.31,2000,Paid,Matched,E002
INV8045928,NIC-V012,Motion Industries,PO-31216,2025-12-18,2025-12-21,2026-01-17,6899.65,0.0,0.0,6899.65,2000,Paid,Price variance,E002
INV4728054,NIC-V002,Apex Fastener Corp,PO-31217,2025-10-03,2025-10-03,2025-11-02,3109.58,0.0,0.0,3109.58,2000,Paid,Matched,E002
INV5616204,NIC-V016,Sandvik Coromant,PO-31218,2025-06-05,2025-06-08,2025-07-05,64.28,32.7,0.0,96.98,2000,Paid,Matched,E002
93331535,NIC-V004,Baldor-Reliance (ABB),PO-31219,2026-01-06,2026-01-10,2026-02-20,3263.0,0.0,0.0,3263.0,2000,Paid,Matched,E002
INV1365800,NIC-V010,MSC Industrial Supply,PO-31220,2025-11-22,2025-11-24,2025-12-22,1193.48,0.0,0.0,1193.48,2000,Paid,Matched,E002
SI2169966,NIC-V014,Regal Rexnord,PO-31221,2025-07-01,2025-07-04,2025-08-15,2400.0,0.0,0.0,2400.0,2000,Paid,Matched,E002
SI1258872,NIC-V013,Parker Hannifin,PO-31222,2025-06-17,2025-06-21,2025-08-01,3210.0,0.0,0.0,3210.0,2000,Paid,Matched,E002
SI225226,NIC-V017,Uline,PO-31224,2025-12-26,2025-12-29,2026-01-25,7945.25,0.0,0.0,7945.25,2000,Paid,Matched,E002
INV2607240,NIC-V008,Garlock Sealing Technologies,PO-31225,2026-03-31,2026-04-02,2026-04-30,4161.08,0.0,0.0,4161.08,2000,Approved,Matched,E002
92893976,NIC-V002,Apex Fastener Corp,PO-31226,2025-09-14,2025-09-16,2025-10-14,602.0,0.0,0.0,602.0,2000,Paid,Matched,E002
5366927,NIC-V009,Haas Automation,PO-31227,2026-02-01,2026-02-06,2026-03-03,19981.1,179.89,0.0,20160.99,2000,Paid,Matched,E002
3657413,NIC-V008,Garlock Sealing Technologies,PO-31229,2026-01-02,2026-01-06,2026-02-01,34274.1,21.91,0.0,34296.01,2000,Paid,Matched,E002
7169175,NIC-V014,Regal Rexnord,PO-31230,2025-05-26,2025-05-28,2025-07-10,887.5,0.0,0.0,887.5,2000,Paid,Matched,E002
8268442,NIC-V003,Applied Industrial Technologies,PO-31231,2025-11-04,2025-11-08,2025-12-04,4686.5,0.0,0.0,4686.5,2000,Paid,Matched,E002
SI4785499,NIC-V005,Brighton-Best International,PO-31232,2026-01-17,2026-01-18,2026-02-16,2994.46,0.0,0.0,2994.46,2000,Paid,Matched,E002
SI5597422,NIC-V008,Garlock Sealing Technologies,PO-31233,2026-04-04,2026-04-05,2026-05-04,4529.86,0.0,0.0,4529.86,2000,Approved,Matched,E002
99145401,NIC-V017,Uline,PO-31234,2025-12-23,2025-12-28,2026-01-22,39.14,0.0,0.0,39.14,2000,Paid,Matched,E002
SI1008898,NIC-V007,Fastenal,PO-31235,2026-03-25,2026-03-28,2026-04-24,7672.82,0.0,0.0,7672.82,2000,Approved,Matched,E002
INV1216867,NIC-V017,Uline,PO-31236,2025-07-15,2025-07-15,2025-08-14,246.0,0.0,0.0,246.0,2000,Paid,Matched,E002
SI8806529,NIC-V017,Uline,PO-31237,2025-12-27,2025-12-30,2026-01-26,207.13,0.0,0.0,207.13,2000,Paid,Matched,E002
SI468828,NIC-V006,Cintas Corporation,PO-31238,2026-02-10,2026-02-10,2026-03-12,519.75,0.0,0.0,519.75,2000,Paid,Matched,E002
INV6930678,NIC-V011,McMaster-Carr,PO-31239,2025-07-17,2025-07-20,2025-08-16,21738.12,0.0,0.0,21738.12,2000,Paid,Matched,E002
5982708,NIC-V009,Haas Automation,PO-31240,2025-05-25,2025-05-30,2025-06-24,10910.35,0.0,0.0,10910.35,2000,Paid,Matched,E002
INV5367363,NIC-V015,Ryerson,PO-31241,2026-01-31,2026-02-01,2026-03-17,362.0,0.0,0.0,362.0,2000,Paid,Matched,E002
SI4293488,NIC-V003,Applied Industrial Technologies,PO-31242,2025-09-05,2025-09-09,2025-10-05,2669.4,0.0,0.0,2669.4,2000,Paid,Matched,E002
SI8668631,NIC-V015,Ryerson,PO-31243,2025-10-17,2025-10-21,2025-12-01,351.88,0.0,0.0,351.88,2000,Paid,Matched,E002
8644998,NIC-V005,Brighton-Best International,PO-31245,2025-05-21,2025-05-26,2025-06-20,8428.0,0.0,0.0,8428.0,2000,Paid,Matched,E002
SI8967692,NIC-V016,Sandvik Coromant,PO-31246,2026-03-27,2026-04-01,2026-04-26,33.17,64.47,0.0,97.64,2000,Approved,Matched,E002
9618166,NIC-V012,Motion Industries,PO-31247,2025-09-21,2025-09-22,2025-10-21,6698.0,6.98,0.0,6704.98,2000,Paid,Matched,E002
9567718,NIC-V016,Sandvik Coromant,PO-31248,2025-08-12,2025-08-14,2025-09-11,64.28,0.0,0.0,64.28,2000,Paid,Matched,E002
SI2597314,NIC-V008,Garlock Sealing Technologies,PO-31249,2025-04-22,2025-04-24,2025-05-22,18215.82,141.3,0.0,18357.12,2000,Paid,Matched,E002
9039846,NIC-V007,Fastenal,PO-31250,2026-01-08,2026-01-12,2026-02-07,667.95,138.27,0.0,806.22,2000,Paid,Matched,E002
SI5332460,NIC-V018,"W.W. Grainger, Inc.",PO-31251,2026-02-03,2026-02-04,2026-03-05,18777.51,0.0,0.0,18777.51,2000,Paid,Price variance,E002
97467262,NIC-V004,Baldor-Reliance (ABB),PO-31252,2025-09-06,2025-09-10,2025-10-21,8952.2,0.0,0.0,8952.2,2000,Paid,Matched,E002
INV8674354,NIC-V002,Apex Fastener Corp,PO-31253,2025-05-06,2025-05-10,2025-06-05,2989.11,0.0,0.0,2989.11,2000,Paid,Price variance,E002
270330,NIC-V007,Fastenal,PO-31254,2025-12-09,2025-12-09,2026-01-08,116.46,0.0,0.0,116.46,2000,Paid,Matched,E002
3598568,NIC-V005,Brighton-Best International,PO-31255,2026-02-28,2026-03-05,2026-03-30,4211.24,0.0,0.0,4211.24,2000,Approved,Matched,E002
SI6063283,NIC-V012,Motion Industries,PO-31256,2026-02-20,2026-02-20,2026-03-22,261930.9,159.88,0.0,262090.78,2000,Approved,Matched,E002
99280050,NIC-V008,Garlock Sealing Technologies,PO-31257,2026-01-05,2026-01-09,2026-02-04,7080.37,0.0,0.0,7080.37,2000,Paid,Matched,E002
INV6286207,NIC-V014,Regal Rexnord,PO-31258,2025-10-16,2025-10-17,2025-11-30,4325.0,0.0,0.0,4325.0,2000,Paid,Matched,E002
SI6646953,NIC-V003,Applied Industrial Technologies,PO-31259,2026-04-01,2026-04-04,2026-05-01,5666.9,0.0,0.0,5666.9,2000,Approved,Matched,E002
SI644656,NIC-V007,Fastenal,PO-31260,2025-09-07,2025-09-07,2025-10-07,44.16,0.0,0.0,44.16,2000,Paid,Matched,E002
