supplier_invoice_number,po_number,po_line,item_id,invoiced_qty,unit_price,extended
INV4728054,PO-31217,2,P-20012,57,29.94,1706.58
INV5616204,PO-31218,1,P-20056,112,0.35000000000000003,39.2
INV5616204,PO-31218,2,P-20079,66,0.38,25.08
93331535,PO-31219,2,P-20106,50,65.26,3263.0
INV1365800,PO-31220,1,P-20035,79,12.200000000000001,963.8
INV1365800,PO-31220,2,P-20085,198,1.16,229.68
SI2169966,PO-31221,1,P-20088,46,12.5,575.0
SI2169966,PO-31221,2,P-20088,46,12.5,575.0
SI2169966,PO-31221,4,P-20088,100,12.5,1250.0
SI1258872,PO-31222,1,P-20050,250,12.84,3210.0
SI225226,PO-31224,1,P-10063,243,31.0,7533.0
SI225226,PO-31224,2,P-20029,25,0.71,17.75
SI225226,PO-31224,3,P-20099,500,0.77,385.0
SI225226,PO-31224,4,P-20024,25,0.38,9.5
INV2607240,PO-31225,1,P-20096,125,14.700000000000001,1837.5
INV2607240,PO-31225,2,P-20111,98,23.71,2323.58
92893976,PO-31226,1,P-20049,100,6.0200000000000005,602.0
5366927,PO-31227,1,P-20108,25,68.82000000000001,1720.5
5366927,PO-31227,2,P-20108,250,68.82000000000001,17205.0
5366927,PO-31227,3,P-20014,52,20.3,1055.6
3657413,PO-31229,1,P-20032,500,48.19,24095.0
3657413,PO-31229,2,P-20018,25,25.87,646.75
3657413,PO-31229,3,P-20018,27,25.87,698.49
3657413,PO-31229,4,P-20032,189,46.74,8833.86
7169175,PO-31230,1,P-20088,25,12.5,312.5
7169175,PO-31230,3,P-20088,46,12.5,575.0
8268442,PO-31231,1,P-20052,50,10.49,524.5
8268442,PO-31231,3,P-20048,25,55.620000000000005,1390.5
8268442,PO-31231,4,P-20000,50,55.43,2771.5
SI4785499,PO-31232,2,P-20067,146,20.51,2994.46
SI5597422,PO-31233,1,P-20032,94,48.19,4529.86
99145401,PO-31234,1,P-20024,103,0.38,39.14
SI1008898,PO-31235,1,P-20037,250,12.19,3047.5
SI1008898,PO-31235,2,P-20037,189,12.19,2303.91
SI1008898,PO-31235,3,P-20037,189,12.19,2303.91
SI1008898,PO-31235,4,P-20064,25,0.7000000000000001,17.5
INV1216867,PO-31236,1,P-10056,10,24.6,246.0
SI8806529,PO-31237,1,P-20099,250,0.77,192.5
SI8806529,PO-31237,2,P-20099,19,0.77,14.63
SI468828,PO-31238,1,P-10070,165,3.15,519.75
INV6930678,PO-31239,2,P-20113,500,35.81,17905.0
INV6930678,PO-31239,3,P-20109,10,9.8,98.0
INV6930678,PO-31239,4,P-20062,197,18.96,3735.12
5982708,PO-31240,1,P-20108,74,69.51,5143.74
5982708,PO-31240,2,P-20100,157,36.730000000000004,5766.61
INV5367363,PO-31241,1,P-10098,500,0.69,345.0
INV5367363,PO-31241,2,P-10098,25,0.68,17.0
SI4293488,PO-31242,1,P-20080,20,11.25,225.0
SI4293488,PO-31242,2,P-20000,42,58.2,2444.4
SI8668631,PO-31243,2,P-10105,80,0.94,75.2
SI8668631,PO-31243,3,P-10098,292,0.69,201.48
SI8668631,PO-31243,4,P-10105,80,0.94,75.2
8644998,PO-31245,1,P-20017,100,84.28,8428.0
SI8967692,PO-31246,2,P-20079,66,0.37,24.42
SI8967692,PO-31246,3,P-20056,25,0.35000000000000003,8.75
9618166,PO-31247,1,P-10014,216,9.13,1972.08
9618166,PO-31247,2,P-20011,128,5.14,657.92
9618166,PO-31247,3,P-20074,10,19.76,197.6
9618166,PO-31247,4,P-10007,328,11.8,3870.4
9567718,PO-31248,1,P-20079,66,0.38,25.08
9567718,PO-31248,2,P-20056,112,0.35000000000000003,39.2
SI2597314,PO-31249,1,P-20032,189,48.19,9107.91
SI2597314,PO-31249,2,P-20032,189,48.19,9107.91
9039846,PO-31250,2,P-20037,5,12.19,60.95
9039846,PO-31250,3,P-20095,25,24.28,607.0
SI5332460,PO-31251,1,P-10035,100,21.4,2140.0
SI5332460,PO-31251,2,P-10077,281,27.8,7811.8
SI5332460,PO-31251,3,P-10077,25,28.08,702.0
SI5332460,PO-31251,4,P-10077,281,28.91,8123.71
97467262,PO-31252,1,P-20015,10,5.42,54.2
97467262,PO-31252,2,P-20089,500,14.33,7165.0
97467262,PO-31252,3,P-20103,100,17.330000000000002,1733.0
INV8674354,PO-31253,1,P-20059,197,9.84,1938.48
INV8674354,PO-31253,2,P-10091,50,19.2,960.0
INV8674354,PO-31253,3,P-20008,28,1.71,47.88
INV8674354,PO-31253,4,P-20008,25,1.71,42.75
270330,PO-31254,1,P-20064,10,0.74,7.4
270330,PO-31254,2,P-20045,82,0.18,14.76
270330,PO-31254,3,P-20005,10,9.43,94.3
3598568,PO-31255,1,P-20119,13,8.19,106.47
3598568,PO-31255,2,P-20119,500,8.11,4055.0
3598568,PO-31255,3,P-20026,79,0.63,49.77
SI6063283,PO-31256,1,P-10028,203,1290.3,261930.9
99280050,PO-31257,1,P-20111,197,23.71,4670.87
99280050,PO-31257,2,P-20032,50,48.19,2409.5
INV6286207,PO-31258,1,P-20088,250,12.5,3125.0
INV6286207,PO-31258,2,P-20088,46,12.5,575.0
INV6286207,PO-31258,3,P-20088,50,12.5,625.0
SI6646953,PO-31259,2,P-20048,100,55.620000000000005,5562.0
SI6646953,PO-31259,3,P-20052,10,10.49,104.9
SI644656,PO-31260,1,P-20045,82,0.18,14.76
SI644656,PO-31260,2,P-20064,42,0.7000000000000001,29.4
