so_number,line,item_id,description,ordered_qty,uom,unit_price,extended_price,unit_cost_at_order,price_source,requested_date,promised_date,shipped_qty,line_status,ship_to_id
SO-26052,2,A-20072,Machined Housing 1.250,2,EA,442.24,884.48,402.48,Price List D,2025-05-12,2025-05-12,2,Shipped,NIC-CUST0019-S1
SO-26052,3,A-20114,Shaft Coupling 3/8-16,2,EA,363.17,726.34,244.69,Price List D,2025-04-28,2025-04-28,2,Shipped,NIC-CUST0019-S1
SO-26052,4,A-20022,Machined Housing 1.500,2,EA,184.78,369.56,155.41,Price List D,2025-04-28,2025-04-28,2,Shipped,NIC-CUST0019-S1
SO-26053,1,A-20034,Shaft Coupling M10,1,EA,121.57,121.57,111.33,NIC-CPA004,2026-03-10,2026-03-10,0,Open,NIC-CUST0004-S1
SO-26053,2,A-20114,Shaft Coupling 3/8-16,3,EA,354.75,1064.25,244.69,Manual override,2026-03-06,2026-03-06,3,Shipped,NIC-CUST0004-S1
SO-26054,1,A-20090,Machined Housing 1.250,1,EA,1177.21,1177.21,821.3000000000001,Manual override,2026-01-08,2026-01-08,1,Shipped,NIC-CUST0010-S1
SO-26054,2,A-20061,Shaft Coupling 2.000,1,EA,251.79,251.79,175.52,Price List B,2026-01-08,2026-01-11,1,Shipped,NIC-CUST0010-S1
SO-26054,3,A-20093,Gearbox Sub-Assembly M12,3,EA,3372.79,10118.37,2017.22,Price List B,2026-01-04,2026-01-04,0,Open,NIC-CUST0010-S1
SO-26055,1,A-20065,Machined Housing M6,1,EA,1019.84,1019.84,798.0,Price List C,2026-03-08,2026-03-15,1,Shipped,NIC-CUST0007-S1
SO-26055,2,A-20090,Machined Housing 1.250,2,EA,1212.24,2424.48,821.3000000000001,Price List C,2026-03-16,2026-03-17,2,Shipped,NIC-CUST0007-S1
SO-26055,3,A-20101,Gearbox Sub-Assembly 5/8-11,2,EA,2881.54,5763.08,2382.4,Manual override,2026-03-13,2026-03-13,2,Shipped,NIC-CUST0007-S1
SO-26056,1,A-20003,Gearbox Sub-Assembly 2.000,5,EA,3189.53,15947.65,2450.66,Price List B,2025-12-01,2025-12-04,5,Shipped,NIC-CUST0035-S1
SO-26056,2,A-20078,Machined Housing 3/8-16,1,EA,1102.76,1102.76,704.75,Manual override,2025-12-07,2025-12-07,0,Open,NIC-CUST0035-S1
SO-26056,3,A-20020,Shaft Coupling 5/8-11,5,EA,559.46,2797.3,316.62,Price List B,2025-12-10,2025-12-17,5,Shipped,NIC-CUST0035-S1
SO-26057,1,A-20061,Shaft Coupling 2.000,1,EA,238.54,238.54,175.52,Price List C,2025-04-30,2025-04-30,0,Backordered,NIC-CUST0004-S1
SO-26057,2,A-20097,Machined Housing #80,3,EA,375.4,1126.2,246.81,Price List C,2025-04-26,2025-05-03,3,Shipped,NIC-CUST0004-S1
SO-26057,3,A-20053,Machined Housing #50,1,EA,838.95,838.95,695.65,Price List C,2025-05-03,2025-05-10,0,Open,NIC-CUST0004-S1
SO-26058,1,A-20033,Shaft Coupling 2.000,1,EA,482.08,482.08,328.62,Price List C,2025-09-15,2025-09-15,1,Shipped,NIC-CUST0030-S1
SO-26058,2,A-20093,Gearbox Sub-Assembly M12,5,EA,3195.28,15976.4,2017.22,Price List C,2025-09-30,2025-09-30,5,Shipped,NIC-CUST0030-S1
SO-26059,1,A-20092,Gearbox Sub-Assembly 2.000,1,EA,2456.99,2456.99,1915.78,Price List B,2025-07-25,2025-07-25,1,Shipped,NIC-CUST0026-S1
SO-26059,2,A-20043,Gearbox Sub-Assembly 1.000,2,EA,2197.16,4394.32,1336.88,Price List B,2025-07-08,2025-07-09,2,Shipped,NIC-CUST0026-S1
SO-26059,3,A-20058,Shaft Coupling size 6,1,EA,409.0,409.0,254.75,Price List B,2025-07-12,2025-07-12,1,Shipped,NIC-CUST0026-S1
SO-26059,4,A-20034,Shaft Coupling M10,5,EA,148.07,740.35,111.33,Price List B,2025-07-09,2025-07-16,5,Shipped,NIC-CUST0026-S1
SO-26060,1,A-20063,Gearbox Sub-Assembly 5/8-11,2,EA,1632.39,3264.78,1372.91,Price List D,2025-12-07,2025-12-08,2,Shipped,NIC-CUST0011-S1
SO-26060,2,A-20033,Shaft Coupling 2.000,2,EA,439.23,878.46,328.62,Price List D,2025-11-28,2025-11-28,2,Shipped,NIC-CUST0011-S1
SO-26061,1,A-20077,Machined Housing 1.250,5,EA,1062.94,5314.7,869.98,Price List D,2026-02-01,2026-02-01,5,Shipped,NIC-CUST0014-S1
SO-26061,2,A-20092,Gearbox Sub-Assembly 2.000,2,EA,2120.77,4241.54,1915.78,Price List D,2026-01-26,2026-01-26,2,Shipped,NIC-CUST0014-S1
SO-26061,3,A-20020,Shaft Coupling 5/8-11,1,EA,482.91,482.91,316.62,Price List D,2026-01-30,2026-02-02,1,Shipped,NIC-CUST0014-S1
SO-26061,4,A-20036,Gearbox Sub-Assembly M10,1,EA,3381.61,3381.61,2945.65,Price List D,2026-02-11,2026-02-11,1,Shipped,NIC-CUST0014-S1
SO-26061,5,A-20020,Shaft Coupling 5/8-11,3,EA,482.91,1448.73,316.62,Price List D,2026-02-02,2026-02-09,3,Shipped,NIC-CUST0014-S1
SO-26062,1,A-20002,Gearbox Sub-Assembly 3/8-16,1,EA,2440.01,2440.01,1931.15,Price List B,2025-04-21,2025-04-28,1,Shipped,NIC-CUST0026-S1
SO-26062,2,A-20053,Machined Housing #50,3,EA,885.56,2656.68,695.65,Price List B,2025-04-09,2025-04-09,3,Shipped,NIC-CUST0026-S1
SO-26062,3,A-20063,Gearbox Sub-Assembly 5/8-11,2,EA,1891.18,3782.36,1372.91,Price List B,2025-04-25,2025-04-25,2,Shipped,NIC-CUST0026-S1
SO-26062,4,A-20072,Machined Housing 1.250,5,EA,512.35,2561.75,402.48,Price List B,2025-04-21,2025-04-28,5,Shipped,NIC-CUST0026-S1
SO-26062,5,A-20107,Gearbox Sub-Assembly M12,3,EA,3525.5,10576.5,2631.9500000000003,Price List B,2025-04-26,2025-04-26,3,Shipped,NIC-CUST0026-S1
SO-26063,1,A-20082,Machined Housing #60,2,EA,1325.27,2650.54,841.44,Price List C,2026-03-19,2026-03-19,2,Shipped,NIC-CUST0004-S1
SO-26063,2,A-20092,Gearbox Sub-Assembly 2.000,1,EA,2327.67,2327.67,1915.78,Price List C,2026-03-10,2026-03-13,1,Shipped,NIC-CUST0004-S1
SO-26063,3,A-20030,Shaft Coupling M8,1,EA,245.3,245.3,176.98,Price List C,2026-03-25,2026-03-25,1,Shipped,NIC-CUST0004-S1
SO-26063,4,A-20065,Machined Housing M6,1,EA,1019.84,1019.84,798.0,Price List C,2026-03-20,2026-03-20,1,Shipped,NIC-CUST0004-S1
SO-26064,1,A-20092,Gearbox Sub-Assembly 2.000,1,EA,2456.99,2456.99,1915.78,Price List B,2026-03-31,2026-04-07,0,Open,NIC-CUST0035-S1
SO-26064,2,A-20038,Gearbox Sub-Assembly #80,2,EA,2979.97,5959.94,1997.97,Price List B,2026-03-19,2026-03-20,2,Shipped,NIC-CUST0035-S1
SO-26064,3,A-20073,Machined Housing 1.500,1,EA,754.96,754.96,496.53000000000003,Manual override,2026-03-30,2026-04-02,0,Open,NIC-CUST0035-S1
SO-26065,1,A-20078,Machined Housing 3/8-16,2,EA,1275.6,2551.2,704.75,Price List A,2025-07-21,2025-07-28,2,Shipped,NIC-CUST0022-S1
SO-26066,1,A-20053,Machined Housing #50,1,EA,764.38,764.38,695.65,Price List D,2025-07-22,2025-07-22,1,Shipped,NIC-CUST0011-S1
SO-26066,2,A-20020,Shaft Coupling 5/8-11,3,EA,482.91,1448.73,316.62,Price List D,2025-07-18,2025-07-18,3,Shipped,NIC-CUST0011-S1
SO-26066,3,A-20082,Machined Housing #60,3,EA,1207.47,3622.41,841.44,Price List D,2025-07-27,2025-07-30,3,Shipped,NIC-CUST0011-S1
SO-26066,4,A-20076,Gearbox Sub-Assembly 1.375,3,EA,1094.03,3282.09,721.1800000000001,Price List D,2025-07-14,2025-07-21,3,Shipped,NIC-CUST0011-S1
SO-26066,5,A-20076,Gearbox Sub-Assembly 1.375,1,EA,1094.03,1094.03,721.1800000000001,Price List D,2025-07-30,2025-08-02,1,Shipped,NIC-CUST0011-S1
SO-26067,1,A-20076,Gearbox Sub-Assembly 1.375,1,EA,1200.76,1200.76,721.1800000000001,Price List C,2025-09-20,2025-09-21,1,Shipped,NIC-CUST0002-S1
SO-26067,2,A-20036,Gearbox Sub-Assembly M10,1,EA,3711.52,3711.52,2945.65,Price List C,2025-09-22,2025-09-23,1,Shipped,NIC-CUST0002-S1
SO-26067,3,A-20101,Gearbox Sub-Assembly 5/8-11,1,EA,3237.68,3237.68,2382.4,Price List C,2025-09-24,2025-10-01,1,Shipped,NIC-CUST0002-S1
SO-26067,4,A-20063,Gearbox Sub-Assembly 5/8-11,1,EA,1791.65,1791.65,1372.91,Price List C,2025-09-16,2025-09-16,1,Shipped,NIC-CUST0002-S1
SO-26068,1,A-20013,Shaft Coupling 5/8-11,3,EA,218.8,656.4,162.20000000000002,Price List B,2026-01-03,2026-01-03,3,Shipped,NIC-CUST0005-S1
SO-26068,2,A-20107,Gearbox Sub-Assembly M12,1,EA,3525.5,3525.5,2631.9500000000003,Price List B,2026-01-09,2026-01-09,1,Shipped,NIC-CUST0005-S1
SO-26068,3,A-20003,Gearbox Sub-Assembly 2.000,1,EA,2806.79,2806.79,2450.66,Manual override,2026-01-28,2026-01-28,1,Shipped,NIC-CUST0005-S1
SO-26068,4,A-20087,Machined Housing M12,3,EA,588.52,1765.56,333.06,Price List B,2026-01-26,2026-01-29,3,Shipped,NIC-CUST0005-S1
SO-26069,1,A-20022,Machined Housing 1.500,1,EA,184.78,184.78,155.41,Price List D,2025-09-04,2025-09-04,1,Shipped,NIC-CUST0008-S1
SO-26069,2,A-20063,Gearbox Sub-Assembly 5/8-11,1,EA,1632.39,1632.39,1372.91,Price List D,2025-09-13,2025-09-16,1,Shipped,NIC-CUST0008-S1
SO-26069,3,A-20101,Gearbox Sub-Assembly 5/8-11,1,EA,2949.88,2949.88,2382.4,Price List D,2025-09-21,2025-09-28,1,Shipped,NIC-CUST0008-S1
SO-26069,4,A-20061,Shaft Coupling 2.000,3,EA,217.33,651.99,175.52,Price List D,2025-09-25,2025-09-25,3,Shipped,NIC-CUST0008-S1
SO-26070,1,A-20090,Machined Housing 1.250,2,EA,1279.58,2559.16,821.3000000000001,Price List B,2026-04-16,2026-04-16,0,Backordered,NIC-CUST0038-S1
SO-26071,1,A-20020,Shaft Coupling 5/8-11,3,EA,530.02,1590.06,316.62,Price List C,2025-11-18,2025-11-25,0,Open,NIC-CUST0030-S1
SO-26071,2,A-20065,Machined Housing M6,5,EA,1019.84,5099.2,798.0,Price List C,2025-11-16,2025-11-17,5,Shipped,NIC-CUST0030-S1
SO-26072,1,A-20022,Machined Housing 1.500,3,EA,202.81,608.43,155.41,Price List C,2025-11-12,2025-11-13,3,Shipped,NIC-CUST0001-S1
SO-26073,1,A-20013,Shaft Coupling 5/8-11,1,EA,207.29,207.29,162.20000000000002,Price List C,2025-12-21,2025-12-28,1,Shipped,NIC-CUST0031-S1
SO-26073,2,A-20040,Machined Housing #60,1,EA,282.86,282.86,210.93,Price List C,2025-12-20,2025-12-20,1,Shipped,NIC-CUST0031-S1
SO-26073,3,A-20002,Gearbox Sub-Assembly 3/8-16,3,EA,2311.59,6934.77,1931.15,Price List C,2025-12-25,2026-01-01,3,Shipped,NIC-CUST0031-S1
SO-26073,4,A-20092,Gearbox Sub-Assembly 2.000,2,EA,2327.67,4655.34,1915.78,Price List C,2026-01-04,2026-01-04,2,Shipped,NIC-CUST0031-S1
SO-26073,5,A-20040,Machined Housing #60,2,EA,282.86,565.72,210.93,Price List C,2026-01-02,2026-01-02,2,Shipped,NIC-CUST0031-S1
SO-26074,1,A-20030,Shaft Coupling M8,2,EA,245.3,490.6,176.98,Price List C,2025-12-04,2025-12-04,2,Shipped,NIC-CUST0031-S1
SO-26074,2,A-20070,Gearbox Sub-Assembly 1.000,2,EA,2519.35,5038.7,1739.22,Manual override,2025-11-12,2025-11-15,2,Shipped,NIC-CUST0031-S1
SO-26074,3,A-20039,Shaft Coupling 1.000,1,EA,617.57,617.57,415.87,Price List C,2025-11-18,2025-11-18,1,Shipped,NIC-CUST0031-S1
SO-26075,1,A-20020,Shaft Coupling 5/8-11,1,EA,530.02,530.02,316.62,Price List C,2025-04-21,2025-04-24,1,Shipped,NIC-CUST0030-S1
SO-26075,2,A-20110,Gearbox Sub-Assembly 2.000,3,EA,4450.9,13352.7,2979.18,Price List C,2025-04-26,2025-04-29,3,Shipped,NIC-CUST0030-S1
SO-26075,3,A-20031,Shaft Coupling M10,5,EA,212.2,1061.0,128.84,Price List C,2025-04-23,2025-04-30,5,Shipped,NIC-CUST0030-S1
SO-26075,4,A-20114,Shaft Coupling 3/8-16,1,EA,398.6,398.6,244.69,Price List C,2025-04-29,2025-04-30,1,Shipped,NIC-CUST0030-S1
SO-26076,1,A-20034,Shaft Coupling M10,1,EA,127.81,127.81,111.33,Price List D,2026-04-20,2026-04-27,0,Open,NIC-CUST0037-S1
SO-26077,1,A-20038,Gearbox Sub-Assembly #80,1,EA,2572.18,2572.18,1997.97,Price List D,2025-12-23,2025-12-30,1,Shipped,NIC-CUST0036-S1
SO-26077,2,A-20114,Shaft Coupling 3/8-16,1,EA,363.17,363.17,244.69,Price List D,2025-12-22,2025-12-23,1,Shipped,NIC-CUST0036-S1
SO-26077,3,A-20082,Machined Housing #60,5,EA,1207.47,6037.35,841.44,Price List D,2026-01-09,2026-01-10,5,Shipped,NIC-CUST0036-S1
SO-26078,1,A-20082,Machined Housing #60,1,EA,1207.47,1207.47,841.44,Price List D,2026-03-20,2026-03-23,1,Shipped,NIC-CUST0008-S1
SO-26078,2,A-20110,Gearbox Sub-Assembly 2.000,3,EA,4055.26,12165.78,2979.18,Price List D,2026-03-14,2026-03-17,3,Shipped,NIC-CUST0008-S1
SO-26078,3,A-20033,Shaft Coupling 2.000,5,EA,439.23,2196.15,328.62,Price List D,2026-03-27,2026-03-30,0,Backordered,NIC-CUST0008-S1
SO-26078,4,A-20065,Machined Housing M6,1,EA,929.19,929.19,798.0,Price List D,2026-03-15,2026-03-15,1,Shipped,NIC-CUST0008-S1
SO-26079,1,A-20077,Machined Housing 1.250,3,EA,1062.94,3188.82,869.98,Price List D,2025-05-14,2025-05-21,3,Shipped,NIC-CUST0015-S1
SO-26079,2,A-20022,Machined Housing 1.500,1,EA,184.78,184.78,155.41,Price List D,2025-05-23,2025-05-26,1,Shipped,NIC-CUST0015-S1
SO-26079,3,A-20039,Shaft Coupling 1.000,3,EA,562.68,1688.04,415.87,Price List D,2025-05-02,2025-05-09,3,Shipped,NIC-CUST0015-S1
SO-26079,4,A-20058,Shaft Coupling size 6,1,EA,353.03,353.03,254.75,Price List D,2025-05-04,2025-05-05,1,Shipped,NIC-CUST0015-S1
SO-26080,1,A-20003,Gearbox Sub-Assembly 2.000,1,EA,3189.53,3189.53,2450.66,Price List B,2025-09-17,2025-09-18,1,Shipped,NIC-CUST0029-S1
SO-26081,1,A-20013,Shaft Coupling 5/8-11,2,EA,207.29,414.58,162.20000000000002,Price List C,2026-04-12,2026-04-15,0,Open,NIC-CUST0024-S1
SO-26081,2,A-20065,Machined Housing M6,1,EA,1019.84,1019.84,798.0,Price List C,2026-04-12,2026-04-19,0,Open,NIC-CUST0024-S1
SO-26081,3,A-20093,Gearbox Sub-Assembly M12,2,EA,3195.28,6390.56,2017.22,Price List C,2026-04-15,2026-04-15,0,Open,NIC-CUST0024-S1
SO-26081,4,A-20077,Machined Housing 1.250,1,EA,1166.64,1166.64,869.98,Price List C,2026-04-06,2026-04-06,0,Backordered,NIC-CUST0024-S1
SO-26082,1,A-20020,Shaft Coupling 5/8-11,1,EA,482.91,482.91,316.62,Price List D,2025-06-15,2025-06-22,1,Shipped,NIC-CUST0015-S1
SO-26082,2,A-20076,Gearbox Sub-Assembly 1.375,1,EA,1094.03,1094.03,721.1800000000001,Price List D,2025-06-06,2025-06-13,1,Shipped,NIC-CUST0015-S1
SO-26082,3,A-20082,Machined Housing #60,2,EA,1207.47,2414.94,841.44,Price List D,2025-06-04,2025-06-04,2,Shipped,NIC-CUST0015-S1
SO-26082,4,A-20039,Shaft Coupling 1.000,1,EA,562.68,562.68,415.87,Price List D,2025-06-14,2025-06-14,1,Shipped,NIC-CUST0015-S1
SO-26083,1,A-20053,Machined Housing #50,5,EA,932.17,4660.85,695.65,Price List A,2025-12-01,2025-12-01,5,Shipped,NIC-CUST0039-S1
SO-26083,2,A-20070,Gearbox Sub-Assembly 1.000,3,EA,3217.56,9652.68,1739.22,Price List A,2025-12-04,2025-12-04,3,Shipped,NIC-CUST0039-S1
SO-26083,3,A-20031,Shaft Coupling M10,1,EA,235.78,235.78,128.84,Price List A,2025-11-28,2025-11-28,1,Shipped,NIC-CUST0039-S1
SO-26083,4,A-20063,Gearbox Sub-Assembly 5/8-11,5,EA,1990.72,9953.6,1372.91,Price List A,2025-11-28,2025-11-28,5,Shipped,NIC-CUST0039-S1
SO-26083,5,A-20038,Gearbox Sub-Assembly #80,2,EA,2415.34,4830.68,1997.97,NIC-CPA001,2025-11-20,2025-11-21,2,Shipped,NIC-CUST0039-S1
SO-26084,1,A-20063,Gearbox Sub-Assembly 5/8-11,2,EA,1990.72,3981.44,1372.91,Price List A,2025-10-23,2025-10-23,2,Shipped,NIC-CUST0023-S1
SO-26084,2,A-20058,Shaft Coupling size 6,1,EA,430.53,430.53,254.75,Price List A,2025-10-10,2025-10-13,1,Shipped,NIC-CUST0023-S1
SO-26084,3,A-20087,Machined Housing M12,3,EA,619.49,1858.47,333.06,Price List A,2025-10-04,2025-10-04,3,Shipped,NIC-CUST0023-S1
SO-26085,1,A-20038,Gearbox Sub-Assembly #80,3,EA,3136.81,9410.43,1997.97,Price List A,2025-07-31,2025-07-31,3,Shipped,NIC-CUST0033-S1
SO-26085,2,A-20013,Shaft Coupling 5/8-11,1,EA,230.32,230.32,162.20000000000002,Price List A,2025-08-04,2025-08-04,1,Shipped,NIC-CUST0033-S1
SO-26085,3,A-20077,Machined Housing 1.250,2,EA,1296.27,2592.54,869.98,Price List A,2025-08-05,2025-08-06,2,Shipped,NIC-CUST0033-S1
SO-26086,1,A-20072,Machined Housing 1.250,5,EA,442.24,2211.2,402.48,Price List D,2026-02-16,2026-02-16,5,Shipped,NIC-CUST0015-S1
SO-26086,2,A-20038,Gearbox Sub-Assembly #80,2,EA,2572.18,5144.36,1997.97,Price List D,2026-03-02,2026-03-09,2,Shipped,NIC-CUST0015-S1
SO-26086,3,A-20077,Machined Housing 1.250,2,EA,1062.94,2125.88,869.98,Price List D,2026-02-20,2026-02-20,2,Shipped,NIC-CUST0015-S1
SO-26086,4,A-20072,Machined Housing 1.250,1,EA,442.24,442.24,402.48,Price List D,2026-02-24,2026-02-24,1,Shipped,NIC-CUST0015-S1
SO-26086,5,A-20110,Gearbox Sub-Assembly 2.000,1,EA,4055.26,4055.26,2979.18,Price List D,2026-03-02,2026-03-09,1,Shipped,NIC-CUST0015-S1
SO-26087,1,A-20107,Gearbox Sub-Assembly M12,3,EA,3339.95,10019.85,2631.9500000000003,Price List C,2025-04-21,2025-04-21,0,Backordered,NIC-CUST0001-S1
SO-26087,2,A-20087,Machined Housing M12,2,EA,557.54,1115.08,333.06,Price List C,2025-04-27,2025-04-28,2,Shipped,NIC-CUST0001-S1
SO-26087,3,A-20053,Machined Housing #50,1,EA,838.95,838.95,695.65,Price List C,2025-05-05,2025-05-05,1,Shipped,NIC-CUST0001-S1
SO-26087,4,A-20077,Machined Housing 1.250,5,EA,1166.64,5833.2,869.98,Price List C,2025-05-10,2025-05-10,5,Shipped,NIC-CUST0001-S1
SO-26088,1,A-20101,Gearbox Sub-Assembly 5/8-11,1,EA,3237.68,3237.68,2382.4,Price List C,2025-06-22,2025-06-25,1,Shipped,NIC-CUST0025-S1
SO-26088,2,A-20092,Gearbox Sub-Assembly 2.000,2,EA,2327.67,4655.34,1915.78,Price List C,2025-06-05,2025-06-06,2,Shipped,NIC-CUST0025-S1
SO-26088,3,A-20092,Gearbox Sub-Assembly 2.000,3,EA,2327.67,6983.01,1915.78,Price List C,2025-06-18,2025-06-18,3,Shipped,NIC-CUST0025-S1
SO-26089,1,A-20030,Shaft Coupling M8,2,EA,245.3,490.6,176.98,Price List C,2025-09-21,2025-09-24,2,Shipped,NIC-CUST0034-S1
SO-26089,2,A-20040,Machined Housing #60,1,EA,282.86,282.86,210.93,Price List C,2025-09-19,2025-09-22,1,Shipped,NIC-CUST0034-S1
SO-26089,3,A-20034,Shaft Coupling M10,2,EA,140.27,280.54,111.33,Price List C,2025-09-27,2025-09-27,2,Shipped,NIC-CUST0034-S1
SO-26090,1,A-20061,Shaft Coupling 2.000,3,EA,238.54,715.62,175.52,Price List C,2025-06-23,2025-06-23,3,Shipped,NIC-CUST0001-S1
SO-26090,2,A-20002,Gearbox Sub-Assembly 3/8-16,1,EA,2311.59,2311.59,1931.15,Price List C,2025-06-27,2025-07-04,1,Shipped,NIC-CUST0001-S1
SO-26090,3,A-20077,Machined Housing 1.250,5,EA,1166.64,5833.2,869.98,Price List C,2025-06-17,2025-06-17,5,Shipped,NIC-CUST0001-S1
SO-26090,4,A-20013,Shaft Coupling 5/8-11,2,EA,207.29,414.58,162.20000000000002,Price List C,2025-06-15,2025-06-22,2,Shipped,NIC-CUST0001-S1
SO-26090,5,A-20036,Gearbox Sub-Assembly M10,5,EA,3711.52,18557.6,2945.65,Price List C,2025-06-21,2025-06-28,5,Shipped,NIC-CUST0001-S1
SO-26091,1,A-20040,Machined Housing #60,5,EA,282.86,1414.3,210.93,Price List C,2025-05-17,2025-05-17,5,Shipped,NIC-CUST0030-S1
SO-26091,2,A-20073,Machined Housing 1.500,2,EA,737.34,1474.68,496.53000000000003,Price List C,2025-05-05,2025-05-08,2,Shipped,NIC-CUST0030-S1
SO-26091,3,A-20077,Machined Housing 1.250,3,EA,1166.64,3499.92,869.98,Price List C,2025-05-03,2025-05-03,3,Shipped,NIC-CUST0030-S1
SO-26092,1,A-20063,Gearbox Sub-Assembly 5/8-11,3,EA,1791.65,5374.95,1372.91,Price List C,2026-04-15,2026-04-15,0,Open,NIC-CUST0031-S1
SO-26093,1,A-20036,Gearbox Sub-Assembly M10,5,EA,4123.91,20619.55,2945.65,Price List A,2026-03-09,2026-03-10,5,Shipped,NIC-CUST0021-S1
SO-26093,2,A-20072,Machined Housing 1.250,1,EA,496.17,496.17,402.48,Manual override,2026-03-01,2026-03-01,1,Shipped,NIC-CUST0021-S1
SO-26093,3,A-20077,Machined Housing 1.250,1,EA,1296.27,1296.27,869.98,Price List A,2026-03-08,2026-03-11,1,Shipped,NIC-CUST0021-S1
SO-26094,1,A-20072,Machined Housing 1.250,3,EA,490.78,1472.34,402.48,Manual override,2025-05-27,2025-05-27,3,Shipped,NIC-CUST0006-S1
SO-26094,2,A-20065,Machined Housing M6,5,EA,1133.16,5665.8,798.0,Price List A,2025-05-09,2025-05-09,5,Shipped,NIC-CUST0006-S1
SO-26094,3,A-20040,Machined Housing #60,3,EA,257.72,773.16,210.93,NIC-CPA023,2025-05-15,2025-05-22,3,Shipped,NIC-CUST0006-S1
SO-26095,1,A-20107,Gearbox Sub-Assembly M12,1,EA,3525.5,3525.5,2631.9500000000003,Price List B,2025-07-22,2025-07-25,1,Shipped,NIC-CUST0029-S1
SO-26095,2,A-20078,Machined Housing 3/8-16,1,EA,1211.82,1211.82,704.75,Price List B,2025-08-03,2025-08-03,1,Shipped,NIC-CUST0029-S1
SO-26095,3,A-20077,Machined Housing 1.250,1,EA,1231.46,1231.46,869.98,Price List B,2025-08-03,2025-08-03,1,Shipped,NIC-CUST0029-S1
SO-26096,1,A-20002,Gearbox Sub-Assembly 3/8-16,1,EA,2311.59,2311.59,1931.15,Price List C,2026-03-19,2026-03-19,0,Open,NIC-CUST0018-S1
SO-26096,2,A-20073,Machined Housing 1.500,5,EA,737.34,3686.7,496.53000000000003,Price List C,2026-03-31,2026-04-03,0,Open,NIC-CUST0018-S1
SO-26097,1,A-20022,Machined Housing 1.500,1,EA,214.07,214.07,155.41,Price List B,2025-12-15,2025-12-16,1,Shipped,NIC-CUST0013-S1
SO-26097,2,A-20082,Machined Housing #60,3,EA,1398.89,4196.67,841.44,Price List B,2025-12-11,2025-12-11,3,Shipped,NIC-CUST0013-S1
SO-26097,3,A-20114,Shaft Coupling 3/8-16,5,EA,420.75,2103.75,244.69,Price List B,2025-12-25,2025-12-25,5,Shipped,NIC-CUST0013-S1
SO-26097,4,A-20003,Gearbox Sub-Assembly 2.000,1,EA,3189.53,3189.53,2450.66,Price List B,2025-12-04,2025-12-05,1,Shipped,NIC-CUST0013-S1
SO-26097,5,A-20087,Machined Housing M12,1,EA,588.52,588.52,333.06,Price List B,2025-12-06,2025-12-09,1,Shipped,NIC-CUST0013-S1
SO-26098,1,A-20038,Gearbox Sub-Assembly #80,5,EA,2979.97,14899.85,1997.97,Price List B,2025-10-28,2025-10-29,5,Shipped,NIC-CUST0020-S1
SO-26098,2,A-20087,Machined Housing M12,1,EA,588.52,588.52,333.06,Price List B,2025-10-10,2025-10-10,1,Shipped,NIC-CUST0020-S1
SO-26098,3,A-20020,Shaft Coupling 5/8-11,3,EA,559.46,1678.38,316.62,Price List B,2025-10-30,2025-10-31,3,Shipped,NIC-CUST0020-S1
SO-26098,4,A-20036,Gearbox Sub-Assembly M10,1,EA,3917.71,3917.71,2945.65,Price List B,2025-10-28,2025-10-29,1,Shipped,NIC-CUST0020-S1
SO-26099,1,A-20097,Machined Housing #80,2,EA,396.25,792.5,246.81,Price List B,2026-02-21,2026-02-28,2,Shipped,NIC-CUST0029-S1
SO-26100,1,A-20092,Gearbox Sub-Assembly 2.000,1,EA,2120.77,2120.77,1915.78,Price List D,2025-08-09,2025-08-16,1,Shipped,NIC-CUST0037-S1
SO-26101,1,A-20040,Machined Housing #60,1,EA,226.29,226.29,210.93,NIC-CPA005,2025-07-27,2025-07-30,1,Shipped,NIC-CUST0004-S1
SO-26101,2,A-20022,Machined Housing 1.500,3,EA,202.81,608.43,155.41,Price List C,2025-08-19,2025-08-26,3,Shipped,NIC-CUST0004-S1
SO-26101,3,A-20114,Shaft Coupling 3/8-16,3,EA,398.6,1195.8,244.69,Price List C,2025-07-30,2025-07-30,3,Shipped,NIC-CUST0004-S1
SO-26102,1,A-20092,Gearbox Sub-Assembly 2.000,5,EA,2120.77,10603.85,1915.78,Price List D,2025-06-28,2025-06-29,5,Shipped,NIC-CUST0009-S1
SO-26102,2,A-20078,Machined Housing 3/8-16,3,EA,1045.99,3137.97,704.75,Price List D,2025-07-03,2025-07-03,3,Shipped,NIC-CUST0009-S1
SO-26103,1,A-20039,Shaft Coupling 1.000,1,EA,562.68,562.68,415.87,Price List D,2025-05-01,2025-05-08,1,Shipped,NIC-CUST0008-S1
SO-26103,2,A-20087,Machined Housing M12,1,EA,507.98,507.98,333.06,Price List D,2025-04-18,2025-04-19,1,Shipped,NIC-CUST0008-S1
SO-26104,1,A-20082,Machined Housing #60,5,EA,1207.47,6037.35,841.44,Price List D,2025-04-17,2025-04-18,5,Shipped,NIC-CUST0003-S1
SO-26104,2,A-20043,Gearbox Sub-Assembly 1.000,5,EA,1896.5,9482.5,1336.88,Price List D,2025-04-19,2025-04-19,5,Shipped,NIC-CUST0003-S1
SO-26104,3,A-20036,Gearbox Sub-Assembly M10,1,EA,3381.61,3381.61,2945.65,Price List D,2025-04-29,2025-05-02,1,Shipped,NIC-CUST0003-S1
