So Number,Customer Id,Customer Po Number,Order Date,Quote Id,Sales Rep Id,Entered By,Order Source,Payment Terms,Ship Via,Freight Terms,Order Total,Credit Hold,Order Status,Invoiced
SO-26185,KBD-CUST0025,PO151461,2025-09-24,,E021,E013,Portal,Net 45,Customer Pickup,Prepaid,23782.78,N,Closed,Y
SO-26186,KBD-CUST0014,PUR-738098,2025-06-12,,E014,E013,Phone,2% 10 Net 30,UPS Ground,Prepaid & Add,2767.7,N,Closed,Y
SO-26187,KBD-CUST0017,PUR-772513,2025-05-05,,E017,E015,Phone,Net 45,FedEx Ground,Prepaid & Add,8811.58,N,Closed,Y
SO-26188,KBD-CUST0001,P449413,03/01/2026,,E018,E018,Email,Net 30,Customer Pickup,Prepaid,310.44,N,Closed,Y
SO-26189,KBD-CUST0020,4500486905,2026-02-05,Q-26039,E019,E017,EDI 850,Net 45,Company Truck,Prepaid & Add,8908.78,N,Closed,Y
SO-26190,KBD-CUST0021,P574657,2025-05-03,Q-26040,E016,E024,Portal,2% 10 Net 30,LTL - Estes,Prepaid & Add,5363.69,N,Partially Shipped,Y
SO-26191,KBD-CUST0013,PUR-646764,2025-10-18,,E019,E025,EDI 850,Net 30,Customer Pickup,Prepaid,24025.75,N,Partially Shipped,Y
SO-26192,KBD-CUST0032,PO539170,04/03/25,,E020,E025,EDI 850,Net 30,UPS Ground,Prepaid & Add,26967.65,N,Partially Shipped,Y
SO-26193,KBD-CUST0010,PO465684,2025-04-29,Q-26041,E018,E016,Portal,Net 30,LTL - Estes,Prepaid & Add,211.8,N ,Closed,Y
SO-26194,KBD-CUST0025,PUR-811877,2026-02-11,,E021,E016,Phone,Net 45,Customer Pickup,Prepaid & Add,1452.67,N,Closed,Y
SO-26195,KBD-CUST0017,4500375723,2025-12-21,,E017,E017,Phone,Net 45,FedEx Ground,Prepaid,33226.1,N,Closed,Y
SO-26196,KBD-CUST0017,4500611073,2025-09-14,,E017,E013,Email,Net 45,FedEx Ground,Prepaid & Add,148.86,N,Closed,Y
SO-26197,KBD-CUST0005,4500364189,2026-01-29,,E022,E024,Phone,Net 30,UPS Ground,Prepaid,274.97,N,Closed,Y
SO-26198,KBD-CUST0028,P775970 ,11/23/25,,E021,E014,Email,Net 45,UPS Ground,Prepaid & Add,15489.98,N,Closed,Y
SO-26199,KBD-CUST0025,P357692,2025-10-03,,E021,E024,Phone,Net 45,Customer Pickup,Collect,17721.45,N,Closed,Y
SO-26200,KBD-CUST0029,PO517511,2026-01-30,,E013,E025,EDI 850,Net 30,FedEx Ground,Prepaid & Add,542.06,N,Closed,Y
SO-26201,KBD-CUST0018,PUR-464672,2025-09-06,,E014,E015,Email,Net 45,FedEx Ground,Prepaid & Add,2026.87,N,Partially Shipped,Y
SO-26202,KBD-CUST0028,4500641694,2025-04-25,,E021,E014,Portal,Net 45,UPS Ground,Prepaid & Add,1954.41,N,Closed,Y
SO-26203,KBD-CUST0011,PO609545,2025-07-29,Q-26042,E014,E017,Email,Net 30,Company Truck,Prepaid & Add,3383.04,N,Closed,Y
SO-26204,KBD-CUST0010,PUR-150596,2026-03-30,,E018,E025,Phone,Net 30,LTL - Estes,Prepaid,21451.82,N,Open,N
SO-26205,KBD-CUST0016,P857268,2026-03-13,,E016,E013,EDI 850,Net 30,FedEx Ground,Prepaid & Add,27171.45,N,Partially Shipped,Y
SO-26206,KBD-CUST0015,4500203459,2025-09-22,,E020,E016,EDI 850,Net 30,Customer Pickup,Prepaid,1506.9,N,Open,N
SO-26207,KBD-CUST0027,P791761,2025-06-04,,E022,E025,EDI 850,Net 30,FedEx Ground ,Collect,42121.19,N,Closed,Y
SO-26208,KBD-CUST0007,P645727,2026-01-04,Q-26043,E019,E017,EDI 850 ,Net 30,Company Truck,Prepaid,4065.99,N,Partially Shipped,Y
SO-26209,KBD-CUST0019,P504494,2025-08-06,,E017,E016,EDI 850,Net 45,LTL - XPO,Collect,58349.96,N,Closed,Y
SO-26210,KBD-CUST0003,4500719514,2025-05-02,Q-26044,E021,E017,Portal,Net 30,FedEx Ground,Collect,9081.25,N,Closed ,Y
SO-26211,KBD-CUST0032,4500670238,31-Oct-2025,,E020,E013,Email,Net 30,UPS Ground,Prepaid,25266.77,N,Closed,Y
SO-26212,KBD-CUST0014,P800160,2025-04-25,,E014,E013,Portal,2% 10 Net 30,UPS Ground,Collect,9475.32,N,Partially Shipped,Y
SO-26213,KBD-CUST0020,PUR-886355,2025-06-17,,E019,E017,Phone,Net 45,Company Truck,Prepaid & Add,16243.26,N,Partially Shipped,Y
SO-26214,KBD-CUST0006,P288852,2025-05-26,,E023,E014,Email,Net 60,FedEx Ground,Collect,2614.59,N,Closed,Y
SO-26215,KBD-CUST0029,4500643041,2025-11-01,Q-26045,E013,E018,Email,Net 30,FedEx Ground,Prepaid & Add,19138.08,N,Closed,Y
SO-26216,KBD-CUST0029,4500144631,2025-06-11,,E013,E013,Email,Net 30,FedEx Ground,Collect,46657.11,N,Closed,Y
SO-26217,KBD-CUST0016,PO397851,2025-12-15,,E016,E014,Email,Net 30,FedEx Ground,Prepaid & Add,17033.77,N,Closed,Y
SO-26218,KBD-CUST0021,PO163514,2026-02-02,,E016,E016,Email,2% 10 Net 30,LTL - Estes,Prepaid,14677.61,N,Closed,Y
SO-26219,KBD-CUST0032,PUR-725854,2025-10-14,,E020,E013,Email,Net 30,UPS Ground,Prepaid & Add,2237.0,N,Closed,Y
SO-26220 ,KBD-CUST0006,PO291575,2026-02-27,Q-26046,E023,E024,Portal,Net 60,FedEx Ground,Prepaid,1266.72,N,Closed,Y
SO-26221,KBD-CUST0011,PUR-747530,2026-02-17,Q-26047,E014,E017,Email,Net 30,Company Truck,Prepaid & Add,14411.7,N,Closed,Y
SO-26222,KBD-CUST0013,P267635,2025-12-11,,E019,E014,Portal,Net 30,Customer Pickup,Prepaid,2297.75,N,Closed,Y
SO-26223,KBD-CUST0018 ,4500993362,2026-03-31,Q-26048,E014,E014,Phone,Net 45,FedEx Ground,Collect,1593.21,N,Open,N
SO-26224 ,KBD-CUST0032,4500782588,2025-12-09,Q-26049,E020,E025,Portal,Net 30,UPS Ground,Prepaid & Add,775.44,N,Closed,Y
SO-26225,KBD-CUST0023,4500180883,2026-01-22,,E015,E016,EDI 850,Net 60,UPS Ground,Prepaid & Add,12875.2,N,Closed,Y
SO-26226,KBD-CUST0001,4500362763,2025-07-21,,E018,E016,EDI 850,Net 30,Customer Pickup,Prepaid,13750.66,N,Closed,Y
SO-26227 ,KBD-CUST0004 ,4500163464,2026-03-02,,E016,E017,Phone,Net 60,Customer Pickup,Prepaid & Add,19726.01,N,Closed,Y
SO-26228,KBD-CUST0004,PO714863 ,2026-03-09,Q-26050,E016,E015,Email,Net 60,Customer Pickup,Prepaid,1074.48,N,Open,N
SO-26229,KBD-CUST0027,4500437890,2026-03-29,,E022,E017,Phone,Net 30,FedEx Ground,Prepaid & Add,7254.37,N,Open,N
SO-26230,KBD-CUST0004,PUR-532695,08-Nov-2025,,E016,E025,EDI 850,Net 60,Customer Pickup,Collect,3274.05,N,Closed,Y
SO-26231,KBD-CUST0001,PO162970,2025-04-05,,E018,E015,EDI 850,Net 30,Customer Pickup,Collect,16287.18,N,Closed,Y
SO-26232,KBD-CUST0031,4500119861,2026-03-16,,E019,E016,Email,Net 45,LTL - XPO,Prepaid & Add,13478.06,N,Open,N
SO-26233,KBD-CUST0028,4500360790,2026-02-11,,E021,E014,Email,Net 45,UPS Ground,Prepaid,15118.48,N,Closed,Y
SO-26234,KBD-CUST0024,P786590,2025-11-27,,E022 ,E018,EDI 850,Net 45,Company Truck,Prepaid & Add,29132.0,N,Closed,Y
SO-26235,KBD-CUST0003,PO297149,2025-07-22,,E021,E024,Portal,Net 30,FedEx Ground,Collect,7345.59,N,Closed ,Y
SO-26236,KBD-CUST0026,P194958,2025-04-20,,E019,E016,Email,COD,Company Truck,Prepaid & Add,7676.68,N,Closed,Y
SO-26237,KBD-CUST0032,4500316856,2025-04-20,Q-26051,E020,E016,EDI 850,Net 30,UPS Ground,Prepaid & Add,146.77,N,Closed,Y
SO-26238,KBD-CUST0018,PUR-194246,2025-12-28,,E014,E025,Phone,Net 45,FedEx Ground,Prepaid & Add,20272.95,N,Partially Shipped,Y
SO-26239,KBD-CUST0019 ,PO305990,05/22/25,,E017,E024,EDI 850,Net 45,LTL - XPO,Collect,2058.0,N,Closed,Y
SO-26240,KBD-CUST0008,4500910400,2026-01-08,,E014,E025,Portal,Net 60,LTL - Estes,Prepaid & Add,28508.83,N,Closed,Y
SO-26241,KBD-CUST0007,PUR-922939 ,2025-07-27,,E019,E025 ,EDI 850,Net 30,Company Truck,Collect,54532.64,N,Partially Shipped,Y
SO-26242,KBD-CUST0010 ,P842603,2025-12-08,,E018,E015,Email,Net 30,LTL - Estes,Prepaid & Add,1605.91,N,Closed,Y
SO-26243,KBD-CUST0008,PUR-495557,2025-12-12,,E014,E014,Email,Net 60,LTL - Estes,Prepaid & Add,13674.1,N,Closed,Y
SO-26244,KBD-CUST0018,PUR-138856,2025-12-16,,E014,E013,Portal,Net 45,FedEx Ground,Prepaid & Add,16097.76,N,Partially Shipped,Y
SO-26245,KBD-CUST0028,P857068,2025-10-15,,E021,E013,Portal,Net 45,UPS Ground,Prepaid & Add,721.14,N,Closed,Y
SO-26246,KBD-CUST0023,4500685113,2025-08-18,,E015,E015,EDI 850,Net 60,UPS Ground,Collect,2054.0,N,Partially Shipped,Y
SO-26247,KBD-CUST0017,PO990034,2025-07-12,,E017,E013,Email,Net 45,FedEx Ground,Prepaid,5428.33,N,Closed,Y
SO-26248,KBD-CUST0028,4500866789,2025-05-15,,E021,E013,Email,Net 45,UPS Ground,Prepaid & Add,301.08,N,Closed,Y
SO-26249,KBD-CUST0015,P244951,2026-01-21,,E020,E014,Email,Net 30,Customer Pickup,Prepaid,537.2,N,Closed,Y
SO-26250,KBD-CUST0025,PO464794,2025-12-29,,E021,E018,Portal,Net 45,Customer Pickup,Collect,4986.4,N,Closed,Y
SO-26251,KBD-CUST0013,PUR-577436,2026-02-12,,E019,E014,Email,Net 30,Customer Pickup,Collect,8616.99,N,Closed,Y
SO-26252,KBD-CUST0026,P135543,2025-09-05,,E019,E016,Portal,COD,Company Truck,Prepaid,7802.7,N,Closed,Y
SO-26253,KBD-CUST0025,P816384,2025-04-16,,E021,E016,Email,Net 45,Customer Pickup,Prepaid & Add,18010.9,N,Partially Shipped,Y
SO-26254,KBD-CUST0023,4500172716,03-Jun-2025,,E015,E018,Email,Net 60,UPS Ground,Prepaid & Add,37854.82,N,Partially Shipped,Y 
SO-26255,KBD-CUST0026,PUR-373469,2026-03-21,,E019,E018 ,Portal,COD,Company Truck,Collect,2167.29,N,Partially Shipped,Y
SO-26256,KBD-CUST0016,PO769323,2025-10-08,,E016,E014,Phone,Net 30,FedEx Ground,Collect ,11849.5,N,Closed,Y
SO-26257,KBD-CUST0023,P589909,2025-11-07,,E015,E014,Email,Net 60,UPS Ground,Prepaid & Add,12021.9,N,Closed ,Y
SO-26258,KBD-CUST0008 ,PUR-834700 ,2025-09-15,Q-26052,E014,E014,Portal,Net 60,LTL - Estes,Collect,25178.32,N,Closed,Y
SO-26259,KBD-CUST0004,4500924304,2025-08-05 ,,E016,E014,Phone,Net 60,Customer Pickup,Prepaid & Add,12987.09,N,Closed,Y
SO-26260,KBD-CUST0010,P397894,2025-05-11,,E018,E018,Email,Net 30,LTL - Estes,Collect,17729.28,N,Closed,Y
SO-26261,KBD-CUST0001,P846229,2025-12-16,,E018,E015,Email,Net 30,Customer Pickup,Prepaid & Add,43959.96,N,Closed,Y
SO-26262,KBD-CUST0032,P280729,2025-10-25,,E020,E015,Email,Net 30,UPS Ground,Prepaid & Add,9102.66,N,Closed,Y
SO-26263,KBD-CUST0025,P951212,2026-03-21,Q-26053,E021,E016,Email,Net 45,Customer Pickup,Prepaid & Add,4408.88,N,Open,N
SO-26264,KBD-CUST0014,4500677146,2025-12-19,,E014,E024,Email,2% 10 Net 30,UPS Ground,Prepaid & Add,7763.0,N,Closed,Y
SO-26265,KBD-CUST0007,PUR-133711,2025-11-15,Q-26054,E019,E015,Email,Net 30,Company Truck,Prepaid & Add,28147.29,N,Closed,Y
SO-26266,KBD-CUST0024,P983118,2025-11-06,Q-26055,E022,E014,Phone,Net 45,Company Truck,Prepaid,23147.11,N,Closed,Y
SO-26267,KBD-CUST0006,PUR-454824,2025-09-24,,E023,E024,Email,Net 60,FedEx Ground,Prepaid,18815.18,N,Closed,Y
SO-26268,KBD-CUST0028,PUR-300732,2025-09-27,,E021,E016,Portal,Net 45,UPS Ground,Prepaid & Add,38150.26,N,Closed,Y
SO-26269,KBD-CUST0014,PO572255,2025-06-30,,E014,E018,EDI 850,2% 10 Net 30,UPS Ground,Prepaid & Add,205.25,N,Closed,Y
SO-26270,KBD-CUST0016,4500321220,2026-02-07,Q-26056,E016,E013,Portal,Net 30,FedEx Ground,Prepaid,4417.06,N,Closed,Y
SO-26271,KBD-CUST0003,PO661843,2025-04-08,,E021,E016,Phone,Net 30,FedEx Ground,Prepaid,16233.75,N,Partially Shipped,Y
SO-26272,KBD-CUST0013,PUR-247177,2025-07-22,,E019,E013,Portal,Net 30,Customer Pickup,Prepaid & Add,1013.25,N,Closed,Y
SO-26273,KBD-CUST0032,PUR-246169,2026-03-01 ,,E020,E025,EDI 850,Net 30,UPS Ground,Prepaid & Add,7353.13,N,Partially Shipped,Y
SO-26274,KBD-CUST0001,P414086,2025-04-30,Q-26057,E018,E015,Email,Net 30,Customer Pickup,Prepaid & Add,6261.67,N,Closed,Y
SO-26275,KBD-CUST0006,P300464,2025-10-04,Q-26058,E023,E025,Email,Net 60,FedEx Ground,Collect,33169.41,N,Partially Shipped,Y
SO-26276,KBD-CUST0027 ,P384440,2025-10-01,,E022,E018,Phone,Net 30,FedEx Ground,Prepaid,22895.34,N,Closed,Y
SO-26277,KBD-CUST0025,4500221331,2025-05-24,,E021,E017,Phone,Net 45,Customer Pickup,Prepaid & Add,26692.42,N,Closed,Y
SO-26278,KBD-CUST0015,PUR-545146,2025-08-04,Q-26059,E020,E013,EDI 850,Net 30,Customer Pickup,Prepaid & Add,52312.3,N,Partially Shipped,Y
SO-26279,KBD-CUST0020,PUR-257286,2025-12-16,,E019,E018,Email,Net 45,Company Truck,Prepaid & Add,4719.02,N,Closed,Y
SO-26280,KBD-CUST0030,4500752115,2026-01-05,Q-26060,E023,E017,Email,Net 30,Customer Pickup,Prepaid & Add,1566.26,N,Closed,Y
SO-26281,KBD-CUST0013,PO431495,2025-12-06,,E019,E015,Portal,Net 30,Customer Pickup,Collect,39742.88,N,Closed,Y
SO-26282,KBD-CUST0027,P153804,2025-06-26,,E022,E016,Email,Net 30,FedEx Ground,Prepaid & Add,12982.81,N,Partially Shipped,Y
SO-26283,KBD-CUST0008,4500328600,2025-07-12,,E014,E014,Email,Net 60 ,LTL - Estes,Prepaid & Add,4920.6,N,Closed,Y
SO-26284,KBD-CUST0008 ,PO224349,2025-09-04,Q-26061,E014,E015,Portal,Net 60,LTL - Estes,Collect,30798.02,N,Partially Shipped,Y
SO-26285,KBD-CUST0032,P105575,2026-02-24,,E020,E024,Email,Net 30,UPS Ground,Prepaid & Add,7602.36,N,Closed,Y
SO-26286,KBD-CUST0024,P508679,2026-02-13,,E022,E015,Portal,Net 45,Company Truck,Prepaid & Add,44037.61,N,Partially Shipped,Y
SO-26287,KBD-CUST0005,PUR-648573,2025-09-03,Q-26062,E022,E018,Phone,Net 30,UPS Ground,Prepaid & Add,33500.89,N,Closed,Y
SO-26288,KBD-CUST0029,P748711,2026-02-18,Q-26063,E013,E013,Phone,Net 30,FedEx Ground,Prepaid & Add,4608.15,N,Closed ,Y
SO-26289,KBD-CUST0021,4500472012,2026-01-10,,E016,E025,Email,2% 10 Net 30,LTL - Estes,Collect,12080.75,N,Closed,Y
SO-26290,KBD-CUST0017,P689503,2026-02-20,,E017,E013,Portal,Net 45,FedEx Ground,Prepaid,70284.52,N,Closed,Y
SO-26291,KBD-CUST0026,4500320535,2025-09-03,,E019,E013,EDI 850,COD,Company Truck,Prepaid,347.46,N,Closed,Y
SO-26292,KBD-CUST0007,4500659442,2025-12-18,,E019,E014,Phone,Net 30,Company Truck,Prepaid,3293.75,Y,Closed,Y
SO-26293,KBD-CUST0005,P620965,2025-12-26,Q-26064,E022,E017,Email,Net 30,UPS Ground ,Prepaid,4423.98,N,Closed,Y
SO-26294,KBD-CUST0010,PUR-395980,2026-01-18,Q-26065,E018,E017,Phone,Net 30,LTL - Estes,Collect,485.42,N,Closed,Y
SO-26295,KBD-CUST0024,PO707495,2025-12-05,,E022,E024,Phone,Net 45,Company Truck,Prepaid & Add,21858.35,N,Closed,Y
SO-26296,KBD-CUST0031,PO411104,08/16/2025,Q-26066,E019,E024,EDI 850,Net 45,LTL - XPO,Prepaid & Add,43093.5,N,Closed,Y
SO-26297,KBD-CUST0003,P224576,2025-08-22,Q-26067,E021,E013,EDI 850,Net 30,FedEx Ground,Prepaid,12372.74,N,Closed,Y
SO-26298,KBD-CUST0025,PO632238,2025-05-31,Q-26068,E021,E024,Phone,Net 45,Customer Pickup,Prepaid & Add,15611.17,N,Closed,Y
SO-26299,KBD-CUST0004,P751269,2025-04-28,Q-26069,E016,E017,Email,Net 60,Customer Pickup ,Prepaid,4846.0,N,Closed,Y
SO-26300,KBD-CUST0028,4500143860,2025-04-30,,E021,E014,Portal,Net 45,UPS Ground,Prepaid & Add,34820.8,N,Closed,Y
SO-26301,KBD-CUST0006,PUR-486505,2025-06-15,Q-26070,E023,E013,Phone,Net 60,FedEx Ground,Prepaid & Add ,15645.28,N,Closed,Y
SO-26302,KBD-CUST0011,PUR-250256,11/17/2025,,E014,E015,EDI 850,Net 30,Company Truck,Prepaid,5824.1,N,Partially Shipped,Y
SO-26303,KBD-CUST0023,4500517368,2025-08-07,,E015,E017,Email,Net 60,UPS Ground,Prepaid & Add,48671.48,N,Closed,Y
SO-26304,KBD-CUST0001,4500657787,2026-01-29,Q-26071,E018,E017,EDI 850,Net 30,Customer Pickup,Prepaid,1143.0,N,Closed,Y
SO-26305,KBD-CUST0028,4500780029,07/02/2025,,E021,E014,Email,Net 45,UPS Ground,Collect,2263.23,N,Closed,Y
SO-26306,KBD-CUST0015,PUR-429212,2025-07-04,Q-26072,E020,E016,EDI 850,Net 30,Customer Pickup,Prepaid & Add,5283.65,N,Closed,Y
SO-26307,KBD-CUST0007,P908424 ,2026-02-05 ,Q-26073,E019,E016,EDI 850,Net 30,Company Truck,Prepaid & Add,10875.53,N,Partially Shipped,Y
SO-26308,KBD-CUST0031,PUR-237627,2026-03-15,,E019,E016,Email,Net 45,LTL - XPO,Collect,16936.72,N,Partially Shipped,Y
SO-26309,KBD-CUST0023,PO710832,2025-09-12,,E015 ,E024,Email,Net 60,UPS Ground,Prepaid & Add,17643.57,N,Closed,Y
SO-26310,KBD-CUST0028,4500705581,2026-03-17,,E021,E017 ,Email,Net 45,UPS Ground,Prepaid & Add,9436.97,N,Partially Shipped,Y
SO-26311,KBD-CUST0032,PO660989,2025-04-25,,E020,E024,Email,Net 30,UPS Ground,Prepaid & Add,25551.11,N,Closed,Y
SO-26312,KBD-CUST0011,4500136174,2025-05-31,Q-26074,E014,E017,Portal,Net 30,Company Truck,Prepaid & Add,323.66,N,Closed,Y
SO-26313,KBD-CUST0021,4500129555,2026-03-27,Q-26075,E016,E013,Portal,2% 10 Net 30,LTL - Estes,Collect,2253.8,N,Open,N
SO-26314,KBD-CUST0005,P544573,2025-08-06,,E022,E017,Email,Net 30,UPS Ground,Collect,29864.91,N,Closed ,Y
SO-26315,KBD-CUST0025,PO498957,2026-01-16,Q-26076,E021,E016,Phone,Net 45,Customer Pickup,Prepaid & Add,36019.84,N,Closed,Y
SO-26316,KBD-CUST0031,4500536275,2025-06-24,Q-26077,E019,E013,Email,Net 45,LTL - XPO,Prepaid & Add,26537.61,N,Closed,Y
SO-26317,KBD-CUST0006,4500719483,2026-01-04,Q-26078,E023,E017,Portal,Net 60,FedEx Ground,Collect,4752.54,Y,Closed,Y
SO-26318,KBD-CUST0016,PUR-448541,2026-01-04,,E016,E025,Email,Net 30,FedEx Ground,Prepaid & Add,20951.09,N,Closed,Y
SO-26319,KBD-CUST0006,4500265691,2025-10-19,,E023,E017,Email,Net 60,FedEx Ground,Prepaid,2140.11,N,Closed,Y
SO-26320,KBD-CUST0016,P829593,2025-10-02,Q-26079,E016,E025,Portal,Net 30,FedEx Ground,Prepaid & Add,1972.25,N,Closed,Y
SO-26321,KBD-CUST0019,PUR-696256,2026-02-18,,E017,E025,Phone,Net 45,LTL - XPO,Prepaid,8732.79,N,Closed,Y
SO-26322,KBD-CUST0016,PO176408,2025-05-24,,E016,E018,Portal,Net 30,FedEx Ground,Prepaid & Add,5864.4,N,Closed,Y
SO-26323,KBD-CUST0011,PO708002,09/27/25,,E014,E016,EDI 850,Net 30,Company Truck,Prepaid & Add,21289.2,N,Closed,Y
SO-26324,KBD-CUST0017,PO535505,2025-09-21,,E017,E017,Phone,Net 45,FedEx Ground,Prepaid & Add,19502.49,N,Closed,Y
SO-26325,KBD-CUST0003,P436627,2025-07-14,,E021,E013,Phone,Net 30,FedEx Ground,Prepaid & Add,8766.35,N,Partially Shipped,Y
SO-26326,KBD-CUST0005,P709930,2025-07-07,,E022,E024,Phone,Net 30,UPS Ground,Prepaid,3326.5,N,Closed,Y
SO-26327,KBD-CUST0028,PO667188,2025-12-22,,E021,E016,Phone,Net 45,UPS Ground,Collect,30448.3,N,Closed,Y
SO-26328,KBD-CUST0021,PUR-915233,01/28/2026,,E016,E013,Email,2% 10 Net 30,LTL - Estes,Prepaid,183.5,N,Closed,Y
SO-26329,KBD-CUST0008,P718281,2026-01-31,,E014,E013,EDI 850,Net 60,LTL - Estes,Prepaid & Add,51150.2,N,Closed,Y
SO-26330,KBD-CUST0006,PUR-269994,2025-07-20,Q-26080,E023,E025,Email,Net 60,FedEx Ground,Prepaid & Add,1246.48,N,Closed,Y
SO-26331,KBD-CUST0030,P298486,03/22/2026,,E023,E013,Portal,Net 30,Customer Pickup,Prepaid & Add,18851.36,N,Partially Shipped,Y
SO-26332,KBD-CUST0016,PUR-579881,2026-03-14,,E016,E014,EDI 850,Net 30,FedEx Ground,Prepaid & Add,16632.61,N,Partially Shipped,Y
SO-26333,KBD-CUST0007,P274037,2026-03-22,,E019,E015,Email,Net 30,Company Truck,Prepaid & Add,425.46,N,Open,N
SO-26334,KBD-CUST0030,4500997270,2025-06-06,,E023,E018,Email,Net 30,Customer Pickup,Prepaid & Add,1660.74,N,Partially Shipped,Y
SO-26335,KBD-CUST0008,4500643333,2025-12-06,,E014,E016,Email,Net 60,LTL - Estes,Prepaid,4176.95,N,Closed,Y
SO-26336,KBD-CUST0008,PUR-992196,2025-06-04,,E014,E016,Phone,Net 60,LTL - Estes,Prepaid & Add,10356.45,N,Closed,Y
SO-26337,KBD-CUST0008,P332045,2025-06-14,Q-26081,E014,E015,Email,Net 60,LTL - Estes,Prepaid & Add,6504.0,N,Closed,Y
SO-26338,KBD-CUST0018,P907902,2025-08-21,,E014,E014,Portal,Net 45,FedEx Ground,Prepaid & Add,131.16,N,Closed,Y
SO-26339,KBD-CUST0029,PO144787,2025-12-23,,E013,E017,Email,Net 30,FedEx Ground,Collect,1216.25,N,Closed,Y
SO-26340,KBD-CUST0032,4500344491,2025-11-26,Q-26082,E020,E017,Email,Net 30,UPS Ground,Prepaid,699.09,N,Closed,Y
SO-26341,KBD-CUST0031,PUR-713588,2026-02-09,,E019,E013,Portal,Net 45,LTL - XPO,Prepaid & Add,10195.41,N,Partially Shipped,Y
SO-26342,KBD-CUST0023,4500588626,2025-04-21,,E015,E017,Email,Net 60,UPS Ground,Prepaid & Add,33596.52,N,Partially Shipped,Y
SO-26343,KBD-CUST0031,P761020,05/28/2025,,E019,E018,EDI 850,Net 45,LTL - XPO,Prepaid,2222.56,N,Closed,Y
SO-26344,KBD-CUST0003,4500967312,06/02/2025,Q-26083,E021,E018,EDI 850,Net 30,FedEx Ground,Prepaid & Add,26033.8,N,Closed,Y
SO-26345,KBD-CUST0030,4500583466 ,2025-05-14,Q-26084,E023,E013,Portal,Net 30,Customer Pickup,Prepaid,35481.01,N,Closed,Y
SO-26346,KBD-CUST0023,4500783259,2026-02-07,,E015,E016,Email,Net 60,UPS Ground,Prepaid & Add,7308.35,N,Partially Shipped,Y
SO-26347,KBD-CUST0012,PO688980,26-Mar-2026,,E019,E025,EDI 850,Net 60,FedEx Ground,Prepaid & Add,36395.61,N,Open,N
SO-26348,KBD-CUST0004,4500111752,2025-12-31,,E016,E017,Portal,Net 60,Customer Pickup,Prepaid & Add,3841.38,N,Open,N
SO-26349,KBD-CUST0029,4500678719,2025-11-21,Q-26085,E013,E024,Email,Net 30,FedEx Ground,Prepaid,6792.96,N,Partially Shipped,Y
SO-26350,KBD-CUST0026,PO589441,2026-02-07,,E019,E025,Portal,COD,Company Truck,Collect,23729.54,N,Closed,Y
SO-26351,KBD-CUST0008,PUR-247353,2025-11-27,,E014,E014,Email,Net 60,LTL - Estes,Prepaid & Add,42094.88,N,Partially Shipped,Y
SO-26352,KBD-CUST0013 ,4500429652,2025-06-10,,E019,E015,Phone,Net 30,Customer Pickup,Prepaid & Add,11450.37,N,Closed,Y
SO-26353,KBD-CUST0006,PO916296,2025-12-01,,E023,E015,Email,Net 60,FedEx Ground,Prepaid & Add,26815.05,N,Closed,Y
SO-26354,KBD-CUST0011,PO138643,2025-07-29,,E014,E024,Phone,Net 30,Company Truck,Prepaid,12523.34,N,Open,N
SO-26355,KBD-CUST0004,P574493,2026-02-10,Q-26086,E016,E025,Portal,Net 60 ,Customer Pickup,Prepaid,1864.79,N,Closed,Y
SO-26356,KBD-CUST0015,PUR-276827,2025-04-20,,E020,E013,EDI 850,Net 30,Customer Pickup,Prepaid & Add,1746.79,N,Closed,Y
SO-26357,KBD-CUST0003,PUR-583442,2025-12-23,,E021 ,E018,EDI 850,Net 30,FedEx Ground,Collect,25766.88,N,Closed,Y
SO-26358,KBD-CUST0015,4500523788,2025-09-30,,E020,E013,Email,Net 30,Customer Pickup,Prepaid & Add,23102.74,N,Partially Shipped,Y
SO-26359,KBD-CUST0016,P676194,2025-07-01,Q-26087 ,E016,E013,Portal,Net 30,FedEx Ground,Prepaid,20430.17,N,Partially Shipped,Y
SO-26360,KBD-CUST0001,4500861129,2025-10-27,,E018,E025,Portal,Net 30,Customer Pickup,Prepaid & Add,12431.44,N,Closed,Y
SO-26361,KBD-CUST0024,PUR-806119,2026-02-18,,E022,E015,Email,Net 45,Company Truck ,Collect ,12152.06,N,Partially Shipped,Y
SO-26362,KBD-CUST0017,P632020,2025-07-21,,E017,E014,EDI 850,Net 45,FedEx Ground,Prepaid & Add,12346.18,N,Closed,Y
SO-26363,KBD-CUST0023,PUR-218808,2025-05-27,,E015,E025,Phone,Net 60,UPS Ground,Prepaid & Add,517.14,N,Closed,Y
SO-26364,KBD-CUST0013,PO442209,2025-05-01,,E019,E018,Email,Net 30,Customer Pickup,Prepaid & Add,2430.54,N,Closed,Y
SO-26365,KBD-CUST0017,4500316884,2025-11-08,Q-26088,E017,E016,Phone,Net 45,FedEx Ground,Prepaid & Add,7086.52,N,Partially Shipped,Y
SO-26366,KBD-CUST0018,P679260,2025-07-03,Q-26089,E014,E017,Email,Net 45,FedEx Ground,Prepaid & Add,9447.5,N,Closed,Y
SO-26367,KBD-CUST0030,P966209,2026-01-20,Q-26090,E023,E016,Portal,Net 30,Customer Pickup,Prepaid & Add,32877.93,N,Closed,Y
