So Number,Line,Item Id,Description,Qty,Uom,Price,Extended Price,Cost,Price Source,Requested Date,Promised Date,Shipped Qty,Line Status,Ship To Id
SO-26119,1,SHEA-1088,Sheave / Pulley 1/4-20,3,EA,271.59,814.77,189.79,Price List C,2026-01-17,2026-01-18,0,Open,KBD-CUST0012-S1
SO-26119,2,MOUN-1034,Mounted Ball Bearing Unit M12,4,EA,38.49,153.96,23.82,Manual override,2026-01-16,2026-01-16,4,Shipped,KBD-CUST0012-S1
SO-26120,1,AC-1074,AC Motor TEFC M8,5,EA,2263.86,11319.3,1663.14,Price List D,2026-03-25,2026-03-25,5,Shipped,KBD-CUST0018-S1
SO-26121,1,AC-1057,AC Motor TEFC M10,2,EA,1116.16,2232.32,687.08,Price List B,2025-12-10,"Dec 11, 2025",2,Shipped,KBD-CUST0006-S1
SO-26121,2,SHEA-1003,Sheave / Pulley #50,1,EA ,306.79,306.79,235.72,Price List B,2025-12-03,2025-12-10,1,Shipped,KBD-CUST0006-S1
SO-26122,1,SPRO-1041,Sprocket M6,2,EA,61.12,122.24,35.35,Price List B,2025-07-08,07/08/2025,2,Shipped,KBD-CUST0032-S1
SO-26122,2,SPRO-1070,Sprocket M12,25,EA,38.17,954.25,22.96,Price List B,2025-07-21,2025-07-28,25,Shipped,KBD-CUST0032-S1
SO-26122,3,MOUN-1018,Mounted Ball Bearing Unit M8,3,EA,183.5,550.5,109.13,Price List B,"Jul 08, 2025",2025-07-11,0,Backordered,KBD-CUST0032-S1
SO-26122,4,AC-1074,AC Motor TEFC M8,1,EA,2622.77,2622.77,1663.14,Price List B,2025-07-13,2025-07-13,1,Shipped,KBD-CUST0032-S1
SO-26122,5,GEAR-1084,Gear Reducer M6,2,EA,5614.27,11228.54,3456.0,Price List B,2025-07-09,2025-07-09,2,Shipped,KBD-CUST0032-S1
SO-26123,1,SPRO-1041,Sprocket M6 ,50,EA,57.91,2895.5,35.35,Price List C ,2025-08-23,2025-08-26,50,Shipped,KBD-CUST0016-S1
SO-26123,2,SHEA-1045,Sheave / Pulley M10,200,EA,64.37,12874.0,47.68,Price List C,2025-09-06,2025-09-06,200,Shipped,KBD-CUST0016-S1
SO-26123,3,GEAR-1080,Gear Reducer #60,3,EA,2297.75,6893.25,1484.33,Price List C,2025-08-27,2025-08-27,3,Shipped,KBD-CUST0016-S1
SO-26123,4,SHEA-1035,Sheave / Pulley 1.000,5,EA,187.14,935.7,148.52,Price List C,2025-09-11,2025-09-11,5,Shipped,KBD-CUST0016-S1
SO-26124,1,TIMI-1014,Timing Belt 1.000,50,EA,84.12,4206.0,49.480000000000004,Price List A,03/21/26,"Mar 21, 2026",50,Shipped,KBD-CUST0010-S1
SO-26124,2,AC-1054,AC Motor TEFC 1.500,1,EA,2688.01,2688.01,1828.58,Price List A,2026-03-27,2026-03-27,1,Shipped,KBD-CUST0010-S1
SO-26124,3,SHEA-1035,Sheave / Pulley 1.000,3,EA,207.93,623.79,148.52,Price List A,2026-03-25,03/28/26,0,Open,KBD-CUST0010-S1
SO-26124,4,SHEA-1038,Sheave / Pulley 2.000,3,EA,507.88,1523.64,295.28000000000003,Price List A,2026-03-29,2026-04-01,0,Open,KBD-CUST0010-S1
SO-26125,1,SHEA-1038,Sheave / Pulley 2.000,5,EA,457.09,2285.45,295.28000000000003,Price List C,2026-04-19,04/19/26,0,Open,KBD-CUST0016-S1
SO-26126,1,SPRO-1061,Sprocket #50,4,EA,109.19,436.76,87.28,Price List C,2025-12-17,2025-12-18,4,Shipped,KBD-CUST0025-S1
SO-26126,2,GEAR-1066,Gear Reducer 1.000,1,EA,1588.8,1588.8,1270.02,Price List C,2025-12-14,2025-12-14,1,Shipped,KBD-CUST0025-S1
SO-26126,3,TIMI-1020,Timing Belt 5/16-18,200,EA,69.3,13860.0,52.03,Price List C,2025-12-28,31-Dec-2025,200,Shipped,KBD-CUST0025-S1
SO-26127,1,SPRO-1015,Sprocket 3/8-16,12,EA,85.62,1027.44,74.58,Price List D,2026-03-06,07-Mar-2026,12,Shipped,KBD-CUST0011-S1
SO-26128,1,CONV-1051,Conveyor Drive Package 1/4-20,5,EA,5033.5,25167.5,4147.58,Price List D,2025-10-18,"Oct 18, 2025",5,Shipped,KBD-CUST0014-S1
SO-26128,2,ROLL-1079,Roller Chain ANSI M8 ,1,EA,120.25,120.25,102.65,KBD-CPA015,2025-10-13,10/20/2025 ,1,Shipped,KBD-CUST0014-S1
SO-26128,3,CONV-1065,Conveyor Drive Package #80,1,EA,3928.51,3928.51,2903.56,Price List D,10/16/2025,23-Oct-2025,0,Backordered,KBD-CUST0014-S1
SO-26128,4,TIMI-1071,Timing Belt 5/8-11,12,EA,97.59,1171.08,74.85000000000001,Price List D,2025-10-16,10/16/25,12,Shipped,KBD-CUST0014-S1
SO-26128,5,TIMI-1032,Timing Belt size 6,2,EA,44.36,88.72,32.99,Price List D,2025-10-06,10/07/2025,0,Open,KBD-CUST0014-S1
SO-26129,1,SPRO-1050,Sprocket 5/16-18,1,EA,15.04,15.04,12.85,Manual override,2026-04-09,2026-04-09,0,Open,KBD-CUST0015-S1
SO-26129,2,TIMI-1014,Timing Belt 1.000,200,EA,79.91,15982.0,49.480000000000004,Price List B,"Mar 15, 2026",2026-03-15,200,Shipped,KBD-CUST0015-S1
SO-26129,3,ROLL-1026,Roller Chain ANSI #50,1,EA,225.86,225.86,129.92000000000002,Price List B,2026-03-26,2026-03-29,0,Backordered,KBD-CUST0015-S1
SO-26129,4,GEAR-1084,Gear Reducer M6,1,EA,5614.27,5614.27,3456.0,Price List B,2026-03-20,2026-03-21,0,Open,KBD-CUST0015-S1
SO-26129,5,ROLL-1012,Roller Chain ANSI 2.000,1,EA,59.14,59.14,47.52,Price List B,2026-03-18,2026-03-21,1,Shipped,KBD-CUST0015-S1
SO-26130,1,AC-1085,AC Motor TEFC M6,2,EA,422.94,845.88,365.76,Manual override,2026-02-01,2026-02-01,2,Shipped,KBD-CUST0026-S1
SO-26130,2,MOUN-1029,Mounted Ball Bearing Unit 1.500 ,12,EA,129.68,1556.16,86.28,Price List C,2026-02-01,2026-02-01,12,Shipped,KBD-CUST0026-S1
SO-26130,3,SPRO-1070,Sprocket M12,200,EA,36.16,7232.0,22.96,Price List C,2026-01-14,2026-01-17,200,Shipped,KBD-CUST0026-S1
SO-26131,1,SPRO-1055,Sprocket #50,12,EA,37.11,445.32,26.94,Price List B,2025-05-17,"May 17, 2025",12,Shipped,KBD-CUST0021-S1
SO-26131,2,SPRO-1011,Sprocket #60,3,EA,212.73,638.19,118.48,Price List B,2025-05-13,2025-05-14,3,Shipped,KBD-CUST0021-S1
SO-26131,3,MOUN-1083,Mounted Ball Bearing Unit size 8,100,EA,131.75,13175.0,87.77,Price List B,2025-05-16,2025-05-17,0,Open,KBD-CUST0021-S1
SO-26132,1,SPRO-1002,Sprocket 1/4-20,25,EA,80.16,2004.0,65.84,Manual override,2026-01-20,01/23/26,25,Shipped,KBD-CUST0030-S1
SO-26132,2,ROLL-1012,Roller Chain ANSI 2.000,2,EA,59.14,118.28,47.52,Price List B,2026-01-10,2026-01-10,0,Open,KBD-CUST0030-S1
SO-26133,1,SPRO-1041,Sprocket M6 ,200,EA,61.12,12224.0,35.35,Price List B,12/27/25,2026-01-03,200,Shipped,KBD-CUST0032-S1
SO-26133,2,GEAR-1010,Gear Reducer 1.375,1,EA,4602.2,4602.2,2784.15,Price List B,"Jan 01, 2026",2026-01-01,1,Shipped,KBD-CUST0032-S1
SO-26134,1,TIM-LM11949-LM11910,Tapered roller bearing set,4,EA,9.96,39.84,7.6,Price List A,2025-05-22,2025-05-23,4,Shipped,KBD-CUST0008-S1
SO-26134,2,DOD-TXT315,Torque-Arm II shaft-mount reducer 15:1,2,EA,1640.2,3280.4,1180.0,Price List A,2025-05-19,2025-05-22,2,Shipped,KBD-CUST0008-S1
SO-26135,1,TIMI-1017,Timing Belt size 6,2,EA,71.27,142.54,50.69,Price List B,2026-03-23,2026-03-23,2,Shipped,KBD-CUST0023-S1
SO-26135,2,MOUN-1008,Mounted Ball Bearing Unit #60,4,EA ,115.94,463.76,71.79,Price List B,2026-02-28,2026-03-07,4,Shipped,KBD-CUST0023-S1
SO-26135,3,MOUN-1029,Mounted Ball Bearing Unit 1.500,50,EA,136.89,6844.5,86.28,Price List B,2026-03-08,2026-03-09,50,Shipped,KBD-CUST0023-S1
SO-26136,1,SHEA-1028,Sheave / Pulley #80,1,EA,500.18,500.18,284.6,Price List B,2025-09-25,2025-10-02,1,Shipped,KBD-CUST0022-S1
SO-26136,2,AC-1074,AC Motor TEFC M8,2,EA,2491.63,4983.26,1663.14,Manual override,2025-09-26,2025-09-26,2,Shipped,KBD-CUST0022-S1
SO-26136,3,MOUN-1029,Mounted Ball Bearing Unit 1.500,12,EA,136.89,1642.68,86.28,Price List B,2025-09-21,2025-09-24,12,Shipped,KBD-CUST0022-S1
SO-26136,4,SHEA-1035,Sheave / Pulley 1.000,3,EA,197.53,592.59,148.52,Price List B,2025-09-26,2025-09-27,3,Shipped,KBD-CUST0022-S1
SO-26137,1,ROLL-1012,Roller Chain ANSI 2.000,4,EA,59.14,236.56,47.52,Price List B,2025-12-02,2025-12-02,4,Shipped,KBD-CUST0032-S1
SO-26137,2,MOUN-1031,Mounted Ball Bearing Unit 1.500,2,EA,55.63,111.26,38.78,Price List B,2025-12-13,2025-12-13,2,Shipped,KBD-CUST0032-S1
SO-26137,3,GEAR-1060,Gear Reducer #60,1,EA,4686.22,4686.22,3102.4300000000003,Price List B,2025-12-19,2025-12-19,1,Shipped,KBD-CUST0032-S1
SO-26138,1,BRI-HHCS-0500-13-200-G8,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx",6,BX,51.11,306.66,44.75,Manual override,2026-03-10,2026-03-10,6,Shipped,KBD-CUST0013-S1
SO-26138,2,CONV-1065,Conveyor Drive Package #80,3,EA,4311.78,12935.34,2903.56,Price List C,2026-03-16,2026-03-17,3,Shipped,KBD-CUST0013-S1
SO-26138,3,SHEA-1088,Sheave / Pulley 1/4-20,1,EA,271.59,271.59,189.79,Price List C,2026-03-15,2026-03-16,1,Shipped,KBD-CUST0013-S1
SO-26138,4,SPRO-1061,Sprocket #50,1,EA,109.19,109.19,87.28,Price List C,2026-03-31,2026-03-31,0,Open,KBD-CUST0013-S1
SO-26139,1,SKF-6205-2RS1,"Deep groove ball bearing 25x52x15, sealed",4,EA,4.55,18.2,3.55,Manual override,2025-10-19,2025-10-26,4,Shipped,KBD-CUST0017-S1
SO-26139,2,SPRO-1050,Sprocket 5/16-18,10,EA,17.99,179.9,12.85,Price List A,2025-10-28,2025-10-28,10,Shipped,KBD-CUST0017-S1
SO-26139,3,MOUN-1083,Mounted Ball Bearing Unit size 8,200,EA,138.68,27736.0,87.77,Price List A,26-Oct-2025,2025-10-29,200,Shipped,KBD-CUST0017-S1
SO-26139,4,SPRO-1002,Sprocket 1/4-20 ,10,EA,94.81,948.1,65.84,Price List A,2025-10-21,2025-10-21,10,Shipped,KBD-CUST0017-S1
SO-26139,5,GEAR-1080,Gear Reducer #60,5,EA,2553.05,12765.25,1484.33,Price List A,2025-10-05,2025-10-06,5,Shipped,KBD-CUST0017-S1
SO-26140,1,AC-1057,AC Motor TEFC M10,1,EA,1174.91,1174.91,687.08,Price List A,2026-01-18,2026-01-18,1,Shipped,KBD-CUST0019-S1
SO-26140,2,SHEA-1003,Sheave / Pulley #50,3,EA ,322.94,968.82,235.72,Price List A,2026-01-30,2026-01-30,3,Shipped,KBD-CUST0019-S1
SO-26140,3,AC-1033,AC Motor TEFC 3/4-10,3,EA,1443.12,4329.36,1093.27,Price List A,01/23/2026,01/23/26,3,Shipped,KBD-CUST0019-S1
SO-26140,4,CONV-1043,Conveyor Drive Package 1.375,2,EA,2760.14,5520.28,1971.53,Price List A,2026-01-20,2026-01-20,2,Shipped,KBD-CUST0019-S1
SO-26140,5,SHEA-1068,Sheave / Pulley 1/4-20,2,EA ,305.52,611.04,180.78,Price List A,2026-01-12,2026-01-12,2,Shipped,KBD-CUST0019-S1
SO-26141,1,AC-1033,AC Motor TEFC 3/4-10,5,EA,1183.36,5916.8,1093.27,Price List D,2026-02-22,01-Mar-2026,5,Shipped,KBD-CUST0004-S1
SO-26141,2,CONV-1022,Conveyor Drive Package 1.375,1,EA,2402.2,2402.2,2154.05,Price List D,02/03/26,2026-02-03,1,Shipped,KBD-CUST0004-S1
SO-26141,3,SPRO-1050,Sprocket 5/16-18,6,EA,14.75,88.5,12.85,Price List D,2026-02-22,2026-02-25,6,Shipped,KBD-CUST0004-S1
SO-26141,4,AC-1048,AC Motor TEFC M6,1,EA,2075.36,2075.36,1745.47,Price List D,2026-02-08,2026-02-11,1,Shipped,KBD-CUST0004-S1
SO-26141,5,SHEA-1088,Sheave / Pulley 1/4-20,5,EA,247.45,1237.25,189.79,Price List D,2026-02-19,2026-02-26,5,Shipped,KBD-CUST0004-S1
SO-26142,1,GAT-B62,Hi-Power II V-belt B62,2,EA,18.58,37.16,12.7,Price List B,2025-04-27,2025-05-04,2,Shipped,KBD-CUST0021-S1
SO-26142,2,SPRO-1041,Sprocket M6,25,EA,53.79,1344.75,35.35,Manual override,2025-04-15,2025-04-15,25,Shipped,KBD-CUST0021-S1 
SO-26143,1,ROLL-1053,Roller Chain ANSI #80,10,EA,117.61,1176.1,86.10000000000001,Manual override,2025-08-24,2025-08-31,0,Open,KBD-CUST0007-S1 
SO-26144,1,GEAR-1060,Gear Reducer #60,1,EA,4932.86,4932.86,3102.4300000000003,Price List A,2025-10-24,2025-10-24,1,Shipped,KBD-CUST0017-S1
SO-26144,2,SHEA-1049,Sheave / Pulley size 4,1,EA,277.65,277.65,153.4,Price List A,2025-10-27,2025-10-28 ,1,Shipped,KBD-CUST0017-S1
SO-26144,3,SHEA-1049,Sheave / Pulley size 4,3,EA,260.99,782.97,153.4,Manual override,09-Oct-2025,2025-10-10,3,Shipped,KBD-CUST0017-S1
SO-26144,4,MOUN-1018,Mounted Ball Bearing Unit M8,3,EA,193.16,579.48,109.13,Price List A,2025-10-27,2025-11-03,3,Shipped,KBD-CUST0017-S1
SO-26145,1,CONV-1052,Conveyor Drive Package size 4,1,EA,3640.77,3640.77,2311.6,Price List C,2025-07-22,2025-07-22,1,Shipped,KBD-CUST0031-S1
SO-26145,2,MOUN-1081,Mounted Ball Bearing Unit 5/8-11,10,EA,74.96,749.6,61.24,Price List C,2025-08-04,2025-08-11,10,Shipped,KBD-CUST0031-S1
SO-26145,3,ROLL-1053,Roller Chain ANSI #80,4,EA,122.44,489.76,86.10000000000001,Price List C,08/06/25,06-Aug-2025,4,Shipped,KBD-CUST0031-S1
SO-26145,4,MOUN-1083,Mounted Ball Bearing Unit size 8,200,EA,124.81,24962.0,87.77,Price List C,2025-07-26,2025-07-27,200,Shipped,KBD-CUST0031-S1
SO-26145,5,TIMI-1075,Timing Belt 1.000,200,EA,96.26,19252.0,72.76,Price List C,2025-07-23,2025-07-30,200,Shipped,KBD-CUST0031-S1
SO-26146,1,SPRO-1087,Sprocket 1/2-13,1,EA ,61.79,61.79,44.550000000000004,Price List B,2026-03-25,2026-03-25,0,Backordered,KBD-CUST0022-S1
SO-26147,1,SHEA-1038,Sheave / Pulley 2.000,1,EA,457.09,457.09,295.28000000000003,Price List C,18-Sep-2025,2025-09-25,1,Shipped,KBD-CUST0016-S1
SO-26147,2,TIMI-1032,Timing Belt size 6,10,EA,48.69,486.9,32.99,Price List C,2025-08-25,2025-09-01,10,Shipped,KBD-CUST0016-S1
SO-26147,3,SHEA-1088,Sheave / Pulley 1/4-20,1,EA,271.59,271.59,189.79,Price List C,2025-09-12,2025-09-12,1,Shipped ,KBD-CUST0016-S1
SO-26147,4,SHEA-1038,Sheave / Pulley 2.000,3,EA,457.09,1371.27,295.28000000000003,Price List C,2025-09-11,11-Sep-2025,3,Shipped,KBD-CUST0016-S1
SO-26147,5,SHEA-1064,Sheave / Pulley M12,1,EA,205.2,205.2,139.88,Price List C,2025-09-04,2025-09-07,1,Shipped,KBD-CUST0016-S1
SO-26148,1,CONV-1043,Conveyor Drive Package 1.375,1,EA,2484.13,2484.13,1971.53,Price List C,2025-05-13,2025-05-20,1,Shipped,KBD-CUST0031-S1
SO-26148,2,SHEA-1064,Sheave / Pulley M12,1,EA,205.2,205.2,139.88,Price List C,2025-05-15,2025-05-15,1,Shipped,KBD-CUST0031-S1
SO-26148,3,TIMI-1075,Timing Belt 1.000,25,EA,96.26,2406.5,72.76,Price List C,25-May-2025,2025-06-01,25,Shipped,KBD-CUST0031-S1
SO-26148 ,4,TIMI-1017 ,Timing Belt size 6,10,EA,67.52,675.2,50.69,Price List C ,08-May-2025,2025-05-08,10,Shipped,KBD-CUST0031-S1
SO-26148,5,MOUN-1034,Mounted Ball Bearing Unit M12,25,EA,40.52,1013.0,23.82,Price List C,05/24/25,2025-05-24,25,Shipped,KBD-CUST0031-S1 
SO-26149,1,CONV-1022,Conveyor Drive Package 1.375,2,EA,2393.41,4786.82,2154.05,Manual override,2025-07-03,2025-07-10,2,Shipped,KBD-CUST0007-S1
SO-26149,2,CONV-1043,Conveyor Drive Package 1.375,2,EA,2622.13,5244.26,1971.53,Price List B,2025-07-10,2025-07-10,2,Shipped,KBD-CUST0007-S1
SO-26149,3,CONV-1052,Conveyor Drive Package size 4,2,EA,3843.03,7686.06,2311.6,Price List B,2025-07-04,2025-07-04,2,Shipped,KBD-CUST0007-S1
SO-26150,1,TIMI-1014,Timing Belt 1.000,1,EA,75.71,75.71,49.480000000000004,Price List C,2026-01-20,2026-01-20,1,Shipped,KBD-CUST0013-S1
SO-26150,2,GAT-B62,Hi-Power II V-belt B62,12,EA,17.6,211.2,12.7,Price List C,2026-01-21,2026-01-24,12,Shipped,KBD-CUST0013-S1
SO-26151,1,MOUN-1034,Mounted Ball Bearing Unit M12,10,EA,40.52,405.2,23.82,Price List C,2025-05-25,2025-05-28,10,Shipped,KBD-CUST0031-S1
SO-26151,2,SHEA-1088,Sheave / Pulley 1/4-20,5,EA,271.59,1357.95,189.79,Price List C,2025-06-18,2025-06-21,5,Shipped,KBD-CUST0031-S1
SO-26152,1,TIM-LM11949-LM11910,Tapered roller bearing set,1,EA,8.17,8.17,7.6,Price List D,2025-06-23,2025-06-30,1,Shipped,KBD-CUST0018-S1
SO-26152,2,TIMI-1030,Timing Belt 1/2-13,12,EA,91.12,1093.44,66.14,Price List D,2025-06-16,2025-06-16,12,Shipped,KBD-CUST0018-S1
SO-26152,3,GEAR-1010,Gear Reducer 1.375,1,EA,3972.42,3972.42,2784.15,Price List D,2025-06-09,2025-06-09,1,Shipped,KBD-CUST0018-S1
SO-26152,4,TIMI-1058,Timing Belt M6,100,EA,110.11,11011.0,84.45,Price List D,2025-06-03,2025-06-04,100,Shipped,KBD-CUST0018-S1
SO-26152,5,CONV-1023,Conveyor Drive Package 3/4-10,3,EA,5330.68,15992.04,3652.15,Price List D,2025-06-02,2025-06-02,3,Shipped,KBD-CUST0018-S1
SO-26153,1,CONV-1023,Conveyor Drive Package 3/4-10,5,EA,5850.75,29253.75,3652.15,Price List C,2025-08-15,2025-08-15,5,Shipped,KBD-CUST0029-S1
SO-26154,1,CONV-1059,Conveyor Drive Package 1/4-20,3,EA ,4986.4,14959.2,3693.63,Price List C,2025-12-25,2026-01-01,3,Shipped,KBD-CUST0025-S1
SO-26154,2,ROLL-1079,Roller Chain ANSI M8,2,EA,152.43,304.86,102.65,Price List C,2026-01-02,2026-01-09,2,Shipped,KBD-CUST0025-S1
SO-26155,1,TIMI-1030,Timing Belt 1/2-13,12,EA,100.01,1200.12,66.14,Price List C,2025-08-08 ,2025-08-08,12,Shipped,KBD-CUST0012-S1
SO-26155,2,SPRO-1070,Sprocket M12,6,EA,36.16,216.96,22.96,Price List C,2025-07-24,25-Jul-2025,6,Shipped,KBD-CUST0012-S1
SO-26155,3,TIMI-1058,Timing Belt M6,2,EA,120.85,241.7,84.45,Price List C,2025-08-15,2025-08-18 ,2,Shipped,KBD-CUST0012-S1
SO-26155,4,SKF-6205-2RS1,"Deep groove ball bearing 25x52x15, sealed",10,EA,4.6,46.0,3.55,Price List C,2025-07-24,2025-07-24,0,Backordered,KBD-CUST0012-S1
SO-26155,5,CONV-1059,Conveyor Drive Package 1/4-20,1,EA,4986.4,4986.4,3693.63,Price List C,2025-07-29,2025-07-29,1,Shipped,KBD-CUST0012-S1
SO-26156,1,SPRO-1027,Sprocket 1/4-20,200,EA,97.04,19408.0,77.98,Price List B,2025-10-06,2025-10-09,200,Shipped,KBD-CUST0030-S1
SO-26156,2,ROLL-1079,Roller Chain ANSI M8,1,EA,160.9,160.9,102.65,Price List B,2025-10-19,2025-10-22,1,Shipped,KBD-CUST0030-S1
SO-26157,1,SPRO-1050,Sprocket 5/16-18,25,EA,17.09,427.25,12.85,Price List B,2025-12-28,2025-12-31,25,Shipped,KBD-CUST0022-S1
SO-26158,1,BRI-HHCS-0500-13-200-G8,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx",1,BX,56.79,56.79,44.75,Price List C,07/26/2025,2025-07-27,1,Shipped,KBD-CUST0029-S1
SO-26158,2,CONV-1023,Conveyor Drive Package 3/4-10,3,EA,5850.75,17552.25,3652.15,Price List C,2025-08-04,07-Aug-2025,3,Shipped ,KBD-CUST0029-S1
SO-26159,1,MOUN-1008,Mounted Ball Bearing Unit #60,200,EA,109.84,21968.0,71.79,Price List C,07/01/25,2025-07-02,200,Shipped,KBD-CUST0013-S1
SO-26159,2,SPRO-1011,Sprocket #60,5,EA,201.54,1007.7,118.48,Price List C,2025-07-15,07/18/25,5,Shipped,KBD-CUST0013-S1
SO-26159,3,SHEA-1072,Sheave / Pulley 3/8-16,2,EA,133.97,267.94,101.96000000000001,Price List C,2025-07-16,2025-07-16,2,Shipped,KBD-CUST0013-S1
SO-26159,4,GAT-B62,Hi-Power II V-belt B62,6,EA,17.6,105.6,12.7,Price List C,"Jul 03, 2025",2025-07-03,6,Shipped,KBD-CUST0013-S1
SO-26160,1,DOD-TXT315,Torque-Arm II shaft-mount reducer 15:1,2,EA,1476.18,2952.36,1180.0,Price List C,2025-12-25,2025-12-25,2,Shipped,KBD-CUST0031-S1
SO-26161,1,TIMI-1058,Timing Belt M6,12,EA,120.85,1450.2,84.45,Price List C,25-Nov-2025,2025-11-26,12,Shipped,KBD-CUST0031-S1
SO-26161,2,CONV-1039,Conveyor Drive Package 5/8-11,1,EA,8688.61,8688.61,7046.72,Price List C,2025-12-10,2025-12-17,1,Shipped,KBD-CUST0031-S1
SO-26162,1,ROLL-1044,Roller Chain ANSI #80,1,EA,229.17,229.17,140.68,Price List C,2025-10-24,2025-10-24,1,Shipped,KBD-CUST0012-S1
SO-26163,1,AC-1074,AC Motor TEFC M8,1,EA,2484.73,2484.73,1663.14,Price List C,2025-12-21,2025-12-28,1,Shipped,KBD-CUST0012-S1
SO-26163,2,ROLL-1012,Roller Chain ANSI 2.000,25,EA,52.66,1316.5,47.52,Manual override,2025-12-28,2025-12-31,25,Shipped,KBD-CUST0012-S1
SO-26163,3,GEAR-1067,Gear Reducer M6,2,EA,543.59,1087.18,498.09000000000003,Manual override,2025-12-15,"Dec 15, 2025",2,Shipped,KBD-CUST0012-S1
SO-26164,1,MOUN-1029,Mounted Ball Bearing Unit 1.500,100,EA ,118.01,11801.0,86.28,Manual override,2025-06-25,2025-06-28,100,Shipped,KBD-CUST0005-S1
SO-26164,2,SPRO-1069,Sprocket #50,2,EA,182.33,364.66,115.11,Price List C,2025-06-08,2025-06-11,0,Backordered,KBD-CUST0005-S1
SO-26164,3,TIMI-1014,Timing Belt 1.000,10,EA,75.71,757.1,49.480000000000004,Price List C,2025-06-11,2025-06-11,10,Shipped,KBD-CUST0005-S1
SO-26165,1,SPRO-1078,Sprocket M6,2,EA,82.43,164.86,69.25,Manual override,10-Feb-2026,2026-02-17,0,Open,KBD-CUST0001-S1
SO-26165 ,2,AC-1048,AC Motor TEFC M6,5,EA,2075.36,10376.8,1745.47,Price List D,2026-01-24,2026-01-24,5,Shipped,KBD-CUST0001-S1
SO-26166,1,CONV-1089,Conveyor Drive Package #60,1,EA,7409.9,7409.9,5864.59,Price List B,2026-03-15,2026-03-15,1,Shipped,KBD-CUST0006-S1
SO-26166,2,TIMI-1014,Timing Belt 1.000,200,EA,79.91,15982.0,49.480000000000004,Price List B,2026-03-25,2026-03-28,0,Open,KBD-CUST0006-S1
SO-26166,3,GEAR-1080,Gear Reducer #60,3,EA,2425.4,7276.2,1484.33,Price List B,2026-03-30,2026-03-30,0,Open,KBD-CUST0006-S1
SO-26166,4,GEAR-1084,Gear Reducer M6,1,EA,5389.7,5389.7,3456.0,Manual override,2026-04-04,2026-04-07,0,Open,KBD-CUST0006-S1
SO-26166,5,CONV-1065,Conveyor Drive Package #80,5,EA,4551.33,22756.65,2903.56,Price List B,2026-03-30,2026-03-30,0,Open,KBD-CUST0006-S1
SO-26167,1,SPRO-1041,Sprocket M6,200,EA ,45.37,9074.0,35.35,Manual override,2026-03-11,2026-03-14,200,Shipped,KBD-CUST0014-S1
SO-26167,2,BRI-HHCS-0500-13-200-G8,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx",1,BX,51.74,51.74,44.75,Price List D,02/26/26,2026-02-26,1,Shipped,KBD-CUST0014-S1
SO-26167,3,CONV-1042,Conveyor Drive Package 2.000,5,EA,6261.67,31308.35,5159.58,Price List D,2026-03-22,2026-03-25,5,Shipped,KBD-CUST0014-S1
SO-26168,1,CONV-1022,Conveyor Drive Package 1.375,1,EA,2636.56,2636.56,2154.05,Price List C,2025-07-01,2025-07-08,1,Shipped,KBD-CUST0031-S1
SO-26169,1,SHEA-1028,Sheave / Pulley #80,3,EA,431.74,1295.22,284.6,Price List D,2025-11-17,2025-11-17,3,Shipped,KBD-CUST0004-S1
SO-26169,2,GEAR-1010,Gear Reducer 1.375,1,EA,3972.42,3972.42,2784.15,Price List D,2025-11-23,2025-11-26,1,Shipped,KBD-CUST0004-S1
SO-26169,3,SPRO-1050,Sprocket 5/16-18,100,EA ,14.75,1475.0,12.85,Price List D,2025-10-28,2025-10-28,100,Shipped,KBD-CUST0004-S1
SO-26170,1,AC-1074,AC Motor TEFC M8,5,EA,2622.77,13113.85,1663.14,Price List B,2025-11-22,2025-11-22,5,Shipped,KBD-CUST0020-S1
SO-26171,1,ROLL-1012,Roller Chain ANSI 2.000,4,EA,62.25,249.0,47.52,Price List A,2025-04-24,2025-04-25,4,Shipped,KBD-CUST0024-S1
SO-26171,2,SPRO-1002,Sprocket 1/4-20,10,EA,94.81,948.1,65.84,Price List A,05/04/2025,2025-05-04,10,Shipped,KBD-CUST0024-S1
SO-26171,3,CONV-1065,Conveyor Drive Package #80,5,EA,4790.87,23954.35,2903.56,Price List A,2025-04-30,2025-05-07,5,Shipped,KBD-CUST0024-S1 
SO-26171,4,TIMI-1071,Timing Belt 5/8-11,100,EA,119.01,11901.0,74.85000000000001,Price List A,2025-05-19,2025-05-20,100,Shipped,KBD-CUST0024-S1
SO-26172,1,CONV-1043,Conveyor Drive Package 1.375,3,EA,2484.13,7452.39,1971.53,Price List C,2025-12-12,2025-12-12,3,Shipped,KBD-CUST0031-S1
SO-26173,1,TIMI-1071,Timing Belt 5/8-11,25,EA,113.06,2826.5,74.85000000000001,Price List B,07-Dec-2025,2025-12-07,25,Shipped,KBD-CUST0030-S1
SO-26173,2,SHEA-1082,Sheave / Pulley 1/4-20,5,EA,301.38,1506.9,186.61,Price List B,2025-12-04,2025-12-04,5,Shipped,KBD-CUST0030-S1
