po_number,supplier_id,supplier_name,po_date,buyer_id,payment_terms,ship_via,freight_terms,po_total,po_status,approved_by,sent_method
PO-31201,NIC-V014,Regal Rexnord,2025-08-08,E063,Net 45,Supplier Truck,FOB Destination,575.0,Closed,E063,EDI 850
PO-31202,NIC-V009,Haas Automation,2026-01-13,E062,Net 30,Will Call,FOB Origin,8552.95,Closed,E062,Email PDF
PO-31203,NIC-V006,Cintas Corporation,2025-11-28,E060,Net 30,UPS Ground,Collect,2561.0,Closed,E060,Email PDF
PO-31204,NIC-V010,MSC Industrial Supply,2025-09-25,E061,Net 30,Supplier Truck,Prepaid & Add,2052.5,Closed,E061,Supplier Portal
PO-31205,NIC-V011,McMaster-Carr,2025-04-25,E060,Net 30,FedEx Ground,Collect,5014.9,Closed,E060,Supplier Portal
PO-31206,NIC-V012,Motion Industries,2025-06-30,E062,Net 30,Supplier Truck,Collect,894411.72,Closed,E001,Email PDF
PO-31207,NIC-V013,Parker Hannifin,2026-03-02,E061,Net 45,LTL - Estes,FOB Origin,3131.2,Open,E061,Email PDF
PO-31208,NIC-V001,Alro Steel,2025-08-07,E060,Net 30,Supplier Truck,FOB Destination,666.02,Closed,E060,Email PDF
PO-31209,NIC-V017,Uline,2025-05-28,E063,Net 30,UPS Ground,FOB Origin,8929.8,Closed,E063,Email PDF
PO-31210,NIC-V002,Apex Fastener Corp,2026-02-04,E062,Net 30,Supplier Truck,FOB Origin,27401.96,Closed,E001,Phone
PO-31211,NIC-V007,Fastenal,2026-02-19,E062,Net 30,Supplier Truck,FOB Destination,2333.31,Closed,E062,Email PDF
PO-31212,NIC-V005,Brighton-Best International,2025-12-18,E063,Net 30,LTL - Estes,FOB Destination,12248.5,Closed,E001,EDI 850
PO-31213,NIC-V012,Motion Industries,2026-02-24,E063,Net 30,Supplier Truck,FOB Origin,760.0,Closed,E063,EDI 850
PO-31214,NIC-V014,Regal Rexnord,2025-04-17,E063,Net 45,Supplier Truck,Prepaid & Add,3705.52,Open,E063,Email PDF
PO-31215,NIC-V016,Sandvik Coromant,2025-12-20,E062,Net 30,FedEx Ground,FOB Destination,7573.31,Closed,E062,EDI 850
PO-31216,NIC-V012,Motion Industries,2025-11-24,E063,Net 30,Will Call,FOB Destination,6770.88,Closed,E063,Supplier Portal
PO-31217,NIC-V002,Apex Fastener Corp,2025-09-07,E060,Net 30,UPS Ground,Collect,3109.58,Closed,E060,Phone
PO-31218,NIC-V016,Sandvik Coromant,2025-04-11,E060,Net 30,LTL - Estes,Prepaid & Add,64.28,Closed,E060,Supplier Portal
PO-31219,NIC-V004,Baldor-Reliance (ABB),2025-11-22,E062,Net 45,FedEx Ground,FOB Origin,7543.75,Open,E062,Phone
PO-31220,NIC-V010,MSC Industrial Supply,2025-10-18,E061,Net 30,Supplier Truck,FOB Destination,1193.48,Closed,E061,Email PDF
PO-31221,NIC-V014,Regal Rexnord,2025-05-20,E063,Net 45,UPS Ground,Collect,2975.0,Open,E063,Phone
PO-31222,NIC-V013,Parker Hannifin,2025-06-08,E060,Net 45,LTL - Estes,FOB Destination,18204.25,Open,E001,Email PDF
PO-31223,NIC-V011,McMaster-Carr,2026-03-17,E060,Net 30,UPS Ground,FOB Destination,18997.82,Open,E001,Email PDF
PO-31224,NIC-V017,Uline,2025-12-13,E060,Net 30,FedEx Ground,FOB Origin,7945.25,Closed,E060,Email PDF
PO-31225,NIC-V008,Garlock Sealing Technologies,2026-03-20,E060,Net 30,FedEx Ground,FOB Origin,10859.57,Open,E001,Email PDF
PO-31226,NIC-V002,Apex Fastener Corp,2025-08-26,E061,Net 30,Supplier Truck,FOB Origin,602.0,Closed,E061,Email PDF
PO-31227,NIC-V009,Haas Automation,2026-01-21,E062,Net 30,UPS Ground,Prepaid & Add,19981.1,Closed,E001,Phone
PO-31228,NIC-V011,McMaster-Carr,2026-03-08,E060,Net 30,FedEx Ground,FOB Origin,13261.22,Open,E001,Email PDF
PO-31229,NIC-V008,Garlock Sealing Technologies,2025-12-24,E062,Net 30,Will Call,Prepaid & Add,34274.1,Closed,E001,Email PDF
PO-31230,NIC-V014,Regal Rexnord,2025-04-23,E062,Net 45,UPS Ground,Collect,2137.5,Open,E062,Supplier Portal
PO-31231,NIC-V003,Applied Industrial Technologies,2025-10-11,E063,Net 30,UPS Ground,Collect,9581.06,Open,E063,Email PDF
PO-31232,NIC-V005,Brighton-Best International,2025-12-22,E063,Net 30,FedEx Ground,Collect,3049.23,Open,E063,Supplier Portal
PO-31233,NIC-V008,Garlock Sealing Technologies,2026-03-29,E060,Net 30,UPS Ground,Collect,9107.91,Open,E060,Email PDF
PO-31234,NIC-V017,Uline,2025-11-09,E062,Net 30,Supplier Truck,FOB Destination,7873.46,Open,E062,Email PDF
PO-31235,NIC-V007,Fastenal,2026-03-11,E063,Net 30,UPS Ground,Collect,7672.82,Closed,E063,EDI 850
PO-31236,NIC-V017,Uline,2025-06-29,E062,Net 30,FedEx Ground,Collect,246.0,Closed,E062,EDI 850
PO-31237,NIC-V017,Uline,2025-11-14,E061,Net 30,FedEx Ground,FOB Origin,207.13,Closed,E061,EDI 850
PO-31238,NIC-V006,Cintas Corporation,2026-01-16,E062,Net 30,FedEx Ground,FOB Destination,519.75,Closed,E062,Supplier Portal
PO-31239,NIC-V011,McMaster-Carr,2025-06-03,E061,Net 30,UPS Ground,FOB Destination,22207.37,Open,E001,Phone
PO-31240,NIC-V009,Haas Automation,2025-05-12,E061,Net 30,UPS Ground,FOB Destination,10910.35,Closed,E001,Supplier Portal
PO-31241,NIC-V015,Ryerson,2026-01-11,E062,Net 45,LTL - Estes,FOB Destination,362.0,Closed,E062,Phone
PO-31242,NIC-V003,Applied Industrial Technologies,2025-08-06,E061,Net 30,LTL - Estes,Collect,2669.4,Closed,E061,Supplier Portal
PO-31243,NIC-V015,Ryerson,2025-09-29,E060,Net 45,Supplier Truck,Collect,427.08,Open,E060,Supplier Portal
PO-31244,NIC-V001,Alro Steel,2026-03-05,E061,Net 30,Will Call,Prepaid & Add,344.56,Open,E061,Supplier Portal
PO-31245,NIC-V005,Brighton-Best International,2025-04-19,E061,Net 30,Supplier Truck,FOB Origin,8428.0,Closed,E061,EDI 850
PO-31246,NIC-V016,Sandvik Coromant,2026-03-15,E061,Net 30,Supplier Truck,Prepaid & Add,759.87,Open,E061,Email PDF
PO-31247,NIC-V012,Motion Industries,2025-09-09,E061,Net 30,LTL - Estes,Prepaid & Add,6698.0,Closed,E061,Email PDF
PO-31248,NIC-V016,Sandvik Coromant,2025-07-31,E063,Net 30,Will Call,Collect,64.28,Closed,E063,Supplier Portal
PO-31249,NIC-V008,Garlock Sealing Technologies,2025-04-05,E061,Net 30,FedEx Ground,Prepaid & Add,18215.82,Closed,E001,Email PDF
PO-31250,NIC-V007,Fastenal,2025-12-23,E063,Net 30,LTL - Estes,Prepaid & Add,4613.7,Open,E063,Phone
PO-31251,NIC-V018,"W.W. Grainger, Inc.",2026-01-18,E063,Net 30,Will Call,FOB Destination,18770.51,Closed,E001,Email PDF
PO-31252,NIC-V004,Baldor-Reliance (ABB),2025-07-30,E063,Net 45,UPS Ground,Collect,8952.2,Closed,E063,Phone
PO-31253,NIC-V002,Apex Fastener Corp,2025-04-06,E062,Net 30,UPS Ground,Collect,2896.52,Closed,E062,EDI 850
PO-31254,NIC-V007,Fastenal,2025-11-18,E062,Net 30,Supplier Truck,FOB Origin,116.46,Closed,E062,Email PDF
PO-31255,NIC-V005,Brighton-Best International,2026-01-12,E061,Net 30,Supplier Truck,Collect,4211.24,Closed,E061,Email PDF
PO-31256,NIC-V012,Motion Industries,2026-02-01,E061,Net 30,Will Call,Prepaid & Add,261930.9,Closed,E001,Supplier Portal
PO-31257,NIC-V008,Garlock Sealing Technologies,2025-12-12,E063,Net 30,Will Call,FOB Destination,7080.37,Closed,E063,Email PDF
PO-31258,NIC-V014,Regal Rexnord,2025-09-06,E063,Net 45,FedEx Ground,Collect,4325.0,Closed,E063,Phone
PO-31259,NIC-V003,Applied Industrial Technologies,2026-03-03,E062,Net 30,LTL - Estes,FOB Origin,33494.4,Open,E001,Email PDF
PO-31260,NIC-V007,Fastenal,2025-08-15,E062,Net 30,FedEx Ground,Collect,44.16,Closed,E062,EDI 850
