po_number,line,item_id,description,manufacturer_part_number,ordered_qty,uom,unit_cost,extended_cost,need_by_date,promised_date,received_qty,line_status,gl_account
PO-31077,2,P-20026,Set Screw #50,F67122,500,EA,0.63,315.0,2025-07-23,2025-07-28,500,Received,1200
PO-31077,3,P-20119,Elastomer Insert M6,C38995,100,EA,8.11,811.0,2025-08-11,2025-08-11,100,Received,1200
PO-31077,4,P-20067,Carbide Insert 3/4-10,K58173,146,EA,20.92,3054.32,2025-07-16,2025-07-16,146,Received,6700
PO-31078,1,P-20099,Retaining Ring 1/2-13,T12602,100,EA,0.76,76.0,2025-09-21,2025-09-21,100,Received,1200
PO-31079,1,P-10098,A36 hot-rolled steel plate 1/2in,A36-PL-0.500,292,LB,0.68,198.56,2025-04-25,2025-04-30,292,Received,1200
PO-31079,2,P-10098,A36 hot-rolled steel plate 1/2in,A36-PL-0.500,500,LB,0.68,340.0,2025-04-25,2025-04-27,500,Received,1200
PO-31079,3,P-10105,1045 cold-finished round bar 2.000in,1045-RB-2.000,25,LB,0.94,23.5,2025-04-25,2025-04-25,25,Received,1200
PO-31080,1,P-20080,Oil Seal M6,B57713,25,EA,11.25,281.25,2025-09-16,2025-09-16,25,Received,1200
PO-31080,2,P-20000,Coupling Hub - Raw Casting size 8,A16640,500,EA,55.43,27715.0,2025-10-03,2025-10-03,500,Received,1200
PO-31081,1,P-20086,Set Screw size 8,F75346,19,EA,0.51,9.69,2026-03-31,2026-04-05,0,Open,1200
PO-31082,1,P-20083,Retaining Ring 2.000,B69475,137,EA,1.0,137.0,2025-09-30,2025-10-02,137,Received,1200
PO-31083,1,P-20060,Coupling Hub - Raw Casting M6,C22391,10,EA,27.15,271.5,2025-05-07,2025-05-07,10,Received,1200
PO-31083,2,P-20118,Oil Seal 2.000,T98874,25,EA,13.91,347.75,2025-04-27,2025-05-02,25,Received,1200
PO-31084,1,P-20112,Elastomer Insert #50,R79904,161,EA,26.88,4327.68,2026-04-23,2026-04-28,0,Open,1200
PO-31085,1,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,193,EA,21.4,4130.2,2025-09-29,2025-10-01,193,Received,6700
PO-31086,1,P-20109,Oil Seal 3/8-16,N10930,50,EA,9.8,490.0,2025-05-25,2025-05-25,50,Received,1200
PO-31086,2,P-20062,Elastomer Insert 1/4-20,F66231,100,EA,18.77,1877.0,2025-05-16,2025-05-21,100,Received,1200
PO-31086,3,P-20109,Oil Seal 3/8-16,N10930,149,EA,9.8,1460.2,2025-05-25,2025-05-25,149,Received,1200
PO-31087,1,P-20044,Coupling Hub - Raw Casting 3/4-10,C11115,25,EA,25.1,627.5,2026-01-23,2026-01-23,25,Received,1200
PO-31088,1,P-20018,Elastomer Insert 1/2-13,L97235,27,EA,25.87,698.49,2026-02-16,2026-02-16,27,Received,1200
PO-31088,2,P-20060,Coupling Hub - Raw Casting M6,C22391,123,EA,26.88,3306.24,2026-02-14,2026-02-16,123,Received,1200
PO-31088,3,P-20111,Carbide Insert size 8,A61094,500,EA,23.71,11855.0,2026-02-15,2026-02-15,500,Received,6700
PO-31089,1,P-20119,Elastomer Insert M6,C38995,10,EA,8.03,80.3,2026-02-11,2026-02-13,0,Open,1200
PO-31089,2,P-20119,Elastomer Insert M6,C38995,13,EA,8.11,105.43,2026-02-11,2026-02-13,13,Received,1200
PO-31090,1,P-20055,Coupling Hub - Raw Casting size 6,P16125,93,EA,35.27,3280.11,2025-07-17,2025-07-17,93,Received,1200
PO-31090,2,P-20055,Coupling Hub - Raw Casting size 6,P16125,50,EA,35.27,1763.5,2025-07-17,2025-07-17,0,Open,1200
PO-31090,3,P-20056,Set Screw 1.000,B66059,112,EA,0.35000000000000003,39.2,2025-08-13,2025-08-18,112,Received,1200
PO-31091,1,P-10098,A36 hot-rolled steel plate 1/2in,A36-PL-0.500,500,LB,0.68,340.0,2026-01-13,2026-01-13,500,Received,1200
PO-31091,2,P-10098,A36 hot-rolled steel plate 1/2in,A36-PL-0.500,250,LB,0.68,170.0,2026-01-13,2026-01-18,250,Received,1200
PO-31092,1,P-20024,Set Screw 5/8-11,R53248,50,EA,0.37,18.5,2025-09-25,2025-09-25,25,Partial,1200
PO-31092,2,P-10063,"Corrugated box 12x12x12, 25/bd",S-4123,250,BD,31.0,7750.0,2025-09-02,2025-09-07,250,Received,1200
PO-31092,3,P-20024,Set Screw 5/8-11,R53248,25,EA,0.38,9.5,2025-09-25,2025-09-25,0,Open,1200
PO-31093,1,P-20046,Elastomer Insert 1.000,S28044,109,EA,14.45,1575.05,2025-08-14,2025-08-19,109,Received,1200
PO-31093,2,P-20080,Oil Seal M6,B57713,20,EA,11.25,225.0,2025-07-30,2025-07-30,20,Received,1200
PO-31093,3,P-20000,Coupling Hub - Raw Casting size 8,A16640,50,EA,55.43,2771.5,2025-08-16,2025-08-21,50,Received,1200
PO-31093,4,P-20046,Elastomer Insert 1.000,S28044,100,EA,13.76,1376.0,2025-08-14,2025-08-14,0,Open,1200
PO-31094,1,P-20021,Carbide Insert 1.000,L17781,57,EA,23.78,1355.46,2026-02-21,2026-02-21,57,Received,6700
PO-31094,2,P-20054,Set Screw M12,L79607,191,EA,0.48,91.68,2026-02-16,2026-02-16,191,Received,1200
PO-31095,1,P-10042,"Scotch-Brite hand pad 6x9 maroon, 20/bx",7447,84,BX,28.5,2394.0,2026-03-22,2026-03-24,84,Received,6700
PO-31095,2,P-10042,"Scotch-Brite hand pad 6x9 maroon, 20/bx",7447,84,BX,28.5,2394.0,2026-03-22,2026-03-22,84,Received,6700
PO-31095,3,P-20044,Coupling Hub - Raw Casting 3/4-10,C11115,250,EA,25.6,6400.0,2026-04-26,2026-05-01,0,Open,1200
PO-31096,1,P-10063,"Corrugated box 12x12x12, 25/bd",S-4123,243,BD,31.0,7533.0,2025-06-30,2025-06-30,243,Received,1200
PO-31096,2,P-20099,Retaining Ring 1/2-13,T12602,19,EA,0.77,14.63,2025-07-23,2025-07-23,19,Received,1200
PO-31097,1,P-20091,Carbide Insert 5/16-18,D86373,100,EA,11.81,1181.0,2025-09-11,2025-09-13,100,Received,6700
PO-31097,2,P-20006,Set Screw 5/8-11,T65806,112,EA,0.2,22.4,2025-08-28,2025-08-28,112,Received,1200
PO-31098,1,P-20105,Coupling Hub - Raw Casting M12,G47425,25,EA,81.05,2026.25,2026-01-25,2026-01-30,25,Received,1200
PO-31098,2,P-20086,Set Screw size 8,F75346,25,EA,0.51,12.75,2026-01-16,2026-01-16,25,Received,1200
PO-31098,3,P-20042,Coupling Hub - Raw Casting M8,P2915,97,EA,49.72,4822.84,2025-12-27,2025-12-27,97,Received,1200
PO-31098,4,P-20050,Oil Seal size 6,S58621,100,EA,13.35,1335.0,2025-12-19,2025-12-19,0,Open,1200
PO-31099,1,P-20029,Set Screw 5/8-11,K45261,10,EA,0.71,7.1,2025-05-29,2025-06-03,10,Received,1200
PO-31100,1,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,100,EA,21.4,2140.0,2025-04-16,2025-04-18,100,Received,6700
PO-31100,2,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,25,EA,22.68,567.0,2025-04-16,2025-04-16,25,Received,6700
PO-31100,3,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,193,EA,21.83,4213.19,2025-04-16,2025-04-21,193,Received,6700
PO-31101,1,P-20064,Retaining Ring 1/4-20,E60404,10,EA,0.7000000000000001,7.0,2025-11-26,2025-11-26,10,Received,1200
PO-31101,2,P-20051,Oil Seal size 4,H85200,129,EA,11.200000000000001,1444.8,2025-12-08,2025-12-08,0,Open,1200
PO-31101,3,P-20051,Oil Seal size 4,H85200,250,EA,11.200000000000001,2800.0,2025-12-08,2025-12-08,250,Received,1200
PO-31102,1,P-20041,Oil Seal 1.250,K55040,11,EA,13.73,151.03,2025-05-12,2025-05-12,11,Received,1200
PO-31102,2,P-20041,Oil Seal 1.250,K55040,11,EA,13.870000000000001,152.57,2025-05-12,2025-05-12,11,Received,1200
PO-31103,1,P-20117,Elastomer Insert M8,G2007,500,EA,27.150000000000002,13575.0,2025-11-21,2025-11-21,500,Received,1200
PO-31103,2,P-20055,Coupling Hub - Raw Casting size 6,P16125,100,EA,37.03,3703.0,2025-11-23,2025-11-23,100,Received,1200
PO-31103,3,P-20075,Carbide Insert size 8,G46154,50,EA,14.48,724.0,2025-11-25,2025-11-25,50,Received,6700
PO-31104,1,P-20041,Oil Seal 1.250,K55040,11,EA,14.15,155.65,2026-01-12,2026-01-14,11,Received,1200
PO-31105,1,P-20000,Coupling Hub - Raw Casting size 8,A16640,42,EA,53.77,2258.34,2026-03-07,2026-03-07,42,Received,1200
PO-31105,2,P-20052,Carbide Insert 5/16-18,P45610,62,EA,10.49,650.38,2026-02-07,2026-02-07,62,Received,6700
PO-31105,3,P-20052,Carbide Insert 5/16-18,P45610,62,EA,10.49,650.38,2026-02-07,2026-02-12,62,Received,6700
PO-31106,1,P-20067,Carbide Insert 3/4-10,K58173,146,EA,20.51,2994.46,2025-12-17,2025-12-17,146,Received,6700
PO-31107,1,P-20116,Set Screw 1.375,N91475,115,EA,0.11,12.65,2026-04-16,2026-04-18,0,Open,1200
PO-31107,2,P-20026,Set Screw #50,F67122,10,EA,0.63,6.3,2026-04-03,2026-04-03,5,Partial,1200
PO-31107,3,P-20026,Set Screw #50,F67122,25,EA,0.63,15.75,2026-04-03,2026-04-05,0,Open,1200
PO-31108,1,P-20028,Coupling Hub - Raw Casting 1/4-20,D12726,100,EA,39.64,3964.0,2025-04-24,2025-04-24,0,Open,1200
PO-31109,1,P-20008,Retaining Ring 1/4-20,P60546,25,EA,1.68,42.0,2025-11-25,2025-11-27,0,Open,1200
PO-31110,1,P-10105,1045 cold-finished round bar 2.000in,1045-RB-2.000,80,LB,0.95,76.0,2025-07-30,2025-07-30,0,Open,1200
PO-31110,2,P-10098,A36 hot-rolled steel plate 1/2in,A36-PL-0.500,292,LB,0.68,198.56,2025-07-30,2025-07-30,0,Open,1200
PO-31110,3,P-10098,A36 hot-rolled steel plate 1/2in,A36-PL-0.500,250,LB,0.68,170.0,2025-07-30,2025-08-01,250,Received,1200
PO-31111,1,P-20091,Carbide Insert 5/16-18,D86373,50,EA,12.05,602.5,2025-09-17,2025-09-19,50,Received,6700
PO-31111,2,P-20091,Carbide Insert 5/16-18,D86373,112,EA,12.05,1349.6,2025-09-17,2025-09-19,112,Received,6700
PO-31111,3,P-20108,Coupling Hub - Raw Casting #60,K94952,25,EA,68.82000000000001,1720.5,2025-09-07,2025-09-09,0,Open,1200
PO-31111,4,P-20091,Carbide Insert 5/16-18,D86373,10,EA,12.05,120.5,2025-09-17,2025-09-17,10,Received,6700
PO-31112,1,P-20049,Oil Seal 3/4-10,K67833,50,EA,6.0200000000000005,301.0,2025-11-27,2025-11-27,50,Received,1200
PO-31112,2,P-10091,"Hex nut 1/2-13 Gr 8 yellow zinc, 100/bx",HN-0500-13-G8,139,BX,19.2,2668.8,2025-11-22,2025-11-27,139,Received,1200
PO-31112,3,P-20059,Elastomer Insert size 6,C72126,10,EA,9.74,97.4,2025-12-14,2025-12-14,5,Partial,1200
PO-31112,4,P-10084,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx",HHCS-0500-13-200-G8,10,BX,38.4,384.0,2025-11-25,2025-11-25,10,Received,1200
PO-31113,1,P-20075,Carbide Insert size 8,G46154,72,EA,14.48,1042.56,2025-10-02,2025-10-02,72,Received,6700
PO-31113,2,P-20079,Set Screw 5/16-18,F50061,66,EA,0.38,25.08,2025-09-20,2025-09-22,66,Received,1200
PO-31114,1,P-20050,Oil Seal size 6,S58621,500,EA,12.84,6420.0,2026-04-04,2026-04-04,0,Open,1200
PO-31114,2,P-20112,Elastomer Insert #50,R79904,161,EA,26.88,4327.68,2026-05-10,2026-05-10,0,Open,1200
PO-31114,3,P-20086,Set Screw size 8,F75346,25,EA,0.51,12.75,2026-05-02,2026-05-02,0,Open,1200
PO-31115,1,P-20064,Retaining Ring 1/4-20,E60404,42,EA,0.7000000000000001,29.4,2025-06-23,2025-06-25,42,Received,1200
PO-31115,2,P-20064,Retaining Ring 1/4-20,E60404,42,EA,0.7000000000000001,29.4,2025-06-23,2025-06-23,42,Received,1200
PO-31115,3,P-20027,Oil Seal size 8,H34271,100,EA,8.42,842.0,2025-06-24,2025-06-26,0,Open,1200
PO-31115,4,P-20045,Set Screw M10,S44671,250,EA,0.18,45.0,2025-06-26,2025-06-28,250,Received,1200
PO-31116,1,P-20015,Oil Seal #60,C35385,97,EA,5.42,525.74,2026-01-31,2026-01-31,97,Received,1200
PO-31116,2,P-20047,Carbide Insert 1/4-20,M82610,175,EA,15.41,2696.75,2026-02-01,2026-02-06,175,Received,6700
PO-31116,3,P-20089,Carbide Insert 1.375,K6044,143,EA,14.19,2029.17,2026-01-23,2026-01-23,143,Received,6700
PO-31117,1,P-20119,Elastomer Insert M6,C38995,13,EA,8.11,105.43,2025-06-16,2025-06-16,13,Received,1200
PO-31118,1,P-20017,Coupling Hub - Raw Casting size 4,H34119,11,EA,84.28,927.08,2025-11-04,2025-11-06,11,Received,1200
PO-31119,1,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,168,BX,9.85,1654.8,2025-04-28,2025-05-03,168,Received,6700
PO-31119,2,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,168,BX,9.85,1654.8,2025-04-28,2025-04-28,168,Received,6700
PO-31119,3,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,168,BX,9.85,1654.8,2025-04-28,2025-05-03,168,Received,6700
PO-31120,1,P-10077,WD-40 Multi-Use 1 gal,49012,281,GA,27.8,7811.8,2025-04-20,2025-04-20,281,Received,6700
PO-31120,2,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,193,EA,21.4,4130.2,2025-04-18,2025-04-23,193,Received,6700
PO-31120,3,P-10077,WD-40 Multi-Use 1 gal,49012,250,GA,27.8,6950.0,2025-04-20,2025-04-25,250,Received,6700
PO-31121,1,P-20113,Coupling Hub - Raw Casting 3/4-10,N70842,162,EA,35.81,5801.22,2025-09-12,2025-09-12,162,Received,1200
PO-31121,2,P-20062,Elastomer Insert 1/4-20,F66231,197,EA,18.77,3697.69,2025-08-23,2025-08-25,197,Received,1200
PO-31121,3,P-20062,Elastomer Insert 1/4-20,F66231,197,EA,18.77,3697.69,2025-08-23,2025-08-28,197,Received,1200
PO-31122,1,P-20017,Coupling Hub - Raw Casting size 4,H34119,11,EA,84.28,927.08,2025-10-11,2025-10-11,11,Received,1200
PO-31122,2,P-20119,Elastomer Insert M6,C38995,13,EA,8.11,105.43,2025-10-26,2025-10-26,13,Received,1200
PO-31122,3,P-20116,Set Screw 1.375,N91475,10,EA,0.1,1.0,2025-10-20,2025-10-20,0,Open,1200
PO-31123,1,P-20084,Carbide Insert 1.000,E5921,164,EA,14.89,2441.96,2025-06-01,2025-06-06,164,Received,6700
PO-31123,2,P-20049,Oil Seal 3/4-10,K67833,97,EA,6.0200000000000005,583.94,2025-05-06,2025-05-08,97,Received,1200
PO-31123,3,P-20012,Elastomer Insert #60,N70540,250,EA,29.94,7485.0,2025-06-06,2025-06-06,125,Partial,1200
PO-31124,1,P-20083,Retaining Ring 2.000,B69475,137,EA,1.02,139.74,2025-08-21,2025-08-21,137,Received,1200
PO-31124,2,P-20011,Elastomer Insert 2.000,C10198,128,EA,5.14,657.92,2025-09-17,2025-09-17,128,Received,1200
PO-31124,3,P-20009,Retaining Ring M6,B15209,127,EA,0.88,111.76,2025-08-27,2025-08-27,127,Received,1200
PO-31124,4,P-20083,Retaining Ring 2.000,B69475,137,EA,1.02,139.74,2025-08-21,2025-08-21,137,Received,1200
PO-31125,1,P-20104,Elastomer Insert 1/2-13,D72275,157,EA,29.28,4596.96,2026-02-06,2026-02-06,157,Received,1200
PO-31125,2,P-20104,Elastomer Insert 1/2-13,D72275,157,EA,29.28,4596.96,2026-02-06,2026-02-11,157,Received,1200
PO-31125,3,P-10014,Tapered roller bearing set,LM11949/LM11910,216,EA,8.95,1933.2,2026-01-16,2026-01-16,216,Received,1200
PO-31125,4,P-20104,Elastomer Insert 1/2-13,D72275,250,EA,29.28,7320.0,2026-02-06,2026-02-06,250,Received,1200
PO-31126,1,P-20044,Coupling Hub - Raw Casting 3/4-10,C11115,500,EA,25.1,12550.0,2025-09-28,2025-09-28,500,Received,1200
PO-31126,2,P-20044,Coupling Hub - Raw Casting 3/4-10,C11115,194,EA,25.1,4869.4,2025-09-28,2025-09-28,0,Open,1200
PO-31127,1,P-20046,Elastomer Insert 1.000,S28044,109,EA,13.76,1499.84,2025-08-26,2025-08-28,109,Received,1200
PO-31127,2,P-20052,Carbide Insert 5/16-18,P45610,62,EA,10.49,650.38,2025-07-31,2025-07-31,62,Received,6700
PO-31127,3,P-20048,Coupling Hub - Raw Casting 5/8-11,D16222,100,EA,55.620000000000005,5562.0,2025-08-04,2025-08-04,100,Received,1200
PO-31128,1,P-20088,Oil Seal 1/2-13,M10634,46,EA,12.5,575.0,2025-08-25,2025-08-30,46,Received,1200
PO-31128,2,P-20088,Oil Seal 1/2-13,M10634,46,EA,12.5,575.0,2025-08-25,2025-08-25,46,Received,1200
PO-31128,3,P-20088,Oil Seal 1/2-13,M10634,10,EA,12.5,125.0,2025-08-25,2025-08-25,10,Received,1200
PO-31128,4,P-20088,Oil Seal 1/2-13,M10634,50,EA,12.5,625.0,2025-08-25,2025-08-27,50,Received,1200
PO-31129,1,P-20028,Coupling Hub - Raw Casting 1/4-20,D12726,26,EA,39.64,1030.64,2026-03-16,2026-03-21,26,Received,1200
PO-31129,2,P-20035,Elastomer Insert M10,N45563,100,EA,12.200000000000001,1220.0,2026-04-04,2026-04-04,0,Open,1200
PO-31130,1,P-20021,Carbide Insert 1.000,L17781,500,EA,23.78,11890.0,2026-04-22,2026-04-22,250,Partial,6700
PO-31130,2,P-20021,Carbide Insert 1.000,L17781,57,EA,23.78,1355.46,2026-04-22,2026-04-27,0,Open,6700
PO-31130,3,P-20021,Carbide Insert 1.000,L17781,57,EA,23.78,1355.46,2026-04-22,2026-04-24,28,Partial,6700
PO-31131,1,P-20046,Elastomer Insert 1.000,S28044,109,EA,13.76,1499.84,2025-05-25,2025-05-27,109,Received,1200
PO-31131,2,P-20046,Elastomer Insert 1.000,S28044,109,EA,13.76,1499.84,2025-05-25,2025-05-25,109,Received,1200
PO-31132,1,P-20080,Oil Seal M6,B57713,25,EA,11.25,281.25,2025-10-27,2025-10-27,25,Received,1200
PO-31132,2,P-20046,Elastomer Insert 1.000,S28044,250,EA,13.76,3440.0,2025-11-11,2025-11-13,250,Received,1200
PO-31132,3,P-20000,Coupling Hub - Raw Casting size 8,A16640,10,EA,55.43,554.3,2025-11-13,2025-11-15,10,Received,1200
PO-31132,4,P-20080,Oil Seal M6,B57713,20,EA,11.25,225.0,2025-10-27,2025-11-01,20,Received,1200
PO-31133,1,P-20044,Coupling Hub - Raw Casting 3/4-10,C11115,194,EA,25.1,4869.4,2026-02-14,2026-02-16,194,Received,1200
PO-31134,1,P-20095,Elastomer Insert 1.000,K63060,250,EA,24.28,6070.0,2026-01-23,2026-01-23,250,Received,1200
PO-31134,2,P-20037,Carbide Insert size 8,N28851,189,EA,12.31,2326.59,2026-01-01,2026-01-06,0,Open,6700
PO-31134,3,P-20045,Set Screw M10,S44671,82,EA,0.19,15.58,2026-01-07,2026-01-07,82,Received,1200
PO-31135,1,P-20048,Coupling Hub - Raw Casting 5/8-11,D16222,25,EA,58.96,1474.0,2026-02-05,2026-02-05,25,Received,1200
PO-31136,1,P-10091,"Hex nut 1/2-13 Gr 8 yellow zinc, 100/bx",HN-0500-13-G8,139,BX,18.62,2588.18,2025-10-22,2025-10-22,139,Received,1200
PO-31136,2,P-20007,Elastomer Insert 3/4-10,S63049,156,EA,25.82,4027.92,2025-11-14,2025-11-16,156,Received,1200
PO-31137,1,P-20099,Retaining Ring 1/2-13,T12602,10,EA,0.77,7.7,2025-10-30,2025-10-30,10,Received,1200
PO-31137,2,P-20024,Set Screw 5/8-11,R53248,103,EA,0.38,39.14,2025-10-30,2025-10-30,103,Received,1200
PO-31137,3,P-10063,"Corrugated box 12x12x12, 25/bd",S-4123,100,BD,31.0,3100.0,2025-10-07,2025-10-07,100,Received,1200
PO-31137,4,P-20029,Set Screw 5/8-11,K45261,250,EA,0.71,177.5,2025-11-02,2025-11-07,250,Received,1200
PO-31138,1,P-20088,Oil Seal 1/2-13,M10634,100,EA,12.5,1250.0,2026-02-14,2026-02-14,100,Received,1200
PO-31138,2,P-20088,Oil Seal 1/2-13,M10634,46,EA,12.5,575.0,2026-02-14,2026-02-16,46,Received,1200
PO-31138,3,P-20088,Oil Seal 1/2-13,M10634,46,EA,12.5,575.0,2026-02-14,2026-02-16,46,Received,1200
PO-31138,4,P-20088,Oil Seal 1/2-13,M10634,250,EA,12.5,3125.0,2026-02-14,2026-02-14,250,Received,1200
PO-31139,1,P-20049,Oil Seal 3/4-10,K67833,25,EA,6.0200000000000005,150.5,2025-04-28,2025-04-30,25,Received,1200
PO-31139,2,P-20084,Carbide Insert 1.000,E5921,164,EA,14.89,2441.96,2025-05-24,2025-05-29,164,Received,6700
PO-31140,1,P-20035,Elastomer Insert M10,N45563,25,EA,12.200000000000001,305.0,2025-07-12,2025-07-12,25,Received,1200
PO-31140,2,P-20081,Elastomer Insert 1.375,G80581,126,EA,19.19,2417.94,2025-07-06,2025-07-06,126,Received,1200
PO-31141,1,P-10105,1045 cold-finished round bar 2.000in,1045-RB-2.000,80,LB,0.94,75.2,2025-04-23,2025-04-28,80,Received,1200
PO-31141,2,P-10098,A36 hot-rolled steel plate 1/2in,A36-PL-0.500,50,LB,0.68,34.0,2025-04-23,2025-04-25,50,Received,1200
PO-31142,1,P-20088,Oil Seal 1/2-13,M10634,10,EA,12.5,125.0,2025-06-15,2025-06-20,10,Received,1200
PO-31142,2,P-20088,Oil Seal 1/2-13,M10634,10,EA,12.5,125.0,2025-06-15,2025-06-15,10,Received,1200
PO-31143,1,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,168,BX,9.85,1654.8,2025-07-16,2025-07-21,168,Received,6700
PO-31143,2,P-10070,SecureFit 400 safety glasses clear anti-fog,SF401AF,165,EA,3.15,519.75,2025-07-31,2025-07-31,165,Received,6700
PO-31143,3,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,168,BX,9.85,1654.8,2025-07-16,2025-07-16,168,Received,6700
PO-31144,1,P-20026,Set Screw #50,F67122,10,EA,0.63,6.3,2026-03-08,2026-03-10,10,Received,1200
PO-31144,2,P-20119,Elastomer Insert M6,C38995,13,EA,8.11,105.43,2026-03-27,2026-04-01,13,Received,1200
PO-31144,3,P-20119,Elastomer Insert M6,C38995,13,EA,8.11,105.43,2026-03-27,2026-03-27,0,Open,1200
PO-31145,1,P-20088,Oil Seal 1/2-13,M10634,46,EA,12.5,575.0,2025-11-15,2025-11-15,46,Received,1200
PO-31145,2,P-20088,Oil Seal 1/2-13,M10634,50,EA,13.12,656.0,2025-11-15,2025-11-15,50,Received,1200
PO-31145,3,P-20088,Oil Seal 1/2-13,M10634,100,EA,12.5,1250.0,2025-11-15,2025-11-17,100,Received,1200
PO-31146,1,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,168,BX,9.85,1654.8,2025-06-15,2025-06-20,168,Received,6700
PO-31146,2,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,168,BX,9.85,1654.8,2025-06-15,2025-06-17,168,Received,6700
PO-31146,3,P-10070,SecureFit 400 safety glasses clear anti-fog,SF401AF,100,EA,3.21,321.0,2025-06-30,2025-06-30,100,Received,6700
PO-31147,1,P-20106,Coupling Hub - Raw Casting M10,L88174,84,EA,63.36,5322.24,2026-05-01,2026-05-01,0,Open,1200
PO-31147,2,P-20089,Carbide Insert 1.375,K6044,143,EA,13.76,1967.68,2026-04-22,2026-04-27,0,Open,6700
PO-31148,1,P-20067,Carbide Insert 3/4-10,K58173,146,EA,20.51,2994.46,2025-08-02,2025-08-02,146,Received,6700
PO-31149,1,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,168,BX,9.85,1654.8,2025-11-07,2025-11-07,168,Received,6700
PO-31149,2,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,168,BX,9.65,1621.2,2025-11-07,2025-11-07,168,Received,6700
PO-31150,1,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,193,EA,21.4,4130.2,2025-11-29,2025-11-29,193,Received,6700
PO-31151,1,P-20117,Elastomer Insert M8,G2007,79,EA,27.150000000000002,2144.85,2026-02-07,2026-02-07,79,Received,1200
PO-31151,2,P-20075,Carbide Insert size 8,G46154,100,EA,14.48,1448.0,2026-02-11,2026-02-11,100,Received,6700
PO-31152,1,P-20067,Carbide Insert 3/4-10,K58173,146,EA,20.51,2994.46,2025-10-18,2025-10-23,146,Received,6700
PO-31152,2,P-20116,Set Screw 1.375,N91475,115,EA,0.1,11.5,2025-11-07,2025-11-07,115,Received,1200
PO-31152,3,P-20116,Set Screw 1.375,N91475,115,EA,0.1,11.5,2025-11-07,2025-11-07,115,Received,1200
PO-31152,4,P-20067,Carbide Insert 3/4-10,K58173,146,EA,20.51,2994.46,2025-10-18,2025-10-23,146,Received,6700
PO-31153,1,P-20056,Set Screw 1.000,B66059,112,EA,0.35000000000000003,39.2,2026-03-14,2026-03-14,112,Received,1200
PO-31153,2,P-20117,Elastomer Insert M8,G2007,79,EA,27.150000000000002,2144.85,2026-02-13,2026-02-13,79,Received,1200
PO-31153,3,P-20079,Set Screw 5/16-18,F50061,66,EA,0.39,25.74,2026-02-05,2026-02-05,66,Received,1200
PO-31153,4,P-20079,Set Screw 5/16-18,F50061,66,EA,0.38,25.08,2026-02-05,2026-02-07,66,Received,1200
PO-31154,1,P-10105,1045 cold-finished round bar 2.000in,1045-RB-2.000,80,LB,0.94,75.2,2026-03-14,2026-03-14,0,Open,1200
PO-31154,2,P-10105,1045 cold-finished round bar 2.000in,1045-RB-2.000,80,LB,0.94,75.2,2026-03-14,2026-03-19,80,Received,1200
PO-31155,1,P-20117,Elastomer Insert M8,G2007,79,EA,27.150000000000002,2144.85,2026-01-12,2026-01-12,0,Open,1200
PO-31155,2,P-20055,Coupling Hub - Raw Casting size 6,P16125,93,EA,35.27,3280.11,2026-01-14,2026-01-19,93,Received,1200
PO-31155,3,P-20079,Set Screw 5/16-18,F50061,66,EA,0.38,25.08,2026-01-04,2026-01-09,66,Received,1200
PO-31156,1,P-20059,Elastomer Insert size 6,C72126,250,EA,9.370000000000001,2342.5,2025-10-24,2025-10-24,250,Received,1200
PO-31156,2,P-20059,Elastomer Insert size 6,C72126,25,EA,9.370000000000001,234.25,2025-10-24,2025-10-24,25,Received,1200
PO-31157,1,P-20035,Elastomer Insert M10,N45563,500,EA,12.200000000000001,6100.0,2025-12-22,2025-12-22,500,Received,1200
PO-31158,1,P-10070,SecureFit 400 safety glasses clear anti-fog,SF401AF,165,EA,3.15,519.75,2026-04-10,2026-04-10,0,Open,6700
PO-31158,2,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,10,BX,9.95,99.5,2026-03-26,2026-03-26,10,Received,6700
PO-31158,3,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,250,BX,9.85,2462.5,2026-03-26,2026-03-31,250,Received,6700
PO-31158,4,P-10070,SecureFit 400 safety glasses clear anti-fog,SF401AF,100,EA,3.15,315.0,2026-04-10,2026-04-12,0,Open,6700
PO-31159,1,P-20103,Carbide Insert #50,T29412,50,EA,17.330000000000002,866.5,2025-07-28,2025-08-02,50,Received,6700
