invoice_number,customer_id,so_number,shipment_id,customer_po_number,invoice_date,due_date,payment_terms,merchandise_total,freight,sales_tax,invoice_total,amount_paid,balance,status,delivery_method,gl_revenue_account
INV-60150,NIC-CUST0036,SO-26162,SH-50150,P831065,2025-10-28,2025-12-12,Net 45,31590.94,281.23,0.0,31872.17,31872.17,0.0,Paid,Email PDF,4000
INV-60151,NIC-CUST0018,SO-26163,SH-50151,P437876,2026-02-01,2026-03-18,Net 45,23068.12,0.0,0.0,23068.12,0.0,23068.12,Past Due,Portal upload,4000
INV-60152,NIC-CUST0033,SO-26165,SH-50152,PO887835,2025-07-26,2025-08-25,Net 30,12231.47,0.0,0.0,12231.47,12231.47,0.0,Paid,Email PDF,4000
INV-60153,NIC-CUST0015,SO-26166,SH-50153,4500290536,2026-03-25,2026-05-24,Net 60,2963.86,0.0,0.0,2963.86,0.0,2963.86,Open,Mail,4000
INV-60154,NIC-CUST0029,SO-26167,SH-50154,4500186619,2025-12-25,2026-01-24,Net 30,22937.56,0.0,0.0,22937.56,22937.56,0.0,Paid,Email PDF,4000
INV-60155,NIC-CUST0030,SO-26168,SH-50155,4500661712,2025-08-01,2025-09-15,Net 45,14729.69,0.0,0.0,14729.69,14729.69,0.0,Paid,Email PDF,4000
INV-60156,NIC-CUST0019,SO-26169,SH-50156,PUR-582697,2025-07-04,2025-07-04,COD,7315.09,0.0,0.0,7315.09,7315.09,0.0,Paid,Portal upload,4000
INV-60157,NIC-CUST0040,SO-26170,SH-50157,P751847,2026-02-11,2026-03-13,Net 30,7738.05,159.7,0.0,7897.75,7897.75,0.0,Paid,EDI 810,4000
INV-60158,NIC-CUST0015,SO-26171,SH-50158,4500813487,2025-09-05,2025-11-04,Net 60,8691.45,65.55,0.0,8757.0,8757.0,0.0,Paid,Mail,4000
INV-60159,NIC-CUST0002,SO-26172,SH-50159,PO855056,2026-03-27,2026-04-26,Net 30,21677.76,345.91,0.0,22023.67,0.0,22023.67,Open,Email PDF,4000
INV-60160,NIC-CUST0003,SO-26173,SH-50160,P725668,2025-09-28,2025-10-28,Net 30,13765.35,0.0,997.99,14763.34,14763.34,0.0,Paid,Email PDF,4000
INV-60161,NIC-CUST0031,SO-26174,SH-50161,PO810713,2025-04-11,2025-05-11,2% 10 Net 30,737.34,0.0,0.0,737.34,737.34,0.0,Paid,Portal upload,4000
INV-60162,NIC-CUST0001,SO-26175,SH-50162,PO789334,2025-09-01,2025-10-01,Net 30,5875.21,247.98,425.95,6549.14,6549.14,0.0,Paid,Email PDF,4000
INV-60163,NIC-CUST0034,SO-26176,SH-50163,PO217418,2026-03-25,2026-05-09,Net 45,7763.23,0.0,562.83,8326.06,0.0,8326.06,Open,Email PDF,4000
INV-60164,NIC-CUST0017,SO-26177,SH-50164,PO200581,2025-09-22,2025-10-22,Net 30,25433.44,0.0,0.0,25433.44,25433.44,0.0,Paid,Email PDF,4000
INV-60165,NIC-CUST0040,SO-26178,SH-50165,4500127484,2026-02-17,2026-03-19,Net 30,9736.72,0.0,0.0,9736.72,0.0,9736.72,Past Due,Portal upload,4000
INV-60166,NIC-CUST0004,SO-26179,SH-50166,P498752,2025-11-12,2026-01-11,Net 60,11879.38,0.0,0.0,11879.38,11879.38,0.0,Paid,Email PDF,4000
INV-60167,NIC-CUST0010,SO-26180,SH-50167,P881933,2025-07-28,2025-07-28,COD,28137.77,0.0,0.0,28137.77,28137.77,0.0,Paid,Mail,4000
INV-60168,NIC-CUST0030,SO-26181,SH-50168,P179700,2025-09-30,2025-11-14,Net 45,4202.05,0.0,0.0,4202.05,4202.05,0.0,Paid,Mail,4000
INV-60169,NIC-CUST0034,SO-26182,SH-50169,PO270096,2025-04-26,2025-06-10,Net 45,2154.98,0.0,156.24,2311.22,2311.22,0.0,Paid,Email PDF,4000
INV-60170,NIC-CUST0003,SO-26183,SH-50170,PUR-933446,2026-01-22,2026-02-21,Net 30,363.17,50.35,26.33,439.85,439.85,0.0,Paid,EDI 810,4000
INV-60171,NIC-CUST0009,SO-26184,SH-50171,4500429648,2025-10-14,2025-11-28,Net 45,20428.64,284.12,0.0,20712.76,20581.25,131.51,Short Paid,Mail,4000
INV-60172,NIC-CUST0003,SO-26185,SH-50172,PO156653,2025-05-23,2025-06-22,Net 30,5522.4,29.51,400.37,5952.28,5952.28,0.0,Paid,Portal upload,4000
INV-60173,NIC-CUST0026,SO-26186,SH-50173,PO584345,2025-08-01,2025-09-30,Net 60,3191.67,98.75,0.0,3290.42,3290.42,0.0,Paid,EDI 810,4000
INV-60174,NIC-CUST0022,SO-26187,SH-50174,PUR-115724,2026-02-12,2026-03-14,Net 30,20104.11,193.31,1457.55,21754.97,21754.97,0.0,Paid,Portal upload,4000
INV-60175,NIC-CUST0010,SO-26188,SH-50175,PUR-858628,2025-12-25,2025-12-25,COD,8434.17,0.0,0.0,8434.17,8434.17,0.0,Paid,Mail,4000
INV-60176,NIC-CUST0004,SO-26189,SH-50176,PUR-833952,2026-03-20,2026-05-19,Net 60,1526.86,202.3,0.0,1729.16,0.0,1729.16,Open,Email PDF,4000
INV-60177,NIC-CUST0008,SO-26190,SH-50177,PO398781,2025-04-16,2025-05-16,2% 10 Net 30,14728.12,0.0,0.0,14728.12,14728.12,0.0,Paid,Mail,4000
INV-60178,NIC-CUST0015,SO-26192,SH-50178,PO103590,2025-12-15,2026-02-13,Net 60,1288.6,0.0,0.0,1288.6,1288.6,0.0,Paid,Email PDF,4000
INV-60179,NIC-CUST0026,SO-26193,SH-50179,PUR-460134,2026-03-15,2026-05-14,Net 60,17124.69,0.0,0.0,17124.69,0.0,17124.69,Open,Portal upload,4000
INV-60180,NIC-CUST0017,SO-26194,SH-50180,P757368,2025-10-28,2025-11-27,Net 30,4366.71,0.0,0.0,4366.71,4366.71,0.0,Paid,Mail,4000
INV-60181,NIC-CUST0037,SO-26195,SH-50181,PO160525,2026-01-03,2026-03-04,Net 60,1479.56,0.0,0.0,1479.56,1479.56,0.0,Paid,Email PDF,4000
INV-60182,NIC-CUST0030,SO-26196,SH-50182,4500547208,2025-11-14,2025-12-29,Net 45,10302.74,104.88,0.0,10407.62,10231.29,176.33,Short Paid,Email PDF,4000
INV-60183,NIC-CUST0017,SO-26197,SH-50183,4500654301,2025-12-13,2026-01-12,Net 30,19626.02,0.0,0.0,19626.02,19626.02,0.0,Paid,Mail,4000
INV-60184,NIC-CUST0010,SO-26198,SH-50184,PUR-698834,2025-12-17,2025-12-17,COD,9499.1,0.0,0.0,9499.1,9499.1,0.0,Paid,Email PDF,4000
INV-60185,NIC-CUST0024,SO-26199,SH-50185,PO467508,2025-06-27,2025-07-27,Net 30,207.29,0.0,0.0,207.29,207.29,0.0,Paid,Portal upload,4000
INV-60186,NIC-CUST0013,SO-26200,SH-50186,4500436621,2025-09-25,2025-10-25,Net 30,11416.22,174.12,0.0,11590.34,11590.34,0.0,Paid,Portal upload,4000
INV-60187,NIC-CUST0019,SO-26201,SH-50187,P715761,2025-08-21,2025-08-21,COD,6590.07,371.29,0.0,6961.36,6939.94,21.42,Short Paid,EDI 810,4000
INV-60188,NIC-CUST0040,SO-26202,SH-50188,P680870,2025-05-14,2025-06-13,Net 30,9524.69,0.0,0.0,9524.69,9524.69,0.0,Paid,Email PDF,4000
INV-60189,NIC-CUST0014,SO-26203,SH-50189,PUR-573937,2025-08-27,2025-10-26,Net 60,2368.43,0.0,0.0,2368.43,2368.43,0.0,Paid,Email PDF,4000
INV-60190,NIC-CUST0020,SO-26204,SH-50190,4500705392,2026-03-10,2026-04-09,Net 30,15462.36,0.0,1121.02,16583.38,0.0,16583.38,Open,Mail,4000
INV-60191,NIC-CUST0002,SO-26205,SH-50191,4500454903,2025-08-24,2025-09-23,Net 30,1542.04,0.0,0.0,1542.04,1542.04,0.0,Paid,Portal upload,4000
INV-60192,NIC-CUST0014,SO-26206,SH-50192,4500524908,2025-12-15,2026-02-13,Net 60,2905.72,0.0,0.0,2905.72,2905.72,0.0,Paid,Email PDF,4000
INV-60193,NIC-CUST0014,SO-26207,SH-50193,P414215,2025-07-15,2025-09-13,Net 60,3228.52,0.0,0.0,3228.52,3228.52,0.0,Paid,Email PDF,4000
INV-60194,NIC-CUST0029,SO-26208,SH-50194,P460800,2025-06-16,2025-07-16,Net 30,3161.4,0.0,0.0,3161.4,3161.4,0.0,Paid,EDI 810,4000
INV-60195,NIC-CUST0030,SO-26209,SH-50195,PUR-817599,2025-07-31,2025-09-14,Net 45,530.02,0.0,0.0,530.02,530.02,0.0,Paid,Email PDF,4000
INV-60196,NIC-CUST0006,SO-26210,SH-50196,PUR-174780,2025-11-08,2025-12-23,Net 45,417.11,0.0,30.24,447.35,447.35,0.0,Paid,Email PDF,4000
INV-60197,NIC-CUST0026,SO-26211,SH-50197,4500312302,2026-01-27,2026-03-28,Net 60,14010.93,144.14,0.0,14155.07,14155.07,0.0,Paid,EDI 810,4000
INV-60198,NIC-CUST0004,SO-26212,SH-50198,P210855,2026-01-01,2026-03-02,Net 60,15823.14,435.56,0.0,16258.7,16258.7,0.0,Paid,Portal upload,4000
INV-60199,NIC-CUST0037,SO-26213,SH-50199,P871366,2025-06-20,2025-08-19,Net 60,28324.58,0.0,0.0,28324.58,28324.58,0.0,Paid,Email PDF,4000
INV-60200,NIC-CUST0037,SO-26214,SH-50200,4500744482,2025-11-20,2026-01-19,Net 60,3104.91,0.0,0.0,3104.91,3104.91,0.0,Paid,Mail,4000
INV-60201,NIC-CUST0023,SO-26215,SH-50201,PO168051,2025-09-15,2025-10-15,2% 10 Net 30,3387.29,0.0,0.0,3387.29,3387.29,0.0,Paid,Email PDF,4000
INV-60202,NIC-CUST0002,SO-26216,SH-50202,P664051,2026-01-02,2026-02-01,Net 30,3087.85,0.0,0.0,3087.85,3087.85,0.0,Paid,EDI 810,4000
INV-60203,NIC-CUST0031,SO-26217,SH-50203,P368605,2025-10-28,2025-11-27,2% 10 Net 30,17406.81,155.96,0.0,17562.77,17562.77,0.0,Paid,EDI 810,4000
INV-60204,NIC-CUST0040,SO-26218,SH-50204,PUR-231095,2026-03-22,2026-04-21,Net 30,4230.81,0.0,0.0,4230.81,0.0,4230.81,Open,Portal upload,4000
INV-60205,NIC-CUST0035,SO-26219,SH-50205,PUR-516924,2026-03-13,2026-04-12,Net 30,10946.66,0.0,0.0,10946.66,0.0,10946.66,Open,Email PDF,4000
INV-60206,NIC-CUST0038,SO-26220,SH-50206,PUR-708982,2025-07-24,2025-09-07,Net 45,6681.65,260.59,484.42,7426.66,7426.66,0.0,Paid,Mail,4000
INV-60207,NIC-CUST0034,SO-26221,SH-50207,4500317147,2026-01-22,2026-03-08,Net 45,3116.46,0.0,225.94,3342.4,3342.4,0.0,Paid,EDI 810,4000
INV-60208,NIC-CUST0007,SO-26222,SH-50208,4500689482,2025-12-16,2026-01-30,Net 45,7358.95,198.29,533.52,8090.76,8090.76,0.0,Paid,Mail,4000
INV-60209,NIC-CUST0040,SO-26223,SH-50209,PUR-648768,2025-05-29,2025-06-28,Net 30,16133.75,200.87,0.0,16334.62,16334.62,0.0,Paid,EDI 810,4000
INV-60210,NIC-CUST0004,SO-26224,SH-50210,PUR-870568,2025-07-04,2025-09-02,Net 60,27941.18,488.83,0.0,28430.01,28430.01,0.0,Paid,Email PDF,4000
INV-60211,NIC-CUST0007,SO-26225,SH-50211,4500370123,2026-01-02,2026-02-16,Net 45,10212.53,0.0,740.41,10952.94,10952.94,0.0,Paid,Email PDF,4000
INV-60212,NIC-CUST0033,SO-26226,SH-50212,PO484236,2025-07-26,2025-08-25,Net 30,975.13,0.0,0.0,975.13,975.13,0.0,Paid,Portal upload,4000
INV-60213,NIC-CUST0002,SO-26227,SH-50213,PO671445,2025-10-05,2025-11-04,Net 30,4147.86,0.0,0.0,4147.86,4147.86,0.0,Paid,Email PDF,4000
INV-60214,NIC-CUST0010,SO-26228,SH-50214,4500199634,2025-11-02,2025-11-02,COD,17148.31,215.24,0.0,17363.55,17363.55,0.0,Paid,Portal upload,4000
INV-60215,NIC-CUST0024,SO-26229,SH-50215,PUR-984961,2025-11-15,2025-12-15,Net 30,11134.56,136.9,0.0,11271.46,11271.46,0.0,Paid,EDI 810,4000
INV-60216,NIC-CUST0014,SO-26230,SH-50216,4500816352,2025-11-01,2025-12-31,Net 60,5119.23,330.61,0.0,5449.84,5449.84,0.0,Paid,EDI 810,4000
INV-60217,NIC-CUST0031,SO-26231,SH-50217,PO834374,2026-01-04,2026-02-03,2% 10 Net 30,7281.3,276.77,0.0,7558.07,7176.66,381.41,Short Paid,Portal upload,4000
INV-60218,NIC-CUST0019,SO-26232,SH-50218,PO462817,2026-01-16,2026-01-16,COD,9057.3,0.0,0.0,9057.3,9057.3,0.0,Paid,Email PDF,4000
INV-60219,NIC-CUST0004,SO-26233,SH-50219,PO242974,2025-07-16,2025-09-14,Net 60,20133.86,0.0,0.0,20133.86,20133.86,0.0,Paid,Email PDF,4000
INV-60220,NIC-CUST0019,SO-26235,SH-50220,P261432,2025-12-16,2025-12-16,COD,193.34,0.0,0.0,193.34,193.34,0.0,Paid,EDI 810,4000
INV-60221,NIC-CUST0039,SO-26236,SH-50221,P659143,2025-12-18,2026-01-17,Net 30,8394.98,0.0,0.0,8394.98,8336.2,58.78,Short Paid,Email PDF,4000
INV-60222,NIC-CUST0012,SO-26237,SH-50222,P814600,2025-08-15,2025-09-14,2% 10 Net 30,12170.59,114.67,882.37,13167.63,13167.63,0.0,Paid,Email PDF,4000
INV-60223,NIC-CUST0006,SO-26238,SH-50223,4500944894,2025-11-14,2025-12-29,Net 45,3136.81,0.0,227.42,3364.23,3364.23,0.0,Paid,Portal upload,4000
INV-60224,NIC-CUST0001,SO-26239,SH-50224,P816210,2025-09-15,2025-10-15,Net 30,10407.6,152.59,754.55,11314.74,11314.74,0.0,Paid,EDI 810,4000
INV-60225,NIC-CUST0003,SO-26240,SH-50225,PO409096,2025-10-24,2025-11-23,Net 30,2125.42,0.0,154.09,2279.51,2279.51,0.0,Paid,Email PDF,4000
INV-60226,NIC-CUST0034,SO-26241,SH-50226,PUR-996921,2025-07-05,2025-08-19,Net 45,2039.68,0.0,147.88,2187.56,2187.56,0.0,Paid,Email PDF,4000
INV-60227,NIC-CUST0015,SO-26242,SH-50227,PO215085,2025-07-09,2025-09-07,Net 60,20481.73,0.0,0.0,20481.73,20481.73,0.0,Paid,Portal upload,4000
INV-60228,NIC-CUST0007,SO-26243,SH-50228,4500478302,2025-11-29,2026-01-13,Net 45,3350.13,0.0,242.88,3593.01,3593.01,0.0,Paid,EDI 810,4000
INV-60229,NIC-CUST0035,SO-26244,SH-50229,4500408005,2026-02-07,2026-03-09,Net 30,5929.63,0.0,0.0,5929.63,5929.63,0.0,Paid,Portal upload,4000
INV-60230,NIC-CUST0006,SO-26245,SH-50230,4500128287,2025-09-05,2025-10-20,Net 45,14389.68,90.43,1043.25,15523.36,15523.36,0.0,Paid,Portal upload,4000
INV-60231,NIC-CUST0015,SO-26246,SH-50231,P351924,2025-09-18,2025-11-17,Net 60,1089.51,0.0,0.0,1089.51,1089.51,0.0,Paid,Mail,4000
INV-60232,NIC-CUST0038,SO-26247,SH-50232,PO173617,2025-06-03,2025-07-18,Net 45,15068.84,182.48,1092.49,16343.81,16343.81,0.0,Paid,Email PDF,4000
INV-60233,NIC-CUST0013,SO-26248,SH-50233,4500613568,2026-01-03,2026-02-02,Net 30,4275.88,0.0,0.0,4275.88,4275.88,0.0,Paid,Mail,4000
INV-60234,NIC-CUST0013,SO-26249,SH-50234,PUR-775786,2025-09-21,2025-10-21,Net 30,10292.08,141.02,0.0,10433.1,10433.1,0.0,Paid,Mail,4000
INV-60235,NIC-CUST0012,SO-26250,SH-50235,P326779,2025-05-17,2025-06-16,2% 10 Net 30,7006.28,0.0,507.96,7514.24,7514.24,0.0,Paid,EDI 810,4000
INV-60236,NIC-CUST0017,SO-26251,SH-50236,4500223064,2025-05-20,2025-06-19,Net 30,14109.19,117.2,0.0,14226.39,14226.39,0.0,Paid,Mail,4000
INV-60237,NIC-CUST0010,SO-26252,SH-50237,PUR-608928,2025-08-24,2025-08-24,COD,3969.77,198.51,0.0,4168.28,4044.08,124.2,Short Paid,Mail,4000
INV-60238,NIC-CUST0002,SO-26253,SH-50238,PUR-678038,2025-12-23,2026-01-22,Net 30,7003.84,0.0,0.0,7003.84,7003.84,0.0,Paid,Email PDF,4000
INV-60239,NIC-CUST0029,SO-26254,SH-50239,4500742521,2025-04-25,2025-05-25,Net 30,12503.75,209.97,0.0,12713.72,12713.72,0.0,Paid,EDI 810,4000
INV-60240,NIC-CUST0008,SO-26255,SH-50240,4500230993,2025-05-04,2025-06-03,2% 10 Net 30,15215.3,0.0,0.0,15215.3,15215.3,0.0,Paid,EDI 810,4000
INV-60241,NIC-CUST0006,SO-26256,SH-50241,PO789438,2025-11-23,2026-01-07,Net 45,6420.42,85.72,465.48,6971.62,6971.62,0.0,Paid,Portal upload,4000
INV-60242,NIC-CUST0033,SO-26257,SH-50242,P385402,2025-10-17,2025-11-16,Net 30,8441.63,0.0,0.0,8441.63,8441.63,0.0,Paid,Email PDF,4000
INV-60243,NIC-CUST0014,SO-26258,SH-50243,P192636,2026-02-23,2026-04-24,Net 60,24531.06,0.0,0.0,24531.06,0.0,24531.06,Open,Mail,4000
INV-60244,NIC-CUST0014,SO-26259,SH-50244,PUR-696274,2025-09-17,2025-11-16,Net 60,1784.51,0.0,0.0,1784.51,1784.51,0.0,Paid,Portal upload,4000
INV-60245,NIC-CUST0006,SO-26260,SH-50245,4500189715,2025-10-26,2025-12-10,Net 45,3097.45,0.0,224.57,3322.02,3322.02,0.0,Paid,EDI 810,4000
INV-60246,NIC-CUST0011,SO-26261,SH-50246,P413150,2025-05-28,2025-06-27,2% 10 Net 30,2100.76,146.02,0.0,2246.78,2246.78,0.0,Paid,Portal upload,4000
INV-60247,NIC-CUST0022,SO-26262,SH-50247,P442294,2025-12-22,2026-01-21,Net 30,24403.18,0.0,1769.23,26172.41,26172.41,0.0,Paid,Mail,4000
INV-60248,NIC-CUST0022,SO-26263,SH-50248,PUR-315016,2025-05-26,2025-06-25,Net 30,225.34,0.0,16.34,241.68,241.68,0.0,Paid,Email PDF,4000
INV-60249,NIC-CUST0039,SO-26264,SH-50249,4500475106,2026-01-13,2026-02-12,Net 30,4830.68,0.0,0.0,4830.68,4830.68,0.0,Paid,Email PDF,4000
INV-60250,NIC-CUST0012,SO-26266,SH-50250,P232825,2025-11-27,2025-12-27,2% 10 Net 30,5131.12,0.0,372.01,5503.13,5503.13,0.0,Paid,Email PDF,4000
INV-60251,NIC-CUST0040,SO-26267,SH-50251,P347610,2025-12-21,2026-01-20,Net 30,7629.51,0.0,0.0,7629.51,7629.51,0.0,Paid,EDI 810,4000
INV-60252,NIC-CUST0030,SO-26268,SH-50252,P863707,2026-02-05,2026-03-22,Net 45,14678.04,0.0,0.0,14678.04,0.0,14678.04,Past Due,EDI 810,4000
INV-60253,NIC-CUST0038,SO-26269,SH-50253,PUR-497571,2025-10-06,2025-11-20,Net 45,409.0,0.0,29.65,438.65,438.65,0.0,Paid,Email PDF,4000
INV-60254,NIC-CUST0030,SO-26271,SH-50254,PO654162,2025-05-01,2025-06-15,Net 45,6916.18,0.0,0.0,6916.18,6916.18,0.0,Paid,Email PDF,4000
INV-60255,NIC-CUST0001,SO-26272,SH-50255,P318790,2025-12-20,2026-01-19,Net 30,7763.84,296.46,562.88,8623.18,8623.18,0.0,Paid,Mail,4000
INV-60256,NIC-CUST0026,SO-26273,SH-50256,4500103104,2026-01-08,2026-03-09,Net 60,13267.13,389.54,0.0,13656.67,13656.67,0.0,Paid,Email PDF,4000
INV-60257,NIC-CUST0040,SO-26274,SH-50257,P796202,2025-11-06,2025-12-06,Net 30,505.05,117.13,0.0,622.18,575.76,46.42,Short Paid,EDI 810,4000
INV-60258,NIC-CUST0007,SO-26275,SH-50258,4500994434,2026-01-27,2026-03-13,Net 45,12525.54,0.0,908.1,13433.64,0.0,13433.64,Past Due,Email PDF,4000
INV-60259,NIC-CUST0026,SO-26276,SH-50259,P186738,2025-08-15,2025-10-14,Net 60,28158.4,223.04,0.0,28381.44,28381.44,0.0,Paid,Portal upload,4000
INV-60260,NIC-CUST0006,SO-26277,SH-50260,P163528,2025-06-01,2025-07-16,Net 45,6526.28,0.0,473.16,6999.44,6870.37,129.07,Short Paid,Mail,4000
INV-60261,NIC-CUST0025,SO-26278,SH-50261,PO415284,2025-11-30,2026-01-29,Net 60,15757.0,457.04,0.0,16214.04,16214.04,0.0,Paid,Email PDF,4000
INV-60262,NIC-CUST0007,SO-26279,SH-50262,PUR-665155,2026-03-10,2026-04-24,Net 45,6393.24,132.29,463.51,6989.04,0.0,6989.04,Open,Portal upload,4000
INV-60263,NIC-CUST0023,SO-26280,SH-50263,P749839,2025-11-07,2025-12-07,2% 10 Net 30,1571.45,0.0,0.0,1571.45,1483.22,88.23,Short Paid,EDI 810,4000
INV-60264,NIC-CUST0025,SO-26281,SH-50264,PUR-979147,2025-12-06,2026-02-04,Net 60,12514.44,240.48,0.0,12754.92,12754.92,0.0,Paid,EDI 810,4000
INV-60265,NIC-CUST0005,SO-26282,SH-50265,PO892775,2025-09-10,2025-10-10,Net 30,3286.28,127.09,238.26,3651.63,3651.63,0.0,Paid,Email PDF,4000
INV-60266,NIC-CUST0008,SO-26283,SH-50266,PO176959,2026-01-29,2026-02-28,2% 10 Net 30,7356.49,0.0,0.0,7356.49,7356.49,0.0,Paid,Portal upload,4000
INV-60267,NIC-CUST0023,SO-26284,SH-50267,P130825,2025-11-26,2025-12-26,2% 10 Net 30,6924.25,131.1,0.0,7055.35,7055.35,0.0,Paid,EDI 810,4000
INV-60268,NIC-CUST0031,SO-26285,SH-50268,4500350027,2025-08-20,2025-09-19,2% 10 Net 30,12505.52,237.01,0.0,12742.53,12432.3,310.23,Short Paid,EDI 810,4000
INV-60269,NIC-CUST0034,SO-26286,SH-50269,4500610239,2026-01-26,2026-03-12,Net 45,5177.5,181.34,375.37,5734.21,5734.21,0.0,Paid,EDI 810,4000
INV-60270,NIC-CUST0026,SO-26287,SH-50270,PUR-948390,2025-05-05,2025-07-04,Net 60,10238.21,183.49,0.0,10421.7,10421.7,0.0,Paid,Mail,4000
INV-60271,NIC-CUST0035,SO-26288,SH-50271,PO581048,2025-10-14,2025-11-13,Net 30,12438.32,416.99,0.0,12855.31,12855.31,0.0,Paid,Email PDF,4000
INV-60272,NIC-CUST0021,SO-26289,SH-50272,PO172576,2025-07-07,2025-08-06,Net 30,5447.05,415.89,394.91,6257.85,6257.85,0.0,Paid,EDI 810,4000
INV-60273,NIC-CUST0010,SO-26290,SH-50273,PUR-808428,2026-03-15,2026-03-15,COD,3056.68,0.0,0.0,3056.68,0.0,3056.68,Past Due,Mail,4000
INV-60274,NIC-CUST0020,SO-26291,SH-50274,PO385297,2026-01-30,2026-03-01,Net 30,7039.08,129.07,510.33,7678.48,7678.48,0.0,Paid,Mail,4000
INV-60275,NIC-CUST0019,SO-26293,SH-50275,PUR-684517,2025-04-29,2025-04-29,COD,3740.33,0.0,0.0,3740.33,3740.33,0.0,Paid,Portal upload,4000
INV-60276,NIC-CUST0009,SO-26294,SH-50276,P886102,2025-07-17,2025-08-31,Net 45,6398.84,0.0,0.0,6398.84,6398.84,0.0,Paid,EDI 810,4000
INV-60277,NIC-CUST0015,SO-26295,SH-50277,PUR-499716,2025-08-09,2025-10-08,Net 60,3043.06,0.0,0.0,3043.06,3043.06,0.0,Paid,Email PDF,4000
INV-60278,NIC-CUST0002,SO-26296,SH-50278,PO864168,2026-02-21,2026-03-23,Net 30,1818.33,60.84,0.0,1879.17,0.0,1879.17,Past Due,EDI 810,4000
INV-60279,NIC-CUST0039,SO-26297,SH-50279,4500438936,2026-03-07,2026-04-06,Net 30,16496.02,0.0,0.0,16496.02,0.0,16496.02,Open,EDI 810,4000
INV-60280,NIC-CUST0021,SO-26298,SH-50280,P903571,2025-06-08,2025-07-08,Net 30,676.02,0.0,49.01,725.03,725.03,0.0,Paid,Mail,4000
INV-60281,NIC-CUST0005,SO-26299,SH-50281,PO460387,2025-05-24,2025-06-23,Net 30,3559.61,137.73,258.07,3955.41,3955.41,0.0,Paid,Portal upload,4000
INV-60282,NIC-CUST0020,SO-26300,SH-50282,PO144513,2025-09-04,2025-10-04,Net 30,1612.96,0.0,116.94,1729.9,1729.9,0.0,Paid,Mail,4000
INV-60283,NIC-CUST0006,SO-26301,SH-50283,PUR-527408,2025-04-20,2025-06-04,Net 45,1827.89,0.0,132.52,1960.41,1960.41,0.0,Paid,EDI 810,4000
INV-60284,NIC-CUST0004,SO-26302,SH-50284,P703720,2025-07-09,2025-09-07,Net 60,7085.08,0.0,0.0,7085.08,6913.46,171.62,Short Paid,Email PDF,4000
INV-60285,NIC-CUST0022,SO-26304,SH-50285,P930560,2026-01-10,2026-02-09,Net 30,13277.18,154.61,962.6,14394.39,14394.39,0.0,Paid,Mail,4000
INV-60286,NIC-CUST0019,SO-26305,SH-50286,PUR-776471,2025-06-24,2025-06-24,COD,29828.55,0.0,0.0,29828.55,29828.55,0.0,Paid,Portal upload,4000
INV-60287,NIC-CUST0001,SO-26306,SH-50287,4500684284,2025-10-05,2025-11-04,Net 30,9064.98,124.94,657.21,9847.13,9847.13,0.0,Paid,Mail,4000
INV-60288,NIC-CUST0033,SO-26307,SH-50288,4500810570,2026-02-10,2026-03-12,Net 30,1296.27,0.0,0.0,1296.27,1296.27,0.0,Paid,Email PDF,4000
INV-60289,NIC-CUST0018,SO-26308,SH-50289,P978042,2026-03-14,2026-04-28,Net 45,8089.4,0.0,0.0,8089.4,0.0,8089.4,Open,Email PDF,4000
INV-60290,NIC-CUST0019,SO-26309,SH-50290,PO991348,2025-11-21,2025-11-21,COD,4846.88,275.66,0.0,5122.54,5122.54,0.0,Paid,Email PDF,4000
INV-60291,NIC-CUST0033,SO-26310,SH-50291,4500523235,2025-07-28,2025-08-27,Net 30,28942.66,0.0,0.0,28942.66,28942.66,0.0,Paid,Email PDF,4000
INV-60292,NIC-CUST0040,SO-26311,SH-50292,4500565029,2025-08-26,2025-09-25,Net 30,9291.88,111.81,0.0,9403.69,9403.69,0.0,Paid,Email PDF,4000
INV-60293,NIC-CUST0004,SO-26312,SH-50293,4500587699,2025-07-09,2025-09-07,Net 60,10301.25,303.77,0.0,10605.02,10605.02,0.0,Paid,Mail,4000
INV-60294,NIC-CUST0039,SO-26313,SH-50294,4500498463,2026-03-13,2026-04-12,Net 30,8787.14,232.65,0.0,9019.79,0.0,9019.79,Open,Portal upload,4000
INV-60295,NIC-CUST0011,SO-26314,SH-50295,PUR-361828,2025-09-04,2025-10-04,2% 10 Net 30,18393.51,0.0,0.0,18393.51,18393.51,0.0,Paid,Portal upload,4000
INV-60296,NIC-CUST0001,SO-26315,SH-50296,PUR-212689,2025-07-15,2025-08-14,Net 30,26805.02,308.37,1943.36,29056.75,29056.75,0.0,Paid,Portal upload,4000
INV-60297,NIC-CUST0036,SO-26316,SH-50297,PO342748,2025-12-19,2026-02-02,Net 45,5229.95,0.0,0.0,5229.95,5229.95,0.0,Paid,Email PDF,4000
INV-60298,NIC-CUST0037,SO-26317,SH-50298,P285761,2025-11-01,2025-12-31,Net 60,13508.48,0.0,0.0,13508.48,13508.48,0.0,Paid,Email PDF,4000
INV-60299,NIC-CUST0026,SO-26318,SH-50299,4500447974,2025-05-02,2025-07-01,Net 60,18044.48,0.0,0.0,18044.48,18044.48,0.0,Paid,Email PDF,4000
INV-60300,NIC-CUST0040,SO-26319,SH-50300,PUR-786270,2026-03-27,2026-04-26,Net 30,8287.16,0.0,0.0,8287.16,0.0,8287.16,Open,EDI 810,4000
