SUPPLIER_INVOICE_N,SUPPLIER_ID,SUPPLIER_NAME,PO_NUMBER,INVOICE_DATE,RECEIVED_DATE,DUE_DATE,MERCHANDISE_TOTAL,FREIGHT,SALES_TAX,INVOICE_TOTAL,GL_ACCOUNT,STATUS,MATCH_STATUS,ENTERED_BY
92869674,RFS-V004,Baldor-Reliance (ABB),5130,2025-12-25,2025-12-30,2026-02-08 ,4839.79,67.78,0.0,4907.57,2000,Paid,Matched,E002
,RFS-V014,Parker Hannifin,6757,08/08/2025,2025-08-13,09/22/2025,5326.14,0.0,492.67,5818.81,2000,Paid,Matched,E002
97843315,RFS-V011,,6709,2026-03-10,"Mar 10, 2026",2026-04-09,"$11,435.00",0.0,0.0,11435.0,2000,Approved,Matched,E002
INV6718753,RFS-V008,Grainger Industrial Supply,7359,2025-07-27,2025-07-31,2025-08-26,"$4,462.50",134.05,0.0,4596.55,2000,Paid,Matched,E002
INV2387268,RFS-V008,Grainger Industrial Supply,5462,2025-06-25,06/29/2025,2025-07-25,14997.9,0.0,0.0,"$14,997.90",2000,Paid,Price variance,E002
SI9695394,RFS-V016,Ryerson,8667,,03/27/26,2026-05-10,6553.26,122.0,0.0,6675.26,2000,Approved,Matched,E002
INV4999237,RFS-V015,Regal Rexnord,8836,2025-11-10,11/14/25,12/25/25,$380.20,7.33,0.0,387.53,2000,Paid,Matched,E002
6033557,RFS-V014,Parker Hannifin,7459,07/19/25,07/23/2025,2025-09-02,3967.79,0.0,0.0,3967.79,2000,Paid,Price variance,E002
94782221,RFS-V006,Fastenal,6739,2025-10-09,10/11/2025,2025-11-08,11527.48,0.0,0.0,"$11,527.48",2000,Paid,Matched,E002
INV1508842,RFS-V009,Haas Automation,6785,2026-01-18,2026-01-23,02/17/26,"$2,497.28",0.0,0.0,2497.28,2000,Paid,Matched,E002
INV2990171,RFS-V005,Brighton-Best International,5923,2025-09-27,2025-09-28,2025-10-27,"$14,332.18",0.0,0.0,"$14,332.18",2000,Paid,Price variance,E002 
9304554,RFS-V011,MSC Industrial Supply,,2026-02-05,2026-02-10,2026-03-07,4878.3,0.0,,"$5,329.54",2000,Paid,Matched,E002
INV2969526,,Fastenal,7144,15-Dec-2025,,"Jan 14, 2026",7645.9,0.0,0.0,7645.9,2000,Paid,Matched,E002
INV7531824 ,RFS-V017,Sandvik Coromant,5239,2026-03-11,,04/10/26,8285.75,0.0,0.0,8285.75,2000,On Hold,Price variance,E002
9907139,RFS-V017 ,Sandvik Coromant,5230,2025-08-12,2025-08-14,09/11/2025,"$33,928.96",0.0,0.0,"$33,928.96",2000,Paid,Price variance,E002
1959054,RFS-V012,McMaster-Carr,7388,12-Dec-2025,2025-12-13,2026-01-11,"$1,444.25",0.0,0.0,"$1,444.25",2000,Paid,Matched,E002
SI3024583,RFS-V004,,6743,"Feb 03, 2026",2026-02-03,2026-03-20 ,"$5,659.50",0.0,0.0,5659.5,2000,Paid,Matched,E002
1099245,RFS-V007,Garlock Sealing Technologies,6871,"Dec 18, 2025",2025-12-19,2026-01-17,"$2,433.32",86.27,0.0,2519.59,2000,Paid,Matched,E002
8975253,RFS-V012,McMaster-Carr,7121,07/03/2025,2025-07-06,08/02/25,8016.4,42.15,0.0,8058.55,2000,Paid,Matched,E002
765401,RFS-V018,Uline,8773,2025-05-21,"May 24, 2025",2025-06-20,12138.79,0.0,0.0,12138.79,,Paid,Matched,E002
SI2809490,RFS-V003,Applied Industrial Technologies,7148,11/11/25,2025-11-14,2025-12-11,"$10,266.04",127.16,0.0,10393.2,2000,Paid,Price variance,E002
3002192,RFS-V003,Applied Industrial Technologies,7793,2026-02-17,"Feb 21, 2026 ",03/19/26,$637.56,0.0,58.97,696.53,2000,Approved,Matched,E002
INV1052369,RFS-V016,Ryerson,7418,2025-09-08,"Sep 12, 2025",23-Oct-2025,"$9,982.48",0.0,0.0,"$9,982.48",2000,Paid,MATCHED,E002
9410775,RFS-V003,Applied Industrial Technologies,8093,2026-02-05,02/06/26,03/07/2026,"$9,009.00",0.0,0.0,"$9,009.00",2000,Paid,Matched,E002
8711855,RFS-V007,Garlock Sealing Technologies,5534,08/20/25,2025-08-23,2025-09-19,212.73,0.0,0.0,212.73,2000,Paid,Matched,E002
4659387,RFS-V017,Sandvik Coromant,5222,"Apr 07, 2026",2026-04-12,2026-05-07,3608.98,0.0,0.0,"$3,608.98",2000,Approved,Matched ,E002
SI3396347,RFS-V008,Grainger Industrial Supply,8669,2026-01-05 ,01/06/2026,2026-02-04 ,"$37,003.70",0.0,3422.84,40426.54,2000,Paid,Matched,E002
97057297,RFS-V014,Parker Hannifin,8830,01/24/2026,01/25/2026,"Mar 10, 2026","$4,418.50",0.0,0.0,"$4,418.50",,Paid,Matched,E002
INV3861314,RFS-V003,Applied Industrial Technologies,7537,,"Oct 31, 2025","Nov 30, 2025","$10,340.77",,0.0,10340.77,,Paid,Matched,E002
SI2303084,RFS-V014,Parker Hannifin,5394,07/07/25,10-Jul-2025,21-Aug-2025,"$3,867.94",0.0,0.0,3867.94,2000,Paid,Matched,E002
INV8609506,RFS-V010,Kaman Industrial Technologies,8199,2026-01-28,31-Jan-2026,02/27/2026,"$15,110.33",0.0,0.0,15110.33,2000,Paid,Matched,E002
INV4314050,RFS-V012,McMaster-Carr,8794,2025-08-16,"Aug 19, 2025","Sep 15, 2025",11050.44,0.0,0.0,11050.44,2000,Paid,Matched,E002
6583241,RFS-V009,Haas Automation,6338,2025-06-20,06/20/25,07/20/2025,"$27,214.56",0.0,0.0,"$27,214.56",2000,Paid,Matched,E002
INV8636891,RFS-V015 ,Regal Rexnord,6950,2025-10-22 ,2025-10-23,2025-12-06,"$12,023.30",99.96,0.0,"$12,123.26",2000,Paid,Matched,E002
92101711,RFS-V002,Apex Fastener Corp,7442,2026-01-12,13-Jan-2026 ,2026-02-11,$199.00,150.34,0.0,349.34,2000,Paid,Matched,E002
4148110 ,RFS-V005,Brighton-Best International,5292,02/06/2026,2026-02-09,2026-03-08,"$11,323.36",93.95,0.0,"$11,417.31",2000,Paid,Matched,E002
,RFS-V013,Motion Industries ,5626,09/23/2025,2025-09-28 ,2025-10-23 ,"$6,039.90",171.5,0.0,6211.4,2000,Paid,Matched,E002
SI5476916,RFS-V012,McMaster-Carr,7062,12/23/25,"Dec 24, 2025",2026-01-22,"$4,053.84",0.0,374.98,4428.82,2000,Paid,Matched,E002
