work_order_id,operation,work_center_id,planned_setup_hours,planned_run_hours,actual_setup_hours,actual_run_hours,status
WO-70081,10,WC-DEBUR,1.5,4.75,1.7,4.7,Complete
WO-70081,20,WC-CNC1,0.75,9.25,0.67,10.64,Complete
WO-70081,30,WC-SAW,0.75,12.0,0.76,14.76,Complete
WO-70081,40,WC-ASSY,1.75,18.75,1.87,18.75,Complete
WO-70081,50,WC-INSP,1.25,26.0,1.29,31.72,Complete
WO-70081,60,WC-PACK,0.5,11.5,0.52,10.23,Complete
WO-70082,10,WC-SAW,1.0,1.85,1.19,2.39,Complete
WO-70082,20,WC-CNC1,2.0,5.15,2.76,5.1,Complete
WO-70082,30,WC-INSP,1.75,1.4,2.27,1.26,Complete
WO-70082,40,WC-PACK,1.0,3.05,0.98,3.9,Complete
WO-70083,10,WC-CNC1,2.0,1.9,1.78,1.77,Complete
WO-70083,20,WC-SAW,1.5,0.9,1.56,1.13,Complete
WO-70083,30,WC-INSP,1.75,9.2,1.59,10.3,Complete
WO-70083,40,WC-PACK,1.75,10.6,2.36,13.99,Complete
WO-70084,10,WC-SAW,1.0,9.25,0.91,7.86,Complete
WO-70084,20,WC-CNC1,2.0,25.75,2.46,25.49,Complete
WO-70084,30,WC-INSP,1.75,7.0,1.75,7.0,Complete
WO-70084,40,WC-PACK,1.0,15.25,0.95,18.3,Complete
WO-70085,10,WC-DEBUR,0.5,14.2,0.6,19.03,Complete
WO-70085,20,WC-SAW,1.25,16.8,1.01,22.51,Complete
WO-70085,30,WC-INSP,1.0,13.2,0.97,11.75,Complete
WO-70085,40,WC-PACK,1.5,9.8,,,Open
WO-70086,10,WC-CNC2,1.5,16.6,1.43,20.75,Complete
WO-70086,20,WC-DEBUR,0.25,14.0,0.28,13.3,Complete
WO-70086,30,WC-INSP,1.25,2.0,1.65,2.56,Complete
WO-70086,40,WC-PACK,1.25,8.2,1.45,9.84,Complete
WO-70087,10,WC-CNC2,0.75,0.8,0.95,1.02,Complete
WO-70087,20,WC-DEBUR,0.5,6.6,0.63,6.67,Complete
WO-70087,30,WC-INSP,1.75,3.3,2.36,4.29,Complete
WO-70087,40,WC-PACK,0.25,0.7,0.34,0.67,Complete
WO-70088,10,WC-DEBUR,0.5,7.1,0.42,6.89,Complete
WO-70088,20,WC-SAW,1.25,8.4,1.57,8.23,Complete
WO-70088,30,WC-INSP,1.0,6.6,1.04,7.46,Complete
WO-70088,40,WC-PACK,1.5,4.9,1.52,5.68,Complete
WO-70089,10,WC-CNC2,0.5,17.25,0.58,21.39,Complete
WO-70089,20,WC-ASSY,1.5,27.0,1.84,36.18,Complete
WO-70089,30,WC-DEBUR,0.75,14.5,0.63,17.4,Complete
WO-70089,40,WC-CNC1,1.0,10.25,0.83,13.02,Complete
WO-70089,50,WC-INSP,0.5,28.75,0.61,31.62,Complete
WO-70089,60,WC-PACK,1.75,1.75,2.1,2.26,Complete
WO-70090,10,WC-CNC2,0.5,3.45,0.56,3.48,Complete
WO-70090,20,WC-ASSY,1.5,5.4,1.8,5.51,Complete
WO-70090,30,WC-DEBUR,0.75,2.9,0.91,3.57,Complete
WO-70090,40,WC-CNC1,1.0,2.05,0.94,2.44,Complete
WO-70090,50,WC-INSP,0.5,5.75,0.47,7.3,Complete
WO-70090,60,WC-PACK,1.75,0.35,1.85,0.44,Complete
WO-70091,10,WC-SAW,1.0,3.4,1.25,3.81,Complete
WO-70091,20,WC-CNC1,0.75,4.1,0.86,4.1,Complete
WO-70091,30,WC-CNC2,1.25,7.9,1.2,9.01,Complete
WO-70091,40,WC-ASSY,0.75,7.7,0.64,8.09,Complete
WO-70091,50,WC-INSP,1.75,1.6,2.33,1.9,Complete
WO-70091,60,WC-PACK,1.25,4.3,1.16,4.77,Complete
WO-70092,10,WC-SAW,0.5,1.8,,,Open
WO-70092,20,WC-CNC1,1.75,1.6,1.94,1.82,Complete
WO-70092,30,WC-DEBUR,0.5,4.35,,,Open
WO-70092,40,WC-CNC2,1.5,3.55,1.5,4.72,Complete
WO-70092,50,WC-INSP,0.5,2.3,0.61,2.3,Complete
WO-70092,60,WC-PACK,1.25,0.65,,,Open
WO-70093,10,WC-CNC2,0.25,27.25,0.22,32.43,Complete
WO-70093,20,WC-ASSY,1.0,29.0,1.27,37.12,Complete
WO-70093,30,WC-DEBUR,1.5,26.25,1.62,27.83,Complete
WO-70093,40,WC-CNC1,1.25,11.25,1.6,9.79,Complete
WO-70093,50,WC-INSP,1.25,25.5,1.18,27.29,Complete
WO-70093,60,WC-PACK,0.25,27.25,0.21,27.25,Complete
WO-70094,10,WC-DEBUR,0.5,5.15,0.53,5.46,Complete
WO-70094,20,WC-CNC1,1.75,1.9,2.12,2.34,Complete
WO-70094,30,WC-ASSY,1.0,3.8,1.03,4.07,Complete
WO-70094,40,WC-SAW,0.75,1.65,0.65,1.86,Complete
WO-70094,50,WC-INSP,1.0,3.45,1.1,3.76,Complete
WO-70094,60,WC-PACK,0.5,0.85,0.69,0.87,Complete
WO-70095,10,WC-DEBUR,0.5,17.75,0.42,19.17,Complete
WO-70095,20,WC-SAW,1.25,21.0,1.29,23.73,Complete
WO-70095,30,WC-INSP,1.0,16.5,0.84,17.49,Complete
WO-70095,40,WC-PACK,1.5,12.25,1.67,16.54,Complete
WO-70096,10,WC-CNC2,1.75,12.75,1.49,15.17,Complete
WO-70096,20,WC-ASSY,0.75,6.5,0.61,7.41,Complete
WO-70096,30,WC-DEBUR,0.5,2.75,0.69,2.36,Complete
WO-70096,40,WC-INSP,1.0,3.75,1.13,4.88,Complete
WO-70096,50,WC-PACK,0.25,22.25,0.26,23.14,Complete
WO-70097,10,WC-SAW,1.25,30.0,1.14,26.4,Complete
WO-70097,20,WC-CNC2,1.0,112.0,1.06,97.44,Complete
WO-70097,30,WC-CNC1,1.0,85.0,1.04,106.25,Complete
WO-70097,40,WC-ASSY,1.0,107.0,1.3,117.7,Complete
WO-70097,50,WC-INSP,2.0,117.0,1.94,134.55,Complete
WO-70097,60,WC-PACK,1.75,32.0,1.98,39.36,Complete
WO-70098,10,WC-ASSY,1.75,8.75,2.03,11.29,Complete
WO-70098,20,WC-SAW,1.0,17.25,1.09,14.66,Complete
WO-70098,30,WC-CNC2,0.25,22.75,0.31,28.89,Complete
WO-70098,40,WC-DEBUR,0.5,20.0,0.41,20.0,Complete
WO-70098,50,WC-INSP,0.5,9.25,0.66,8.88,Complete
WO-70098,60,WC-PACK,0.25,29.5,0.23,29.2,Complete
WO-70099,10,WC-CNC1,2.0,9.5,1.78,12.45,Complete
WO-70099,20,WC-SAW,1.5,4.5,1.77,5.35,Complete
WO-70099,30,WC-INSP,1.75,46.0,1.45,61.64,Complete
WO-70099,40,WC-PACK,1.75,53.0,1.57,45.58,Complete
WO-70100,10,WC-CNC2,1.5,41.5,1.67,55.61,Complete
WO-70100,20,WC-DEBUR,0.25,35.0,0.28,30.45,Complete
WO-70100,30,WC-INSP,1.25,5.0,1.51,6.55,Complete
WO-70100,40,WC-PACK,1.25,20.5,1.64,25.42,Complete
WO-70101,10,WC-DEBUR,1.0,21.6,1.31,28.51,Complete
WO-70101,20,WC-ASSY,0.25,2.0,0.33,2.64,Complete
WO-70101,30,WC-INSP,1.5,2.6,2.03,2.94,Complete
WO-70101,40,WC-PACK,1.0,2.4,1.27,2.11,Complete
WO-70102,10,WC-ASSY,1.75,1.75,1.98,2.35,Complete
WO-70102,20,WC-SAW,1.0,3.45,1.39,4.42,Complete
WO-70102,30,WC-CNC2,0.25,4.55,0.21,5.1,Complete
WO-70102,40,WC-DEBUR,0.5,4.0,0.47,5.36,Complete
WO-70102,50,WC-INSP,0.5,1.85,0.63,2.11,Complete
WO-70102,60,WC-PACK,0.25,5.9,0.26,7.32,Complete
WO-70103,10,WC-DEBUR,0.5,35.5,0.41,35.15,Complete
WO-70103,20,WC-SAW,1.25,42.0,1.45,48.72,Complete
WO-70103,30,WC-INSP,1.0,33.0,1.36,32.34,Complete
WO-70103,40,WC-PACK,1.5,24.5,1.68,27.44,Complete
WO-70104,10,WC-CNC1,2.0,3.8,1.64,4.18,Complete
WO-70104,20,WC-SAW,1.5,1.8,1.33,1.6,Complete
WO-70104,30,WC-INSP,1.75,18.4,1.73,17.48,Complete
WO-70104,40,WC-PACK,1.75,21.2,1.91,26.92,Complete
WO-70105,10,WC-DEBUR,1.75,41.0,2.36,47.97,Complete
WO-70105,20,WC-SAW,1.0,6.5,1.09,7.67,Complete
WO-70105,30,WC-INSP,2.0,15.5,2.44,20.0,Complete
WO-70105,40,WC-PACK,1.75,55.5,1.57,73.82,Complete
WO-70106,10,WC-DEBUR,0.5,25.75,0.69,33.22,Complete
WO-70106,20,WC-CNC1,1.75,9.5,2.08,8.55,Complete
WO-70106,30,WC-ASSY,1.0,19.0,,,Open
WO-70106,40,WC-SAW,0.75,8.25,,,Open
WO-70106,50,WC-INSP,1.0,17.25,,,Open
WO-70106,60,WC-PACK,0.5,4.25,,,Open
WO-70107,10,WC-DEBUR,0.5,11.3,0.7,12.09,Complete
WO-70107,20,WC-SAW,1.75,3.8,2.01,4.41,Complete
WO-70107,30,WC-CNC2,1.25,9.7,1.33,12.32,Complete
WO-70107,40,WC-ASSY,1.75,10.9,1.5,10.68,Complete
WO-70107,50,WC-INSP,1.75,0.7,1.73,0.71,Complete
WO-70107,60,WC-PACK,1.25,5.6,1.62,5.66,Complete
WO-70108,10,WC-CNC2,0.25,5.45,0.34,5.18,Complete
WO-70108,20,WC-ASSY,1.0,5.8,1.31,6.15,Complete
WO-70108,30,WC-DEBUR,1.5,5.25,1.98,6.25,Complete
WO-70108,40,WC-CNC1,1.25,2.25,1.7,2.25,Complete
WO-70108,50,WC-INSP,1.25,5.1,1.25,5.71,Complete
WO-70108,60,WC-PACK,0.25,5.45,0.34,5.12,Complete
WO-70109,10,WC-SAW,1.0,37.0,0.84,32.19,Complete
WO-70109,20,WC-CNC1,2.0,103.0,2.7,92.7,Complete
WO-70109,30,WC-INSP,1.75,28.0,2.21,24.64,Complete
WO-70109,40,WC-PACK,1.0,61.0,1.14,66.49,Complete
WO-70110,10,WC-ASSY,1.75,88.0,2.45,107.36,Complete
WO-70110,20,WC-SAW,1.75,11.0,2.06,10.34,Complete
WO-70110,30,WC-INSP,1.0,79.0,1.04,90.85,Complete
WO-70110,40,WC-PACK,0.25,40.0,0.24,50.4,Complete
WO-70111,10,WC-SAW,2.0,1.3,,,Open
WO-70111,20,WC-CNC1,0.5,4.0,,,Open
WO-70111,30,WC-ASSY,1.75,4.8,,,Open
WO-70111,40,WC-DEBUR,1.5,6.7,1.68,7.44,Complete
WO-70111,50,WC-INSP,0.75,5.9,,,Open
WO-70111,60,WC-PACK,0.5,3.0,,,Open
WO-70112,10,WC-SAW,1.25,30.0,1.18,32.1,Complete
WO-70112,20,WC-CNC2,1.0,112.0,1.07,124.32,Complete
WO-70112,30,WC-CNC1,1.0,85.0,1.3,106.25,Complete
WO-70112,40,WC-ASSY,1.0,107.0,1.17,124.12,Complete
WO-70112,50,WC-INSP,2.0,117.0,1.96,118.17,Complete
WO-70112,60,WC-PACK,1.75,32.0,1.56,34.24,Complete
WO-70113,10,WC-CNC2,0.75,8.0,0.68,7.28,Complete
WO-70113,20,WC-DEBUR,0.5,66.0,0.44,75.24,Complete
WO-70113,30,WC-INSP,1.75,33.0,2.29,33.0,Complete
WO-70113,40,WC-PACK,0.25,7.0,0.26,7.7,Complete
WO-70114,10,WC-DEBUR,0.5,14.2,0.68,17.47,Complete
WO-70114,20,WC-SAW,1.25,16.8,1.41,19.66,Complete
WO-70114,30,WC-INSP,1.0,13.2,0.93,11.62,Complete
WO-70114,40,WC-PACK,1.5,9.8,1.46,9.51,Complete
WO-70115,10,WC-SAW,1.5,7.2,1.59,7.56,Complete
WO-70115,20,WC-DEBUR,0.75,9.7,0.94,9.02,Complete
WO-70115,30,WC-ASSY,2.0,9.3,1.86,9.49,Complete
WO-70115,40,WC-INSP,0.75,4.7,0.64,4.61,Complete
WO-70115,50,WC-PACK,1.75,10.8,2.19,11.02,Complete
WO-70116,10,WC-ASSY,2.0,1.0,2.34,1.13,Complete
WO-70116,20,WC-CNC1,0.5,3.65,0.58,4.75,Complete
WO-70116,30,WC-INSP,1.75,2.15,1.84,2.3,Complete
WO-70116,40,WC-PACK,1.5,2.85,1.33,2.79,Complete
WO-70117,10,WC-SAW,1.25,11.75,1.3,11.16,Complete
WO-70117,20,WC-CNC2,1.75,12.5,1.4,16.5,Complete
WO-70117,30,WC-CNC1,1.5,13.25,1.22,16.7,Complete
WO-70117,40,WC-ASSY,2.0,18.75,2.72,18.56,Complete
WO-70117,50,WC-INSP,1.0,29.0,1.02,29.87,Complete
WO-70117,60,WC-PACK,2.0,13.5,1.76,15.53,Complete
WO-70118,10,WC-DEBUR,0.5,71.0,0.66,63.9,Complete
WO-70118,20,WC-SAW,1.25,84.0,1.4,97.44,Complete
WO-70118,30,WC-INSP,1.0,66.0,1.13,84.48,Complete
WO-70118,40,WC-PACK,1.5,49.0,1.86,44.1,Complete
WO-70119,10,WC-SAW,1.0,3.7,1.25,4.59,Complete
WO-70119,20,WC-CNC1,2.0,10.3,2.46,12.57,Complete
WO-70119,30,WC-INSP,1.75,2.8,1.5,3.22,Complete
WO-70119,40,WC-PACK,1.0,6.1,1.24,6.28,Complete
WO-70120,10,WC-SAW,1.5,8.75,2.01,11.46,Complete
WO-70120,20,WC-CNC2,1.25,19.25,1.4,21.18,Complete
WO-70120,30,WC-INSP,2.0,8.75,2.66,11.29,Complete
WO-70120,40,WC-PACK,0.5,29.0,0.68,26.97,Complete
WO-70121,10,WC-SAW,1.25,3.0,1.05,2.76,Complete
WO-70121,20,WC-CNC2,1.0,11.2,1.1,9.63,Complete
WO-70121,30,WC-CNC1,1.0,8.5,,,Open
WO-70121,40,WC-ASSY,1.0,10.7,1.36,11.24,Complete
WO-70121,50,WC-INSP,2.0,11.7,1.94,12.29,Complete
WO-70121,60,WC-PACK,1.75,3.2,1.84,2.78,Complete
WO-70122,10,WC-CNC2,0.5,13.8,0.42,18.22,Complete
WO-70122,20,WC-ASSY,1.5,21.6,1.29,23.11,Complete
WO-70122,30,WC-DEBUR,0.75,11.6,0.85,12.06,Complete
WO-70122,40,WC-CNC1,1.0,8.2,0.89,10.58,Complete
WO-70122,50,WC-INSP,0.5,23.0,0.67,20.01,Complete
WO-70122,60,WC-PACK,1.75,1.4,1.91,1.61,Complete
WO-70123,10,WC-ASSY,2.0,1.0,2.22,1.13,Complete
WO-70123,20,WC-CNC1,0.5,3.65,0.48,3.47,Complete
WO-70123,30,WC-INSP,1.75,2.15,2.08,2.75,Complete
WO-70123,40,WC-PACK,1.5,2.85,2.04,3.76,Complete
WO-70124,10,WC-SAW,1.5,3.5,1.33,3.08,Complete
WO-70124,20,WC-CNC2,1.25,7.7,1.07,9.39,Complete
WO-70124,30,WC-INSP,2.0,3.5,1.78,4.66,Complete
WO-70124,40,WC-PACK,0.5,11.6,0.56,13.11,Complete
WO-70125,10,WC-ASSY,0.5,23.0,0.68,20.93,Complete
WO-70125,20,WC-DEBUR,0.5,53.5,0.54,56.18,Complete
WO-70125,30,WC-INSP,1.0,17.0,0.82,19.21,Complete
WO-70125,40,WC-PACK,1.5,37.5,1.84,32.25,Complete
WO-70126,10,WC-DEBUR,1.5,0.95,1.7,1.15,Complete
WO-70126,20,WC-CNC1,0.75,1.85,0.68,1.76,Complete
WO-70126,30,WC-SAW,0.75,2.4,0.83,2.62,Complete
WO-70126,40,WC-ASSY,1.75,3.75,1.57,4.88,Complete
WO-70126,50,WC-INSP,1.25,5.2,1.21,6.66,Complete
WO-70126,60,WC-PACK,0.5,2.3,0.48,2.67,Complete
WO-70127,10,WC-DEBUR,1.75,4.1,2.13,3.57,Complete
WO-70127,20,WC-SAW,1.0,0.65,1.07,0.57,Complete
WO-70127,30,WC-INSP,2.0,1.55,2.34,1.55,Complete
WO-70127,40,WC-PACK,1.75,5.55,1.45,6.77,Complete
WO-70128,10,WC-DEBUR,0.75,2.5,,,Open
WO-70128,20,WC-ASSY,1.5,2.45,,,Open
WO-70128,30,WC-SAW,0.75,1.0,,,Open
WO-70128,40,WC-CNC2,1.5,4.85,2.07,5.72,Complete
WO-70128,50,WC-INSP,1.5,5.9,,,Open
WO-70128,60,WC-PACK,1.75,3.55,1.77,3.76,Complete
WO-70129,10,WC-CNC1,0.5,25.5,0.57,23.21,Complete
WO-70129,20,WC-CNC2,1.75,3.5,1.91,3.92,Complete
WO-70129,30,WC-ASSY,0.5,4.5,0.51,4.5,Complete
WO-70129,40,WC-SAW,0.25,53.0,0.23,52.47,Complete
WO-70129,50,WC-INSP,2.0,20.0,2.68,17.4,Complete
WO-70129,60,WC-PACK,1.0,28.0,1.15,26.32,Complete
WO-70130,10,WC-SAW,1.0,11.5,,,Open
WO-70130,20,WC-CNC2,1.5,1.75,1.35,2.17,Complete
WO-70130,30,WC-INSP,0.5,7.0,,,Open
WO-70130,40,WC-PACK,0.75,26.75,0.63,31.3,Complete
WO-70131,10,WC-DEBUR,0.5,103.0,0.51,90.64,Complete
WO-70131,20,WC-CNC1,1.75,38.0,1.79,39.9,Complete
WO-70131,30,WC-ASSY,1.0,76.0,0.94,69.16,Complete
WO-70131,40,WC-SAW,0.75,33.0,0.8,34.98,Complete
WO-70131,50,WC-INSP,1.0,69.0,0.93,86.94,Complete
WO-70131,60,WC-PACK,0.5,17.0,0.69,21.08,Complete
WO-70132,10,WC-ASSY,2.0,1.0,2.22,1.12,Complete
WO-70132,20,WC-CNC1,0.5,3.65,0.48,4.85,Complete
WO-70132,30,WC-INSP,1.75,2.15,1.57,2.28,Complete
WO-70132,40,WC-PACK,1.5,2.85,1.22,3.31,Complete
WO-70133,10,WC-CNC1,0.75,2.4,0.77,3.1,Complete
WO-70133,20,WC-ASSY,0.75,5.8,0.63,5.51,Complete
WO-70133,30,WC-INSP,2.0,3.6,,,Open
WO-70133,40,WC-PACK,1.5,7.1,1.29,9.23,Complete
WO-70134,10,WC-ASSY,0.5,46.0,0.68,53.36,Complete
WO-70134,20,WC-DEBUR,0.5,107.0,0.46,97.37,Complete
WO-70134,30,WC-INSP,1.0,34.0,1.18,35.02,Complete
WO-70134,40,WC-PACK,1.5,75.0,1.26,101.25,Complete
WO-70135,10,WC-SAW,1.0,9.25,0.81,10.55,Complete
WO-70135,20,WC-CNC1,2.0,25.75,1.84,24.46,Complete
WO-70135,30,WC-INSP,1.75,7.0,2.42,9.38,Complete
WO-70135,40,WC-PACK,1.0,15.25,0.88,16.93,Complete
WO-70136,10,WC-SAW,0.5,91.0,0.43,100.1,Complete
WO-70136,20,WC-CNC1,1.25,37.0,1.24,32.19,Complete
WO-70136,30,WC-INSP,0.5,103.0,0.63,118.45,Complete
WO-70136,40,WC-PACK,1.5,104.0,1.48,99.84,Complete
WO-70137,10,WC-ASSY,2.0,5.0,1.68,4.6,Complete
WO-70137,20,WC-CNC1,0.25,6.2,0.29,6.2,Complete
WO-70137,30,WC-INSP,0.75,4.9,0.73,4.46,Complete
WO-70137,40,WC-PACK,0.75,12.0,0.69,10.8,Complete
WO-70138,10,WC-CNC1,0.75,24.0,0.86,25.92,Complete
WO-70138,20,WC-ASSY,0.75,58.0,0.7,58.0,Complete
WO-70138,30,WC-INSP,2.0,36.0,1.94,31.68,Complete
WO-70138,40,WC-PACK,1.5,71.0,1.95,63.19,Complete
WO-70139,10,WC-SAW,0.5,39.0,0.61,52.26,Complete
WO-70139,20,WC-CNC2,0.5,57.0,0.43,75.24,Complete
WO-70139,30,WC-CNC1,0.75,15.5,0.85,13.95,Complete
WO-70139,40,WC-ASSY,0.75,19.0,0.75,22.42,Complete
WO-70139,50,WC-INSP,2.0,51.0,1.78,45.39,Complete
WO-70139,60,WC-PACK,0.5,36.5,0.57,34.68,Complete
WO-70140,10,WC-SAW,1.0,8.5,1.19,10.2,Complete
WO-70140,20,WC-CNC1,0.75,10.25,0.86,10.76,Complete
WO-70140,30,WC-CNC2,1.25,19.75,1.59,17.18,Complete
WO-70140,40,WC-ASSY,0.75,19.25,0.71,17.32,Complete
WO-70140,50,WC-INSP,1.75,4.0,1.63,3.76,Complete
WO-70140,60,WC-PACK,1.25,10.75,1.03,13.76,Complete
WO-70141,10,WC-CNC1,1.25,4.0,1.0,4.08,Complete
WO-70141,20,WC-ASSY,1.0,2.6,1.05,3.43,Complete
WO-70141,30,WC-INSP,2.0,22.6,2.42,22.15,Complete
WO-70141,40,WC-PACK,0.75,5.6,0.73,6.27,Complete
WO-70142,10,WC-ASSY,0.5,18.2,0.48,17.29,Complete
WO-70142,20,WC-SAW,0.5,23.2,0.56,28.07,Complete
WO-70142,30,WC-DEBUR,2.0,3.6,2.5,4.68,Complete
WO-70142,40,WC-INSP,0.75,17.0,0.86,16.66,Complete
WO-70142,50,WC-PACK,1.75,16.0,1.47,20.96,Complete
WO-70143,10,WC-SAW,2.0,2.6,1.94,2.34,Complete
WO-70143,20,WC-CNC1,0.5,8.0,0.56,8.64,Complete
WO-70143,30,WC-ASSY,1.75,9.6,2.36,10.27,Complete
WO-70143,40,WC-DEBUR,1.5,13.4,1.74,15.01,Complete
WO-70143,50,WC-INSP,0.75,11.8,0.8,15.1,Complete
WO-70143,60,WC-PACK,0.5,6.0,0.41,6.24,Complete
WO-70144,10,WC-CNC1,1.5,50.0,1.23,61.5,Complete
WO-70144,20,WC-DEBUR,0.25,20.0,0.27,22.4,Complete
WO-70144,30,WC-ASSY,0.75,19.0,0.68,21.85,Complete
WO-70144,40,WC-SAW,1.5,15.5,1.27,18.91,Complete
WO-70144,50,WC-INSP,0.25,59.0,0.33,78.47,Complete
WO-70144,60,WC-PACK,1.0,44.0,1.03,50.6,Complete
WO-70145,10,WC-CNC1,0.75,12.0,0.61,11.04,Complete
WO-70145,20,WC-ASSY,0.75,29.0,0.73,26.39,Complete
WO-70145,30,WC-INSP,2.0,18.0,2.58,21.78,Complete
WO-70145,40,WC-PACK,1.5,35.5,1.22,35.5,Complete
WO-70146,10,WC-CNC2,1.5,4.15,1.58,4.4,Complete
WO-70146,20,WC-DEBUR,0.25,3.5,0.21,3.01,Complete
WO-70146,30,WC-INSP,1.25,0.5,1.29,0.45,Complete
WO-70146,40,WC-PACK,1.25,2.05,1.39,1.87,Complete
WO-70147,10,WC-CNC1,1.25,5.0,1.06,5.0,Complete
WO-70147,20,WC-ASSY,1.0,3.25,1.34,3.15,Complete
WO-70147,30,WC-INSP,2.0,28.25,2.64,25.14,Complete
WO-70147,40,WC-PACK,0.75,7.0,0.61,7.07,Complete
WO-70148,10,WC-SAW,1.0,3.7,1.32,4.51,Complete
WO-70148,20,WC-CNC1,2.0,10.3,1.8,8.96,Complete
WO-70148,30,WC-INSP,1.75,2.8,1.73,2.88,Complete
WO-70148,40,WC-PACK,1.0,6.1,1.29,6.77,Complete
WO-70149,10,WC-SAW,2.0,3.25,2.6,3.67,Complete
WO-70149,20,WC-CNC1,0.5,10.0,0.56,8.9,Complete
WO-70149,30,WC-ASSY,1.75,12.0,1.79,15.84,Complete
WO-70149,40,WC-DEBUR,1.5,16.75,1.71,19.26,Complete
WO-70149,50,WC-INSP,0.75,14.75,0.83,14.31,Complete
WO-70149,60,WC-PACK,0.5,7.5,0.52,8.18,Complete
WO-70150,10,WC-CNC1,2.0,19.0,1.8,23.18,Complete
WO-70150,20,WC-SAW,1.5,9.0,1.38,10.89,Complete
WO-70150,30,WC-INSP,1.75,92.0,1.45,80.04,Complete
WO-70150,40,WC-PACK,1.75,106.0,2.42,121.9,Complete
WO-70151,10,WC-CNC1,2.0,3.8,,,Open
WO-70151,20,WC-SAW,1.5,1.8,,,Open
WO-70151,30,WC-INSP,1.75,18.4,2.29,21.16,Complete
WO-70151,40,WC-PACK,1.75,21.2,2.05,20.14,Complete
WO-70152,10,WC-DEBUR,0.5,11.3,0.54,10.51,Complete
WO-70152,20,WC-SAW,1.75,3.8,1.89,3.95,Complete
WO-70152,30,WC-CNC2,1.25,9.7,1.07,12.12,Complete
WO-70152,40,WC-ASSY,1.75,10.9,1.71,12.64,Complete
WO-70152,50,WC-INSP,1.75,0.7,2.21,0.92,Complete
WO-70152,60,WC-PACK,1.25,5.6,1.07,5.21,Complete
WO-70153,10,WC-ASSY,2.0,4.0,1.78,5.08,Complete
WO-70153,20,WC-CNC1,0.5,14.6,0.57,15.18,Complete
WO-70153,30,WC-INSP,1.75,8.6,1.57,9.89,Complete
WO-70153,40,WC-PACK,1.5,11.4,1.41,14.48,Complete
WO-70154,10,WC-SAW,2.0,2.6,2.14,2.86,Complete
WO-70154,20,WC-CNC1,0.5,8.0,0.48,8.32,Complete
WO-70154,30,WC-ASSY,1.75,9.6,2.01,9.79,Complete
WO-70154,40,WC-DEBUR,1.5,13.4,1.68,16.62,Complete
WO-70154,50,WC-INSP,0.75,11.8,0.63,14.99,Complete
WO-70154,60,WC-PACK,0.5,6.0,0.61,6.96,Complete
WO-70155,10,WC-DEBUR,1.5,19.0,1.44,18.05,Complete
WO-70155,20,WC-CNC1,0.75,37.0,0.61,48.1,Complete
WO-70155,30,WC-SAW,0.75,48.0,,,Open
WO-70155,40,WC-ASSY,1.75,75.0,,,Open
WO-70155,50,WC-INSP,1.25,104.0,,,Open
WO-70155,60,WC-PACK,0.5,46.0,0.41,60.26,Complete
WO-70156,10,WC-DEBUR,1.75,20.5,2.0,21.53,Complete
WO-70156,20,WC-SAW,1.0,3.25,0.86,4.06,Complete
WO-70156,30,WC-INSP,2.0,7.75,2.8,10.15,Complete
WO-70156,40,WC-PACK,1.75,27.75,1.89,24.42,Complete
WO-70157,10,WC-DEBUR,0.75,5.0,0.89,6.6,Complete
WO-70157,20,WC-ASSY,1.5,4.9,1.48,5.39,Complete
WO-70157,30,WC-SAW,0.75,2.0,0.73,2.2,Complete
WO-70157,40,WC-CNC2,1.5,9.7,1.77,8.44,Complete
WO-70157,50,WC-INSP,1.5,11.8,1.84,12.15,Complete
WO-70157,60,WC-PACK,1.75,7.1,2.22,7.38,Complete
WO-70158,10,WC-CNC2,1.75,4.5,1.56,5.4,Complete
WO-70158,20,WC-ASSY,0.75,6.0,0.61,6.9,Complete
WO-70158,30,WC-SAW,0.5,13.0,0.51,15.47,Complete
WO-70158,40,WC-DEBUR,1.5,24.5,2.04,27.44,Complete
WO-70158,50,WC-INSP,0.25,9.5,0.22,10.07,Complete
WO-70158,60,WC-PACK,1.75,17.5,1.96,16.28,Complete
WO-70159,10,WC-ASSY,1.75,7.0,2.21,7.49,Complete
WO-70159,20,WC-SAW,1.0,13.8,0.81,17.94,Complete
WO-70159,30,WC-CNC2,0.25,18.2,0.24,20.57,Complete
WO-70159,40,WC-DEBUR,0.5,16.0,0.42,20.0,Complete
WO-70159,50,WC-INSP,0.5,7.4,0.68,6.44,Complete
WO-70159,60,WC-PACK,0.25,23.6,0.32,26.43,Complete
WO-70160,10,WC-DEBUR,0.5,17.75,0.62,15.44,Complete
WO-70160,20,WC-SAW,1.25,21.0,1.03,23.73,Complete
WO-70160,30,WC-INSP,1.0,16.5,1.1,15.02,Complete
WO-70160,40,WC-PACK,1.5,12.25,1.81,10.78,Complete
WO-70161,10,WC-CNC2,0.25,109.0,0.23,125.35,Complete
WO-70161,20,WC-ASSY,1.0,116.0,1.29,124.12,Complete
WO-70161,30,WC-DEBUR,1.5,105.0,1.81,120.75,Complete
WO-70161,40,WC-CNC1,1.25,45.0,1.23,51.3,Complete
WO-70161,50,WC-INSP,1.25,102.0,1.73,123.42,Complete
WO-70161,60,WC-PACK,0.25,109.0,0.26,106.82,Complete
WO-70162,10,WC-ASSY,2.0,1.0,2.62,1.08,Complete
WO-70162,20,WC-CNC1,0.5,3.65,0.64,3.91,Complete
