work_order_id,issue_date,component_item_id,required_qty,issued_qty,uom,lot_number,issued_by
WO-70088,2025-09-14,P-20049,40,40.0,EA,L250913-220,E104
WO-70088,2025-09-14,P-20069,25.0,25.5,EA,L250913-273,E105
WO-70089,2025-04-10,P-20108,100,103.0,EA,L250409-187,E104
WO-70089,2025-04-10,P-20050,50,50.5,EA,L250409-685,E101
WO-70089,2025-04-11,P-20028,18.75,18.38,EA,L250409-463,E099
WO-70089,2025-04-11,P-20081,50,50.0,EA,L250409-370,E077
WO-70089,2025-04-09,P-20007,62.5,63.75,EA,L250409-986,E103
WO-70089,2025-04-09,P-10014,25,25.75,EA,L250409-768,E103
WO-70090,2026-01-21,P-20108,20,20.4,EA,L260121-507,E101
WO-70090,2026-01-21,P-20050,10,10.4,EA,L260121-924,E106
WO-70090,2026-01-21,P-20028,3.75,3.71,EA,L260121-920,E076
WO-70090,2026-01-23,P-20081,10,10.0,EA,L260121-845,E078
WO-70090,2026-01-23,P-20007,12.5,12.25,EA,L260121-303,E079
WO-70090,2026-01-22,P-10014,5,5.2,EA,L260121-716,E080
WO-70091,2025-09-01,P-20079,10,10.4,EA,L250901-825,E103
WO-70091,2025-09-03,P-20042,10,10.1,EA,L250901-234,E102
WO-70091,2025-09-01,P-20029,10,10.0,EA,L250901-125,E100
WO-70091,2025-09-01,P-20023,7.5,7.73,EA,L250901-275,E101
WO-70091,2025-09-01,P-20001,20,20.8,EA,L250901-898,E079
WO-70092,2026-03-10,P-20044,5,5.15,EA,L260310-793,E099
WO-70092,2026-03-11,P-20006,10,10.4,EA,L260310-658,E082
WO-70092,2026-03-12,P-20099,5,5.0,EA,L260310-176,E104
WO-70093,2026-02-23,P-20042,25,24.75,EA,L260222-339,E106
WO-70093,2026-02-24,P-20100,18.75,18.94,EA,L260222-796,E099
WO-70093,2026-02-22,P-20109,25,25.5,EA,L260222-441,E081
WO-70093,2026-02-24,P-10098,467.5,467.5,LB,L260222-391,E105
WO-70093,2026-02-23,P-20011,25,26.0,EA,L260222-362,E079
WO-70094,2025-05-06,P-20046,10,10.3,EA,L250505-978,E083
WO-70094,2025-05-06,P-20050,3.75,3.67,EA,L250505-330,E080
WO-70094,2025-05-06,P-20032,10,10.4,EA,L250505-928,E076
WO-70094,2025-05-05,P-20081,12.5,12.88,EA,L250505-421,E081
WO-70095,2025-11-28,P-20109,25,25.0,EA,L251126-480,E077
WO-70095,2025-11-27,P-20104,18.75,19.31,EA,L251126-975,E102
WO-70095,2025-11-28,P-20049,100,98.0,EA,L251126-955,E081
WO-70095,2025-11-27,P-20069,62.5,65.0,EA,L251126-219,E077
WO-70096,2025-09-10,P-20109,18.75,18.94,EA,L250909-381,E081
WO-70096,2025-09-11,P-20086,18.75,18.56,EA,L250909-946,E078
WO-70096,2025-09-10,P-20045,50,51.0,EA,L250909-941,E102
WO-70096,2025-09-09,P-20041,50,51.0,EA,L250909-283,E079
WO-70097,2025-08-31,P-20048,75.0,76.5,EA,L250830-740,E101
WO-70097,2025-09-01,P-20109,100,102.0,EA,L250830-145,E099
WO-70097,2025-08-30,P-20104,100,99.0,EA,L250830-239,E083
WO-70097,2025-08-31,P-20044,200,206.0,EA,L250830-294,E102
WO-70097,2025-08-31,P-20009,75.0,75.75,EA,L250830-529,E081
WO-70097,2025-08-30,P-20008,75.0,75.0,EA,L250830-588,E103
WO-70098,2025-07-04,P-20054,18.75,18.75,EA,L250703-202,E099
WO-70098,2025-07-03,P-20059,50,49.5,EA,L250703-752,E081
WO-70098,2025-07-05,P-20099,18.75,18.56,EA,L250703-754,E078
WO-70099,2025-10-27,P-20024,37.5,37.5,EA,L251025-476,E076
WO-70099,2025-10-25,P-20079,125.0,128.75,EA,L251025-895,E083
WO-70099,2025-10-26,P-20060,50,51.5,EA,L251025-931,E076
WO-70099,2025-10-25,P-20032,37.5,37.88,EA,L251025-251,E100
WO-70100,2025-10-12,P-10028,37.5,37.88,EA,L251011-141,E081
WO-70100,2025-10-11,P-20059,200,198.0,EA,L251011-939,E078
WO-70100,2025-10-12,P-20012,50,52.5,EA,L251011-636,E105
WO-70100,2025-10-11,P-20046,50,51.5,EA,L251011-838,E079
WO-70101,2025-06-27,P-20048,80,83.2,EA,L250626-280,E101
WO-70101,2025-06-26,P-20044,80,79.2,EA,L250626-569,E105
WO-70101,2025-06-28,P-20009,80,78.4,EA,L250626-674,E078
WO-70101,2025-06-27,P-20006,20,20.0,EA,L250626-919,E104
WO-70101,2025-06-28,P-20080,15.0,15.6,EA,L250626-961,E083
WO-70102,2025-11-01,P-20054,3.75,3.9,EA,L251101-845,E078
WO-70102,2025-11-03,P-20059,10,10.0,EA,L251101-357,E077
WO-70102,2025-11-02,P-20099,3.75,3.79,EA,L251101-994,E106
WO-70103,2025-12-16,P-20109,50,52.0,EA,L251216-754,E104
WO-70103,2025-12-18,P-20104,37.5,38.25,EA,L251216-272,E100
WO-70103,2025-12-16,P-20049,200,206.0,EA,L251216-447,E106
WO-70103,2025-12-18,P-20069,125.0,127.5,EA,L251216-840,E082
WO-70104,2025-05-24,P-20024,15.0,15.45,EA,L250522-189,E076
WO-70104,2025-05-24,P-20079,50.0,51.5,EA,L250522-978,E080
WO-70104,2025-05-24,P-20060,20,20.6,EA,L250522-222,E082
WO-70104,2025-05-24,P-20032,15.0,14.7,EA,L250522-428,E082
WO-70105,2025-04-23,P-20105,125.0,131.25,EA,L250421-598,E082
WO-70105,2025-04-23,P-20050,50,51.5,EA,L250421-705,E078
WO-70105,2025-04-22,P-10084,37.5,39.0,BX,L250421-346,E078
WO-70105,2025-04-23,P-20024,37.5,39.38,EA,L250421-918,E083
WO-70105,2025-04-23,P-20059,50,50.5,EA,L250421-868,E078
WO-70106,2026-04-01,P-20046,50,52.0,EA,L260330-581,E106
WO-70106,2026-03-31,P-20050,18.75,18.94,EA,L260330-788,E078
WO-70106,2026-04-01,P-20032,50,52.0,EA,L260330-897,E106
WO-70106,2026-03-31,P-20081,62.5,63.75,EA,L260330-529,E078
WO-70107,2025-06-27,P-20000,25.0,25.25,EA,L250625-822,E078
WO-70107,2025-06-25,P-20027,20,21.0,EA,L250625-175,E080
WO-70107,2025-06-25,P-20059,10,10.2,EA,L250625-644,E099
WO-70107,2025-06-27,P-20028,10,10.2,EA,L250625-182,E102
WO-70107,2025-06-25,P-20068,7.5,7.65,EA,L250625-793,E082
WO-70108,2025-05-23,P-20042,5,5.05,EA,L250521-280,E081
WO-70108,2025-05-22,P-20100,3.75,3.67,EA,L250521-245,E079
WO-70108,2025-05-21,P-20109,5,5.0,EA,L250521-969,E105
WO-70108,2025-05-22,P-10098,93.5,92.56,LB,L250521-212,E104
WO-70108,2025-05-21,P-20011,5,5.15,EA,L250521-657,E078
WO-70109,2025-09-14,P-20099,400,416.0,EA,L250913-888,E077
WO-70109,2025-09-15,P-20080,400,416.0,EA,L250913-950,E076
WO-70109,2025-09-15,P-20117,400,392.0,EA,L250913-213,E104
WO-70109,2025-09-15,P-20050,100,99.0,EA,L250913-818,E082
WO-70109,2025-09-14,P-10098,570.0,570.0,LB,L250913-493,E076
WO-70110,2025-12-06,P-20083,100,101.0,EA,L251206-991,E106
WO-70110,2025-12-07,P-20035,200,208.0,EA,L251206-206,E082
WO-70110,2025-12-08,P-20081,100,102.0,EA,L251206-281,E080
WO-70110,2025-12-07,P-20050,200,206.0,EA,L251206-890,E078
WO-70111,2025-07-05,P-20042,25.0,25.0,EA,L250704-553,E100
WO-70111,2025-07-05,P-20050,10,10.2,EA,L250704-933,E078
WO-70111,2025-07-06,P-20068,10,10.3,EA,L250704-321,E080
WO-70111,2025-07-04,P-20044,10,10.4,EA,L250704-485,E078
WO-70111,2025-07-05,P-20023,10,9.9,EA,L250704-520,E101
WO-70111,2025-07-05,P-20108,40,39.6,EA,L250704-363,E083
WO-70112,2025-12-01,P-20048,75.0,74.25,EA,L251130-242,E104
WO-70112,2025-12-01,P-20109,100,105.0,EA,L251130-135,E106
WO-70112,2025-11-30,P-20104,100,105.0,EA,L251130-695,E076
WO-70112,2025-12-02,P-20044,200,206.0,EA,L251130-510,E076
WO-70112,2025-12-02,P-20009,75.0,76.5,EA,L251130-491,E099
WO-70112,2025-12-01,P-20008,75.0,76.5,EA,L251130-571,E102
WO-70113,2025-12-09,P-20112,75.0,75.75,EA,L251208-658,E078
WO-70113,2025-12-10,P-20011,200,198.0,EA,L251208-760,E105
WO-70113,2025-12-09,P-20106,100,104.0,EA,L251208-773,E082
WO-70114,2026-03-05,P-20109,20,20.6,EA,L260304-358,E102
WO-70114,2026-03-04,P-20104,15.0,15.45,EA,L260304-306,E079
WO-70114,2026-03-05,P-20049,80,83.2,EA,L260304-142,E105
WO-70114,2026-03-05,P-20069,50.0,51.5,EA,L260304-888,E083
WO-70115,2025-11-10,P-20062,40,41.2,EA,L251109-478,E082
WO-70115,2025-11-11,P-20109,40,40.0,EA,L251109-253,E103
WO-70115,2025-11-09,P-10021,10,9.9,EA,L251109-539,E103
WO-70116,2026-01-05,P-20026,20,20.6,EA,L260104-486,E100
WO-70116,2026-01-04,P-20012,10,10.1,EA,L260104-350,E101
WO-70116,2026-01-06,P-20044,10,10.2,EA,L260104-357,E079
WO-70116,2026-01-04,P-20028,12.5,12.75,EA,L260104-930,E079
WO-70117,2025-06-19,P-20099,25,26.25,EA,L250617-818,E079
WO-70117,2025-06-19,P-20049,100,99.0,EA,L250617-703,E102
WO-70117,2025-06-18,P-20011,25,24.75,EA,L250617-361,E102
WO-70117,2025-06-18,P-20085,25,25.75,EA,L250617-612,E077
WO-70118,2026-02-27,P-20109,100,105.0,EA,L260227-140,E101
WO-70118,2026-03-01,P-20104,75.0,75.75,EA,L260227-994,E100
WO-70118,2026-02-27,P-20049,400,400.0,EA,L260227-526,E078
WO-70118,2026-02-28,P-20069,250.0,250.0,EA,L260227-637,E083
WO-70119,2025-10-27,P-20099,40,42.0,EA,L251026-966,E080
WO-70119,2025-10-27,P-20080,40,39.6,EA,L251026-659,E104
WO-70119,2025-10-27,P-20117,40,41.6,EA,L251026-838,E083
WO-70119,2025-10-28,P-20050,10,9.9,EA,L251026-894,E099
WO-70119,2025-10-26,P-10098,57.0,59.28,LB,L251026-353,E083
WO-70120,2025-06-21,P-10000,25,26.0,EA,L250621-751,E082
WO-70120,2025-06-23,P-20081,25,26.25,EA,L250621-596,E077
WO-70120,2025-06-23,P-20015,50,51.0,EA,L250621-847,E101
WO-70121,2025-09-13,P-20048,7.5,7.35,EA,L250911-968,E106
WO-70121,2025-09-12,P-20109,10,10.5,EA,L250911-184,E101
WO-70121,2025-09-12,P-20104,10,10.1,EA,L250911-396,E104
WO-70121,2025-09-12,P-20044,20,20.2,EA,L250911-601,E101
WO-70121,2025-09-12,P-20009,7.5,7.42,EA,L250911-725,E082
WO-70121,2025-09-12,P-20008,7.5,7.35,EA,L250911-792,E106
WO-70122,2025-06-25,P-20108,80,83.2,EA,L250623-233,E080
WO-70122,2025-06-24,P-20050,40,40.8,EA,L250623-143,E080
WO-70122,2025-06-25,P-20028,15.0,15.0,EA,L250623-313,E099
WO-70122,2025-06-23,P-20081,40,41.2,EA,L250623-815,E082
WO-70122,2025-06-25,P-20007,50.0,52.0,EA,L250623-840,E099
WO-70122,2025-06-25,P-10014,20,20.6,EA,L250623-960,E078
WO-70123,2025-09-26,P-20026,20,20.4,EA,L250924-940,E082
WO-70123,2025-09-26,P-20012,10,10.0,EA,L250924-146,E077
WO-70123,2025-09-26,P-20044,10,10.0,EA,L250924-480,E076
WO-70123,2025-09-26,P-20028,12.5,12.88,EA,L250924-766,E105
WO-70124,2025-10-14,P-10000,10,10.3,EA,L251013-332,E076
WO-70124,2025-10-14,P-20081,10,10.2,EA,L251013-816,E105
WO-70124,2025-10-15,P-20015,20,20.0,EA,L251013-967,E078
WO-70125,2026-02-23,P-20113,50,51.0,EA,L260221-430,E106
WO-70125,2026-02-22,P-20011,37.5,37.12,EA,L260221-862,E101
WO-70125,2026-02-22,P-20007,200,198.0,EA,L260221-939,E080
WO-70126,2026-02-14,P-20086,5,5.15,EA,L260212-161,E080
WO-70126,2026-02-14,P-20018,3.75,3.75,EA,L260212-299,E104
WO-70126,2026-02-14,P-20049,3.75,3.86,EA,L260212-549,E083
WO-70126,2026-02-14,P-10105,67.5,68.17,LB,L260212-285,E078
WO-70127,2025-12-16,P-20105,12.5,12.62,EA,L251215-507,E106
WO-70127,2025-12-16,P-20050,5,4.95,EA,L251215-491,E100
WO-70127,2025-12-16,P-10084,3.75,3.86,BX,L251215-339,E103
WO-70127,2025-12-16,P-20024,3.75,3.75,EA,L251215-512,E081
WO-70127,2025-12-16,P-20059,5,4.95,EA,L251215-340,E099
WO-70128,2025-04-11,P-20081,10,10.3,EA,L250411-147,E099
WO-70128,2025-04-12,P-20024,10,10.0,EA,L250411-610,E103
WO-70128,2025-04-13,P-20085,3.75,3.79,EA,L250411-212,E105
WO-70128,2025-04-13,P-20009,3.75,3.75,EA,L250411-635,E076
WO-70128,2025-04-12,P-20098,5,5.25,EA,L250411-934,E080
WO-70129,2025-10-20,P-20049,50,52.5,EA,L251020-336,E082
WO-70129,2025-10-22,P-20008,200,196.0,EA,L251020-757,E083
WO-70129,2025-10-21,P-20054,100,99.0,EA,L251020-122,E102
WO-70130,2026-01-02,P-20081,62.5,63.75,EA,L260101-845,E099
WO-70130,2026-01-03,P-20055,100,103.0,EA,L260101-809,E081
WO-70130,2026-01-01,P-20035,25,26.25,EA,L260101-951,E077
WO-70130,2026-01-01,P-10091,25,24.5,BX,L260101-384,E079
WO-70130,2026-01-02,P-20069,25,25.25,EA,L260101-261,E102
WO-70130,2026-01-03,P-20109,18.75,18.94,EA,L260101-762,E079
WO-70131,2025-06-11,P-20046,200,198.0,EA,L250609-943,E100
WO-70131,2025-06-11,P-20050,75.0,75.75,EA,L250609-490,E100
WO-70131,2025-06-10,P-20032,200,210.0,EA,L250609-692,E105
WO-70131,2025-06-11,P-20081,250.0,255.0,EA,L250609-381,E105
WO-70132,2026-01-14,P-20026,20,20.8,EA,L260114-860,E106
WO-70132,2026-01-14,P-20012,10,9.8,EA,L260114-389,E104
WO-70132,2026-01-14,P-20044,10,10.4,EA,L260114-404,E103
WO-70132,2026-01-16,P-20028,12.5,12.38,EA,L260114-109,E076
WO-70133,2026-03-26,P-20064,7.5,7.65,EA,L260326-783,E078
WO-70133,2026-03-26,P-20028,40,40.4,EA,L260326-319,E076
WO-70133,2026-03-27,P-20016,20,20.2,EA,L260326-482,E077
WO-70133,2026-03-27,P-20085,25.0,25.75,EA,L260326-266,E099
WO-70133,2026-03-28,P-20000,40,42.0,EA,L260326-308,E102
WO-70133,2026-03-27,P-20069,10,10.2,EA,L260326-145,E104
WO-70134,2025-08-20,P-20113,100,100.0,EA,L250819-895,E099
WO-70134,2025-08-20,P-20011,75.0,74.25,EA,L250819-855,E077
WO-70134,2025-08-19,P-20007,400,420.0,EA,L250819-909,E103
WO-70135,2025-12-28,P-20099,100,104.0,EA,L251227-521,E100
WO-70135,2025-12-29,P-20080,100,103.0,EA,L251227-163,E106
WO-70135,2025-12-29,P-20117,100,103.0,EA,L251227-477,E105
WO-70135,2025-12-28,P-20050,25,25.0,EA,L251227-858,E079
WO-70135,2025-12-28,P-10098,142.5,149.62,LB,L251227-930,E101
WO-70136,2025-11-30,P-20057,100,102.0,EA,L251130-800,E101
WO-70136,2025-12-01,P-20085,250.0,247.5,EA,L251130-101,E083
WO-70136,2025-12-02,P-20054,75.0,74.25,EA,L251130-811,E106
WO-70136,2025-11-30,P-20115,75.0,76.5,EA,L251130-160,E082
WO-70137,2025-06-13,P-20118,25.0,25.25,EA,L250613-524,E077
WO-70137,2025-06-15,P-20011,10,10.5,EA,L250613-801,E104
WO-70137,2025-06-13,P-20045,7.5,7.65,EA,L250613-115,E106
WO-70137,2025-06-15,P-20106,7.5,7.5,EA,L250613-123,E105
WO-70138,2025-04-23,P-20064,75.0,76.5,EA,L250421-284,E076
WO-70138,2025-04-21,P-20028,400,400.0,EA,L250421-751,E104
WO-70138,2025-04-21,P-20016,200,198.0,EA,L250421-955,E078
WO-70138,2025-04-21,P-20085,250.0,255.0,EA,L250421-857,E105
WO-70138,2025-04-22,P-20000,400,404.0,EA,L250421-512,E105
WO-70138,2025-04-22,P-20069,100,98.0,EA,L250421-706,E105
WO-70139,2025-09-20,P-20118,200,200.0,EA,L250920-874,E080
WO-70139,2025-09-22,P-20008,37.5,38.62,EA,L250920-183,E101
WO-70139,2025-09-21,P-20023,100,99.0,EA,L250920-602,E100
WO-70140,2025-04-10,P-20079,25,24.75,EA,L250410-436,E101
WO-70140,2025-04-10,P-20042,25,26.0,EA,L250410-796,E106
WO-70140,2025-04-11,P-20029,25,25.25,EA,L250410-205,E106
WO-70140,2025-04-12,P-20023,18.75,19.12,EA,L250410-888,E105
WO-70140,2025-04-11,P-20001,50,51.5,EA,L250410-364,E079
WO-70141,2025-06-10,P-20027,80,80.0,EA,L250609-802,E078
WO-70141,2025-06-11,P-10028,50.0,52.0,EA,L250609-758,E106
WO-70141,2025-06-11,P-20006,40,39.6,EA,L250609-618,E080
WO-70141,2025-06-09,P-20117,20,20.8,EA,L250609-227,E103
WO-70141,2025-06-09,P-20032,20,20.8,EA,L250609-203,E081
WO-70142,2025-11-26,P-20105,40,40.0,EA,L251126-296,E081
WO-70142,2025-11-28,P-20050,50.0,50.0,EA,L251126-891,E105
WO-70142,2025-11-28,P-10000,80,80.0,EA,L251126-119,E083
WO-70142,2025-11-28,P-20086,40,42.0,EA,L251126-101,E099
WO-70142,2025-11-27,P-20095,40,39.2,EA,L251126-440,E079
WO-70142,2025-11-27,P-20048,15.0,15.6,EA,L251126-690,E106
WO-70143,2025-11-19,P-20042,50.0,50.0,EA,L251118-621,E077
WO-70143,2025-11-18,P-20050,20,20.8,EA,L251118-110,E099
WO-70143,2025-11-20,P-20068,20,20.8,EA,L251118-839,E099
WO-70143,2025-11-19,P-20044,20,19.8,EA,L251118-572,E101
WO-70143,2025-11-19,P-20023,20,20.6,EA,L251118-344,E101
WO-70143,2025-11-18,P-20108,80,83.2,EA,L251118-898,E076
WO-70144,2025-11-13,P-20116,125.0,126.25,EA,L251113-157,E080
WO-70144,2025-11-14,P-20085,125.0,130.0,EA,L251113-688,E080
WO-70144,2025-11-14,P-20095,37.5,37.5,EA,L251113-469,E083
WO-70144,2025-11-15,P-20001,50,49.5,EA,L251113-972,E083
WO-70145,2025-12-03,P-20064,37.5,37.12,EA,L251202-718,E103
WO-70145,2025-12-03,P-20028,200,208.0,EA,L251202-990,E080
WO-70145,2025-12-03,P-20016,100,103.0,EA,L251202-810,E099
WO-70145,2025-12-04,P-20085,125.0,126.25,EA,L251202-951,E103
WO-70145,2025-12-02,P-20000,200,208.0,EA,L251202-766,E103
WO-70145,2025-12-02,P-20069,50,51.5,EA,L251202-493,E083
WO-70146,2025-07-18,P-10028,3.75,3.75,EA,L250718-415,E076
WO-70146,2025-07-20,P-20059,20,20.2,EA,L250718-462,E106
WO-70146,2025-07-20,P-20012,5,5.0,EA,L250718-468,E106
WO-70146,2025-07-18,P-20046,5,5.0,EA,L250718-992,E103
WO-70147,2026-02-19,P-20027,100,100.0,EA,L260217-285,E105
WO-70147,2026-02-19,P-10028,62.5,61.88,EA,L260217-826,E100
WO-70147,2026-02-18,P-20006,50,51.5,EA,L260217-575,E099
WO-70147,2026-02-18,P-20117,25,25.75,EA,L260217-975,E079
WO-70147,2026-02-17,P-20032,25,24.75,EA,L260217-868,E082
WO-70148,2025-07-18,P-20099,40,40.4,EA,L250717-298,E101
WO-70148,2025-07-17,P-20080,40,40.4,EA,L250717-495,E104
WO-70148,2025-07-18,P-20117,40,41.2,EA,L250717-705,E106
WO-70148,2025-07-19,P-20050,10,9.9,EA,L250717-234,E083
WO-70148,2025-07-18,P-10098,57.0,58.14,LB,L250717-133,E105
WO-70149,2026-02-15,P-20042,62.5,65.62,EA,L260213-947,E079
WO-70149,2026-02-15,P-20050,25,26.0,EA,L260213-609,E102
WO-70149,2026-02-15,P-20068,25,24.75,EA,L260213-676,E081
WO-70149,2026-02-14,P-20044,25,25.5,EA,L260213-562,E102
WO-70149,2026-02-14,P-20023,25,25.75,EA,L260213-119,E102
WO-70149,2026-02-13,P-20108,100,99.0,EA,L260213-932,E079
WO-70150,2025-11-15,P-20024,75.0,74.25,EA,L251114-105,E099
WO-70150,2025-11-14,P-20079,250.0,255.0,EA,L251114-896,E077
WO-70150,2025-11-14,P-20060,100,99.0,EA,L251114-353,E082
WO-70150,2025-11-14,P-20032,75.0,75.0,EA,L251114-596,E102
WO-70151,2025-07-27,P-20024,15.0,14.7,EA,L250725-498,E078
WO-70151,2025-07-27,P-20079,50.0,50.5,EA,L250725-784,E103
WO-70151,2025-07-26,P-20060,20,19.6,EA,L250725-517,E102
WO-70151,2025-07-25,P-20032,15.0,14.85,EA,L250725-272,E078
WO-70152,2025-08-14,P-20000,25.0,24.5,EA,L250812-722,E078
WO-70152,2025-08-13,P-20027,20,21.0,EA,L250812-573,E081
WO-70152,2025-08-13,P-20059,10,10.0,EA,L250812-610,E101
WO-70152,2025-08-12,P-20028,10,10.0,EA,L250812-218,E080
WO-70152,2025-08-13,P-20068,7.5,7.73,EA,L250812-947,E105
WO-70153,2025-04-21,P-20026,80,83.2,EA,L250419-746,E083
WO-70153,2025-04-20,P-20012,40,42.0,EA,L250419-234,E078
WO-70153,2025-04-19,P-20044,40,40.0,EA,L250419-318,E083
WO-70153,2025-04-20,P-20028,50.0,50.0,EA,L250419-166,E083
WO-70154,2025-05-08,P-20042,50.0,49.5,EA,L250507-693,E101
WO-70154,2025-05-08,P-20050,20,20.6,EA,L250507-238,E078
WO-70154,2025-05-07,P-20068,20,20.0,EA,L250507-635,E082
WO-70154,2025-05-08,P-20044,20,20.2,EA,L250507-302,E076
WO-70154,2025-05-07,P-20023,20,20.4,EA,L250507-653,E106
WO-70154,2025-05-07,P-20108,80,81.6,EA,L250507-480,E106
WO-70155,2025-05-10,P-20086,100,101.0,EA,L250509-700,E105
WO-70155,2025-05-10,P-20018,75.0,75.75,EA,L250509-747,E105
WO-70155,2025-05-11,P-20049,75.0,75.0,EA,L250509-283,E102
WO-70155,2025-05-11,P-10105,1350.0,1350.0,LB,L250509-348,E100
WO-70156,2025-09-18,P-20105,62.5,61.88,EA,L250917-888,E077
WO-70156,2025-09-18,P-20050,25,26.0,EA,L250917-858,E080
WO-70156,2025-09-19,P-10084,18.75,18.94,BX,L250917-534,E103
WO-70156,2025-09-18,P-20024,18.75,18.56,EA,L250917-428,E102
WO-70156,2025-09-19,P-20059,25,26.25,EA,L250917-637,E079
WO-70157,2025-08-13,P-20081,20,20.2,EA,L250812-111,E076
WO-70157,2025-08-12,P-20024,20,21.0,EA,L250812-479,E077
WO-70157,2025-08-13,P-20085,7.5,7.73,EA,L250812-606,E104
WO-70157,2025-08-12,P-20009,7.5,7.65,EA,L250812-702,E076
WO-70157,2025-08-14,P-20098,10,9.8,EA,L250812-429,E079
WO-70158,2025-10-25,P-20041,37.5,38.62,EA,L251024-975,E080
WO-70158,2025-10-26,P-20009,100,100.0,EA,L251024-518,E102
WO-70158,2025-10-24,P-20026,200,206.0,EA,L251024-100,E106
WO-70159,2025-05-09,P-20054,15.0,15.3,EA,L250509-332,E082
WO-70159,2025-05-10,P-20059,40,41.2,EA,L250509-961,E106
WO-70159,2025-05-10,P-20099,15.0,15.0,EA,L250509-795,E082
WO-70160,2025-09-14,P-20109,25,26.0,EA,L250914-612,E079
WO-70160,2025-09-16,P-20104,18.75,18.38,EA,L250914-504,E082
WO-70160,2025-09-15,P-20049,100,102.0,EA,L250914-715,E079
WO-70160,2025-09-14,P-20069,62.5,63.12,EA,L250914-819,E106
WO-70161,2025-10-16,P-20042,100,100.0,EA,L251014-119,E079
WO-70161,2025-10-16,P-20100,75.0,75.75,EA,L251014-744,E078
WO-70161,2025-10-14,P-20109,100,102.0,EA,L251014-569,E080
WO-70161,2025-10-16,P-10098,1870.0,1870.0,LB,L251014-277,E080
WO-70161,2025-10-14,P-20011,100,105.0,EA,L251014-918,E077
WO-70162,2025-09-16,P-20026,20,20.6,EA,L250914-565,E105
WO-70162,2025-09-16,P-20012,10,9.8,EA,L250914-295,E076
WO-70162,2025-09-14,P-20044,10,10.0,EA,L250914-128,E078
WO-70162,2025-09-15,P-20028,12.5,12.88,EA,L250914-971,E080
WO-70163,2025-05-03,P-20108,100,103.0,EA,L250501-377,E104
WO-70163,2025-05-02,P-20050,50,52.0,EA,L250501-306,E100
WO-70163,2025-05-01,P-20028,18.75,18.75,EA,L250501-934,E076
WO-70163,2025-05-01,P-20081,50,49.5,EA,L250501-820,E083
WO-70163,2025-05-03,P-20007,62.5,63.75,EA,L250501-838,E080
WO-70163,2025-05-01,P-10014,25,24.5,EA,L250501-511,E105
WO-70164,2026-02-08,P-20099,400,408.0,EA,L260208-804,E105
WO-70164,2026-02-08,P-20080,400,392.0,EA,L260208-905,E105
WO-70164,2026-02-08,P-20117,400,404.0,EA,L260208-457,E099
WO-70164,2026-02-08,P-20050,100,99.0,EA,L260208-135,E077
WO-70164,2026-02-10,P-10098,570.0,592.8,LB,L260208-530,E105
WO-70165,2025-04-04,P-10000,50,49.0,EA,L250404-215,E104
WO-70165,2025-04-05,P-20081,50,51.0,EA,L250404-837,E078
WO-70165,2025-04-06,P-20015,100,98.0,EA,L250404-667,E102
WO-70166,2025-12-15,P-20105,25.0,25.5,EA,L251214-670,E076
WO-70166,2025-12-16,P-20050,10,10.4,EA,L251214-942,E076
WO-70166,2025-12-14,P-10084,7.5,7.65,BX,L251214-850,E083
WO-70166,2025-12-15,P-20024,7.5,7.5,EA,L251214-486,E105
WO-70166,2025-12-16,P-20059,10,10.4,EA,L251214-662,E105
WO-70167,2025-05-07,P-20083,5,4.95,EA,L250506-808,E080
WO-70167,2025-05-08,P-20035,10,9.8,EA,L250506-720,E080
WO-70167,2025-05-08,P-20081,5,5.2,EA,L250506-743,E080
WO-70167,2025-05-06,P-20050,10,10.3,EA,L250506-765,E079
WO-70168,2025-09-23,P-10028,37.5,39.0,EA,L250923-701,E100
WO-70168,2025-09-24,P-20059,200,200.0,EA,L250923-983,E106
WO-70168,2025-09-23,P-20012,50,50.5,EA,L250923-395,E079
WO-70168,2025-09-24,P-20046,50,52.0,EA,L250923-766,E099
WO-70169,2025-11-17,P-20057,100,99.0,EA,L251116-593,E077
WO-70169,2025-11-18,P-20085,250.0,257.5,EA,L251116-306,E077
WO-70169,2025-11-18,P-20054,75.0,78.0,EA,L251116-968,E081
WO-70169,2025-11-16,P-20115,75.0,76.5,EA,L251116-170,E083
WO-70170,2025-07-28,P-20054,3.75,3.75,EA,L250726-226,E082
WO-70170,2025-07-27,P-20059,10,10.0,EA,L250726-855,E104
WO-70170,2025-07-27,P-20099,3.75,3.86,EA,L250726-912,E080
WO-70171,2026-03-02,P-20086,50,51.5,EA,L260302-965,E101
WO-70171,2026-03-03,P-20018,37.5,37.5,EA,L260302-957,E099
WO-70171,2026-03-02,P-20049,37.5,37.88,EA,L260302-814,E078
WO-70171,2026-03-03,P-10105,675.0,695.25,LB,L260302-951,E082
WO-70172,2025-06-20,P-20012,10,10.5,EA,L250620-204,E080
WO-70172,2025-06-21,P-20104,20,20.0,EA,L250620-741,E083
WO-70172,2025-06-22,P-20106,20,19.8,EA,L250620-695,E105
WO-70172,2025-06-21,P-20088,3.75,3.83,EA,L250620-753,E106
WO-70173,2025-04-11,P-20026,100,99.0,EA,L250410-541,E081
WO-70173,2025-04-12,P-20012,50,52.0,EA,L250410-801,E100
WO-70173,2025-04-10,P-20044,50,52.5,EA,L250410-845,E105
