Payment Id,Customer Id,Payment Date,Method,Reference,Amount,Applied To Invoice,Unapplied,Remittance Source
KBD-CR00260,KBD-CUST0008,2025-09-22,ACH,185154,10959.82,INV-60318,0.0,Portal
KBD-CR00261,KBD-CUST0008,2025-09-03,Check,482146,7045.51,INV-60319,0.0,Bank feed
KBD-CR00262,KBD-CUST0018,2025-10-24,Wire,784968,202.88,INV-60320,0.0,Bank feed
KBD-CR00263,KBD-CUST0029,2026-02-20,Card,901953,1216.25,INV-60321,0.0,Lockbox
KBD-CR00264,KBD-CUST0032,2026-02-12,Check,396091,699.09,INV-60322,0.0,Email remittance
KBD-CR00265,KBD-CUST0023,2025-08-05,Wire,271479,22061.0,INV-60324,0.0,Lockbox
KBD-CR00266,KBD-CUST0031,2025-08-09,Card,732615 ,2383.7,INV-60325,0.0,Email remittance
KBD-CR00267,KBD-CUST0003,2025-08-21,Check,113604,26422.38,INV-60326,0.0,Lockbox
KBD-CR00268,KBD-CUST0030,2025-07-29,ACH,715024,35481.01,INV-60327,0.0,Email remittance
KBD-CR00269,KBD-CUST0029,2026-02-03,Check,373383,1474.18,INV-60329 ,0.0,Portal
KBD-CR00270,KBD-CUST0008,2026-02-06,ACH,563637,10041.57,INV-60331,0.0,Bank feed
KBD-CR00271,KBD-CUST0013,2025-08-26,ACH,564344,13947.75,INV-60332,0.0,Email remittance
KBD-CR00272,KBD-CUST0006,03/14/26,ACH,323944,37794.24,INV-60333,0.0,Portal
KBD-CR00273,KBD-CUST0015,2025-06-14,Wire,521549,1925.58,INV-60335,0.0,Lockbox
KBD-CR00274,KBD-CUST0003,2026-02-28,Card,129709,25766.88,INV-60336,0.0,Email remittance
KBD-CR00275,KBD-CUST0015,2025-12-24,Wire,835680,22797.71,INV-60337,0.0,Lockbox
KBD-CR00276,KBD-CUST0016,2025-09-19,Check,934749,5438.17,INV-60338,0.0,Bank feed
KBD-CR00277,KBD-CUST0001,2025-12-26,Card,222307,16986.67,INV-60339,0.0,Bank feed
KBD-CR00278,KBD-CUST0017,2025-10-21,Wire,744753,18480.17,INV-60341,0.0,Bank feed
KBD-CR00279,KBD-CUST0023,08/27/25,Card,713162,871.42,INV-60342,0.0,Bank feed
KBD-CR00280,KBD-CUST0013 ,08-Jul-2025,ACH,342825,3906.39,INV-60343,0.0,Lockbox
KBD-CR00281,KBD-CUST0017,2026-01-28,Check,241829,6163.49,INV-60344,0.0,Portal
KBD-CR00282,KBD-CUST0018,2025-09-29,ACH,439605,10265.61,INV-60345,0.0,Lockbox
KBD-CR00283,KBD-CUST0030,01/11/2026,Wire,999868,117.76,INV-60347,0.0,Portal
KBD-CR00284,KBD-CUST0031,"Jun 26, 2025",Wire,444855,213.58,INV-60348,0.0,Lockbox
KBD-CR00285,KBD-CUST0029,21-Nov-2025,Check,607438,18803.8,INV-60349,0.0,Lockbox
KBD-CR00286,KBD-CUST0027,2026-02-15,Card,279152,3141.49,INV-60350,0.0,Email remittance
KBD-CR00287,KBD-CUST0029,"Jul 10, 2025",Wire,273734,7616.35,INV-60352,0.0,Portal
KBD-CR00288,KBD-CUST0020,2025-12-19,Card,710733,99.19,INV-60353,0.0,Bank feed
KBD-CR00289,KBD-CUST0014,2026-02-23,ACH,854841,2672.88,INV-60354,0.0,Email remittance
KBD-CR00290,KBD-CUST0031,2025-09-11,Check,288462,15192.62,INV-60355,0.0,Lockbox
KBD-CR00291,KBD-CUST0010,2026-03-31,Wire,568479,43961.52,INV-60356,0.0,Bank feed
KBD-CR00292,KBD-CUST0028,2025-09-09,Card,637014,15461.21,INV-60357,0.0,Email remittance
KBD-CR00293,KBD-CUST0016,2025-08-24,Wire,838305,10688.51,INV-60359,0.0,Email remittance
KBD-CR00294 ,KBD-CUST0022,2025-10-12,Wire,561266,8188.67,INV-60360,0.0,Lockbox
KBD-CR00295,KBD-CUST0026,2025-12-16,ACH,595586,30595.53,INV-60361,0.0,Email remittance
KBD-CR00296,KBD-CUST0001,2025-07-28,Wire,675837,417.6,INV-60363,0.0,Portal
KBD-CR00297,KBD-CUST0021,2026-01-30,ACH,453566,13371.23,INV-60364,0.0,Email remittance
KBD-CR00298,KBD-CUST0004,2025-08-27,Check,939184,5526.55,INV-60365,0.0,Lockbox
KBD-CR00299,KBD-CUST0005,2026-02-01,Card,642743,11986.17,INV-60366,0.0,Lockbox
KBD-CR00300,KBD-CUST0022,07/24/25,Check,563897,244.78,INV-60368,0.0,Lockbox
KBD-CR00301,KBD-CUST0030,2026-02-12,Wire,442137,21359.14,INV-60372,0.0,Email remittance
KBD-CR00302,KBD-CUST0025,2025-08-07,Check,915289,2243.83,INV-60373,0.0,Bank feed
KBD-CR00303,KBD-CUST0015,2025-11-19,ACH,516830,3637.39,INV-60376,0.0,Portal
KBD-CR00304,KBD-CUST0016,2025-11-24,Wire,450547,1091.66,INV-60377,0.0,Portal
KBD-CR00305,KBD-CUST0019,2025-08-25,ACH,749828,46063.32,INV-60378,0.0,Lockbox
KBD-CR00306,KBD-CUST0018,2025-12-23,ACH,992066,6397.52,INV-60379,0.0,Lockbox
KBD-CR00307,KBD-CUST0016,2026-01-20,ACH,254536,40242.61,INV-60380,0.0,Email remittance
KBD-CR00308,KBD-CUST0014,2025-11-26,Check,921759,4545.64,INV-60381,0.0,Portal
KBD-CR00309,KBD-CUST0019,2025-07-03,Card,924634,11925.77,INV-60383,0.0,Portal
KBD-CR00310,KBD-CUST0022,2025-11-04,Check,250892,10197.02,INV-60384,0.0,Bank feed
KBD-CR00311,KBD-CUST0030,2025-12-02,Card,781689,3206.48,INV-60385,0.0,Lockbox
KBD-CR00312,KBD-CUST0025,2026-03-31,ACH,844281,1367.07,INV-60386,0.0,Lockbox
KBD-CR00313,KBD-CUST0006,2025-08-02,Card,745387,18635.85,INV-60388,0.0,Lockbox
KBD-CR00314,KBD-CUST0030,2026-01-29,Wire,720304,21867.22,INV-60389,0.0,Bank feed
KBD-CR00315,KBD-CUST0012,2026-03-16,ACH,924424,5060.52,INV-60390,0.0,Bank feed
KBD-CR00316,KBD-CUST0024,2025-07-15,Card,161246,6231.68,INV-60391,0.0,Portal 
KBD-CR00317,KBD-CUST0007,2025-11-20,ACH,940357,823.89,INV-60392,0.0,Lockbox
KBD-CR00318,KBD-CUST0021,2025-10-20,Card ,986321,4896.48,INV-60393,0.0,Email remittance
KBD-CR00319,KBD-CUST0007,02-Jan-2026,Card,249084,99.19,INV-60394,0.0,Portal
KBD-CR00320,KBD-CUST0017,2025-06-20,ACH,834178,30737.06,INV-60395,0.0,Lockbox
KBD-CR00321,KBD-CUST0001,2025-07-04,ACH,626366,14881.98,INV-60396,0.0,Email remittance
KBD-CR00322,KBD-CUST0013,2025-06-05,Check,118294,12012.03,INV-60397,0.0,Portal
KBD-CR00323,KBD-CUST0005,11/11/25,ACH,679935,2513.45,INV-60398,0.0,Portal
KBD-CR00324,KBD-CUST0005,2025-09-06,Wire,287346,290.98,INV-60399,0.0,Bank feed
KBD-CR00325,KBD-CUST0028,2025-10-31,Wire,679679,15233.84,INV-60400,0.0,Email remittance
KBD-CR00326,KBD-CUST0021,2025-08-24,ACH,861732 ,1273.08,INV-60401,0.0,Lockbox
KBD-CR00327,KBD-CUST0017,2025-10-26,ACH,888863,36225.32,INV-60402,0.0,Lockbox
KBD-CR00328,KBD-CUST0017,2026-03-23,Check,439265,2061.79,INV-60403,0.0,Lockbox
KBD-CR00329,KBD-CUST0030,2026-03-22,ACH,216390,16361.7,INV-60404,0.0,Email remittance
KBD-CR00330,KBD-CUST0027,2025-06-02,Card,953409,10777.01,INV-60405,0.0,Email remittance
KBD-CR00331,KBD-CUST0020,2025-10-10,Card,488678,14204.96,INV-60406,0.0,Email remittance
KBD-CR00332,KBD-CUST0010,2025-12-17,Check,892608,5548.78,INV-60408,0.0,Bank feed
KBD-CR00333,KBD-CUST0015,2026-01-09,Check,840812,22229.7,INV-60409,0.0,Email remittance
KBD-CR00334,KBD-CUST0010,2025-09-15,Wire,115149 ,8301.52,INV-60410,0.0,Bank feed
KBD-CR00335,KBD-CUST0005,2025-11-02,ACH,104228,21691.14,INV-60411,0.0,Lockbox
KBD-CR00336,KBD-CUST0006,2026-02-07,ACH,384770,19471.61,INV-60412,0.0,Lockbox
KBD-CR00337,KBD-CUST0008,2025-07-23,Wire,324732,25100.46,INV-60413,0.0,Portal
KBD-CR00338,KBD-CUST0022,2025-09-08,Wire,438285,222.3,INV-60414,0.0,Bank feed
KBD-CR00339,KBD-CUST0023,2025-12-17,Check,858117,19247.81,INV-60415,0.0,Bank feed
KBD-CR00340,KBD-CUST0016,"Sep 02, 2025",Check,884236,9852.36,INV-60416,0.0,Lockbox
KBD-CR00341,KBD-CUST0020,2025-12-24,Wire,531307,16309.12,INV-60418,0.0,Portal
KBD-CR00342,KBD-CUST0022,2026-03-31,Check,576093,16728.98,INV-60419,0.0,Email remittance 
KBD-CR00343 ,KBD-CUST0031,2025-11-14,ACH,133410,5704.39,INV-60420,0.0,Portal
KBD-CR00344,KBD-CUST0030,2025-08-10,Wire,807563,610.01,INV-60421,0.0,Lockbox
KBD-CR00345,KBD-CUST0028,20-Sep-2025,Wire,553397,7597.32,INV-60422,0.0,Lockbox
KBD-CR00346,KBD-CUST0017,2025-11-14,ACH,286321,966.46,INV-60423,0.0,Lockbox
KBD-CR00347,KBD-CUST0022,2026-03-08,ACH,535797,642.76,INV-60424,0.0,Email remittance
KBD-CR00348,KBD-CUST0020,2026-01-13,Check,789085,11733.87,INV-60425,0.0,Lockbox
KBD-CR00349,KBD-CUST0030,2025-11-29,ACH,234243,12187.75,INV-60426,0.0,Portal
KBD-CR00350,KBD-CUST0012,2025-07-14,Wire,794656,19.48,INV-60427,0.0,Email remittance
KBD-CR00351,KBD-CUST0010,2025-08-17,ACH,168584,11823.43,INV-60428,0.0,Portal
KBD-CR00352,KBD-CUST0010,2025-07-29,ACH,203889,18620.2,INV-60434,0.0,Bank feed
KBD-CR00353,KBD-CUST0027,2025-07-23,ACH,467897,4414.46,INV-60435,0.0,Portal
KBD-CR00354,KBD-CUST0022,2025-07-31,Check,266500,9156.82,INV-60436,0.0,Bank feed
KBD-CR00355,KBD-CUST0023,2025-12-17,Check,999911,18982.55,INV-60437,0.0,Portal
KBD-CR00356,KBD-CUST0024,2025-07-26,Wire,129515,7873.74,INV-60438,0.0,Portal
KBD-CR00357,KBD-CUST0023,2026-02-09,ACH,952048,51597.42,INV-60439,0.0,Lockbox
KBD-CR00358,KBD-CUST0012,2026-03-19,ACH,675754,29514.31,INV-60440,0.0,Bank feed
KBD-CR00359,KBD-CUST0018,2025-10-30,Wire,487759,1150.38,INV-60441,0.0,Lockbox
KBD-CR00360,KBD-CUST0023,2026-02-18,Check,634817,8701.48,INV-60442,0.0,Lockbox
KBD-CR00361,KBD-CUST0029,2025-08-07,ACH,388710,4163.67,INV-60443,0.0,Bank feed
KBD-CR00362,KBD-CUST0008,03/05/26,ACH,745644,67315.01,INV-60444,0.0,Bank feed
KBD-CR00363,KBD-CUST0026,2025-06-03,ACH,200079,3334.37,INV-60445,0.0,Email remittance
KBD-CR00364,KBD-CUST0023,2025-08-30,Wire,545372,10477.23,INV-60446,0.0,Email remittance
KBD-CR00365,KBD-CUST0018,2025-09-12,Card,549400,9214.75,INV-60447,0.0,Portal
KBD-CR00366,KBD-CUST0004,2026-02-28,Wire,616147,2529.87,INV-60448,0.0,Portal
KBD-CR00367,KBD-CUST0021,2026-03-10,Card,724235,4935.86,INV-60449,0.0,Bank feed
KBD-CR00368,KBD-CUST0021,2025-12-07,Wire,522248,33362.67,INV-60451,0.0,Lockbox
KBD-CR00369,KBD-CUST0001,2025-06-25,ACH,514339,3832.57,INV-60452,0.0,Bank feed
KBD-CR00370,KBD-CUST0006,2025-08-19,Wire,491530,826.99,INV-60453,0.0,Bank feed
KBD-CR00371,KBD-CUST0026,2025-11-27,ACH,172900,21799.9,INV-60454,0.0,Email remittance
KBD-CR00372,KBD-CUST0005,2025-12-07,Card,501005,4033.21,INV-60455,0.0,Bank feed
KBD-CR00373,KBD-CUST0014,2025-10-19,ACH,925259,437.89,INV-60456,0.0,Lockbox
KBD-CR00374,KBD-CUST0003,2026-03-31,Wire,787549,5804.04,INV-60457,0.0,Email remittance
KBD-CR00375,KBD-CUST0030,25-Jul-2025,ACH,966419,23478.24,INV-60458,0.0,Bank feed
KBD-CR00376,KBD-CUST0015,2025-09-16,Check,799775,17438.14,INV-60459,0.0,Portal
KBD-CR00377,KBD-CUST0019,2025-09-25 ,Check,861618,30284.45,INV-60460,0.0,Lockbox
KBD-CR00378,KBD-CUST0005,2025-11-22,ACH,336104,23523.61,INV-60462,0.0,Bank feed
KBD-CR00379 ,KBD-CUST0029,2025-07-19,Check,948384,25949.61,INV-60463,0.0,Bank feed
KBD-CR00380,KBD-CUST0029,2025-10-29,ACH,575755,11619.67,INV-60464,0.0,Email remittance
KBD-CR00381,KBD-CUST0015,2025-11-14,Wire,665881,28923.98,INV-60466,0.0,Lockbox
KBD-CR00382,KBD-CUST0023,2026-02-20 ,Wire,177569,15355.78,INV-60467,0.0,Email remittance
KBD-CR00383 ,KBD-CUST0004,2025-11-30,Card,503232,22717.81,INV-60468,0.0,Bank feed
KBD-CR00384,KBD-CUST0028,2025-10-27,ACH,356333,249.88,INV-60470,0.0,Portal
KBD-CR00385,KBD-CUST0021,2026-02-24 ,Card,276983,1742.6,INV-60472,0.0,Lockbox
KBD-CR00386,KBD-CUST0008,2026-01-13,ACH,383288,40163.71,INV-60473,0.0,Lockbox
KBD-CR00387,KBD-CUST0021,2026-02-10,Wire,928743,2423.25,INV-60474,0.0,Lockbox
KBD-CR00388,KBD-CUST0028,2025-10-13,ACH,765446,3799.51,INV-60475,0.0,Bank feed
KBD-CR00389,KBD-CUST0020,2025-12-23,ACH,199901,11571.13,INV-60476,0.0,Lockbox
KBD-CR00390,KBD-CUST0031,2025-08-31,Wire,978959,13827.8,INV-60477,0.0,Email remittance
KBD-CR00391,KBD-CUST0027,2025-11-08,ACH,140297,13739.09,INV-60480,0.0,Portal
KBD-CR00392,KBD-CUST0031,2025-11-27,ACH,435696,15263.06,INV-60481,0.0,Portal
KBD-CR00393,KBD-CUST0014,2025-05-29,ACH,934963,9214.75,INV-60482,0.0,Bank feed
KBD-CR00394,KBD-CUST0030,2025-10-22,ACH,550440,550.5,INV-60483,0.0,Email remittance
KBD-CR00395,KBD-CUST0024,2026-01-29 ,Card,717359,27248.92,INV-60484,0.0,Lockbox
KBD-CR00396,KBD-CUST0010,2025-07-05 ,Card,519998,25281.51,INV-60485,0.0,Lockbox
KBD-CR00397,KBD-CUST0023,2025-10-22,Check,217337,34078.98,INV-60486,0.0,Lockbox
KBD-CR00398,KBD-CUST0012,2025-12-27,ACH,664413,1038.46,INV-60487,0.0,Portal
