policy_id,client_id,client_name,policy_number,line_of_business,line_description,carrier_code,carrier_name,effective_date,expiration_date,term_months,annual_premium,commission_pct,expected_commission,billing_type,policy_status,producer_id,account_manager_id,surplus_lines,new_or_renewal,policy_checked,experience_mod,umbrella_limit
MER-P00112,MER-C0035,Patriot Medical Group LLC,CHB-CYB-6594195,CYB,Cyber Liability,CHB,Chubb (Federal Insurance Company),2025-04-11,2026-04-11,12,24857,15.0,3728.55,Direct Bill,In Force,E008,E020,N,Renewal,Y,,
MER-P00113,MER-C0035,Patriot Medical Group LLC,AMT-WC-5011507,WC,Workers Compensation,AMT,AmTrust Financial,2025-09-19,2026-09-19,12,132340,10.0,13234.0,Direct Bill,In Force,E008,E020,N,Renewal,Y,0.73,
MER-P00114,MER-C0036,Highland Medical Group Corp.,MKL-PL-8574683,PL,Professional Liability / E&O,MKL,Markel Specialty (Evanston Insurance Co.),2025-05-25,2026-05-25,12,24041,12.0,2884.92,Direct Bill,In Force,E008,E012,Y,Renewal,Y,,
MER-P00115,MER-C0036,Highland Medical Group Corp.,HIG-GL-3002420,GL,General Liability,HIG,The Hartford Fire Insurance Company,2025-05-13,2026-05-13,12,59299,14.0,8301.86,Agency Bill,In Force,E008,E012,N,Renewal,Y,,
MER-P00116,MER-C0036,Highland Medical Group Corp.,CNA-PROP-3136506,PROP,Commercial Property,CNA,CNA Insurance,2025-06-07,2026-06-07,12,53880,15.0,8082.0,Agency Bill,In Force,E008,E012,N,Renewal,Y,,
MER-P00117,MER-C0036,Highland Medical Group Corp.,CHB-CYB-9343383,CYB,Cyber Liability,CHB,Chubb (Federal Insurance Company),2025-04-17,2026-04-17,12,13258,15.0,1988.7,Agency Bill,In Force,E008,E012,N,New,Y,,
MER-P00118,MER-C0036,Highland Medical Group Corp.,LIB-WC-4652917,WC,Workers Compensation,LIB,Liberty Mutual Insurance,2025-09-16,2026-09-16,12,78616,12.0,9433.92,Direct Bill,In Force,E008,E012,N,Renewal,Y,1.01,
MER-P00119,MER-C0037,Sterling Transport LP,LIB-AUTO-1388768,AUTO,Commercial Auto,LIB,Liberty Mutual Insurance,2025-06-14,2026-06-14,12,42827,12.0,5139.24,Direct Bill,In Force,E002,E010,N,New,Y,,
MER-P00120,MER-C0037,Sterling Transport LP,TRV-WC-1982693,WC,Workers Compensation,TRV,Travelers Indemnity Company,2025-09-17,2026-09-17,12,123713,15.0,18556.95,Direct Bill,In Force,E002,E010,N,Renewal,Y,1.27,
MER-P00121,MER-C0038,Pioneer Hardware Inc.,HIG-BOP-5207763,BOP,Business Owners Policy,HIG,The Hartford Fire Insurance Company,2025-12-05,2026-12-05,12,2065,14.0,289.1,Direct Bill,In Force,E007,E014,N,Renewal,Y,,
MER-P00122,MER-C0038,Pioneer Hardware Inc.,HIG-WC-3350069,WC,Workers Compensation,HIG,The Hartford Fire Insurance Company,2025-08-04,2026-08-04,12,99756,14.0,13965.84,Direct Bill,In Force,E007,E014,N,Renewal,Y,1.13,
