Po Number,Supplier Id,Supplier Name,Po Date,Buyer Id,Payment Terms,Ship Via,Freight Terms,Po Total,Po Status,Approved By,Sent Method
PO-31199,KBD-V006,Fastenal,2025-06-27,E011,Net 30,Will Call,FOB Destination,22268.55,Closed,E001,Phone
PO-31200,KBD-V004,Baldor-Reliance (ABB),2025-05-04,E012,Net 45,Will Call,FOB Origin,155925.39,Open,E001,Phone
PO-31201,KBD-V015,Regal Rexnord,2025-10-11,E011,Net 45,Supplier Truck,Prepaid & Add,55653.48,Closed,E001,Supplier Portal
PO-31202,KBD-V001,Alro Steel,2025-07-18,E012,Net 30,LTL - Estes,FOB Destination,15631.35,Closed,E001,Phone
PO-31203,KBD-V015,Regal Rexnord,2025-10-29,E012,Net 45,Supplier Truck,FOB Origin,1667.4,Closed,E012,Phone
PO-31204,KBD-V003,Applied Industrial Technologies,2025-10-18,E011,Net 30,FedEx Ground ,FOB Destination,216563.2,Closed,E001,Email PDF
PO-31205,KBD-V007,GRAINGER,2026-01-24,E012,Net 30,Supplier Truck,FOB Destination,9952.6,Open ,E012,Supplier Portal
PO-31206,KBD-V013,Motion Industries,2025-10-09,E011,Net 30,LTL - Estes,FOB Destination,26388.7,Closed,E001,Phone
PO-31207,KBD-V008,Garlock Sealing Technologies,2026-01-30,E011,Net 30,FedEx Ground,Collect,37982.36,Open,E001,Supplier Portal
PO-31208,KBD-V010,Kaman Industrial Technologies,2026-01-26,E011,Net 30,Will Call,Collect,1152811.78,Closed,E001,Supplier Portal
PO-31209,KBD-V005,Brighton-Best International,2026-03-12,E011,Net 30,Supplier Truck,Prepaid & Add,107137.16,Open,E001,Phone
PO-31210,KBD-V011,MSC Industrial Supply,2026-03-29,E011,Net 30,UPS Ground,FOB Origin,6542.54,Open,E011,Phone
PO-31211,KBD-V014,Parker Hannifin,2025-04-16,E012,Net 45,Supplier Truck,Prepaid & Add,1314045.14,Closed,E001,Email PDF
PO-31212,KBD-V004,Baldor-Reliance (ABB),2026-02-05,E012,Net 45,FedEx Ground,FOB Origin,702881.64,Open,E001,Supplier Portal
PO-31213,KBD-V004,Baldor-Reliance (ABB),2025-06-03,E011,Net 45,Supplier Truck,Collect,151543.99,Open,E001,EDI 850
PO-31214,KBD-V005,Brighton-Best International,2025-05-30,E011,Net 30,LTL - Estes,FOB Destination,977730.42,Open,E001,Phone
PO-31215,KBD-V013,Motion Industries,2025-08-01,E012,Net 30,FedEx Ground,FOB Destination,11505.22,Closed,E001,Phone
PO-31216,KBD-V009,Haas Automation,2026-02-22,E011,Net 30,LTL - Estes,FOB Origin,303277.66,Open,E001,EDI 850
PO-31217,KBD-V006,Fastenal,2025-06-06,E012,Net 30,Will Call,FOB Origin,510129.83,Open,E001,EDI 850
PO-31218,KBD-V011,MSC Industrial Supply,2025-09-19,E012,Net 30,UPS Ground,Prepaid & Add,10196.0,Closed,E001,Email PDF
PO-31219,KBD-V005,Brighton-Best International,2025-11-10,E012,Net 30,LTL - Estes,FOB Destination,7382.0,Open,E012,Email PDF
PO-31220,KBD-V014,Parker Hannifin,2025-12-29,E012,Net 45,LTL - Estes,FOB Origin,9061.18,Open,E012,EDI 850
PO-31221,KBD-V015,Regal Rexnord,2025-12-08,E011,Net 45,FedEx Ground,Prepaid & Add,8066.05,Closed,E011,EDI 850
PO-31222,KBD-V018,Uline,2025-12-30,E011,Net 30,Supplier Truck,FOB Destination,246.0,Closed,E011,Supplier Portal
PO-31223,KBD-V001,Alro Steel,2026-01-13,E012 ,Net 30,Supplier Truck,Collect,551590.99,Closed,E001,Email PDF
PO-31224,KBD-V011,MSC Industrial Supply,2025-12-02,E011,Net 30,Will Call,Collect,10586.8,Closed ,E001,EDI 850
PO-31225,KBD-V019,W W Grainger Inc,03/08/26,E011,Net 30,Will Call,Prepaid & Add,898.7,Open,E011,Email PDF
PO-31226,KBD-V006,Fastenal,2025-11-22,E011,Net 30,FedEx Ground,Collect,17535.04,Closed,E001,Phone
PO-31227,KBD-V004,Baldor-Reliance (ABB),2025-11-25,E011,Net 45,FedEx Ground,FOB Destination,155939.17,Closed,E001,Phone
PO-31228,KBD-V005,Brighton-Best International,2026-01-03,E011,Net 30 ,Will Call,FOB Origin,428671.78,Closed,E001,Email PDF
PO-31229 ,KBD-V017,Sandvik Coromant,2025-07-20,E012,Net 30,Will Call,Collect,126436.23,Open,E001,EDI 850
PO-31230,KBD-V011,MSC Industrial Supply,2025-06-12,E012,Net 30,Will Call,FOB Destination,9075.52,Closed,E012,Supplier Portal
PO-31231,KBD-V005,Brighton-Best International,2026-01-17,E011,Net 30,UPS Ground,Collect,366546.84,Open,E001,Email PDF
PO-31232,KBD-V002,Apex Fastener Corp,2025-07-12,E012,Net 30,Will Call,FOB Origin,85827.54,Closed,E001,Email PDF
PO-31233,KBD-V010,Kaman Industrial Technologies,2025-08-06,E011,Net 30,LTL - Estes,FOB Destination,289772.96,Closed,E001,Supplier Portal
PO-31234,KBD-V009,Haas Automation,2025-04-01,E012,Net 30,Will Call,FOB Origin,263195.8,Open,E001,EDI 850
PO-31235,KBD-V012,McMaster-Carr,25-May-2025,E012,Net 30,UPS Ground,Prepaid & Add,306521.64,Open,E001,Email PDF
PO-31236,KBD-V001,Alro Steel,2025-07-27,E011,Net 30,UPS Ground,FOB Origin,5184.0,Closed,E011,Supplier Portal
PO-31237,KBD-V017,Sandvik Coromant,2026-01-10,E012,Net 30,UPS Ground,Prepaid & Add,40252.69,Closed,E001,Supplier Portal
PO-31238,KBD-V013,Motion Industries,2026-03-19,E012,Net 30,Supplier Truck,FOB Origin,9351.72,Open,E012,Email PDF
PO-31239,KBD-V003,Applied Industrial Technologies,2025-08-01,E012,Net 30,UPS Ground,FOB Origin,16850.0,Closed,E001,Phone
PO-31240,KBD-V001,Alro Steel,2026-02-17,E011 ,Net 30,Will Call,Collect,249990.0,Closed,E001,Email PDF
PO-31241,KBD-V017,Sandvik Coromant,02/13/2026,E011,Net 30,Will Call,Prepaid & Add,31541.23,Closed,E001,Phone
PO-31242,KBD-V003,Applied Industrial Technologies,2025-12-31,E012,Net 30,Supplier Truck,FOB Destination,1585697.12,Open,E001,Email PDF
PO-31243,KBD-V019,W W Grainger Inc,2026-01-02,E011,Net 30,Will Call,FOB Origin,665.7,Closed,E011,Email PDF
PO-31244,KBD-V008,Garlock Sealing Technologies,2025-08-12,E011,Net 30,UPS Ground,FOB Origin,34147.26,Closed,E001,Supplier Portal
PO-31245,KBD-V011,MSC Industrial Supply,2025-05-13,E011,Net 30,FedEx Ground,FOB Destination,4220.88,Closed,E011,Supplier Portal
PO-31246,KBD-V015,Regal Rexnord,2025-09-29,E012,Net 45,UPS Ground,Prepaid & Add,8728.0,Closed,E012,Phone
PO-31247,KBD-V016,Ryerson,09/18/25,E011,Net 45,Supplier Truck,Collect,2230.74,Closed,E011,Email PDF
PO-31248,KBD-V018,Uline,2026-01-01,E011,Net 30,FedEx Ground,FOB Destination,21298.38,Closed,E001,Phone
PO-31249,KBD-V008,Garlock Sealing Technologies,2025-07-18,E012,Net 30,FedEx Ground,FOB Destination,51259.1,Closed,E001,Supplier Portal
PO-31250,KBD-V011,MSC Industrial Supply,2025-12-24,E011,Net 30,Will Call,FOB Destination,4854.64,Closed,E011,Phone
PO-31251,KBD-V004,Baldor-Reliance (ABB),2025-08-09,E012,Net 45,UPS Ground,FOB Destination,156606.44,Open,E001,Email PDF
PO-31252,KBD-V002,Apex Fastener Corp,28-Sep-2025,E011,Net 30,Supplier Truck,Prepaid & Add,61114.7,Closed,E001,Email PDF
PO-31253 ,KBD-V006,Fastenal,2025-07-14,E012,Net 30,UPS Ground,Prepaid & Add,28282.2,Open,E001,Email PDF
PO-31254,KBD-V002,Apex Fastener Corp,2025-05-28,E011,Net 30,LTL - Estes,Prepaid & Add,14879.7,Closed,E001,Supplier Portal
PO-31255,KBD-V001,Alro Steel,2025-09-13,E012,Net 30,UPS Ground,Collect,51859.0,Closed,E001,Email PDF
PO-31256,KBD-V012,McMaster-Carr,2025-11-23,E012,Net 30,FedEx Ground,Prepaid & Add,408934.24,Closed,E001,Email PDF
PO-31257,KBD-V003,Applied Industrial Technologies,08/19/2025,E011,Net 30,LTL - Estes,Prepaid & Add,397459.64,Closed,E001,EDI 850
PO-31258,KBD-V010,Kaman Industrial Technologies,2025-11-11,E012,Net 30,Supplier Truck,FOB Destination,280141.84,Closed,E001,Phone
PO-31259,KBD-V009,Haas Automation,2025-12-27,E012,Net 30,LTL - Estes,Collect ,276449.39,Open,E001,Phone
PO-31260,KBD-V013,Motion Industries,2025-09-27,E012,Net 30,FedEx Ground,Collect,37883.92,Closed,E001,Phone
PO-31261,KBD-V010,Kaman Industrial Technologies,01/25/2026,E011,Net 30,Will Call,Collect,1270.0,Closed,E011,Supplier Portal
PO-31262,KBD-V003,Applied Industrial Technologies ,2025-09-02,E012,Net 30,Supplier Truck,Prepaid & Add,11932.8,Closed,E001,Email PDF
PO-31263,KBD-V014,Parker Hannifin,2026-03-21,E012,Net 45,FedEx Ground,FOB Origin,15585.5,Open,E001,EDI 850
PO-31264,KBD-V009,Haas Automation,2025-09-16,E011,Net 30,LTL - Estes,FOB Origin,418237.5,Open,E001,Email PDF
PO-31265,KBD-V004,Baldor-Reliance (ABB),2025-07-05,E011,Net 45,FedEx Ground,FOB Destination,168094.34,Closed,E001 ,Phone
PO-31266,KBD-V007,GRAINGER,2025-06-26,E011,Net 30,LTL - Estes,Prepaid & Add,3203.4,Closed,E011,Supplier Portal
PO-31267,KBD-V011,MSC Industrial Supply,2025-04-03,E012,Net 30,FedEx Ground,Prepaid & Add,4854.64,Closed,E012,Supplier Portal
PO-31268,KBD-V001,Alro Steel,2025-07-26,E012,Net 30,LTL - Estes,Collect,2463.6,Closed,E012,Supplier Portal
PO-31269,KBD-V009,Haas Automation,2025-08-06,E012,Net 30,Will Call,Collect,23679.32,Closed,E001,Email PDF
PO-31270,KBD-V009,Haas Automation,2026-01-16 ,E012,Net 30,FedEx Ground,FOB Origin,46237.9,Open,E001,Supplier Portal
PO-31271,KBD-V016,Ryerson,2025-09-03,E012,Net 45,Supplier Truck,FOB Destination,13470.0,Closed,E001,Email PDF
PO-31272,KBD-V017,Sandvik Coromant,2025-11-03,E012,Net 30,LTL - Estes,Prepaid & Add,12877.8,Closed,E001,Email PDF
PO-31273,KBD-V011,MSC Industrial Supply,2026-02-07,E011,Net 30,LTL - Estes,FOB Origin,3733.08,Open,E011,Email PDF
PO-31274,KBD-V007,GRAINGER,2025-04-03,E011,Net 30,Will Call,Prepaid & Add,6444.0,Closed,E011,Supplier Portal
PO-31275,KBD-V014,Parker Hannifin,2025-05-23,E012,Net 45,Supplier Truck,FOB Destination,348972.75,Closed,E001,Phone
PO-31276,KBD-V002,Apex Fastener Corp ,2026-02-18,E012,Net 30,FedEx Ground,FOB Destination,11096.37,Closed,E001,Phone
PO-31277,KBD-V018,Uline,2025-07-11,E012,Net 30,LTL - Estes,FOB Destination,28484.6,Closed,E001,EDI 850
PO-31278,KBD-V004,Baldor-Reliance (ABB),2025-08-08,E012,Net 45,UPS Ground,Collect,429242.89,Closed,E001,Email PDF
PO-31279,KBD-V004,Baldor-Reliance (ABB),2025-12-13,E012,Net 45,Will Call,Prepaid & Add,703241.44,Closed,E001,Email PDF
PO-31280,KBD-V010,Kaman Industrial Technologies,2026-01-08 ,E012,Net 30,Will Call,FOB Destination,94396.5,Open,E001,Phone
PO-31281,KBD-V006,Fastenal,2025-10-19,E012,Net 30,UPS Ground,Collect,279703.43,Closed,E001,Phone
PO-31282,KBD-V015,Regal Rexnord,2025-09-08,E011,Net 45,FedEx Ground,Prepaid & Add,130835.78,Closed,E001,Email PDF
PO-31283,KBD-V007,GRAINGER,2026-03-29,E011,Net 30,Supplier Truck,FOB Destination,3752.1,Open,E011,Email PDF
PO-31284,KBD-V012,McMaster-Carr,2025-08-13,E012,Net 30,FedEx Ground,Prepaid & Add,104214.24,Closed,E001,Email PDF
PO-31285,KBD-V014,Parker Hannifin,2025-11-14,E012,Net 45,Supplier Truck,Prepaid & Add,283817.43,Closed,E001,Email PDF
PO-31286,KBD-V004,Baldor-Reliance (ABB),2025-08-01,E011,Net 45,FedEx Ground,Prepaid & Add,34437.8,Closed,E001,Supplier Portal
PO-31287,KBD-V016,Ryerson,2025-12-12,E011,Net 45,Supplier Truck,Prepaid & Add,1023.72,Open,E011,Email PDF
PO-31288,KBD-V013,Motion Industries,2026-01-12,E012,Net 30,FedEx Ground,FOB Destination,28055.16,Closed,E001,Email PDF
PO-31289,KBD-V004,Baldor-Reliance (ABB),05/12/25,E011,Net 45,UPS Ground,FOB Destination,365473.43,Closed ,E001,EDI 850
PO-31290,KBD-V018,Uline,2025-11-17,E011,Net 30,LTL - Estes,Prepaid & Add,32485.0,Closed,E001,EDI 850
PO-31291,KBD-V015,Regal Rexnord,06/30/2025,E012,Net 45,Supplier Truck,Collect,69880.12,Closed,E001,EDI 850
PO-31292,KBD-V019,W W Grainger Inc,2025-08-17,E011,Net 30,Supplier Truck,FOB Origin,5506.5,Closed,E011,EDI 850
PO-31293,KBD-V010,Kaman Industrial Technologies,2025-07-16,E012,Net 30,Supplier Truck,FOB Destination,7487.99,Closed,E012,EDI 850
PO-31294,KBD-V010,Kaman Industrial Technologies,2025-07-15,E012,Net 30,FedEx Ground,FOB Origin,285182.41,Open,E001,Supplier Portal
PO-31295,KBD-V017,Sandvik Coromant,"Sep 23, 2025",E012,Net 30,UPS Ground,Collect,53710.57,Closed,E001,Email PDF
PO-31296,KBD-V002,Apex Fastener Corp,2025-10-13,E012,Net 30,FedEx Ground,FOB Origin,21923.91,Closed,E001,Email PDF
PO-31297,KBD-V014,Parker Hannifin,2025-06-17,E012,Net 45,Will Call,Prepaid & Add,799741.57,Closed,E001,Email PDF 
PO-31298,KBD-V009,Haas Automation,2025-09-19,E011 ,Net 30,LTL - Estes,FOB Origin,8886.84,Closed,E011,Phone
PO-31299,KBD-V011,MSC Industrial Supply,2025-07-15,E011,Net 30,FedEx Ground,Prepaid & Add,6097.55,Closed,E011,EDI 850
PO-31300,KBD-V012,McMaster-Carr,2026-01-10,E011,Net 30,Supplier Truck,FOB Destination,12522.4,Closed,E001,Supplier Portal
