Po Number,Line,Item Id,Description,Manufacturer Part Number,Ordered Qty,Uom,Price,Extended Cost,Need By Date,Promised Date,Received Qty,Line Status,Gl Account
PO-31074,1,SPRO-1041,Sprocket M6,R97964,135,EA,35.35,4772.25,2025-09-20,2025-09-22,135,Received,1230
PO-31074,2,ULI-S-4123,"Corrugated box 12x12x12, 25/bd",S-4123,170,BD,31.0,5270.0,2025-08-31,09/05/2025,170,Received,1200
PO-31074,3,SIG-SF18-80,Machine stretch wrap 18in x 1500ft 80ga,SF18-80,131,RL,24.6,3222.6,2025-08-21,2025-08-21,131,Received,1200
PO-31074,4,AC-1085,AC Motor TEFC M6,D78797,61,EA,373.08,22757.88,2025-10-02,2025-10-02,61,Received,1230
PO-31075,1,TIMI-1071,Timing Belt 5/8-11,P52377,10,EA,74.85000000000001,748.5,2026-03-03,2026-03-03,10,Received,1230
PO-31075,2,SHEA-1028,Sheave / Pulley #80,H32923,250,EA,284.6,71150.0,2026-03-25,2026-03-30,250,Received,1230
PO-31076,1,BRI-HHCS-0500-13-200-G8,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx",HHCS-0500-13-200-G8,79,BX,44.75,3535.25,2025-07-26,07/26/2025,79,Received,1230
PO-31076,2,AC-1054,AC Motor TEFC 1.500,N27474,168,EA,1828.58,307201.44,2025-07-17,2025-07-17,168,Received,1230
PO-31076,3,BRI-HHCS-0500-13-200-G8,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx",HHCS-0500-13-200-G8,79,BX,44.75,3535.25,2025-07-26,2025-07-31,79,Received,1230
PO-31077,1,GEAR-1080,Gear Reducer #60 ,R61870,179,EA,1484.33,265695.07,2025-07-18 ,2025-07-20,179,Received,1230
PO-31077,2,TIMI-1030,Timing Belt 1/2-13,K11331,137,EA,70.11,9605.07,2025-07-27,2025-07-27,137,Received,1230
PO-31077,3,TIMI-1030,Timing Belt 1/2-13,K11331,137,EA,66.14,9061.18,2025-07-27,07/29/25,137,Received,1230
PO-31077,4,GEAR-1080,Gear Reducer #60,R61870,179,EA,1484.33,265695.07,"Jul 18, 2025",2025-07-20,179,Received,1230
PO-31078,1,GEAR-1080,Gear Reducer #60,R61870,179,EA,1484.33,265695.07,2025-06-30,2025-06-30,179,Received,1230
PO-31078,2,GEAR-1080,Gear Reducer #60,R61870,50,EA,1484.33,74216.5,2025-06-30,2025-07-05,0,Open,1230
PO-31079,1,GAT-B62,Hi-Power II V-belt B62,B62,289,EA,12.7,3670.3,2026-01-17,2026-01-22,289,Received,1230
PO-31079,2,SHEA-1035,Sheave / Pulley 1.000,D8005,193,EA,148.52,28664.36,"Feb 25, 2026",2026-02-25,193,Received,1230
PO-31079,3,GAT-B62,Hi-Power II V-belt B62,B62,500,EA,13.21,6605.0,2026-01-17,2026-01-17,500,Received,1230
PO-31079,4,GEAR-1016,Gear Reducer size 6,R82188,122,EA,2265.26,276361.72,2026-02-12,2026-02-14,122,Received,1230
PO-31080,1,SPRO-1050,Sprocket 5/16-18,K95916,53,EA,12.85,681.05,2025-06-19,2025-06-24,53,Received,1230
PO-31081,1,MOUN-1018,Mounted Ball Bearing Unit M8,C66831,95,EA,106.95,10160.25,2025-08-25,2025-08-25,95,Received,1230
PO-31081,2,TIMI-1056,Timing Belt 5/16-18,M71128,15,EA,17.21,258.15,2025-08-06,2025-08-06,15,Received,1230
PO-31081,3,MOUN-1034,Mounted Ball Bearing Unit M12,P68115,35,EA,23.82,833.7,2025-08-19,2025-08-19,35,Received,1230
PO-31081,4,SPRO-1061,Sprocket #50,R9463,163,EA,87.28,14226.64,2025-08-21,2025-08-21,0,Open,1230
PO-31082,1,TIMI-1014,Timing Belt 1.000,R36113,50,EA,49.480000000000004,2474.0,2026-02-20,2026-02-22,50,Received,1230
PO-31083,1,SPRO-1041,Sprocket M6,R97964,250,EA,35.35,8837.5,2025-09-03,2025-09-08,250,Received,1230
PO-31083,2,AC-1086,AC Motor TEFC 5/16-18,F31580,147,EA,2390.86,351456.42,2025-08-07,2025-08-09,147,Received,1230
PO-31083,3,SPRO-1078,Sprocket M6,B96961,250,EA,69.25,17312.5,2025-08-18,2025-08-18,250,Received,1230
PO-31083,4,AC-1085,AC Motor TEFC M6,D78797,100,EA,365.76,36576.0,2025-09-15,2025-09-15,100,Received,1230
PO-31084,1,GEAR-1080,Gear Reducer #60,R61870,179,EA,1484.33,265695.07,2025-08-06 ,2025-08-11,179,Received,1230
PO-31084,2,GEAR-1080,Gear Reducer #60,R61870,179,EA,1484.33,265695.07,2025-08-06,2025-08-11,0,Open,1230
PO-31085,1,GEAR-1010,Gear Reducer 1.375,A41776,85,EA,2728.47,231919.95,2025-11-26,2025-11-28,85,Received,1230
PO-31085,2,ROLL-1012,Roller Chain ANSI 2.000,L28546,50,EA,47.52,2376.0,"Nov 22, 2025",2025-11-22,50,Received,1230
PO-31085,3,GEAR-1010,Gear Reducer 1.375,A41776,85,EA,2895.52,246119.2,2025-11-26,11/26/25,85,Received ,1230
PO-31086,1,SPRO-1076,Sprocket 5/16-18,N9963,141,EA,13.24,1866.84,2026-04-21,2026-04-21,0,Open,1230
PO-31086,2,DOD-TXT315,Torque-Arm II shaft-mount reducer 15:1,TXT315,215,EA,1180.0,253700.0,2026-03-27,2026-04-01,215,Received,1230
PO-31086,3,SPRO-1076,Sprocket 5/16-18,N9963,141,EA,13.24,1866.84,2026-04-21,2026-04-26,0,Open,1230
PO-31087,1,SHEA-1072,Sheave / Pulley 3/8-16,N55674,100,EA,106.04,10604.0,"Jul 19, 2025",2025-07-24,100,Received,1230
PO-31088,1,SHEA-1088,Sheave / Pulley 1/4-20,L25703,91,EA,189.79,17270.89,2026-04-27,2026-05-02,0,Open,1230
PO-31088,2,SPRO-1027,Sprocket 1/4-20,K15825,25,EA,77.98,1949.5,2026-04-14,2026-04-16,0,Open,1230
PO-31088,3,SPRO-1027,Sprocket 1/4-20,K15825,183,EA,77.98,14270.34,2026-04-14,2026-04-19,91,Partial,1230
PO-31088,4,SHEA-1037,Sheave / Pulley 1.375,R78752,130,EA,99.06,12877.8,2026-04-23,2026-04-25,0,Open,1230
PO-31089,1,MOUN-1083,Mounted Ball Bearing Unit size 8,C68772,250,EA,87.77,21942.5,09/11/25,2025-09-11,250,Received,1230
PO-31090,1,TIMI-1058,Timing Belt M6,A87444,166,EA,84.45,14018.7,2025-07-16,2025-07-18,166,Received,1230
PO-31091,1,SPRO-1050,Sprocket 5/16-18,K95916,10,EA,12.85,128.5,31-Aug-2025,2025-08-31,10,Received,1230
PO-31091,2,AC-1033,AC Motor TEFC 3/4-10,L32810,50,EA,1137.0,56850.0,2025-09-17,2025-09-17,50,Received,1230
PO-31091,3,AC-1033,AC Motor TEFC 3/4-10,L32810,142,EA,1093.27,155244.34,2025-09-17,2025-09-22,142,Received ,1230
PO-31091,4,AC-1033,AC Motor TEFC 3/4-10,L32810,142,EA ,1093.27,155244.34,2025-09-17,2025-09-17,142,Received,1230
PO-31092,1,3M-SF401AF,SecureFit 400 safety glasses clear anti-fog,SF401AF,25,EA,4.05,101.25,2025-08-14 ,2025-08-14,25,Received,6700 
PO-31092,2,KIM-G10,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,10,BX,11.4,114.0,2025-08-18,2025-08-18,10,Received,6700
PO-31092,3,3M-SF401AF,SecureFit 400 safety glasses clear anti-fog,SF401AF,250,EA,4.05,1012.5,2025-08-14,2025-08-14,250,Received,6700
PO-31093,1,TIMI-1058,Timing Belt M6,A87444,166,EA,84.45,14018.7,2025-05-17,05/17/2025,166,Received,1230
PO-31093,2,TIMI-1058,Timing Belt M6,A87444,166,EA,84.45,14018.7,05/17/2025,2025-05-17,166,Received,1230
PO-31093,3,TIMI-1014,Timing Belt 1.000,R36113,250,EA,48.99,12247.5,05/14/2025,2025-05-14,250,Received,1230
PO-31094,1,HEN-243,"Threadlocker 243 medium strength blue, 50 mL",243,100,EA,22.54,2254.0,2025-06-07,2025-06-07,100,Received,6700
PO-31094,2,3M-SF401AF,SecureFit 400 safety glasses clear anti-fog,SF401AF,84,EA,4.05,340.2,2025-06-20,"Jun 25, 2025",84,Received,6700
PO-31094,3,KIM-G10,"KleenGuard G10 nitrile gloves, large, 100/bx ",G10,25,BX,11.4,285.0,2025-06-24,2025-06-24,25,Received,6700
PO-31095,1,SPRO-1070,Sprocket M12,L78251,144,EA,22.96,3306.24,2026-02-06,2026-02-06,144,Received,1230
PO-31095,2,SPRO-1055,Sprocket #50,P93505,50,EA,26.94,1347.0,2026-01-15,2026-01-15,50,Received,1230
PO-31095,3,SPRO-1055,Sprocket #50,P93505,25,EA,26.94,673.5,2026-01-15,2026-01-15,25,Received,1230
PO-31096,1,TIMI-1032,Timing Belt size 6,M51589,10,EA,32.99,329.9,2025-10-09,2025-10-11,10,Received,1230
PO-31096,2,AC-1074,AC Motor TEFC M8,D7447,130,EA,1629.88,211884.4,2025-10-12,2025-10-12,130,Received,1230
PO-31096,3,SPRO-1015,Sprocket 3/8-16,C11163,500,EA,74.58,37290.0,2025-10-31,2025-11-02,500,Received,1230
PO-31097,1,TIMI-1014,Timing Belt 1.000,R36113,10,EA,49.480000000000004,494.8,2026-04-11,2026-04-11,0,Open,1230
PO-31097,2,TIMI-1014,Timing Belt 1.000,R36113,189,EA,49.480000000000004,9351.72,11-Apr-2026,2026-04-13,94,Partial,1230
PO-31098,1,AC-1054,AC Motor TEFC 1.500,N27474,168,EA,1865.15,313345.2,2025-07-25,2025-07-27,168,Received,1230
PO-31098,2,AC-1054,AC Motor TEFC 1.500,N27474,168,EA,1865.15,313345.2,2025-07-25,2025-07-27,168,Received,1230
PO-31098,3,BRI-HHCS-0500-13-200-G8,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx",HHCS-0500-13-200-G8,79,BX,46.09,3641.11,03-Aug-2025,2025-08-03,79,Received,1230
PO-31098,4,BRI-HHCS-0500-13-200-G8,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx",HHCS-0500-13-200-G8,79,BX,44.75,3535.25,2025-08-03,2025-08-05,79,Received,1230
PO-31099,1,SHEA-1049,Sheave / Pulley size 4,G91354,191,EA,153.4,29299.4,2025-04-27,2025-04-27,191,Received,1230
PO-31100,1,SPRO-1009,Sprocket size 8,A23051,25,EA,24.54,613.5,2026-03-31,2026-03-31,0,Open,1230
PO-31100,2,SHEA-1072,Sheave / Pulley 3/8-16,N55674,500,EA,101.96000000000001,50980.0,2026-03-19,2026-03-19,500,Received,1230
PO-31101,1,MOUN-1083,Mounted Ball Bearing Unit size 8,C68772,138,EA,87.77,12112.26,2025-08-08,2025-08-10,138,Received,1230
PO-31101,2,SHEA-1025,Sheave / Pulley size 4,B27918,10,EA,152.41,1524.1,2025-08-01,2025-08-06,10,Received,1230
PO-31101,3,MOUN-1083,Mounted Ball Bearing Unit size 8,C68772,100,EA,87.77,8777.0,2025-08-08 ,2025-08-08,50,Partial,1230
PO-31102,1,SHEA-1088,Sheave / Pulley 1/4-20 ,L25703,100,EA,189.79,18979.0,2025-05-31 ,2025-05-31,100,Received,1230
PO-31102,2,SHEA-1037,Sheave / Pulley 1.375,R78752,130,EA,99.06,12877.8,2025-05-27,2025-06-01,130,Received,1230
PO-31103,1,SHEA-1068,Sheave / Pulley 1/4-20,E90491,105,EA,180.78,18981.9,2025-09-01,2025-09-06,105,Received,1230
PO-31103,2,SHEA-1049,Sheave / Pulley size 4,G91354,25,EA,153.4,3835.0,2025-08-12,2025-08-14,25,Received,1230
PO-31103,3,SHEA-1049,Sheave / Pulley size 4,G91354,25,EA,153.4,3835.0,2025-08-12,2025-08-12,25,Received,1230
PO-31103,4,SHEA-1049,Sheave / Pulley size 4,G91354,191,EA,153.4,29299.4,"Aug 12, 2025",2025-08-17,191,Received,1230
PO-31104,1,GAT-B62,Hi-Power II V-belt B62,B62,289,EA,12.7,3670.3,2025-07-02,2025-07-02,289,Received,1230
PO-31104,2,GEAR-1016,Gear Reducer size 6,R82188,122,EA,2265.26,276361.72,2025-07-28,2025-07-28,122,Received,1230
PO-31104,3,ROLL-1021,Roller Chain ANSI 5/16-18,H58619,25,EA,81.74,2043.5,2025-07-18,2025-07-18,25,Received,1230
PO-31104,4,ROLL-1021,Roller Chain ANSI 5/16-18,H58619,10,EA,81.74,817.4,2025-07-18,2025-07-18,10,Received,1230
PO-31105,1,SHEA-1088,Sheave / Pulley 1/4-20,L25703,91,EA,187.89,17097.99,2025-12-19,2025-12-21,91,Received,1230
PO-31105,2,SPRO-1027,Sprocket 1/4-20,K15825,250,EA,77.98,19495.0,"Dec 06, 2025",2025-12-06,250,Received,1230
PO-31105 ,3,SPRO-1027,Sprocket 1/4-20,K15825,183,EA,77.98,14270.34,2025-12-06,2025-12-11,183,Received,1230
PO-31106,1,TIMI-1014,Timing Belt 1.000,R36113,189,EA,49.480000000000004,9351.72,2025-08-14,2025-08-14,189,Received,1230
PO-31106,2,TIMI-1014,Timing Belt 1.000,R36113,189,EA,49.480000000000004,9351.72,2025-08-14,2025-08-19,189,Received,1230
PO-31106,3,TIMI-1058,Timing Belt M6,A87444,166,EA,82.76,13738.16,2025-08-17,2025-08-17,166,Received,1230
PO-31107,1,SHEA-1037,Sheave / Pulley 1.375,R78752,130,EA,99.06,12877.8,2025-04-29,2025-04-29,130,Received,1230
PO-31108,1,AC-1048,AC Motor TEFC M6,F82120,24,EA,1745.47,41891.28,2026-02-28,2026-02-28,24,Received,1230
PO-31108,2,SHEA-1038,Sheave / Pulley 2.000,K77998,100,EA,295.28000000000003,29528.0,2026-02-19,2026-02-19,100,Received,1230
PO-31108,3,GEAR-1073,Gear Reducer 5/16-18,P40743,500,EA,1938.75,969375.0,2026-02-06,2026-02-06,500,Received,1230
PO-31109,1,TIMI-1058,Timing Belt M6,A87444,166,EA,84.45,14018.7,2025-08-28,2025-08-28,0,Open,1230
PO-31109,2,TIMI-1058 ,Timing Belt M6,A87444,50,EA,82.76,4138.0,2025-08-28,2025-08-28,50,Received,1230
PO-31109,3,TIMI-1014,Timing Belt 1.000,R36113,189,EA,49.480000000000004,9351.72,2025-08-25,2025-08-25,0,Open,1230 
PO-31110,1,TIMI-1030,Timing Belt 1/2-13,K11331,137,EA,64.82,8880.34,2026-03-19,2026-03-19,137,Received,1230
PO-31111,1,GEAR-1060,Gear Reducer #60,R96029,500,EA,3102.4300000000003,1551215.0,2026-02-22,"Feb 24, 2026",500,Received,1230
PO-31111,2,TIMI-1020,Timing Belt 5/16-18,F27518,163,EA,52.03,8480.89,2026-01-23,01/25/2026,163,Received,1230
PO-31111,3,GEAR-1067,Gear Reducer M6,P63847,151,EA,508.05,76715.55,21-Feb-2026,2026-02-21,151,Received,1230
PO-31111,4,MOUN-1062,Mounted Ball Bearing Unit 1/2-13,D59850,97,EA,135.75,13167.75,2026-01-21,2026-01-21,97,Received,1230
PO-31112,1,GEAR-1080,Gear Reducer #60,R61870,179,EA,1484.33,265695.07,2026-01-05,2026-01-07,179,Received,1230
PO-31112,2,TIMI-1030,Timing Belt 1/2-13,K11331,137,EA,66.14,9061.18,2026-01-14,2026-01-14,137,Received,1230
PO-31112,3,GEAR-1080,Gear Reducer #60,R61870,500,EA,1484.33,742165.0,2026-01-05,2026-01-07,500,Received,1230
PO-31113,1,SPRO-1070,Sprocket M12,L78251,144,EA,22.96,3306.24,2026-02-02,2026-02-02,144,Received,1230
PO-31113,2,SPRO-1070,Sprocket M12,L78251,10,EA,22.96,229.6,2026-02-02,2026-02-07,10,Received,1230
PO-31113,3,SPRO-1055,Sprocket #50,P93505,38,EA,26.94,1023.72,2026-01-11,2026-01-11,38,Received,1230
PO-31114,1,SPRO-1050,Sprocket 5/16-18,K95916,250,EA,12.72,3180.0,2026-03-25,03/27/26,250,Received ,1230
PO-31114,2,SPRO-1050,Sprocket 5/16-18,K95916 ,53,EA,12.85,681.05,2026-03-25,2026-03-30,53,Received,1230
PO-31115,1,GEAR-1060,Gear Reducer #60,R96029,10,EA,3102.4300000000003,31024.3,2025-12-22,2025-12-22 ,10,Received,1230
PO-31115,2,GEAR-1067,Gear Reducer M6,P63847,100,EA,498.09000000000003,49809.0,2025-12-21,2025-12-21,100,Received,1230
PO-31115,3,ROLL-1079,Roller Chain ANSI M8,N86806,24,EA,102.65,2463.6,12/20/25,2025-12-25,24,Received,1230
PO-31116,1,TIMI-1056,Timing Belt 5/16-18,M71128,15,EA,17.21,258.15,2026-01-07,2026-01-07,15,Received,1230
PO-31117,1,TIMI-1058,Timing Belt M6,A87444,100,EA,84.45,8445.0,2026-03-06,2026-03-06,100,Received,1230
PO-31117,2,TIMI-1058,Timing Belt M6,A87444,166,EA,84.45,14018.7,2026-03-06,2026-03-08,166,Received,1230
PO-31117,3,TIMI-1058,Timing Belt M6,A87444,25,EA,84.45,2111.25,2026-03-06,2026-03-06,25,Received,1230
PO-31117,4,TIMI-1058,Timing Belt M6,A87444,25,EA,84.45,2111.25,2026-03-06,2026-03-11,25,Received,1230
PO-31118,1,SKF-6308-2Z,"Deep groove ball bearing 40x90x23, shielded",6308-2Z,192,EA,10.25,1968.0,2026-02-08,2026-02-08,0,Open,1230
PO-31118,2,TIM-LM11949-LM11910 ,Tapered roller bearing set,LM11949/LM11910,10,EA,7.6,76.0,2026-02-11,2026-02-11,10,Received,1230
PO-31118,3,MOUN-1031,Mounted Ball Bearing Unit 1.500,L96395,50,EA,38.78,1939.0,2026-02-13,2026-02-18,50,Received,1230
PO-31118,4,DOD-TXT315 ,Torque-Arm II shaft-mount reducer 15:1,TXT315,215,EA,1180.0,253700.0,"Feb 08, 2026",13-Feb-2026,215,Received,1230
PO-31119,1,SHEA-1028,Sheave / Pulley #80,H32923,44,EA,284.6,12522.4,2026-02-17,2026-02-22,44,Received,1230
PO-31119,2,AC-1040,AC Motor TEFC #50,L98065,171,EA,609.44,104214.24,2026-02-08,02/08/26,171,Received,1230
PO-31119,3,SHEA-1028,Sheave / Pulley #80,H32923,100,EA,284.6,28460.0,2026-02-17,2026-02-22 ,100,Received,1230
PO-31120,1,SPRO-1015,Sprocket 3/8-16,C11163,160,EA,74.58,11932.8,2025-10-16,10/18/25,160,Received,1230
PO-31120,2,SKF-6308-2Z,"Deep groove ball bearing 40x90x23, shielded",6308-2Z,192,EA,10.25,1968.0,2025-09-18,2025-09-18,192,Received,1230
PO-31120,3,MOUN-1031,Mounted Ball Bearing Unit 1.500,L96395,100,EA,38.78,3878.0,2025-09-23,2025-09-23,100,Received,1230
PO-31121,1,SHEA-1007,Sheave / Pulley 2.000,R96896,100,EA,129.94,12994.0,2025-08-11,2025-08-11,100,Received,1230
PO-31122,1,SHEA-1038,Sheave / Pulley 2.000,K77998,101,EA,295.28000000000003,29823.28,15-Nov-2025,2025-11-15,101,Received,1230
PO-31122,2,AC-1063,AC Motor TEFC 3/4-10,G44462,199,EA,1677.24,333770.76,2025-11-05,2025-11-05 ,199,Received,1230
PO-31123,1,TIMI-1071,Timing Belt 5/8-11,P52377,136,EA,74.85000000000001,10179.6,2025-11-10,2025-11-10,136,Received,1230
PO-31123,2,SHEA-1028,Sheave / Pulley #80,H32923,25,EA,284.6,7115.0,2025-12-02,2025-12-02,25,Received,1230 
PO-31124,1,MOUN-1083,Mounted Ball Bearing Unit size 8,C68772,138,EA,87.77,12112.26,2025-07-23,2025-07-23,138,Received,1230
PO-31125,1,SIG-SF18-80,Machine stretch wrap 18in x 1500ft 80ga,SF18-80,100,RL,24.35,2435.0,2025-12-07,12/07/2025,100,Received,1200
PO-31125 ,2,SIG-SF18-80,Machine stretch wrap 18in x 1500ft 80ga,SF18-80,131,RL,24.6,3222.6,2025-12-07,2025-12-12 ,131,Received,1200
PO-31126,1,SPRO-1050,Sprocket 5/16-18,K95916,53,EA,12.85,681.05,2025-07-24,2025-07-29,53,Received,1230
PO-31126,2,AC-1033,AC Motor TEFC 3/4-10,L32810,100,EA,1093.27,109327.0,2025-08-10,2025-08-10,100,Received,1230
PO-31127,1,GEAR-1080,Gear Reducer #60,R61870,179,EA,1484.33,265695.07,2025-05-26,2025-05-26,179,Received,1230
PO-31127,2,TIMI-1030,Timing Belt 1/2-13,K11331,137,EA,66.14,9061.18,2025-06-04,2025-06-04,137,Received,1230
PO-31128,1,SPRO-1027,Sprocket 1/4-20,K15825,250,EA,77.98,19495.0,12/10/25,"Dec 10, 2025",250,Received,1230
PO-31129,1,AC-1054,AC Motor TEFC 1.500,N27474,168,EA,1828.58,307201.44,2025-09-07,2025-09-09,168,Received,1230
PO-31130,1,SPRO-1009,Sprocket size 8,A23051,250,EA,24.54,6135.0,2025-06-19,2025-06-21,125,Partial,1230
PO-31130,2,SPRO-1009,Sprocket size 8,A23051,172,EA,24.54,4220.88,2025-06-19,2025-06-19,172,Received,1230
PO-31130,3,MOUN-1008 ,Mounted Ball Bearing Unit #60,D34695,52,EA,71.79,3733.08,2025-06-13,2025-06-18,52,Received,1230
PO-31131,1,AC-1006,AC Motor TEFC 1.250,K67494,169,EA,2109.21,356456.49,2025-10-13,2025-10-15,169,Received,1230
PO-31132,1,SPRO-1050,Sprocket 5/16-18,K95916,53,EA,12.85,681.05,2025-08-15,15-Aug-2025,53,Received,1230
PO-31132,2,AC-1033,AC Motor TEFC 3/4-10,L32810,142,EA,1093.27,155244.34,2025-09-01,2025-09-01,142,Received,1230
PO-31132,3,SPRO-1050,Sprocket 5/16-18,K95916,250,EA,12.59,3147.5,2025-08-15,2025-08-20,250,Received,1230
PO-31133,1,AC-1054,AC Motor TEFC 1.500,N27474,50,EA,1828.58,91429.0,2025-05-23,2025-05-23,50,Received,1230
PO-31134,1,MOUN-1083,Mounted Ball Bearing Unit size 8,C68772,25,EA,87.77,2194.25,2025-08-30,2025-09-04,25,Received,1230
PO-31134,2,TIMI-1000,Timing Belt 1.500,H44428,84,EA,43.53,3656.52,2025-09-05,2025-09-07,84,Received,1230
PO-31134,3,MOUN-1083,Mounted Ball Bearing Unit size 8,C68772,138,EA,87.77,12112.26,2025-08-30,2025-09-04,138,Received,1230
PO-31134,4,MOUN-1083,Mounted Ball Bearing Unit size 8,C68772,138,EA,87.77,12112.26,2025-08-30,"Sep 04, 2025",138,Received,1230
PO-31135,1,SHEA-1045,Sheave / Pulley M10,L49521,169,EA,47.68,8057.92,2025-09-07,2025-09-07,169,Received ,1230 
PO-31135,2,AC-1048,AC Motor TEFC M6,F82120,24,EA,1745.47,41891.28,2025-09-17,2025-09-19,24,Received,1230
PO-31136,1,AC-1048,AC Motor TEFC M6,F82120,250,EA,1745.47,436367.5,2025-10-02,2025-10-02,250,Received,1230
PO-31137,1,TIMI-1000,Timing Belt 1.500,H44428,10,EA,43.53,435.3,2025-10-08,2025-10-08,10,Received,1230
PO-31137,2,SPRO-1087,Sprocket 1/2-13,N14465,167,EA,44.550000000000004,7439.85,2025-10-03,2025-10-03,167,Received,1230
PO-31138,1,GEAR-1016,Gear Reducer size 6,R82188,250,EA,2378.52,594630.0,2025-07-04,2025-07-09,250,Received,1230
PO-31138,2,GEAR-1016,Gear Reducer size 6,R82188,122,EA,2310.57,281889.54,2025-07-04,2025-07-09,122,Received,1230
PO-31138,3,GEAR-1016,Gear Reducer size 6,R82188,50,EA,2265.26,113263.0,2025-07-04,2025-07-04,50,Received,1230
PO-31138,4,GAT-B62,Hi-Power II V-belt B62,B62,289,EA,12.7,3670.3,2025-06-08,2025-06-08,289,Received,1230
PO-31139,1,ROLL-1012,Roller Chain ANSI 2.000,L28546,182,EA,47.52,8648.64,2026-01-31,01/31/26,182,Received,1230
PO-31139,2,SHEA-1077,Sheave / Pulley #60,K94269,28,EA,67.98,1903.44,01/06/2026,2026-01-06,28,Received,1230
PO-31139,3,TIMI-1017,Timing Belt size 6,E16570,500,EA,50.69,25345.0,2026-02-11,02/11/26,500,Received,1230
PO-31139,4,ROLL-1012,Roller Chain ANSI 2.000,L28546,10,EA,47.52,475.2,2026-01-31,2026-01-31,10,Received,1230
PO-31140 ,1,SPRO-1004,Sprocket 3/8-16,P89761,177,EA,42.84,7582.68,2025-11-29,2025-11-29,177,Received,1230
PO-31140,2,SHEA-1068,Sheave / Pulley 1/4-20,E90491,105,EA,180.78,18981.9,2025-11-29,2025-11-29,105,Received,1230
PO-31140,3,SHEA-1049,Sheave / Pulley size 4,G91354,100,EA,153.4,15340.0,2025-11-09,2025-11-09,0,Open,1230
PO-31141,1,SPRO-1027,Sprocket 1/4-20,K15825,10,EA,77.98,779.8,2025-12-28,2025-12-28,10,Received,1230
PO-31141,2,SHEA-1037,Sheave / Pulley 1.375,R78752,25,EA,99.06,2476.5,2026-01-06,"Jan 06, 2026",25,Received,1230
PO-31141,3,SPRO-1027,Sprocket 1/4-20,K15825,183,EA,77.98,14270.34,2025-12-28,2025-12-28,0,Open,1230
PO-31142,1,SHEA-1025,Sheave / Pulley size 4,B27918,186,EA ,153.95000000000002,28634.7,2025-11-05,2025-11-10,186,Received,1230
PO-31142,2,SHEA-1025,Sheave / Pulley size 4,B27918,186,EA,153.95000000000002,28634.7,2025-11-05,"Nov 07, 2025",186,Received,1230
PO-31142,3,TIMI-1000,Timing Belt 1.500,H44428,84,EA,43.53,3656.52,2025-11-18,2025-11-18,84,Received,1230
PO-31143,1,GEAR-1066,Gear Reducer 1.000,K84844,100,EA,1270.02,127002.0,2025-05-31,2025-05-31,100,Received,1230
PO-31143,2,SPRO-1011,Sprocket #60,B43448,500,EA,118.48,59240.0,2025-05-10,2025-05-12,500,Received,1230
PO-31143,3,SPRO-1011,Sprocket #60,B43448,148,EA,124.4,18411.2,2025-05-10,2025-05-12,148,Received,1230
PO-31143,4,TIMI-1075,Timing Belt 1.000,T28498,50,EA,72.76,3638.0,2025-06-01,2025-06-06,50,Received,1230
PO-31144,1,SHEA-1037,Sheave / Pulley 1.375 ,R78752,130,EA,99.06,12877.8,2025-06-25,2025-06-25,65,Partial,1230
PO-31144,2,SHEA-1037 ,Sheave / Pulley 1.375,R78752,130,EA,99.06,12877.8,2025-06-25,2025-06-30,130,Received,1230
PO-31144,3,SHEA-1037,Sheave / Pulley 1.375,R78752,130,EA,99.06,12877.8,2025-06-25,2025-06-27,130,Received,1230
PO-31145,1,SPRO-1041,Sprocket M6,R97964,135,EA,35.35,4772.25,2026-04-21,2026-04-21,67,Partial,1230
PO-31146,1,SPRO-1069,Sprocket #50,C66132,141,EA,115.11,16230.51,2025-06-07,2025-06-12,0,Open,1230
PO-31146,2,TIMI-1075,Timing Belt 1.000,T28498,50,EA,72.76,3638.0,2025-06-10,2025-06-10,50,Received,1230
PO-31146,3,BRI-HHCS-0500-13-200-G8,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx",HHCS-0500-13-200-G8,79,BX,44.75,3535.25,2025-05-14,2025-05-16,79,Received,1230
PO-31147,1,SHEA-1077,Sheave / Pulley #60,K94269,50,EA,67.98,3399.0,2025-09-21,2025-09-21,50,Received,1230
PO-31148,1,AC-1074,AC Motor TEFC M8,D7447,130,EA,1663.14,216208.2,2025-06-16,06/18/2025,130,Received,1230
PO-31149,1,SPRO-1078,Sprocket M6,B96961,13,EA,71.33,927.29,2026-03-10,2026-03-10,13,Received,1230
PO-31149,2,SPRO-1002,Sprocket 1/4-20,F15706,500,EA,65.84,32920.0,2026-03-06,2026-03-06,0,Open,1230
PO-31149,3,SHEA-1007,Sheave / Pulley 2.000,R96896,161,EA,129.94,20920.34,2026-03-03,2026-03-03,161,Received,1230
PO-31149,4,AC-1086,AC Motor TEFC 5/16-18,F31580,147,EA,2390.86,351456.42,2026-02-27,03/04/2026,147,Received,1230
PO-31150,1,TIMI-1030,Timing Belt 1/2-13,K11331,137,EA,66.14,9061.18,2025-10-20,2025-10-25,137,Received,1230
